Time frequency,Frequency,Category of persons,Degree of urbanisation,Household composition,Income quantile,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2022.0
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Euro area – 20 countries (from 2023),:,15.6 e
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Estonia,17.2,16.4
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Greece,12.5,13.0
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Spain,10.0,12.5
Annual,Several times a month,Friends,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),19.6,17.9 e
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Finland,14.6,14.8
Annual,Several times a month,Friends,Total,Total,Total,Percentage,France,22.7,18.6
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Croatia,16.6,16.7
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Hungary,20.2,23.6
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Ireland,11.5 u,13.7
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Iceland,21.9,:
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Italy,18.3,12.6
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Lithuania,26.5,21.1
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Luxembourg,14.3,17.9
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Latvia,24.0,18.8
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Malta,13.7,14.8
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Netherlands,13.1,15.8
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Norway,10.3,6.1
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Poland,31.0 u,28.7
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Portugal,14.3,12.8
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Romania,25.8,30.2
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Serbia,12.5,11.4
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Sweden,7.7,15.2
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Slovenia,16.8,17.3
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Slovakia,23.6,21.7
Annual,Several times a month,Friends,Total,Total,Total,Percentage,United Kingdom,9.9 u,:
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Austria,45.9,40.1
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Belgium,50.9,52.9
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Bulgaria,27.7,26.6
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Switzerland,54.5,50.0
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Cyprus,30.6,21.3
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Czechia,40.7,41.8
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Germany,41.4,: u
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Denmark,45.4,45.5
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Euro area – 20 countries (from 2023),:,41.1 e
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Estonia,44.2,43.5
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Greece,30.5,32.8
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Spain,37.0,31.1
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),41.1,41.1 e
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Finland,55.2,50.3
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,France,48.5,48.2
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Croatia,38.3,38.6
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Hungary,36.1,44.3
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Ireland,39.9 u,40.6
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Iceland,46.5,:
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Italy,43.8,40.5
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Lithuania,38.8,43.9
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Luxembourg,44.9,54.7
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Latvia,40.1,41.3
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Malta,32.0,32.4
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Netherlands,48.5,46.3
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Norway,51.5,49.4
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Poland,30.2 u,43.7
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Portugal,37.0,37.6
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Romania,32.2,36.4
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Serbia,30.0,28.4
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Sweden,54.6,46.3
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Slovenia,44.1,42.9
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Slovakia,36.9,40.8
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,United Kingdom,41.9 u,:
Annual,Every week,Friends,Total,Total,Total,Percentage,Austria,44.5,42.6
Annual,Every week,Friends,Total,Total,Total,Percentage,Belgium,47.1,50.9
Annual,Every week,Friends,Total,Total,Total,Percentage,Bulgaria,31.6,36.6
Annual,Every week,Friends,Total,Total,Total,Percentage,Switzerland,47.1,45.0
Annual,Every week,Friends,Total,Total,Total,Percentage,Cyprus,35.9,32.0
Annual,Every week,Friends,Total,Total,Total,Percentage,Czechia,35.0,38.2
Annual,Every week,Friends,Total,Total,Total,Percentage,Germany,32.5,: u
Annual,Every week,Friends,Total,Total,Total,Percentage,Denmark,35.4,37.1
Annual,Every week,Friends,Total,Total,Total,Percentage,Euro area – 20 countries (from 2023),:,37.2 e
Annual,Every week,Friends,Total,Total,Total,Percentage,Estonia,46.7,41.7
Annual,Every week,Friends,Total,Total,Total,Percentage,Greece,38.1,34.2
Annual,Every week,Friends,Total,Total,Total,Percentage,Spain,33.9,29.9
Annual,Every week,Friends,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),36.4,37.4 e
Annual,Every week,Friends,Total,Total,Total,Percentage,Finland,44.1,38.8
Annual,Every week,Friends,Total,Total,Total,Percentage,France,38.4,37.8
Annual,Every week,Friends,Total,Total,Total,Percentage,Croatia,36.4,38.8
Annual,Every week,Friends,Total,Total,Total,Percentage,Hungary,34.9,40.0
Annual,Every week,Friends,Total,Total,Total,Percentage,Ireland,43.0 u,41.6
Annual,Every week,Friends,Total,Total,Total,Percentage,Iceland,40.8,:
Annual,Every week,Friends,Total,Total,Total,Percentage,Italy,43.1,41.0
Annual,Every week,Friends,Total,Total,Total,Percentage,Lithuania,34.3,40.7
Annual,Every week,Friends,Total,Total,Total,Percentage,Luxembourg,39.9,46.2
Annual,Every week,Friends,Total,Total,Total,Percentage,Latvia,45.0,42.2
Annual,Every week,Friends,Total,Total,Total,Percentage,Malta,27.6,32.4
Annual,Every week,Friends,Total,Total,Total,Percentage,Netherlands,44.0,37.8
Annual,Every week,Friends,Total,Total,Total,Percentage,Norway,41.7,34.0
Annual,Every week,Friends,Total,Total,Total,Percentage,Poland,27.6 u,37.2
Annual,Every week,Friends,Total,Total,Total,Percentage,Portugal,29.0,33.1
Annual,Every week,Friends,Total,Total,Total,Percentage,Romania,31.3,38.5
Annual,Every week,Friends,Total,Total,Total,Percentage,Serbia,29.7,27.8
Annual,Every week,Friends,Total,Total,Total,Percentage,Sweden,44.8,39.9
Annual,Every week,Friends,Total,Total,Total,Percentage,Slovenia,41.6,43.3
Annual,Every week,Friends,Total,Total,Total,Percentage,Slovakia,32.8,36.1
Annual,Every week,Friends,Total,Total,Total,Percentage,United Kingdom,40.8 u,:
