Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2010.0,2015.0
Annual,Percentage,From 15 to 64 years,Males,Bulgaria,24.5,36.6
Annual,Percentage,From 15 to 64 years,Males,Cyprus,24.1,19.9
Annual,Percentage,From 15 to 64 years,Males,Czechia,29.9,25.8
Annual,Percentage,From 15 to 64 years,Males,Germany,22.2,39.2
Annual,Percentage,From 15 to 64 years,Males,Denmark,42.9,54.7
Annual,Percentage,From 15 to 64 years,Males,Estonia,20.8,48.0
Annual,Percentage,From 15 to 64 years,Males,Greece,26.9,16.5
Annual,Percentage,From 15 to 64 years,Males,Spain,22.8,29.9
Annual,Percentage,From 15 to 64 years,Males,European Union - 27 countries (from 2020),30.3,35.9
Annual,Percentage,From 15 to 64 years,Males,European Union - 28 countries (2013-2020),31.3,37.7
Annual,Percentage,From 15 to 64 years,Males,Finland,41.4,43.9
Annual,Percentage,From 15 to 64 years,Males,France,41.0,40.4
Annual,Percentage,From 15 to 64 years,Males,Croatia,17.0,29.5
Annual,Percentage,From 15 to 64 years,Males,Hungary,18.0,27.2
Annual,Percentage,From 15 to 64 years,Males,Ireland,16.9,41.6
Annual,Percentage,From 15 to 64 years,Males,Italy,31.5,24.2
Annual,Percentage,From 15 to 64 years,Males,Lithuania,17.4,37.0
Annual,Percentage,From 15 to 64 years,Males,Luxembourg,28.1,38.4
Annual,Percentage,From 15 to 64 years,Males,Latvia,19.8,37.3
Annual,Percentage,From 15 to 64 years,Males,Malta,32.4,42.2
Annual,Percentage,From 15 to 64 years,Males,Netherlands,48.1,46.4
Annual,Percentage,From 15 to 64 years,Males,Poland,40.3,36.8
Annual,Percentage,From 15 to 64 years,Males,Portugal,22.4,17.6
Annual,Percentage,From 15 to 64 years,Males,Romania,17.9,41.1
Annual,Percentage,From 15 to 64 years,Males,Sweden,45.8,52.5
Annual,Percentage,From 15 to 64 years,Males,Slovenia,38.5,38.4
Annual,Percentage,From 15 to 64 years,Males,Slovakia,22.4,27.7
Annual,Percentage,From 15 to 64 years,Males,United Kingdom,38.2,47.9
Annual,Percentage,From 15 to 64 years,Total,Austria,31.1,35.9
Annual,Percentage,From 15 to 64 years,Total,Belgium,41.8,43.1
Annual,Percentage,From 15 to 64 years,Total,Bulgaria,20.3,33.6
Annual,Percentage,From 15 to 64 years,Total,Cyprus,24.2,19.4
Annual,Percentage,From 15 to 64 years,Total,Czechia,29.5,24.5
Annual,Percentage,From 15 to 64 years,Total,Germany,24.1,39.2
Annual,Percentage,From 15 to 64 years,Total,Denmark,45.6,53.3
Annual,Percentage,From 15 to 64 years,Total,Estonia,21.2,43.3
Annual,Percentage,From 15 to 64 years,Total,Greece,24.8,14.7
Annual,Percentage,From 15 to 64 years,Total,Spain,24.1,30.3
Annual,Percentage,From 15 to 64 years,Total,European Union - 27 countries (from 2020),30.2,34.8
Annual,Percentage,From 15 to 64 years,Total,European Union - 28 countries (2013-2020),31.9,36.9
Annual,Percentage,From 15 to 64 years,Total,Finland,44.8,44.1
Annual,Percentage,From 15 to 64 years,Total,France,40.2,39.9
Annual,Percentage,From 15 to 64 years,Total,Croatia,17.6,26.2
Annual,Percentage,From 15 to 64 years,Total,Hungary,15.0,27.8
Annual,Percentage,From 15 to 64 years,Total,Ireland,18.1,43.5
Annual,Percentage,From 15 to 64 years,Total,Italy,29.6,21.3
Annual,Percentage,From 15 to 64 years,Total,Lithuania,15.5,34.4
Annual,Percentage,From 15 to 64 years,Total,Luxembourg,32.0,40.0
Annual,Percentage,From 15 to 64 years,Total,Latvia,17.7,35.0
Annual,Percentage,From 15 to 64 years,Total,Malta,36.2,46.6
Annual,Percentage,From 15 to 64 years,Total,Netherlands,48.4,43.8
Annual,Percentage,From 15 to 64 years,Total,Poland,38.0,34.3
Annual,Percentage,From 15 to 64 years,Total,Portugal,19.2,14.9
Annual,Percentage,From 15 to 64 years,Total,Romania,18.1,38.0
Annual,Percentage,From 15 to 64 years,Total,Sweden,45.8,52.1
Annual,Percentage,From 15 to 64 years,Total,Slovenia,34.7,31.7
Annual,Percentage,From 15 to 64 years,Total,Slovakia,21.3,26.1
Annual,Percentage,From 15 to 64 years,Total,United Kingdom,43.2,49.3
Annual,Percentage,From 25 to 64 years,Females,Austria,31.3,32.8
Annual,Percentage,From 25 to 64 years,Females,Belgium,43.5,44.6
Annual,Percentage,From 25 to 64 years,Females,Bulgaria,15.3,34.8
Annual,Percentage,From 25 to 64 years,Females,Cyprus,22.0,18.3
Annual,Percentage,From 25 to 64 years,Females,Czechia,28.6,24.3
Annual,Percentage,From 25 to 64 years,Females,Germany,24.6,40.8
Annual,Percentage,From 25 to 64 years,Females,Denmark,52.8,52.2
Annual,Percentage,From 25 to 64 years,Females,Estonia,23.9,42.4
Annual,Percentage,From 25 to 64 years,Females,Greece,22.3,12.6
Annual,Percentage,From 25 to 64 years,Females,Spain,25.9,31.1
Annual,Percentage,From 25 to 64 years,Females,European Union - 27 countries (from 2020),29.8,34.2
Annual,Percentage,From 25 to 64 years,Females,European Union - 28 countries (2013-2020),32.0,36.5
Annual,Percentage,From 25 to 64 years,Females,Finland,51.6,47.4
Annual,Percentage,From 25 to 64 years,Females,France,39.7,40.3
Annual,Percentage,From 25 to 64 years,Females,Croatia,17.1,23.4
Annual,Percentage,From 25 to 64 years,Females,Hungary,11.7,29.8
Annual,Percentage,From 25 to 64 years,Females,Ireland,20.4,45.2
Annual,Percentage,From 25 to 64 years,Females,Italy,27.4,18.0
Annual,Percentage,From 25 to 64 years,Females,Lithuania,13.4,34.0
Annual,Percentage,From 25 to 64 years,Females,Luxembourg,38.6,42.5
Annual,Percentage,From 25 to 64 years,Females,Latvia,18.4,33.9
Annual,Percentage,From 25 to 64 years,Females,Malta,40.6,52.3
Annual,Percentage,From 25 to 64 years,Females,Netherlands,51.1,42.4
Annual,Percentage,From 25 to 64 years,Females,Poland,34.3,32.9
Annual,Percentage,From 25 to 64 years,Females,Portugal,14.2,12.8
Annual,Percentage,From 25 to 64 years,Females,Romania,15.8,34.8
Annual,Percentage,From 25 to 64 years,Females,Sweden,53.2,55.8
Annual,Percentage,From 25 to 64 years,Females,Slovenia,29.7,24.0
Annual,Percentage,From 25 to 64 years,Females,Slovakia,18.1,23.9
Annual,Percentage,From 25 to 64 years,Females,United Kingdom,48.2,51.1
Annual,Percentage,From 25 to 64 years,Males,Austria,29.7,37.8
Annual,Percentage,From 25 to 64 years,Males,Belgium,41.7,43.8
Annual,Percentage,From 25 to 64 years,Males,Bulgaria,24.6,38.8
Annual,Percentage,From 25 to 64 years,Males,Cyprus,24.0,18.3
Annual,Percentage,From 25 to 64 years,Males,Czechia,27.5,25.9
Annual,Percentage,From 25 to 64 years,Males,Germany,21.0,41.5
Annual,Percentage,From 25 to 64 years,Males,Denmark,46.1,62.2
Annual,Percentage,From 25 to 64 years,Males,Estonia,20.4,51.3
Annual,Percentage,From 25 to 64 years,Males,Greece,26.6,17.0
Annual,Percentage,From 25 to 64 years,Males,Spain,22.5,31.5
Annual,Percentage,From 25 to 64 years,Males,European Union - 27 countries (from 2020),30.7,37.6
Annual,Percentage,From 25 to 64 years,Males,European Union - 28 countries (2013-2020),31.8,39.4
Annual,Percentage,From 25 to 64 years,Males,Finland,44.9,46.4
Annual,Percentage,From 25 to 64 years,Males,France,42.0,42.5
Annual,Percentage,From 25 to 64 years,Males,Croatia,18.0,31.5
Annual,Percentage,From 25 to 64 years,Males,Hungary,18.7,28.7
Annual,Percentage,From 25 to 64 years,Males,Ireland,18.3,46.5
Annual,Percentage,From 25 to 64 years,Males,Italy,32.0,24.1
Annual,Percentage,From 25 to 64 years,Males,Lithuania,17.4,41.1
Annual,Percentage,From 25 to 64 years,Males,Luxembourg,27.3,39.3
Annual,Percentage,From 25 to 64 years,Males,Latvia,20.4,40.2
Annual,Percentage,From 25 to 64 years,Males,Malta,32.7,46.7
Annual,Percentage,From 25 to 64 years,Males,Netherlands,49.3,49.3
Annual,Percentage,From 25 to 64 years,Males,Poland,42.0,41.1
Annual,Percentage,From 25 to 64 years,Males,Portugal,23.9,18.5
Annual,Percentage,From 25 to 64 years,Males,Romania,18.8,42.7
Annual,Percentage,From 25 to 64 years,Males,Sweden,51.0,56.8
Annual,Percentage,From 25 to 64 years,Males,Slovenia,38.5,39.8
Annual,Percentage,From 25 to 64 years,Males,Slovakia,24.4,28.5
Annual,Percentage,From 25 to 64 years,Males,United Kingdom,40.1,50.5
Annual,Percentage,From 25 to 64 years,Total,Austria,30.5,35.2
Annual,Percentage,From 25 to 64 years,Total,Belgium,42.6,44.2
Annual,Percentage,From 25 to 64 years,Total,Bulgaria,20.1,36.8
Annual,Percentage,From 25 to 64 years,Total,Cyprus,23.1,18.3
Annual,Percentage,From 25 to 64 years,Total,Czechia,28.0,25.2
Annual,Percentage,From 25 to 64 years,Total,Germany,22.7,41.2
Annual,Percentage,From 25 to 64 years,Total,Denmark,49.3,57.4
Annual,Percentage,From 25 to 64 years,Total,Estonia,22.1,46.8
Annual,Percentage,From 25 to 64 years,Total,Greece,24.8,15.1
Annual,Percentage,From 25 to 64 years,Total,Spain,24.0,31.3
Annual,Percentage,From 25 to 64 years,Total,European Union - 27 countries (from 2020),30.3,36.0
Annual,Percentage,From 25 to 64 years,Total,European Union - 28 countries (2013-2020),31.9,38.0
Annual,Percentage,From 25 to 64 years,Total,Finland,48.1,46.9
Annual,Percentage,From 25 to 64 years,Total,France,40.9,41.4
Annual,Percentage,From 25 to 64 years,Total,Croatia,17.5,27.4
Annual,Percentage,From 25 to 64 years,Total,Hungary,15.5,29.3
Annual,Percentage,From 25 to 64 years,Total,Ireland,19.3,45.8
Annual,Percentage,From 25 to 64 years,Total,Italy,30.1,21.3
Annual,Percentage,From 25 to 64 years,Total,Lithuania,15.2,37.5
Annual,Percentage,From 25 to 64 years,Total,Luxembourg,32.1,40.8
Annual,Percentage,From 25 to 64 years,Total,Latvia,19.4,36.9
Annual,Percentage,From 25 to 64 years,Total,Malta,35.3,49.1
Annual,Percentage,From 25 to 64 years,Total,Netherlands,50.1,46.0
Annual,Percentage,From 25 to 64 years,Total,Poland,38.4,36.7
Annual,Percentage,From 25 to 64 years,Total,Portugal,19.3,15.3
Annual,Percentage,From 25 to 64 years,Total,Romania,17.4,39.0
Annual,Percentage,From 25 to 64 years,Total,Sweden,52.1,56.3
Annual,Percentage,From 25 to 64 years,Total,Slovenia,34.3,32.2
Annual,Percentage,From 25 to 64 years,Total,Slovakia,21.6,26.2
Annual,Percentage,From 25 to 64 years,Total,United Kingdom,43.9,50.8
Annual,Percentage,From 55 to 64 years,Females,Austria,15.8,14.9
Annual,Percentage,From 55 to 64 years,Females,Belgium,25.8,20.8
Annual,Percentage,From 55 to 64 years,Females,Bulgaria,9.3,13.1
Annual,Percentage,From 55 to 64 years,Females,Cyprus,14.6,7.9
Annual,Percentage,From 55 to 64 years,Females,Czechia,16.0,9.5
Annual,Percentage,From 55 to 64 years,Females,Germany,22.5,26.6
Annual,Percentage,From 55 to 64 years,Females,Denmark,28.3,38.5
Annual,Percentage,From 55 to 64 years,Females,Estonia,9.8,23.7
Annual,Percentage,From 55 to 64 years,Females,Greece,9.6,9.6
Annual,Percentage,From 55 to 64 years,Females,Spain,19.2,23.7
Annual,Percentage,From 55 to 64 years,Females,European Union - 27 countries (from 2020),19.8,22.0
Annual,Percentage,From 55 to 64 years,Females,European Union - 28 countries (2013-2020),23.0,23.3
Annual,Percentage,From 55 to 64 years,Females,Finland,29.3,32.8
Annual,Percentage,From 55 to 64 years,Females,France,21.7,24.4
Annual,Percentage,From 55 to 64 years,Females,Croatia,10.7,11.8
Annual,Percentage,From 55 to 64 years,Females,Hungary,4.5,20.0
Annual,Percentage,From 55 to 64 years,Females,Ireland,6.3,37.0
Annual,Percentage,From 55 to 64 years,Females,Italy,19.5,14.6
Annual,Percentage,From 55 to 64 years,Females,Lithuania,7.1,18.6
Annual,Percentage,From 55 to 64 years,Females,Luxembourg,19.7,19.0
Annual,Percentage,From 55 to 64 years,Females,Latvia,6.3,20.3
Annual,Percentage,From 55 to 64 years,Females,Malta,33.9,34.4
Annual,Percentage,From 55 to 64 years,Females,Netherlands,19.2,13.3
Annual,Percentage,From 55 to 64 years,Females,Poland,25.9,18.5
Annual,Percentage,From 55 to 64 years,Females,Portugal,12.2,9.6
Annual,Percentage,From 55 to 64 years,Females,Romania,10.8,24.4
Annual,Percentage,From 55 to 64 years,Females,Sweden,22.7,36.8
Annual,Percentage,From 55 to 64 years,Females,Slovenia,21.4,13.4
Annual,Percentage,From 55 to 64 years,Females,Slovakia,21.6,21.8
Annual,Percentage,From 55 to 64 years,Females,United Kingdom,40.1,31.9
Annual,Percentage,From 55 to 64 years,Males,Austria,5.0,11.7
Annual,Percentage,From 55 to 64 years,Males,Belgium,19.8,29.7
Annual,Percentage,From 55 to 64 years,Males,Bulgaria,9.1,19.2
Annual,Percentage,From 55 to 64 years,Males,Cyprus,19.6,18.2
Annual,Percentage,From 55 to 64 years,Males,Czechia,30.2,19.4
Annual,Percentage,From 55 to 64 years,Males,Germany,13.5,20.4
Annual,Percentage,From 55 to 64 years,Males,Denmark,26.8,23.9
Annual,Percentage,From 55 to 64 years,Males,Estonia,12.4,26.0
Annual,Percentage,From 55 to 64 years,Males,Greece,28.5,12.2
Annual,Percentage,From 55 to 64 years,Males,Spain,15.9,18.3
Annual,Percentage,From 55 to 64 years,Males,European Union - 27 countries (from 2020),20.6,21.8
Annual,Percentage,From 55 to 64 years,Males,European Union - 28 countries (2013-2020),21.5,22.4
Annual,Percentage,From 55 to 64 years,Males,Finland,26.0,31.1
Annual,Percentage,From 55 to 64 years,Males,France,32.7,26.8
Annual,Percentage,From 55 to 64 years,Males,Croatia,8.5,18.8
Annual,Percentage,From 55 to 64 years,Males,Hungary,14.8,14.9
Annual,Percentage,From 55 to 64 years,Males,Ireland,18.5,20.6
Annual,Percentage,From 55 to 64 years,Males,Italy,24.5,20.6
Annual,Percentage,From 55 to 64 years,Males,Lithuania,15.6,14.5
Annual,Percentage,From 55 to 64 years,Males,Luxembourg,12.2,21.0
Annual,Percentage,From 55 to 64 years,Males,Latvia,11.1,20.5
Annual,Percentage,From 55 to 64 years,Males,Malta,18.4,15.1
Annual,Percentage,From 55 to 64 years,Males,Netherlands,23.6,22.3
Annual,Percentage,From 55 to 64 years,Males,Poland,27.5,23.9
Annual,Percentage,From 55 to 64 years,Males,Portugal,11.8,13.4
Annual,Percentage,From 55 to 64 years,Males,Romania,15.0,23.1
Annual,Percentage,From 55 to 64 years,Males,Sweden,30.6,38.4
Annual,Percentage,From 55 to 64 years,Males,Slovenia,21.9,24.1
Annual,Percentage,From 55 to 64 years,Males,Slovakia,16.1,18.0
Annual,Percentage,From 55 to 64 years,Males,United Kingdom,26.4,25.4
Annual,Percentage,From 55 to 64 years,Total,Austria,9.1,13.2
Annual,Percentage,From 55 to 64 years,Total,Belgium,22.0,25.4
Annual,Percentage,From 55 to 64 years,Total,Bulgaria,9.2,15.9
Annual,Percentage,From 55 to 64 years,Total,Cyprus,17.8,14.8
Annual,Percentage,From 55 to 64 years,Total,Czechia,25.1,14.3
Annual,Percentage,From 55 to 64 years,Total,Germany,17.5,23.3
Annual,Percentage,From 55 to 64 years,Total,Denmark,27.5,30.5
Annual,Percentage,From 55 to 64 years,Total,Estonia,10.9,24.7
Annual,Percentage,From 55 to 64 years,Total,Greece,21.6,11.2
Annual,Percentage,From 55 to 64 years,Total,Spain,17.2,20.6
Annual,Percentage,From 55 to 64 years,Total,European Union - 27 countries (from 2020),20.3,21.9
Annual,Percentage,From 55 to 64 years,Total,European Union - 28 countries (2013-2020),22.1,22.8
Annual,Percentage,From 55 to 64 years,Total,Finland,27.7,32.0
Annual,Percentage,From 55 to 64 years,Total,France,27.4,25.6
Annual,Percentage,From 55 to 64 years,Total,Croatia,9.4,15.8
Annual,Percentage,From 55 to 64 years,Total,Hungary,10.1,17.1
Annual,Percentage,From 55 to 64 years,Total,Ireland,14.2,26.9
Annual,Percentage,From 55 to 64 years,Total,Italy,22.8,17.8
Annual,Percentage,From 55 to 64 years,Total,Lithuania,11.0,17.0
Annual,Percentage,From 55 to 64 years,Total,Luxembourg,15.0,20.3
Annual,Percentage,From 55 to 64 years,Total,Latvia,8.3,20.4
Annual,Percentage,From 55 to 64 years,Total,Malta,20.9,20.4
Annual,Percentage,From 55 to 64 years,Total,Netherlands,22.0,18.5
Annual,Percentage,From 55 to 64 years,Total,Poland,26.9,21.7
Annual,Percentage,From 55 to 64 years,Total,Portugal,12.0,11.7
Annual,Percentage,From 55 to 64 years,Total,Romania,13.3,23.6
Annual,Percentage,From 55 to 64 years,Total,Sweden,26.7,37.5
Annual,Percentage,From 55 to 64 years,Total,Slovenia,21.7,19.3
Annual,Percentage,From 55 to 64 years,Total,Slovakia,17.9,19.9
Annual,Percentage,From 55 to 64 years,Total,United Kingdom,32.4,28.3
