Time frequency,Risk type,Social insurance coverage,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Unemployment,"Covered by platform, app or another source",Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,12.5
Annual,Unemployment,"Covered by platform, app or another source",Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,15.3
Annual,Unemployment,"Covered by platform, app or another source",Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,16.6
Annual,Unemployment,"Covered by platform, app or another source",Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,12.6
Annual,Unemployment,"Covered by platform, app or another source",Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,14.3
Annual,Unemployment,"Covered by platform, app or another source",Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,15.0
Annual,Unemployment,Not covered,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,65.4
Annual,Unemployment,Not covered,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,65.4
Annual,Unemployment,Not covered,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,65.4
Annual,Unemployment,Not covered,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,67.2
Annual,Unemployment,Not covered,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,60.1
Annual,Unemployment,Not covered,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,56.8
Annual,Unemployment,Not covered,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,66.4
Annual,Unemployment,Not covered,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,62.4
Annual,Unemployment,Not covered,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,60.6
Annual,Work-related accident,Covered by another job (not by any platform or app),Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,24.3
Annual,Work-related accident,Covered by another job (not by any platform or app),Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,25.2
Annual,Work-related accident,Covered by another job (not by any platform or app),Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,25.6
Annual,Work-related accident,Covered by another job (not by any platform or app),Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,23.2
Annual,Work-related accident,Covered by another job (not by any platform or app),Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,25.0
Annual,Work-related accident,Covered by another job (not by any platform or app),Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,25.8
Annual,Work-related accident,Covered by another job (not by any platform or app),Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,23.7
Annual,Work-related accident,Covered by another job (not by any platform or app),Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,25.1
Annual,Work-related accident,Covered by another job (not by any platform or app),Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,25.7
Annual,Work-related accident,Covered by another source (not by any platform or app or other job),Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,6.1
Annual,Work-related accident,Covered by another source (not by any platform or app or other job),Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,11.6
Annual,Work-related accident,Covered by another source (not by any platform or app or other job),Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,13.9
Annual,Work-related accident,Covered by another source (not by any platform or app or other job),Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,7.7
Annual,Work-related accident,Covered by another source (not by any platform or app or other job),Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,13.0
Annual,Work-related accident,Covered by another source (not by any platform or app or other job),Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,15.5
Annual,Work-related accident,Covered by another source (not by any platform or app or other job),Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,7.0
Annual,Work-related accident,Covered by another source (not by any platform or app or other job),Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,12.4
Annual,Work-related accident,Covered by another source (not by any platform or app or other job),Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,14.8
Annual,Work-related accident,Covered by platform or app,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,5.4
Annual,Work-related accident,Covered by platform or app,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,5.0
Annual,Work-related accident,Covered by platform or app,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,4.9
Annual,Work-related accident,Covered by platform or app,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,10.1
Annual,Work-related accident,Covered by platform or app,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,11.0
Annual,Work-related accident,Covered by platform or app,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,11.4
Annual,Work-related accident,Covered by platform or app,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,8.0
Annual,Work-related accident,Covered by platform or app,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,8.3
Annual,Work-related accident,Covered by platform or app,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,8.4
Annual,Work-related accident,Not covered,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,64.2
Annual,Work-related accident,Not covered,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,58.2
Annual,Work-related accident,Not covered,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,55.7
Annual,Work-related accident,Not covered,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,59.1
Annual,Work-related accident,Not covered,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,51.0
Annual,Work-related accident,Not covered,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,47.3
Annual,Work-related accident,Not covered,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,61.3
Annual,Work-related accident,Not covered,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,54.2
Annual,Work-related accident,Not covered,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,51.1
