Time frequency,Type of household,Income situation in relation to the risk of poverty threshold,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2023.0
Annual,Total,Total,Percentage,Total,Females,European Union - 28 countries (2013-2020),2.8,2.7,2.6,2.4,2.3,2.2,2.1,2.0 e,1.8 e,1.6 e,:,:
Annual,Total,Total,Percentage,Total,Females,Finland,0.7,0.7,0.6,0.5,0.6,0.7,0.6,0.4,0.2,0.2,0.2,:
Annual,Total,Total,Percentage,Total,Females,France,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 b,0.8
Annual,Total,Total,Percentage,Total,Females,Croatia,0.5,1.5,2.1 b,1.6,1.6,1.4,1.3,1.4,1.1,0.9,0.9,:
Annual,Total,Total,Percentage,Total,Females,Hungary,4.4,4.1,4.1,3.9,3.8,3.2,3.7,3.3,3.4,2.6,1.4,:
Annual,Total,Total,Percentage,Total,Females,Ireland,0.9,5.5,2.5,1.6,0.2,0.2,0.2,0.2,0.0 n,0.4 b,0.1 bu,:
Annual,Total,Total,Percentage,Total,Females,Iceland,0.0 n,0.0 n,0.1,0.1,0.1,0.0,0.1,0.0,0.3,0.3,:,:
Annual,Total,Total,Percentage,Total,Females,Italy,0.4,0.6,0.5,0.7,0.4,0.4,0.3,0.5,0.4,0.7,0.7,0.8
Annual,Total,Total,Percentage,Total,Females,Lithuania,15.5,15.7,14.3,12.8,11.6,10.3,11.7,10.5,9.1,8.8,7.0,4.3
Annual,Total,Total,Percentage,Total,Females,Luxembourg,0.1,0.2,0.1,0.3,0.2,0.1,1.1 b,0.5,0.1,0.2,0.1 b,:
Annual,Total,Total,Percentage,Total,Females,Latvia,17.9,17.5,17.9,16.6,15.6,14.8,13.4,11.3,11.1,10.1,8.7,6.7
Annual,Total,Total,Percentage,Total,Females,Montenegro,:,:,:,2.9,2.4,2.3,2.6,2.4,1.0,1.0,1.2,:
Annual,Total,Total,Percentage,Total,Females,North Macedonia,10.7,8.7,7.3,6.1,7.3,4.4,3.6,2.3,1.4,2.1,1.8,:
Annual,Total,Total,Percentage,Total,Females,Malta,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.0 n,0.0 n
Annual,Total,Total,Percentage,Total,Females,Netherlands,0.0 n,0.0 n,0.1,0.0 n,0.0 n,0.1,0.1 b,0.2,0.1,0.0 n,0.1,:
Annual,Total,Total,Percentage,Total,Females,Norway,0.1,0.5,0.2,0.3,0.2,0.4,0.4,0.4,0.2,0.3,0.4,:
Annual,Total,Total,Percentage,Total,Females,Poland,4.6,4.4,4.0,3.7,3.5,3.2,2.8,2.7,2.2,1.9,1.5,0.8
Annual,Total,Total,Percentage,Total,Females,Portugal,2.1,1.4,1.2,1.1,1.4,1.5,1.4,1.2,0.9,0.8,0.6,0.4
Annual,Total,Total,Percentage,Total,Females,Romania,38.3,36.4,34.9,33.6,31.9,30.5,30.0,27.4,25.6,22.6,21.8,14.1
Annual,Total,Total,Percentage,Total,Females,Serbia,:,:,:,4.2,3.6,3.8,3.6,3.3,2.5,2.4,1.7,:
Annual,Total,Total,Percentage,Total,Females,Sweden,0.6,0.6,0.5,0.5,0.5,0.5,0.1,0.0,0.0 n,0.1,0.0 n,:
Annual,Total,Total,Percentage,Total,Females,Slovenia,0.5,0.5,0.5,0.5,0.6,0.4,0.4,0.2,0.2,0.1,0.1,0.1
Annual,Total,Total,Percentage,Total,Females,Slovakia,0.4,0.3,0.4,0.3,0.6,0.8,0.7,0.9,1.1,1.4,0.7,:
Annual,Total,Total,Percentage,Total,Females,Türkiye,:,3.2,3.1,2.7,2.3,2.1,1.7,1.5,1.4,1.1,1.1,0.7
Annual,Total,Total,Percentage,Total,Females,United Kingdom,0.2,0.3,0.5 b,0.4,0.6,0.7,0.6,0.2 bu,0.3 u,:,:,:
Annual,Total,Total,Percentage,Total,Males,Albania,:,:,:,:,:,:,:,6.1,6.5,5.8,4.7,:
Annual,Total,Total,Percentage,Total,Males,Austria,0.6,0.5,0.6,0.2,0.3,0.4,0.2,0.4,0.5,0.3,0.6,0.5
Annual,Total,Total,Percentage,Total,Males,Belgium,0.3,1.0,0.9,0.7,0.7,0.8,0.5,0.6,0.5,0.4 b,0.5,0.6
Annual,Total,Total,Percentage,Total,Males,Bulgaria,15.3,15.3,14.1,14.0,12.9,11.8,11.6 b,10.5,9.4,8.4,8.0,5.2
Annual,Total,Total,Percentage,Total,Males,Switzerland,0.1,0.1,0.1,0.0,0.3 b,0.1,0.0 n,0.1,0.1,0.1,0.0 n,:
Annual,Total,Total,Percentage,Total,Males,Cyprus,1.2,1.1,0.9,0.9,0.9,0.7,0.6,0.5,0.5,0.4,0.5,:
Annual,Total,Total,Percentage,Total,Males,Czechia,0.5,0.5,0.6,0.5,0.3,0.3,0.3,0.3,0.3,0.2,0.2,:
Annual,Total,Total,Percentage,Total,Males,Germany,0.6,0.1,0.1,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 b,:
Annual,Total,Total,Percentage,Total,Males,Denmark,0.9,2.4,2.4,2.2,2.4,2.1,2.4,2.3,2.0,2.1,2.2,:
Annual,Total,Total,Percentage,Total,Males,Euro area - 19 countries  (2015-2022),0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,:
Annual,Total,Total,Percentage,Total,Males,Estonia,12.6,10.9,9.8,9.5,8.5 b,7.6,8.1,7.5,7.0,6.2,5.5,:
Annual,Total,Total,Percentage,Total,Males,Greece,0.8,1.3,0.7,1.0,0.7,0.4,0.4,0.5,0.5,0.4,0.1,0.3
Annual,Total,Total,Percentage,Total,Males,Spain,0.0 n,0.0 n,0.1,0.1,0.2,0.1,0.4,0.1,0.1,0.3,0.2,:
Annual,Total,Total,Percentage,Total,Males,European Union - 27 countries (2007-2013),2.9,2.8,2.7,2.5,2.4,2.3,2.2,2.2 e,1.9 e,1.7 e,:,:
Annual,Total,Total,Percentage,Total,Males,European Union - 27 countries (from 2020),3.2 e,3.1 e,3.0 e,2.8 e,2.7 e,2.5 e,2.5 e,2.3 e,2.1 e,1.9 e,1.7,:
Annual,Total,Total,Percentage,Total,Males,European Union - 28 countries (2013-2020),2.9,2.8,2.7,2.5,2.4,2.3,2.2,2.2 e,1.9 e,1.7 e,:,:
Annual,Total,Total,Percentage,Total,Males,Finland,1.0,1.0,0.9,0.8,0.8,0.9,0.9,0.7,0.5,0.5,0.4,:
Annual,Total,Total,Percentage,Total,Males,France,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.7,0.6,0.5,0.5 b,0.8
Annual,Total,Total,Percentage,Total,Males,Croatia,0.5,1.6,2.3 b,2.0,2.1,2.0,2.0,1.5,1.3,1.0,0.9,:
Annual,Total,Total,Percentage,Total,Males,Hungary,4.4,4.5,4.8,4.7,4.8,4.1,4.6,3.8,3.8,3.1,1.7,:
Annual,Total,Total,Percentage,Total,Males,Ireland,0.9,5.5,2.2,1.6,0.4,0.3,0.3,0.1,0.1,0.2 b,0.1 bu,:
Annual,Total,Total,Percentage,Total,Males,Iceland,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.0,0.2,0.3,:,:
Annual,Total,Total,Percentage,Total,Males,Italy,0.4,0.5,0.6,0.5,0.4,0.4,0.4,0.7,0.5,0.8,0.8,0.8
Annual,Total,Total,Percentage,Total,Males,Lithuania,15.2,16.6,15.5,13.1,12.4,12.8,14.5,12.8,11.0,10.5,7.4,6.6
Annual,Total,Total,Percentage,Total,Males,Luxembourg,0.5,0.2,0.2,0.2,0.2,0.2,1.0 b,0.5,0.2,0.4,0.1 b,:
Annual,Total,Total,Percentage,Total,Males,Latvia,20.7,19.5,19.2,17.6,16.9,15.8,15.2,13.2,12.6,10.2,9.3,7.2
Annual,Total,Total,Percentage,Total,Males,Montenegro,:,:,:,2.8,2.3,2.3,2.4,2.2,1.0,1.0,1.1,:
Annual,Total,Total,Percentage,Total,Males,North Macedonia,11.0,9.2,7.8,6.5,7.2,4.0,4.0,2.4,1.6,2.2,1.8,:
Annual,Total,Total,Percentage,Total,Males,Malta,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.0 n,0.0 n,0.0 n,0.0 n,0.0
Annual,Total,Total,Percentage,Total,Males,Netherlands,0.0 n,0.0 n,0.1,0.0 n,0.0 n,0.1,0.1 b,0.1,0.1,0.1,0.1,:
Annual,Total,Total,Percentage,Total,Males,Norway,0.1,0.3,0.2,0.4,0.2,0.3,0.5,0.5,0.4,0.5,0.6,:
Annual,Total,Total,Percentage,Total,Males,Poland,4.5,4.6,4.4,3.8,3.8,3.5,3.0,3.2,2.7,2.4,1.8,0.8
Annual,Total,Total,Percentage,Total,Males,Portugal,1.8,1.3,1.1,1.1,1.3,1.5,1.3,1.2,0.9,0.8,0.6,0.4
Annual,Total,Total,Percentage,Total,Males,Romania,39.4,37.3,35.8,34.9,33.2,31.2,31.0,28.3,26.5,22.9,21.4,14.3
Annual,Total,Total,Percentage,Total,Males,Serbia,:,:,:,4.5,3.9,3.7,3.4,3.3,2.5,2.1,1.6,:
Annual,Total,Total,Percentage,Total,Males,Sweden,0.5,0.6,0.5,0.7,0.5,0.9,0.2,0.1,0.1,0.1,0.1,:
Annual,Total,Total,Percentage,Total,Males,Slovenia,0.6,0.7,0.6,0.7,0.8,0.5,0.4,0.3,0.1,0.1,0.2,0.1
Annual,Total,Total,Percentage,Total,Males,Slovakia,0.3,0.3,0.3,0.2,0.7,0.8,0.8,1.0,1.0,1.3,0.8,:
Annual,Total,Total,Percentage,Total,Males,Türkiye,:,3.1,2.8,2.6,2.2,2.0,1.6,1.3,1.2,1.0,1.0,0.7
Annual,Total,Total,Percentage,Total,Males,United Kingdom,0.3,0.2,0.5 b,0.4,0.5,0.6,0.7,0.3 bu,0.3 u,:,:,:
Annual,Total,Total,Percentage,Total,Total,Albania,:,:,:,:,:,:,:,6.0,6.2,5.7,4.7,:
Annual,Total,Total,Percentage,Total,Total,Austria,0.6,0.5,0.5,0.2,0.3,0.5,0.2,0.3,0.5,0.2,0.7,0.5
Annual,Total,Total,Percentage,Total,Total,Belgium,0.3,0.9,0.8,0.7,0.7,0.7,0.5,0.5,0.4,0.3 b,0.4,0.6
Annual,Total,Total,Percentage,Total,Total,Bulgaria,15.4,15.2,13.9,13.8,12.5,11.6,11.2 b,10.4,9.4,7.9,7.4,4.9
Annual,Total,Total,Percentage,Total,Total,Switzerland,0.2,0.1,0.1,0.0 n,0.2 b,0.1,0.0 n,0.1,0.1,0.1,0.1,:
Annual,Total,Total,Percentage,Total,Total,Cyprus,1.1,1.1,0.9,1.0,1.0,0.9,0.7,0.6,0.5,0.5,0.5,:
Annual,Total,Total,Percentage,Total,Total,Czechia,0.5,0.5,0.6,0.5,0.3,0.3,0.3,0.3,0.3,0.2,0.2,:
Annual,Total,Total,Percentage,Total,Total,Germany,0.5,0.1,0.1,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 n,0.0 b,:
Annual,Total,Total,Percentage,Total,Total,Denmark,0.8,2.4,2.4,2.0,2.2,2.2,2.4,2.0,1.9,1.8,2.1,:
Annual,Total,Total,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),0.8,0.8,0.7,0.6,0.6,0.5,0.6,0.6,0.5,0.5,0.5,:
Annual,Total,Total,Percentage,Total,Total,Estonia,11.9,10.5,9.5,9.2,8.2 b,7.3,7.5,7.0,6.6,5.8,5.2,:
Annual,Total,Total,Percentage,Total,Total,Greece,0.9,1.3,0.7,0.9,0.7,0.5,0.4,0.5,0.5,0.5,0.2,0.3
Annual,Total,Total,Percentage,Total,Total,Spain,0.0 n,0.0 n,0.1,0.1,0.1,0.1,0.3,0.1,0.2,0.3,0.2,:
Annual,Total,Total,Percentage,Total,Total,European Union - 27 countries (2007-2013),2.9,2.8,2.6,2.5,2.3,2.2,2.2,2.1 e,1.9 e,1.7 e,:,:
Annual,Total,Total,Percentage,Total,Total,European Union - 27 countries (from 2020),3.2 e,3.1 e,2.9 e,2.8 e,2.6 e,2.4 e,2.4 e,2.2 e,2.0 e,1.8 e,1.7,:
Annual,Total,Total,Percentage,Total,Total,European Union - 28 countries (2013-2020),2.8,2.7,2.6,2.5,2.3,2.2,2.2,2.1 e,1.9 e,1.7 e,:,:
Annual,Total,Total,Percentage,Total,Total,Finland,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.5,0.4,0.3,0.3,:
Annual,Total,Total,Percentage,Total,Total,France,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5 b,0.8
Annual,Total,Total,Percentage,Total,Total,Croatia,0.5,1.5,2.2 b,1.8,1.9,1.7,1.6,1.4,1.2,0.9,0.9,:
Annual,Total,Total,Percentage,Total,Total,Hungary,4.4,4.3,4.4,4.3,4.3,3.7,4.1,3.5,3.6,2.8,1.6,:
Annual,Total,Total,Percentage,Total,Total,Ireland,0.9,5.5,2.4,1.6,0.3,0.2,0.2,0.2,0.1,0.3 b,0.1 bu,:
Annual,Total,Total,Percentage,Total,Total,Iceland,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.0,0.2,0.3,:,:
Annual,Total,Total,Percentage,Total,Total,Italy,0.4,0.5,0.5,0.6,0.4,0.4,0.4,0.6,0.5,0.7,0.7,0.8
Annual,Total,Total,Percentage,Total,Total,Lithuania,15.4,16.1,14.8,12.9,12.0,11.5,13.0,11.5,10.0,9.6,7.2,5.4
Annual,Total,Total,Percentage,Total,Total,Luxembourg,0.3,0.2,0.1,0.3,0.2,0.1,1.1 b,0.5,0.2,0.3,0.1 b,:
Annual,Total,Total,Percentage,Total,Total,Latvia,19.2,18.4,18.5,17.0,16.2,15.3,14.2,12.2,11.8,10.2,9.0,6.9
Annual,Total,Total,Percentage,Total,Total,Montenegro,:,:,:,2.9,2.4,2.3,2.5,2.3,1.0,1.0,1.1,:
Annual,Total,Total,Percentage,Total,Total,North Macedonia,10.9,9.0,7.6,6.3,7.2,4.2,3.8,2.4,1.5,2.2,1.8,:
Annual,Total,Total,Percentage,Total,Total,Malta,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.0 n,0.0 n
Annual,Total,Total,Percentage,Total,Total,Netherlands,0.0 n,0.0 n,0.1,0.0 n,0.0 n,0.1,0.1 b,0.1,0.1,0.1,0.1,:
Annual,Total,Total,Percentage,Total,Total,Norway,0.1,0.4,0.2,0.4,0.2,0.3,0.4,0.4,0.3,0.4,0.5,:
Annual,Total,Total,Percentage,Total,Total,Poland,4.6,4.5,4.2,3.7,3.7,3.3,2.9,2.9,2.5,2.1,1.6,0.8
Annual,Total,Total,Percentage,Total,Total,Portugal,1.9,1.3,1.1,1.1,1.3,1.5,1.3,1.2,0.9,0.8,0.6,0.4
Annual,Total,Total,Percentage,Total,Total,Romania,38.9,36.8,35.4,34.2,32.5,30.8,30.5,27.8,26.0,22.8,21.6,14.2
Annual,Total,Total,Percentage,Total,Total,Serbia,:,:,:,4.3,3.8,3.8,3.5,3.3,2.5,2.3,1.7,:
Annual,Total,Total,Percentage,Total,Total,Sweden,0.6,0.6,0.5,0.6,0.5,0.7,0.1,0.0 n,0.1,0.1,0.1,:
Annual,Total,Total,Percentage,Total,Total,Slovenia,0.6,0.6,0.5,0.6,0.7,0.5,0.4,0.3,0.2,0.1,0.1,0.1
Annual,Total,Total,Percentage,Total,Total,Slovakia,0.3,0.3,0.3,0.3,0.7,0.8,0.8,0.9,1.1,1.4,0.7,:
Annual,Total,Total,Percentage,Total,Total,Türkiye,:,3.1,2.9,2.7,2.2,2.0,1.7,1.4,1.3,1.1,1.0,0.7
Annual,Total,Total,Percentage,Total,Total,United Kingdom,0.3,0.3,0.5 b,0.4,0.5,0.6,0.6,0.3 bu,0.3 u,:,:,:
