Time frequency,Unit of measure,Country of citizenship,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Reporting country,Spain,24.7,25.0,24.5,22.6,21.0,20.7,19.7,20.8,20.0,21.2
Annual,Percentage,Reporting country,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",19.0,19.0,18.8,17.4,17.4,16.7 e,:,:,:,:
Annual,Percentage,Reporting country,European Union - 27 countries (2007-2013),19.0,18.9,18.8,17.4,17.4,16.6 e,:,:,:,:
Annual,Percentage,Reporting country,European Union - 27 countries (from 2020),19.0 e,19.0 e,19.0 e,17.2 e,16.8 e,15.9 e,15.8,16.0,15.6,15.5
Annual,Percentage,Reporting country,European Union - 28 countries (2013-2020),19.0,19.0,18.8,17.4,17.4,16.7 e,:,:,:,:
Annual,Percentage,Reporting country,Finland,10.0,8.9,8.0,9.1,9.8,9.4,10.9,8.1,7.8,8.2
Annual,Percentage,Reporting country,France,14.3,15.1,15.2,14.1,14.8,13.6,14.4 b,14.1,16.1 b,16.3
Annual,Percentage,Reporting country,Croatia,21.1,20.5,20.1,19.9,18.6,16.8,16.4,16.9,15.9,15.7 b
Annual,Percentage,Reporting country,Hungary,24.9,22.3,19.3,13.5,12.2,10.0,8.3,10.9,10.2,16.8
Annual,Percentage,Reporting country,Ireland,18.4,15.5,17.2,15.5,15.4,15.6 b,14.3 b,11.9,14.1,11.5
Annual,Percentage,Reporting country,Iceland,9.8,10.8,9.6,10.7,9.4,9.9,:,:,:,:
Annual,Percentage,Reporting country,Italy,22.7,23.5,23.6,22.6,22.8,22.6,21.6,22.9,22.6,20.5
Annual,Percentage,Reporting country,Lithuania,22.5,27.8,24.9,25.5,23.9,22.8,20.1,17.6,17.7,16.3
Annual,Percentage,Reporting country,Luxembourg,15.2,10.4,10.2 b,10.2,12.6,12.2,11.4 b,11.9 b,10.2 b,9.1
Annual,Percentage,Reporting country,Latvia,23.8,22.7,18.5,17.8,15.9,13.4,15.0,15.6,15.7,15.5
Annual,Percentage,Reporting country,Montenegro,30.7,31.1,29.3,29.9,28.4,30.0,31.9,28.8,26.4,:
Annual,Percentage,Reporting country,North Macedonia,28.9,28.2,28.4,29.2,28.6,27.6,30.3,:,:,:
Annual,Percentage,Reporting country,Malta,24.0,22.7,19.8,20.4,20.2,:,20.7,18.9,18.4,19.4
Annual,Percentage,Reporting country,Netherlands,13.5,13.3,13.5 b,13.1,11.5,12.2,12.1,10.6,9.8,11.9
Annual,Percentage,Reporting country,Norway,8.6,9.8,11.6,10.5,10.8,11.3,10.6,11.2 b,11.2,10.1 b
Annual,Percentage,Reporting country,Poland,21.8,22.5,21.4,13.3,12.1,13.0,14.0,14.6,14.2,14.2
Annual,Percentage,Reporting country,Portugal,24.9,23.5,21.4,20.2,18.4,18.0,18.9,20.1 b,16.6,19.1
Annual,Percentage,Reporting country,Romania,39.1,38.6,37.7,31.7,31.4,30.3,29.9,29.7,27.0,29.7
Annual,Percentage,Reporting country,Serbia,28.9,31.1,30.8,30.2,28.9,29.2,23.5,20.6,20.2,:
Annual,Percentage,Reporting country,Sweden,12.9,11.0,9.7,10.8,11.2,11.2,10.3,10.3,9.8,12.9
Annual,Percentage,Reporting country,Slovenia,11.7,11.9,9.5,10.2,9.3,8.2,8.4,8.1,7.3,7.7
Annual,Percentage,Reporting country,Slovakia,19.5,20.1,20.7,19.7,20.3,18.7,16.8,17.5,21.9,22.5
Annual,Percentage,Reporting country,Türkiye,33.3,32.7,33.3,33.0,33.8,33.7,33.3,34.3,34.1,31.0
Annual,Percentage,Reporting country,United Kingdom,18.8,18.4,17.6,21.2 b,22.9,:,:,:,:,:
Annual,Percentage,Reporting country,Kosovo*,:,:,:,:,30.0,:,:,:,:,:
