Time frequency,Energy consumption,product,unit,geo\TIME_PERIOD,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,TR,11.5965,9.387,10.1075,11.0149,8.5149,8.679,32.0447
Annual,Consumption from 10 000 GJ to 99 999 GJ - band I3,4100.0,PC,UA,:,8.6965,5.8476,3.3177,:,:,:
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,AT,24.7,24.8,23.6,22.5,22.6,22.6,21.6
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,BA,7.11,:,0.0,0.0,0.0,0.0,0.0
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,BE,: @C,: @C,: @C,: @C,: @C,22.4175,21.9623
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,BG,21.84,29.56,32.216,34.8723,28.8041,19.1976,30.1866
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,CZ,13.163,10.9233,11.3281,11.9,11.5523,9.636,11.3948
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,DE,:,22.0,22.6,24.77,23.14,24.36,23.13
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,DK,37.0,37.0,43.0,44.0,37.0,37.0,28.94
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,EA,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,EE,17.9766,30.3309,28.323,33.737,39.6402,40.5095,41.562
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,EL,14.57,32.62,:,38.36,: @C,28.42,38.4364
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,ES,:,:,36.9200 e,38.2279,41.74,25.0921,19.1717
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,EU27_2020,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,FI,: @C,: @C,: @C,: @C,11.3600 e,9.5600 e,11.613
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,FR,22.4838,25.644,26.3035,26.0207,26.4479,25.5089,26.432
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,GE,:,15.7671,10.0,11.97,28.0,33.0,34.5
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,HR,23.69,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,HU,16.4138,17.1269,15.8775,15.0743,14.5338,13.935,14.2531
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,IE,50.2514,36.6622,35.2009,38.1545,:,:,:
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,IT,:,33.1651,21.8258,21.7234,21.5498,28.7539,27.391
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,LT,58.0109,58.2676,58.867,50.2196,45.7405,32.8358,31.3572
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,LU,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,LV,36.8,44.55,42.84,38.76,40.7302,28.27,17.91
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,MD,33.4027,49.7595,49.1825,46.2161,51.3954,47.5898,37.3319
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,MK,66.3532,72.9849,71.7483,72.8252,77.3295,21.1543,62.9692
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,NL,31.0,29.0,31.0,30.0,27.0,26.0,32.0
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,PL,30.667,31.0302,30.957,33.4429,33.6796,35.9835,32.1743
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,PT,35.44,35.749,30.321,28.6,:,:,30.395
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,RO,15.6687 e,15.1979 e,18.5072,20.7634,18.06,20.7066,23.1351
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,RS,25.0773,27.1529,31.6131,26.5303,29.1947,38.7856,45.2242
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,SE,32.91,32.73,37.74,36.69,31.83,29.93,42.97
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,SI,50.2887,46.6837,47.2171,51.1348,50.0644,58.2504,50.2326
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,SK,17.2,21.2,20.0,20.6,23.9,22.0,16.7
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,TR,24.0068,24.1533,24.4878,27.6014,26.2531,27.9763,23.673
Annual,Consumption from 100 000 GJ to 999 999 GJ - band I4,4100.0,PC,UA,:,16.9369,16.008,7.4012,:,:,:
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,AT,41.9,17.9,19.6,16.9,16.2,16.2,17.7
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,BA,55.27,:,0.0,0.0,0.0,0.0,0.0
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,BE,: @C,: @C,: @C,: @C,: @C,18.9317,21.2381
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,BG,15.26,15.14,9.6445,12.3846,21.4987,13.1225,13.4749
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,CZ,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,DE,:,23.0,8.19,16.36,17.55,14.76,16.67
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,DK,7.0,7.0,8.0,7.0,12.0,9.0,11.43
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,EA,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,EE,44.594,31.6304,30.2296,: @C,: @C,0.0,0.0
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,EL,: @C,: @C,:,0.0,0.0,: @C,: @C
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,ES,:,:,24.5700 e,18.0624,16.63,16.0345,20.3492
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,EU27_2020,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,FI,: @C,: @C,: @C,: @C,8.5100 e,15.4600 e,45.089
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,FR,10.5966,10.2734,9.5835,12.0682,11.7595,10.4284,11.9456
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,GE,:,7.2849,16.0,14.88,:,3.0,:
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,HR,:,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,HU,23.7503,20.3419,21.9412,19.668,15.1338,14.6018,16.9466
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,IE,:,12.3921,13.5735,13.3273,:,:,:
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,IT,:,15.504,14.2373,13.4279,12.539,11.6693,12.4437
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,LT,:,:,0.0,0.0,0.0,0.0,:
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,LU,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,LV,22.47,4.87,:,:,:,:,0.0
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,MD,:,:,:,:,:,0.5127,:
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,MK,:,:,0.0,:,:,0.0,:
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,NL,13.0,12.0,21.0,27.0,28.0,26.0,10.0
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,PL,13.9996,15.8564,17.1317,19.1017,15.265,14.1846,15.6371
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,PT,: @C,5.923,20.926,22.843,:,:,: @C
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,RO,36.5244 e,34.5419 e,33.5617,29.5481,28.0,31.5971,26.9188
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,RS,7.7987,11.7079,18.5022,18.8682,11.2861,29.2151,36.3984
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,SE,27.59,14.17,28.41,:,36.33,42.62,9.51
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,SI,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,SK,10.1,13.6,12.5,: @C,: @C,: @C,: @C
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,TR,21.4258,24.1042,23.4541,24.2183,24.8421,24.8383,2.1899
Annual,Consumption from 1 000 000 GJ to 3 999 999 GJ - band I5,4100.0,PC,UA,:,24.6604,18.8471,15.8243,:,:,:
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,AT,:,29.5,28.2,31.5,32.7,32.7,31.8
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,BA,0.0,:,0.0,0.0,0.0,0.0,0.0
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,BE,: @C,: @C,: @C,: @C,: @C,26.9445,23.7124
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,BG,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,CZ,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,DE,:,25.0,5.43,15.11,23.04,21.7,22.0
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,EA,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,EE,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,EL,: @C,: @C,:,0.0,: @C,:,:
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,ES,:,:,13.0300 e,16.1031,12.73,38.6145,45.225
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,EU27_2020,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,FI,: @C,: @C,: @C,: @C,71.6500 e,67.2400 e,35.716
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,FR,8.6615,8.2651,8.5565,8.5783,9.7427,3.0693,3.3349
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,HR,:,:,0.0,:,0.0,0.0,0.0
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,HU,21.5032,24.5254,26.0148,28.6107,29.5257,32.1497,31.9201
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,IT,:,11.932,20.9199,22.5244,21.1534,3.8111,6.4853
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,LT,:,:,0.0,0.0,0.0,19.3029,:
