Time frequency,Sex,Income situation in relation to the risk of poverty threshold,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Estonia,:,:,31.3,28.8,19.0,13.1,14.7,26.2,29.5,32.4,29.3,30.8 b,25.8,19.3,18.4,16.1,16.2,16.9,18.7,17.1,27.8
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Greece,:,71.1,65.9,68.5,65.4,65.6,67.1,67.7,78.8,90.5,93.1,93.3,94.0,91.9,89.7,90.7,88.2,83.4,76.7,84.5,86.3
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Spain,:,16.6,16.6,25.1,26.8,32.1 b,35.2,35.2,35.8,40.0,38.3,39.6,38.1,36.4,36.5,32.9,31.8,30.6,36.2,35.8,31.7
Annual,Total,Below 60% of median equivalised income,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,34.4 e,34.2 e,34.5 e,37.2,38.0,38.1,37.7,40.1 e,39.2 e,39.1 e,37.9 e,38.0 e,37.4 e,:,:,:,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,European Union - 27 countries (2007-2013),:,:,35.9 e,36.6 e,34.4 e,34.2 e,34.5 e,37.1,38.0,38.2,37.8,40.2,39.3,39.2,38.0,38.1,37.5 e,:,:,:,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,34.8,36.0,39.8,39.2,39.9 e,39.1 e,38.7 e,37.5 e,36.1 e,35.4 e,31.5,34.1,33.1,33.5
Annual,Total,Below 60% of median equivalised income,Total,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,37.2,38.0,38.1,37.7,40.1,39.2,39.1,37.9,38.0,37.4 e,:,:,:,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Finland,:,17.5,16.1,15.9,18.3,18.8,17.1,16.4,15.3,17.2,20.4,21.2,20.4,19.5,18.2,18.1,18.2,17.4,17.8,20.4,22.4
Annual,Total,Below 60% of median equivalised income,Total,Percentage,France,:,18.0,16.1,21.8,18.3,15.6,14.9,22.1,22.2,22.2,23.1,20.9,21.5,22.3,20.2,20.3,22.8,24.6 b,:,25.2 b,27.9
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Croatia,:,:,:,:,:,:,:,48.4,31.2,28.5,34.8,30.0,31.1,29.4,26.2,24.4,23.3,20.5,21.5,19.4,19.4
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Hungary,:,:,46.2,39.8,39.0,42.5,36.0,36.7,40.6,38.8,40.7,38.4,31.5,32.9,49.4,46.4,22.4,20.5,12.8,34.2,39.9
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Ireland,26.3,7.1,9.5,8.0,12.3,12.2,17.3,23.1,27.3,28.3,21.0,26.7,18.3,18.6,19.9,14.6,22.6 b,18.1 b,9.1,15.9,20.6
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Iceland,:,42.3,43.3,42.5,38.1,31.0,34.9,43.1,53.5,50.5,44.3,41.0,45.2,32.4,40.2,33.3,50.8,:,:,:,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Italy,:,37.5,38.3,37.1,26.2,27.4,27.6,29.7,31.9,30.1,32.2,31.9,32.9,35.8,32.9,32.9,34.8,28.6,28.6,24.0,22.2
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Lithuania,:,:,30.3,25.2,20.1,20.1,20.3,38.5,38.0,33.1,28.8,27.4,32.2,29.6,26.8,22.3,19.8,11.6,12.9,14.2,20.8
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Luxembourg,21.5,26.2,21.2,27.1,23.0,20.7,19.2,24.4,23.6,23.9,25.9,30.9,27.9,29.7 b,31.8,40.5,37.7,34.3 b,16.8 b,30.6 b,41.2
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Latvia,:,:,40.6,33.4,31.7,27.1,28.5,31.9,37.9,35.9,38.2,32.5,25.9,25.2,25.6,23.0,19.4,17.4,17.4,20.4,25.9
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Montenegro,:,:,:,:,:,:,:,:,:,:,43.4,42.1,44.1,44.9,40.5,43.5,34.0,28.8,24.1,18.6,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,North Macedonia,:,:,:,:,:,:,:,:,57.4,62.2,57.4,55.4,46.3,50.2,46.1,42.5,37.4,33.4,:,:,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Malta,:,:,6.5,9.5,10.2,12.4,10.6,13.3,11.6,11.9,11.2,5.8,4.8,5.7,5.6,5.6,9.2,9.8,12.2,12.1,24.8 b
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Netherlands,:,:,56.9,55.9,60.0,46.2,43.3,43.4,42.8,46.6,48.3,51.1,51.4,42.9 b,40.9,40.6,39.6,33.3,34.1,41.2,34.5
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Norway,:,37.8,11.1,47.4,49.8,47.7,41.9,42.7,49.3,44.0,42.5,41.5,43.2,43.6,41.9,49.5,45.9,44.8,41.3 b,48.8,50.5
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Poland,:,:,46.5,35.2,33.1,32.1,28.3,30.5,35.7,36.1,33.5,32.0,30.7,29.6,30.4,28.1,26.3,23.5 b,27.9,28.9,29.1
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Portugal,:,16.7,16.6,12.9,22.0,21.4,21.5,15.9,26.4,28.8,30.9,33.7,33.5,29.1,26.0,22.3,22.8,17.3,24.0,19.4,18.8
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Romania,:,:,:,:,44.6,42.0,37.3,40.0,23.2,45.0,41.5,40.1,42.6,38.8,36.3,33.3,29.7,24.0,26.0,26.3,28.3
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Serbia,:,:,:,:,:,:,:,:,:,:,68.6,78.2,80.8,75.1,82.7,80.9,63.3,57.5,51.9,46.9,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Sweden,:,50.8,57.5,53.1,47.9,51.5 b,50.7,41.9,45.8,42.1,41.0,42.3,39.9,38.7,38.8,37.0,41.2,38.1,40.6,42.8,47.4
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Slovenia,:,:,14.7,16.3,22.2,21.1,21.7,20.6,22.5,26.0,26.3,29.4,27.7,28.3,26.7,24.0,21.9,23.1,20.9,23.1,20.6
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Slovakia,:,:,55.5,57.7,50.9,26.3,40.5,35.2,38.4,36.3,36.2,36.4,34.5,35.6,38.9,24.4,26.8,22.5,32.4,14.5,34.1
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Türkiye,:,:,:,26.4,16.9,16.5,19.2,19.0,19.4,16.9,20.4,19.8,20.5,20.4,19.3,19.7,23.3,23.9,25.5,24.4,27.9
Annual,Total,Below 60% of median equivalised income,Total,Percentage,United Kingdom,:,:,46.4,47.4,45.5,46.7,53.5,54.9,52.8,26.0 b,27.0,41.7 b,40.0,42.4,40.8 b,50.3,:,:,:,:,:
Annual,Total,Below 60% of median equivalised income,Total,Percentage,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,39.9,:,:,:,:,:
Annual,Total,Total,Total,Percentage,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.2,6.0,5.5,3.8,3.3,:,:
Annual,Total,Total,Total,Percentage,Austria,:,7.9 u,4.6,5.0,5.4,8.5 bu,8.0 u,7.5 u,7.8 u,7.0,7.2,6.6,6.4,7.2,7.1,6.8,7.0,6.3,6.1,7.4,6.0
Annual,Total,Total,Total,Percentage,Belgium,:,12.6,8.6,9.8,10.1,12.5,8.7,8.9,10.6,11.0,9.6,10.4,9.4,9.8,9.4,8.9,8.4 b,7.8,7.5,7.7,7.7
Annual,Total,Total,Total,Percentage,Bulgaria,:,:,:,15.4,21.2,13.3,7.0,5.9,8.7,14.5,14.3,12.9,14.8,20.7 b,18.9,17.9,16.0,14.4,11.6,15.1,11.1
Annual,Total,Total,Total,Percentage,Switzerland,:,:,:,:,:,:,13.2,14.1,13.1,12.1,10.6,11.7 b,11.7,12.0,12.7,12.8,14.2,13.6,14.8,13.3,14.2
Annual,Total,Total,Total,Percentage,Cyprus,:,:,6.6,3.0,1.7,1.8 b,2.4,3.1,3.1,3.3,3.3,4.0,3.9,3.1,2.8,2.0,2.3,1.9,2.5,2.5,2.6
Annual,Total,Total,Total,Percentage,Czechia,:,:,10.0,10.8,10.3,12.8,8.9,9.7,9.5,10.0,11.7,10.5,10.4,9.5,8.7,7.8,6.9,6.5,6.2,6.9,9.1
Annual,Total,Total,Total,Percentage,Germany,:,:,:,:,:,:,:,14.5,16.1,16.6,16.4,15.9,15.6,15.8,14.5,14.2,13.9,9.0 b,11.0,11.9,13.0 b
Annual,Total,Total,Total,Percentage,Denmark,:,:,13.6,16.1,13.4,17.1,24.2,21.9,18.5 b,16.7,17.9,15.6,15.1,15.1,15.7,14.7,15.6,14.1 b,15.5,14.7,15.4
Annual,Total,Total,Total,Percentage,Euro area - 19 countries  (2015-2022),:,:,9.1 e,9.7 e,8.3 e,8.2 e,8.0 e,9.6,10.7,11.1,11.3,11.4,11.3,11.0,10.2,9.8,9.8,8.0,8.7 e,:,:
Annual,Total,Total,Total,Percentage,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,11.4,11.3,10.9,10.1,9.7,9.8,8.0,9.3,8.8,8.9
Annual,Total,Total,Total,Percentage,Estonia,:,:,7.9,6.8,5.2,3.6,4.4,6.0,7.4,7.9,7.2,8.3 b,6.8,4.9,4.8,4.0,4.4,4.4,4.4,4.9,7.6
Annual,Total,Total,Total,Percentage,Greece,:,24.7,22.7,24.6,15.8,22.2,21.8,18.1,24.2,33.1,36.9,44.9,45.5,40.5,39.6,39.5,36.2,33.3,28.8,26.7,28.5
Annual,Total,Total,Total,Percentage,Spain,:,4.9,5.3,7.4,8.3,9.4 b,10.4,9.7,10.0,10.7,10.3,10.9,10.3,10.2,9.8,8.9,8.5,8.2,9.9,9.2,8.2
Annual,Total,Total,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,10.7 e,10.5 e,9.9 e,10.8,11.4,11.0,11.1,11.6 e,11.4 e,11.1 e,10.4 e,10.3 e,10.1 e,:,:,:,:
Annual,Total,Total,Total,Percentage,European Union - 27 countries (2007-2013),:,:,11.4 e,11.6 e,10.7 e,10.5 e,9.9 e,10.7,11.4,11.0,11.1,11.7,11.4,11.1,10.5,10.3,10.2 e,:,:,:,:
Annual,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,10.0,10.6,11.5,11.6,11.5 e,11.2 e,10.9 e,10.1 e,9.6 e,9.4 e,7.8,8.7,8.7,8.8
Annual,Total,Total,Total,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,10.8,11.4,11.0,11.1,11.6,11.4,11.1,10.4,10.3,10.1 e,:,:,:,:
Annual,Total,Total,Total,Percentage,Finland,:,3.8,3.5,3.7,4.7,4.7,4.4,4.2,4.4,4.5,4.9,5.1,4.9,4.4,4.3,4.3,4.0,4.1,4.3,5.4,5.5
Annual,Total,Total,Total,Percentage,France,:,5.4,5.3,6.0,5.7,4.2,4.0,5.1,5.2,5.2,5.2,5.1,5.7,5.2,5.0,4.7,5.5,5.6 b,:,6.5 b,6.5
Annual,Total,Total,Total,Percentage,Croatia,:,:,:,:,:,:,:,14.1,8.0,6.8,8.4,7.5,7.2,6.4,5.8,5.1,4.7,4.2,4.5,3.8,4.0
Annual,Total,Total,Total,Percentage,Hungary,:,:,18.1,12.3,10.9,11.6,8.9,11.3,13.0,14.7,14.3,12.8,8.5,8.8,10.7,9.6,4.2,4.9,2.4,8.1,8.7
Annual,Total,Total,Total,Percentage,Ireland,7.3,2.2,2.7,2.5,3.1,3.3,4.0,4.9,6.1,6.5,4.6,6.4,4.7,4.6,4.5,3.4,5.2 b,4.2 b,2.6,3.7,4.7
Annual,Total,Total,Total,Percentage,Iceland,:,10.3,12.5,14.3,10.5,11.4,9.5,9.6,11.3,9.0,8.8,8.1,8.2,6.3,8.4,8.9,12.6,:,:,:,:
Annual,Total,Total,Total,Percentage,Italy,:,12.2,12.6,12.2,7.5,8.3,7.8,7.7,8.7,8.1,8.9,8.5,8.6,9.6,8.2,8.2,8.7,7.2,7.2,6.6,5.7
Annual,Total,Total,Total,Percentage,Lithuania,:,:,9.0,6.9,4.8,5.0,5.6,10.6,11.1,8.9,8.2,7.1,9.1,7.8,7.2,5.6,4.8,2.7,2.7,3.5,5.2
Annual,Total,Total,Total,Percentage,Luxembourg,3.6,4.5,3.8,4.8,3.9,3.7,3.7,4.7,4.2,4.9,5.6,6.8,6.0,7.0 b,7.1,9.3,10.1,8.5 b,5.1 b,9.0 b,11.5
Annual,Total,Total,Total,Percentage,Latvia,:,:,12.8,10.6,9.9,8.7,9.3,9.8,12.5,11.2,11.4,9.6,8.1,7.0,6.9,6.7,5.4,4.8,4.9,5.4,7.2
Annual,Total,Total,Total,Percentage,Montenegro,:,:,:,:,:,:,:,:,:,:,19.8,16.9,16.8,16.5,15.1,14.7,11.7,9.4,8.0,5.8,:
Annual,Total,Total,Total,Percentage,North Macedonia,:,:,:,:,:,:,:,:,19.5,20.1,17.6,15.6,12.3,12.5,11.7,10.2,9.9,8.5,:,:,:
Annual,Total,Total,Total,Percentage,Malta,:,:,1.7,1.8,2.5,3.3,2.8,3.7,3.0,2.6,2.5,1.6,1.1,1.4,1.4,1.7,2.6,2.8,2.7,2.9,6.0 b
Annual,Total,Total,Total,Percentage,Netherlands,:,:,20.2,19.7,18.3,13.7,13.1,14.0,14.5,14.4,15.7,15.4,14.9,10.7 b,9.4,9.4,9.9,8.3,8.3,10.0,9.3
Annual,Total,Total,Total,Percentage,Norway,:,8.2,4.3,10.8,12.9,12.5,10.9,9.1,10.4,9.7,9.6,8.2,9.4,9.7,9.3,10.6,10.5,9.4,10.9 b,12.4,13.9
Annual,Total,Total,Total,Percentage,Poland,:,:,16.5,12.0,10.5,9.7,8.2,9.1,10.2,10.5,10.3,9.6,8.7,7.7,6.7,6.2,6.0,4.9 b,5.7,5.6,5.9
Annual,Total,Total,Total,Percentage,Portugal,:,4.7,4.3,4.5,7.4,7.6,6.1,4.2,7.2,8.3,8.3,9.2,9.1,7.5,6.7,5.7,5.7,4.1,5.9,5.0,4.9
Annual,Total,Total,Total,Percentage,Romania,:,:,:,:,19.7,19.1,15.4,15.8,10.5,18.4,16.9,16.2,15.9,14.4,12.3,10.3,8.6,7.1,7.5,8.5,9.1
Annual,Total,Total,Total,Percentage,Serbia,:,:,:,:,:,:,:,:,:,:,28.0,31.7,33.7,31.0,33.6,31.3,21.6,17.8,15.1,13.1,:
