Time frequency,Currency,Balance of payments item,Sector (ESA 2010),Sector (ESA 2010),Stock or flow,Geopolitical entity (partner),Seasonal adjustment,Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Ireland,-2053.0,772.0,-124.0,-878.0,-697.0,-437.0,-5570.0,-1683.0,-973.0,-12999.0,-4632.0,-288.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Iceland,-5.9,-5.9,-4.7,-5.2,-8.1,-8.6,-6.0,-4.9,-9.1,-5.6,-9.0,-2.9
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Italy,80.0,1209.0,2455.0,1924.0,4805.0,3166.0,2076.0,3954.0,6044.0,-481.0,-1337.0,479.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Lithuania,312.9,110.5,218.0,162.7,489.7,157.7,282.5,255.4,484.9,230.3,235.2,205.4
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Luxembourg,38.0,-90.0,34.0,-151.0,-56.0,-98.0,-60.0,-63.0,-60.0,-77.0,-72.0,-37.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Latvia,150.0,38.0,-33.0,72.0,191.0,146.0,145.0,95.0,368.0,89.0,198.0,119.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),North Macedonia,4.5,0.2,-0.7,-1.1,1.7,0.2,-0.5,-0.6,-0.1,0.0,0.5,-0.3
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Malta,75.6,45.3,52.9,43.6,86.5,52.4,38.9,56.5,108.0,102.8,99.4,33.5
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Netherlands,-48.0,-908.0,95109.0,4534.0,6415.0,-260.0,-848.0,-330.0,-902.0,-157.0,-650.0,-546.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Norway,-0.8,-51.6,-42.7,26.3,-205.6,-168.2,-238.9,-126.6,-170.4,-134.2,-167.3,-220.5
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Poland,-1366.4,-1141.9,631.9,1924.7,-191.6,-4618.0,1372.0,2873.4,1534.2,-1020.9,2432.6,2278.4
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Portugal,872.0,258.0,566.0,514.0,879.0,648.0,894.0,760.0,1392.0,761.0,642.0,573.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Romania,1579.1,1139.4,907.4,1798.8,2167.5,894.1,1741.6,2108.9,4120.4,993.9,548.9,937.2
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Serbia,:,:,:,:,0.0,-5.0,-10.0,27.0,-11.0,40.0,-2.0,-1.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Sweden,399.6,217.4,-45.3,178.9,178.5,81.0,138.8,-221.9,-61.3,-30.1,-6.7,-40.4
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Slovenia,10.9,-36.4,-16.1,3.3,-108.9,-85.0,44.3,69.7,-20.9,16.1,-42.7,-28.8
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Slovakia,147.3,-93.5,333.1,164.0,889.0,-164.0,297.3,187.7,1294.8,-98.8,940.8,39.0
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Türkiye,-0.5,-1.9,-9.9,-8.7,-12.2,-44.0,-33.5,-74.4,-35.2,0.6,-26.1,-75.2
Quarterly,Million euro,Capital account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Kosovo*,6.9,6.9,8.7,12.3,10.6,38.5,7.9,7.2,9.2,6.6,7.3,:
