Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Total,Females,Less than 18 years,Hungary,25.7,28.5,28.5,28.7,26.7,29.4,28.5,13.3,19.0,17.5
Annual,Percentage,Total,Females,Less than 18 years,Ireland,1.3,0.6,2.0,1.7,2.0,1.5,1.4,1.6,2.1 b,2.0 b
Annual,Percentage,Total,Females,Less than 18 years,Iceland,3.1,3.6,4.0,3.8,4.8,2.2,3.2,1.7,2.7,:
Annual,Percentage,Total,Females,Less than 18 years,Italy,11.4,12.6,12.1,13.4,14.5,10.3,7.0,6.5,5.9,7.7
Annual,Percentage,Total,Females,Less than 18 years,Lithuania,11.4 b,11.9,16.4,17.0,14.0,11.0,11.5,12.3,14.0,8.8
Annual,Percentage,Total,Females,Less than 18 years,Luxembourg,3.4,4.1,2.3,2.6,2.1,3.5 b,2.6,4.2,3.1,3.6 b
Annual,Percentage,Total,Females,Less than 18 years,Latvia,25.3,23.9,22.0,21.5,22.7,21.3,21.6,22.3,18.0,16.2
Annual,Percentage,Total,Females,Less than 18 years,Montenegro,:,:,28.1,27.6,28.8,23.0,23.0,22.4,21.5,25.0
Annual,Percentage,Total,Females,Less than 18 years,North Macedonia,18.1,15.0,14.7,14.6 b,12.4,16.2,13.5,17.4,15.0,16.5
Annual,Percentage,Total,Females,Less than 18 years,Malta,2.7,1.1,1.1,1.0,2.1,2.7,3.1,2.6,2.6,1.9
Annual,Percentage,Total,Females,Less than 18 years,Netherlands,0.3,0.4,1.3,0.8,1.3,1.9 b,1.0,1.7,2.0,1.9
Annual,Percentage,Total,Females,Less than 18 years,Norway,1.7,1.8,1.2,0.4,0.7,1.3,1.2,1.2,1.3,1.6
Annual,Percentage,Total,Females,Less than 18 years,Poland,14.9,13.5,13.3,11.3,12.4,11.6,12.7,10.2,9.7,:
Annual,Percentage,Total,Females,Less than 18 years,Portugal,5.8,7.4,8.7,8.5,7.4,7.2,6.9,6.7,6.6,6.7
