Time frequency,Unit of measure,Modalities of the variable for the ad-hoc module,Age class,Geopolitical entity (reporting)\Time,2012.0
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Bulgaria,39.8
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Switzerland,27.9
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Cyprus,27.2
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Czechia,42.0
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Germany,22.4
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Denmark,32.4
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Euro area - 19 countries  (2015-2022),28.8
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Estonia,37.9
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Greece,40.2
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Spain,19.9
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,European Union - 27 countries (from 2020),31.1
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,European Union - 28 countries (2013-2020),32.4
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Finland,32.1
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,France,36.0
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Croatia,28.2
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Hungary,32.3
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Ireland,21.8
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Iceland,10.2
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Italy,36.4
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Lithuania,32.1
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Luxembourg,31.9
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Latvia,39.1
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Malta,39.6
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Netherlands,19.9
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Norway,18.6
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Poland,38.6
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Portugal,27.6
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Romania,41.7
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Sweden,35.7
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Slovenia,41.3
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,Slovakia,33.3
Annual,Percentage,Persons receiving only an old-age pension,From 50 to 69 years,United Kingdom,41.8
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Austria,30.1
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Belgium,20.0
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Bulgaria,39.5
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Switzerland,8.6
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Cyprus,25.6
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Czechia,40.0
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Germany,9.3
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Denmark,16.5
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Euro area - 19 countries  (2015-2022),22.8
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Estonia,35.3
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Greece,39.7
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Spain,18.3
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,European Union - 27 countries (from 2020),25.5
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,European Union - 28 countries (2013-2020),23.5
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Finland,26.9
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,France,32.7
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Croatia,28.0
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Hungary,32.3
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Ireland,7.9
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Iceland,: u
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Italy,34.9
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Lithuania,32.0
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Luxembourg,24.1
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Latvia,39.0
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Malta,30.7
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Netherlands,4.6
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Norway,8.3
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Poland,38.3
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Portugal,25.5
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Romania,41.7
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Sweden,3.3
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Slovenia,41.3
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,Slovakia,32.8
Annual,Percentage,Persons receiving only statutory old-age pension,From 50 to 69 years,United Kingdom,10.0
