Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Number,Females,Total,United Kingdom,296683.0,291321.0,309497.0,303583.0,307749.0,310975.0,:,:,:,:
Annual,Number,Females,Total,Kosovo*,:,:,3564.0,3699.0,3905.0,4039.0,4325.0,:,5999.0,:
Annual,Number,Males,Total,Andorra,:,:,:,:,:,178.0,:,:,:,:
Annual,Number,Males,Total,Albania,10990.0,11111.0,11837.0,11283.0,11610.0,11667.0,11781.0,15504.0,16883.0,12921.0
Annual,Number,Males,Total,Armenia,:,14219.0,14302.0,14536.0,13841.0,13021.0,13384.0,20031.0,:,13783.0
Annual,Number,Males,Total,Austria,37958.0,37424.0,39860.0,39022.0,39902.0,40851.0,40774.0,45372.0,46010.0,46447.0
Annual,Number,Males,Total,Azerbaijan,29096.0,29655.0,29130.0,29924.0,30429.0,30643.0,29926.0,42081.0,40261.0,33157.0
Annual,Number,Males,Total,Belgium,53908.0,51579.0,53631.0,53326.0,53825.0,54092.0,53214.0,62208.0,56738.0,56896.0
Annual,Number,Males,Total,Bulgaria,54827.0,56630.0,57040.0,56122.0,56781.0,56367.0,56118.0,65950.0,77299.0,61656.0
Annual,Number,Males,Total,Belarus,63012.0,61274.0,59742.0,59315.0,59266.0,59830.0,:,:,:,:
Annual,Number,Males,Total,Switzerland,31257.0,30950.0,32646.0,31283.0,32406.0,32396.0,32755.0,37625.0,35107.0,36439.0
Annual,Number,Males,Total,Cyprus,2798.0,2839.0,3057.0,2926.0,3158.0,3033.0,3293.0,3384.0,3821.0,3792.0
Annual,Number,Males,Total,Czechia,55098.0,53740.0,55934.0,54880.0,56442.0,57273.0,57339.0,66599.0,73522.0,61404.0
Annual,Number,Males,Total,Germany,429645.0,422225.0,449512.0,448305.0,457761.0,470032.0,465885.0,492797.0,515559.0,532333.0
Annual,Number,Males,Total,Germany including former GDR,429645.0,422225.0,449512.0,448305.0,457761.0,470032.0,465885.0,492797.0,515559.0,532333.0
Annual,Number,Males,Total,Denmark,26111.0,25694.0,26283.0,26416.0,26870.0,27992.0,27455.0,27995.0,29169.0,30369.0
Annual,Number,Males,Total,Euro area - 19 countries  (2015-2022),1602850.0,1585953.0,1673079.0,1655912.0,1692705.0,1706709.0,1699468.0,1892492.0,1897249.0,1905849.0
Annual,Number,Males,Total,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,1928386.0,1933764.0
Annual,Number,Males,Total,Estonia,7232.0,7451.0,7217.0,7335.0,7325.0,7401.0,7228.0,7437.0,8785.0,8198.0
Annual,Number,Males,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2474640.0,2454768.0,2574038.0,2550919.0,2605120.0,2634257.0,:,:,:,:
Annual,Number,Males,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2499628.0,2479733.0,2600452.0,2576263.0,2630981.0,2660221.0,:,:,:,:
Annual,Number,Males,Total,European Free Trade Association,52364.0,51814.0,53532.0,52305.0,53306.0,53548.0,54020.0,58998.0,57000.0,60817.0
Annual,Number,Males,Total,Greece,57630.0,58546.0,61778.0,60538.0,63168.0,61386.0,63088.0,66185.0,73420.0,70225.0
Annual,Number,Males,Total,Spain,198553.0,200114.0,211847.0,207346.0,212526.0,214671.0,210893.0,248732.0,230277.0,232681.0
Annual,Number,Males,Total,European Union - 27 countries (2007-2013),2453533.0,2433904.0,2553152.0,2529897.0,2584284.0,2613105.0,:,:,:,:
Annual,Number,Males,Total,European Union - 27 countries (from 2020),2200259.0,2181350.0,2287791.0,2263169.0,2312146.0,2335731.0,2320444.0,2608882.0,2675851.0,2574564.0
Annual,Number,Males,Total,European Union - 28 countries (2013-2020),2478521.0,2458869.0,2579566.0,2555241.0,2610145.0,2639069.0,:,:,:,:
Annual,Number,Males,Total,Finland,25631.0,25748.0,25992.0,26922.0,26895.0,27184.0,27082.0,27965.0,29157.0,31730.0
Annual,Number,Males,Total,France,287410.0,282381.0,297028.0,297020.0,301020.0,303737.0,304940.0,335095.0,333678.0,336478.0
Annual,Number,Males,Total,Georgia,24869.0,24851.0,25198.0,26098.0,24423.0,23836.0,24019.0,26211.0,30156.0,25366.0
Annual,Number,Males,Total,Croatia,24988.0,24965.0,26414.0,25344.0,25861.0,25964.0,25352.0,28093.0,31137.0,27915.0
Annual,Number,Males,Total,Hungary,61820.0,61998.0,63475.0,62673.0,64171.0,64139.0,63018.0,68858.0,77401.0,66953.0
Annual,Number,Males,Total,Ireland,14958.0,14897.0,15228.0,15620.0,15425.0,16045.0,16122.0,16748.0,17936.0,18002.0
Annual,Number,Males,Total,Iceland,1091.0,1050.0,1064.0,1197.0,1124.0,1139.0,1157.0,1166.0,1177.0,1365.0
Annual,Number,Males,Total,Italy,290354.0,289180.0,307964.0,295775.0,309505.0,302495.0,303652.0,359418.0,340210.0,342306.0
Annual,Number,Males,Total,Liechtenstein,123.0,121.0,122.0,142.0,127.0,143.0,129.0,164.0,138.0,131.0
Annual,Number,Males,Total,Lithuania,20789.0,20110.0,20529.0,20328.0,19286.0,19024.0,18493.0,21317.0,22889.0,20457.0
Annual,Number,Males,Total,Luxembourg,1864.0,2020.0,1966.0,2040.0,2131.0,2195.0,2184.0,2375.0,2294.0,2247.0
Annual,Number,Males,Total,Latvia,13518.0,13723.0,13333.0,13522.0,13589.0,13546.0,12978.0,13470.0,16187.0,14539.0
Annual,Number,Males,Total,Moldova,19876.0,20624.0,:,20338.0,19244.0,19774.0,19300.0,21450.0,23438.0,19286 p
Annual,Number,Males,Total,Montenegro,3080.0,3132.0,3209.0,3385.0,3435.0,3353.0,3486.0,3916.0,4891.0,:
Annual,Number,Males,Total,North Macedonia,10136.0,10210.0,10562.0,10744.0,10554.0,10339.0,10616.0,13895.0,15155.0,:
Annual,Number,Males,Total,Malta,1636.0,1655.0,1732.0,1644.0,1815.0,1876.0,1869.0,2122.0,2086.0,2179.0
Annual,Number,Males,Total,Netherlands,68360.0,67121.0,71029.0,72180.0,72661.0,74522.0,74432.0,84317.0,85769.0,83749.0
Annual,Number,Males,Total,Norway,19893.0,19693.0,19700.0,19683.0,19649.0,19870.0,19979.0,20043.0,20578.0,22882.0
Annual,Number,Males,Total,Poland,201696.0,195791.0,204469.0,202150.0,207671.0,213647.0,211423.0,249744.0,268658.0,229746.0
Annual,Number,Males,Total,Portugal,54185.0,53233.0,54175.0,55626.0,55088.0,56729.0,55824.0,61370.0,62728.0,61740.0
Annual,Number,Males,Total,Romania,129209.0,133197.0,136612.0,135251.0,136725.0,138224.0,136245.0,159029.0,174898.0,143126.0
Annual,Number,Males,Total,Serbia,50910.0,51010.0,52145.0,50708.0,51756.0,50990.0,51309.0,60450.0,69908.0,54948.0
Annual,Number,Males,Total,Russia,954390.0,958675.0,:,:,:,:,:,:,:,:
Annual,Number,Males,Total,Sweden,43660.0,43382.0,44485.0,44421.0,44856.0,45416.0,44026.0,49381.0,46484.0,47502.0
Annual,Number,Males,Total,Slovenia,9555.0,9208.0,9739.0,9673.0,10136.0,10113.0,10112.0,11733.0,11841.0,11136.0
Annual,Number,Males,Total,Slovakia,26866.0,26499.0,27462.0,26764.0,27489.0,27777.0,27405.0,30428.0,37898.0,30758.0
Annual,Number,Males,Total,San Marino,:,:,:,:,125.0,:,:,:,:,:
Annual,Number,Males,Total,Türkiye,205028.0,213231.0,221946.0,231200.0,233113.0,232799.0,238044.0,285160.0,309322.0,275531.0
Annual,Number,Males,Total,Ukraine,324697.0,310671.0,291561.0,285896.0,281784.0,290533.0,287513.0,:,344116.0,:
Annual,Number,Males,Total,United Kingdom,278262.0,277519.0,291775.0,292072.0,297999.0,303338.0,:,:,:,:
Annual,Number,Males,Total,Kosovo*,:,:,4638.0,4796.0,4816.0,4959.0,5105.0,:,7020.0,:
Annual,Number,Total,Total,Andorra,:,:,:,:,:,335.0,:,:,:,:
Annual,Number,Total,Total,Albania,20442.0,20656.0,22418.0,21388.0,22232.0,21804.0,21937.0,27605.0,30507.0,23998.0
Annual,Number,Total,Total,Armenia,:,27714.0,27878.0,28226.0,27157.0,25751.0,26186.0,36170.0,:,26692.0
Annual,Number,Total,Total,Austria,79526.0,78252.0,83073.0,80669.0,83270.0,83975.0,83386.0,91599.0,91962.0,93332.0
Annual,Number,Total,Total,Azerbaijan,54383.0,55648.0,54697.0,56648.0,57109.0,57250.0,55916.0,75647.0,76878.0,60810.0
Annual,Number,Total,Total,Belgium,109334.0,104755.0,110541.0,108097.0,109666.0,110693.0,108783.0,126896.0,112331.0,116424.0
Annual,Number,Total,Total,Bulgaria,104345.0,108952.0,110117.0,107580.0,109791.0,108526.0,108083.0,124735.0,148995.0,118814.0
Annual,Number,Total,Total,Belarus,125326.0,121542.0,120026.0,119379.0,119311.0,120053.0,:,:,:,:
Annual,Number,Total,Total,Switzerland,64961.0,63938.0,67606.0,64964.0,66971.0,67088.0,67780.0,76195.0,71192.0,74425.0
Annual,Number,Total,Total,Cyprus,5141.0,5424.0,5859.0,5471.0,5996.0,5768.0,6239.0,6422.0,7202.0,7295.0
Annual,Number,Total,Total,Czechia,109160.0,105665.0,111173.0,107750.0,111443.0,112920.0,112362.0,129289.0,139891.0,120219.0
Annual,Number,Total,Total,Germany,893825.0,868356.0,925200.0,910902.0,932272.0,954874.0,939520.0,985572.0,1023687.0,1066341.0
Annual,Number,Total,Total,Germany including former GDR,893825.0,868356.0,925200.0,910902.0,932272.0,954874.0,939520.0,985572.0,1023687.0,1066341.0
Annual,Number,Total,Total,Denmark,52470.0,51340.0,52555.0,52824.0,53261.0,55232.0,53958.0,54645.0,57152.0,59435.0
Annual,Number,Total,Total,Euro area - 19 countries  (2015-2022),3251031.0,3209109.0,3412516.0,3350011.0,3443923.0,3462649.0,3438580.0,3803323.0,3785411.0,3849941.0
Annual,Number,Total,Total,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,3848123.0,3906920.0
Annual,Number,Total,Total,Estonia,15244.0,15484.0,15243.0,15392.0,15543.0,15751.0,15401.0,15811.0,18587.0,17315.0
Annual,Number,Total,Total,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",4987348.0,4933294.0,5210584.0,5121619.0,5256449.0,5298551.0,:,:,:,:
Annual,Number,Total,Total,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",5037734.0,4984133.0,5264789.0,5173161.0,5309926.0,5351257.0,:,:,:,:
Annual,Number,Total,Total,European Free Trade Association,108492.0,106624.0,110712.0,108270.0,110232.0,110456.0,111002.0,119429.0,115798.0,123171.0
Annual,Number,Total,Total,Greece,111794.0,113740.0,121183.0,118788.0,124501.0,120296.0,124965.0,131047.0,143923.0,139921.0
Annual,Number,Total,Total,Spain,388600.0,393734.0,420408.0,408231.0,422037.0,425153.0,416102.0,492447.0,449149.0,461954.0
Annual,Number,Total,Total,European Union - 27 countries (2007-2013),4943817.0,4890608.0,5167478.0,5078313.0,5213289.0,5255183.0,:,:,:,:
Annual,Number,Total,Total,European Union - 27 countries (from 2020),4419258.0,4372607.0,4620411.0,4534200.0,4661018.0,4693576.0,4653033.0,5185351.0,5297333.0,5158399.0
Annual,Number,Total,Total,European Union - 28 countries (2013-2020),4994203.0,4941447.0,5221683.0,5129855.0,5266766.0,5307889.0,:,:,:,:
Annual,Number,Total,Total,Finland,51472.0,52186.0,52492.0,53923.0,53722.0,54527.0,53949.0,55488.0,57659.0,63219.0
Annual,Number,Total,Total,France,569365.0,559435.0,593807.0,594005.0,606410.0,609747.0,613388.0,669064.0,661779.0,675271.0
Annual,Number,Total,Total,Georgia,48553.0,49087.0,49121.0,50771.0,47822.0,46524.0,46659.0,50537.0,59906.0,49118.0
Annual,Number,Total,Total,Croatia,50386.0,50839.0,54205.0,51542.0,53477.0,52706.0,51794.0,57023.0,62712.0,56979.0
Annual,Number,Total,Total,Hungary,126677.0,126294.0,131575.0,127098.0,131877.0,131247.0,129892.0,141326.0,156131.0,136823.0
Annual,Number,Total,Total,Ireland,29504.0,29252.0,30127.0,30667.0,30317.0,31140.0,30959.0,32387.0,34292.0,35000.0
Annual,Number,Total,Total,Iceland,2154.0,2049.0,2178.0,2309.0,2238.0,2254.0,2275.0,2304.0,2333.0,2693.0
Annual,Number,Total,Total,Italy,600744.0,598364.0,647571.0,615261.0,649061.0,633133.0,634417.0,740317.0,701346.0,715077.0
Annual,Number,Total,Total,Liechtenstein,246.0,268.0,252.0,271.0,249.0,274.0,263.0,319.0,271.0,279.0
Annual,Number,Total,Total,Lithuania,41511.0,40252.0,41776.0,41106.0,40142.0,39574.0,38281.0,43547.0,47746.0,42884.0
Annual,Number,Total,Total,Luxembourg,3822.0,3841.0,3983.0,3967.0,4263.0,4318.0,4283.0,4609.0,4489.0,4449.0
Annual,Number,Total,Total,Latvia,28691.0,28466.0,28478.0,28580.0,28757.0,28820.0,27719.0,28854.0,34600.0,30731.0
Annual,Number,Total,Total,Moldova,38060.0,39494.0,:,38412.0,36779.0,37263.0,36411.0,40717.0,45464.0,36157 p
Annual,Number,Total,Total,Montenegro,5917.0,6014.0,6329.0,6464.0,6523.0,6504.0,6595.0,7293.0,9152.0,:
Annual,Number,Total,Total,North Macedonia,19208.0,19718.0,20461.0,20417.0,20318.0,19727.0,20446.0,25723.0,28516.0,:
Annual,Number,Total,Total,Malta,3236.0,3270.0,3442.0,3342.0,3571.0,3688.0,3688.0,4091.0,4163.0,4230.0
Annual,Number,Total,Total,Netherlands,141245.0,139223.0,147134.0,148997.0,150214.0,153363.0,151885.0,168678.0,170972.0,170112.0
Annual,Number,Total,Total,Norway,41131.0,40369.0,40676.0,40726.0,40774.0,40840.0,40684.0,40611.0,42002.0,45774.0
Annual,Number,Total,Total,Poland,387312.0,376467.0,394921.0,388009.0,402852.0,414200.0,409709.0,477355.0,519517.0,448448.0
Annual,Number,Total,Total,Portugal,106554.0,104843.0,108539.0,110573.0,109758.0,113051.0,111793.0,123358.0,124841.0,124361.0
Annual,Number,Total,Total,Romania,247475.0,254965.0,262442.0,258404.0,262321.0,263911.0,259889.0,298258.0,335527.0,272953.0
Annual,Number,Total,Total,Serbia,100300.0,101247.0,103678.0,100834.0,103722.0,101655.0,101458.0,116850.0,136622.0,109203.0
Annual,Number,Total,Total,Russia,1871809.0,1878039.0,:,:,:,:,:,:,:,:
Annual,Number,Total,Total,Sweden,90402.0,88976.0,90907.0,90982.0,91972.0,92185.0,88766.0,98124.0,91958.0,94737.0
Annual,Number,Total,Total,Slovenia,19334.0,18886.0,19834.0,19689.0,20509.0,20485.0,20588.0,24016.0,23261.0,22492.0
Annual,Number,Total,Total,Slovakia,52089.0,51346.0,53826.0,52351.0,53914.0,54293.0,53234.0,59089.0,73461.0,59583.0
Annual,Number,Total,Total,San Marino,:,:,:,:,278.0,:,:,:,:,:
Annual,Number,Total,Total,Türkiye,372094.0,390121.0,405218.0,422135.0,425781.0,426106.0,435941.0,509048.0,566485.0,504839.0
Annual,Number,Total,Total,Ukraine,662368.0,632296.0,594796.0,583631.0,574123.0,587665.0,581114.0,:,714263.0,:
Annual,Number,Total,Total,United Kingdom,574945.0,568840.0,601272.0,595655.0,605748.0,614313.0,:,:,:,:
Annual,Number,Total,Total,Kosovo*,:,:,8202.0,8495.0,8721.0,8998.0,9430.0,:,13019.0,:
