Time frequency,Size classes in number of persons employed,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,250 persons employed or more,Hour,Estonia,4.7,7.9,14.4,5.2
Annual,250 persons employed or more,Hour,Greece,3.2,3.2,6.3,2.6
Annual,250 persons employed or more,Hour,Spain,8.4,8.5,9.7,3.4
Annual,250 persons employed or more,Hour,European Union - 27 countries (from 2020),8.1,8.0,8.4,8.4
Annual,250 persons employed or more,Hour,European Union - 28 countries (2013-2020),6.9,7.2,7.4,:
Annual,250 persons employed or more,Hour,Finland,7.0,7.0,5.9,4.4
Annual,250 persons employed or more,Hour,France,10.7,10.6,11.1,8.8
Annual,250 persons employed or more,Hour,Croatia,:,1.0,4.7,4.2
Annual,250 persons employed or more,Hour,Hungary,5.7,6.2,5.0,4.8 b
Annual,250 persons employed or more,Hour,Ireland,9.1,:,12.4,9.4
Annual,250 persons employed or more,Hour,Italy,8.3,9.4,9.4,10.7
Annual,250 persons employed or more,Hour,Lithuania,4.7,4.3,4.4,4.9
Annual,250 persons employed or more,Hour,Luxembourg,13.8,14.5,15.3,9.1
Annual,250 persons employed or more,Hour,Latvia,3.6,3.2,4.7,3.4
Annual,250 persons employed or more,Hour,North Macedonia,:,:,3.0,3.7
Annual,250 persons employed or more,Hour,Malta,10.5,15.8,14.1,6.6
Annual,250 persons employed or more,Hour,Netherlands,11.1,10.8,10.7,13.2
Annual,250 persons employed or more,Hour,Norway,7.3,9.0,8.0,10.1
Annual,250 persons employed or more,Hour,Poland,5.8,6.9,8.2,4.7
Annual,250 persons employed or more,Hour,Portugal,6.7,14.2,12.2,8.0
Annual,250 persons employed or more,Hour,Romania,4.5,6.0,6.9,5.9
Annual,250 persons employed or more,Hour,Serbia,:,:,:,3.6
Annual,250 persons employed or more,Hour,Sweden,14.0,6.4,8.2 b,7.4 b
Annual,250 persons employed or more,Hour,Slovenia,9.9,10.6,11.7,8.0
Annual,250 persons employed or more,Hour,Slovakia,10.9,9.4,8.4,7.0
Annual,250 persons employed or more,Hour,United Kingdom,3.0,3.9,4.0,:
Annual,Total,Hour,Austria,5.2,6.2,6.5,4.4
Annual,Total,Hour,Belgium,8.6,12.5,13.1,6.8
Annual,Total,Hour,Bulgaria,2.7,3.2,4.5,3.0
Annual,Total,Hour,Cyprus,3.8,5.2,3.9,3.7
Annual,Total,Hour,Czechia,8.1,5.2,6.9 b,5.3
Annual,Total,Hour,Germany,5.8,5.7,5.5,8.4
Annual,Total,Hour,Denmark,9.1,10.9,5.5,2.2
Annual,Total,Hour,Estonia,3.8,4.7,8.8,4.6
Annual,Total,Hour,Greece,2.0,1.7,3.0,1.6
Annual,Total,Hour,Spain,5.2,6.0,7.2,2.5
Annual,Total,Hour,European Union - 27 countries (from 2020),5.8,6.1,6.4,6.0
Annual,Total,Hour,European Union - 28 countries (2013-2020),5.3,5.7,6.2,:
Annual,Total,Hour,Finland,6.0,5.7,5.1,3.5
Annual,Total,Hour,France,8.0,8.0,8.3,7.3
Annual,Total,Hour,Croatia,:,1.5,4.0,3.3
Annual,Total,Hour,Hungary,3.4,3.5,3.0,3.6 b
Annual,Total,Hour,Ireland,6.8,:,11.9,7.8
Annual,Total,Hour,Italy,4.7,5.5,6.3,8.5
Annual,Total,Hour,Lithuania,2.8,4.0,3.1,3.6
Annual,Total,Hour,Luxembourg,9.3,10.9,12.2,9.2
Annual,Total,Hour,Latvia,2.3,2.1,3.1,2.4
Annual,Total,Hour,North Macedonia,:,:,2.6,2.2
Annual,Total,Hour,Malta,6.5,8.0,7.8,4.0
Annual,Total,Hour,Netherlands,8.3,9.2,9.0,10.1
Annual,Total,Hour,Norway,6.3,9.2,7.7,8.7
Annual,Total,Hour,Poland,3.7,4.0,4.8,3.1
Annual,Total,Hour,Portugal,4.3,10.3,7.9,6.0
Annual,Total,Hour,Romania,3.0,3.5,4.4,3.3
Annual,Total,Hour,Serbia,:,:,:,2.5
Annual,Total,Hour,Sweden,10.3,7.0,7.0 b,6.2 b
Annual,Total,Hour,Slovenia,8.1,9.0,8.4,6.3
Annual,Total,Hour,Slovakia,7.0,7.3,6.5,5.3
Annual,Total,Hour,United Kingdom,3.1,4.0,5.3,:
