Time frequency,Number of items,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,7 items or more,Percentage,Total,From 18 to 64 years,United Kingdom,:,:,8.4,7.8,7.1 bu,6.5,:,:,:,:,:
Annual,7 items or more,Percentage,Total,65 years or over,Albania,:,:,:,:,60.8,56.3,52.3,47.2,45.4,:,:
Annual,7 items or more,Percentage,Total,65 years or over,Austria,:,:,5.5,5.4,4.7,4.6,4.2,3.8,3.5,4.4,5.8
Annual,7 items or more,Percentage,Total,65 years or over,Belgium,:,:,9.2,8.8,8.9,7.3,7.0 b,7.8,7.1,7.4,7.0
Annual,7 items or more,Percentage,Total,65 years or over,Bulgaria,:,:,75.2,72.7 b,70.4,64.8,62.6,63.0,59.5,57.9,56.0
Annual,7 items or more,Percentage,Total,65 years or over,Switzerland,:,:,2.0,0.9,1.1,1.9,2.1,1.6,1.9,1.0,1.6
Annual,7 items or more,Percentage,Total,65 years or over,Cyprus,:,:,21.8,19.5,17.6,11.4,10.9,11.3,11.2,9.8,10.6
Annual,7 items or more,Percentage,Total,65 years or over,Czechia,:,:,17.9,14.3,14.4,12.2,10.0,9.6,9.5,8.7,11.0
Annual,7 items or more,Percentage,Total,65 years or over,Germany,:,:,6.8,6.2,5.2,4.8,4.4,7.7 b,8.7,9.9,11.0
Annual,7 items or more,Percentage,Total,65 years or over,Denmark,:,:,1.1,1.5,2.2,2.1,2.3 u,2.3,3.0,2.8,3.3
Annual,7 items or more,Percentage,Total,65 years or over,Euro area - 19 countries  (2015-2022),:,:,:,:,:,:,:,13.1,12.8,:,:
Annual,7 items or more,Percentage,Total,65 years or over,Euro area – 20 countries (from 2023),:,:,17.1,17.3,15.2,14.1,13.3,13.3,13.0,12.8,12.5
Annual,7 items or more,Percentage,Total,65 years or over,Estonia,:,:,20.8,16.1,21.9,19.3,16.5,14.5,14.1,15.7,13.4
Annual,7 items or more,Percentage,Total,65 years or over,Greece,:,:,46.2,48.0,45.0,42.0,37.5,37.8,33.7,35.8,36.4
Annual,7 items or more,Percentage,Total,65 years or over,Spain,:,:,16.3,16.2,16.5,16.5,15.5,17.7,15.9,13.8,13.1
Annual,7 items or more,Percentage,Total,65 years or over,European Union - 27 countries (from 2020),:,:,20.7,20.3,18.5,17.0,16.1,16.0,15.7,15.3,15.0
Annual,7 items or more,Percentage,Total,65 years or over,Finland,:,:,3.9,4.6 u,4.7 u,3.7,3.8,4.2,4.8,4.4,4.9
Annual,7 items or more,Percentage,Total,65 years or over,France,:,:,9.5,10.0,8.7,8.6,10.0,8.6 b,9.8,10.6 b,9.4 b
Annual,7 items or more,Percentage,Total,65 years or over,Croatia,55.0,51.7,45.3,39.0,37.5,34.3,32.0,31.6,31.2,26.1,23.4 b
Annual,7 items or more,Percentage,Total,65 years or over,Hungary,:,:,47.7,37.4,33.7,26.1,25.9,25.6,25.5,24.8,29.2
Annual,7 items or more,Percentage,Total,65 years or over,Ireland,:,:,7.0,6.5,5.3,4.6,4.1 b,5.4 b,5.3,7.2,5.4
Annual,7 items or more,Percentage,Total,65 years or over,Iceland,:,:,2.4,2.7,2.8,2.0,1.2 u,:,:,:,:
Annual,7 items or more,Percentage,Total,65 years or over,Italy,:,:,32.6,34.6,27.7,25.3,23.2,19.1,17.8,16.7,15.4
Annual,7 items or more,Percentage,Total,65 years or over,Lithuania,:,:,52.8,49.9,53.7,47.2,44.0,41.7,38.1,34.6,33.5
Annual,7 items or more,Percentage,Total,65 years or over,Luxembourg,:,:,3.4,2.9 b,1.9,2.2 u,0.8 u,1.0 b,1.4 b,0.7 b,1.6
Annual,7 items or more,Percentage,Total,65 years or over,Latvia,:,:,45.8,42.4,43.5,39.7,30.4,26.8,27.2,26.2,26.1
Annual,7 items or more,Percentage,Total,65 years or over,Montenegro,:,:,:,:,:,:,:,:,:,46.3,:
Annual,7 items or more,Percentage,Total,65 years or over,North Macedonia,:,:,68.1,67.1,60.6,56.0,57.0,52.3,:,:,:
Annual,7 items or more,Percentage,Total,65 years or over,Malta,:,:,22.0,17.5,15.2,16.6,14.0,17.1,16.0,16.0,10.3
Annual,7 items or more,Percentage,Total,65 years or over,Netherlands,:,:,3.1,3.1 bu,2.2 u,3.1,3.3,2.7,3.5,3.3,2.6
Annual,7 items or more,Percentage,Total,65 years or over,Norway,:,:,0.8,:,0.7,0.3,1.5,1.1,1.5 b,1.3,1.1
Annual,7 items or more,Percentage,Total,65 years or over,Poland,:,:,24.7,20.0,20.2,18.4,17.2,16.8,15.1,12.9,12.5
Annual,7 items or more,Percentage,Total,65 years or over,Portugal,:,:,29.3,25.9,25.1,21.2,19.3,21.1,21.0,17.4,18.3
Annual,7 items or more,Percentage,Total,65 years or over,Romania,:,:,65.3,67.7,65.8,61.4,58.9,58.3,61.8,61.1,56.6
Annual,7 items or more,Percentage,Total,65 years or over,Serbia,:,:,51.6,:,50.5,42.7,44.8,41.0,37.1,35.8,:
Annual,7 items or more,Percentage,Total,65 years or over,Sweden,:,:,1.6 b,1.3,1.5,1.0,0.9,1.1,1.7,1.7,1.7
Annual,7 items or more,Percentage,Total,65 years or over,Slovenia,:,:,15.7,14.2,13.3,12.9,10.0,9.5,7.4,6.5,7.4
Annual,7 items or more,Percentage,Total,65 years or over,Slovakia,:,:,34.1,33.3,31.0,23.7,21.2,19.0,17.6,15.8,18.9
Annual,7 items or more,Percentage,Total,65 years or over,Türkiye,:,:,1.8,2.1,40.2,36.5,36.2,36.9,38.9,36.8,33.7
Annual,7 items or more,Percentage,Total,65 years or over,United Kingdom,:,:,2.0,1.9,3.5 bu,3.7,:,:,:,:,:
Annual,7 items or more,Percentage,Total,Less than 18 years,Albania,:,:,:,:,4.7,6.5,5.3,6.0,4.9,:,:
Annual,7 items or more,Percentage,Total,Less than 18 years,Austria,:,:,0.3,0.5,0.3,0.2,0.4,0.2,0.3,0.1,0.5
Annual,7 items or more,Percentage,Total,Less than 18 years,Belgium,:,:,0.7,0.9,0.9,0.8,0.7 b,0.6,1.0,1.0,0.5
Annual,7 items or more,Percentage,Total,Less than 18 years,Bulgaria,:,:,5.5,5.9 b,5.5,3.2,3.0,2.9,3.1,2.8,3.0
Annual,7 items or more,Percentage,Total,Less than 18 years,Switzerland,:,:,0.2,0.1,0.0,0.2,0.5,0.1,0.0,0.2,0.2
Annual,7 items or more,Percentage,Total,Less than 18 years,Cyprus,:,:,0.4,0.9,0.5,0.2,0.2,0.1,0.4,0.2,0.1
Annual,7 items or more,Percentage,Total,Less than 18 years,Czechia,:,:,0.8,0.4,0.5,0.6,0.2,0.2,0.4,0.4,0.5
Annual,7 items or more,Percentage,Total,Less than 18 years,Germany,:,:,0.4,0.3,0.5,0.4,0.3,0.8 b,0.7,1.1,1.0
Annual,7 items or more,Percentage,Total,Less than 18 years,Denmark,:,:,0.2,0.4,0.4,0.4,0.1 u,0.3,0.0,0.2,0.3
Annual,7 items or more,Percentage,Total,Less than 18 years,Euro area - 19 countries  (2015-2022),:,:,:,:,:,:,:,0.8,0.9,:,:
Annual,7 items or more,Percentage,Total,Less than 18 years,Euro area – 20 countries (from 2023),:,:,0.8,0.8,0.9,0.7,0.6,0.8,0.9,0.8,0.9
Annual,7 items or more,Percentage,Total,Less than 18 years,Estonia,:,:,0.3,0.1,0.6,0.3,0.1,0.3,0.1,0.1,0.0
Annual,7 items or more,Percentage,Total,Less than 18 years,Greece,:,:,2.4,2.7,2.2,1.6,2.3,2.1,1.8,1.8,2.2
Annual,7 items or more,Percentage,Total,Less than 18 years,Spain,:,:,0.7,0.9,1.0,1.1,0.6,0.8,1.3,0.8,1.2
Annual,7 items or more,Percentage,Total,Less than 18 years,European Union - 27 countries (from 2020),:,:,1.2,1.2,1.2,0.9,0.7,0.9,1.0,1.0,1.0
Annual,7 items or more,Percentage,Total,Less than 18 years,Finland,:,:,0.0,0.0 u,0.2 u,0.1,0.1,0.1,0.0,0.0,0.1
Annual,7 items or more,Percentage,Total,Less than 18 years,France,:,:,0.7,0.7,0.9,0.7,0.6,1.0 b,1.2,1.0 b,1.0 b
Annual,7 items or more,Percentage,Total,Less than 18 years,Croatia,1.2,1.6,1.0,1.0,0.7,0.7,0.7,0.3,0.4,0.3,0.1 b
Annual,7 items or more,Percentage,Total,Less than 18 years,Hungary,:,:,4.3,4.1,2.3,3.1,2.1,1.7,1.9,1.9,2.5
Annual,7 items or more,Percentage,Total,Less than 18 years,Ireland,:,:,0.4,0.5,0.3,0.4,0.1 b,0.3 b,0.5,0.5,0.8
Annual,7 items or more,Percentage,Total,Less than 18 years,Iceland,:,:,0.2,0.0,0.0,0.0,0.0 u,:,:,:,:
Annual,7 items or more,Percentage,Total,Less than 18 years,Italy,:,:,1.4,1.5,1.4,0.7,0.6,0.7,0.7,0.6,0.8
Annual,7 items or more,Percentage,Total,Less than 18 years,Lithuania,:,:,3.0,2.2,1.9,2.8,0.9,1.8,1.9,0.9,1.0
Annual,7 items or more,Percentage,Total,Less than 18 years,Luxembourg,:,:,0.4,0.0 b,0.2,0.1 u,0.3 u,0.2 b,0.4 b,0.2 b,0.1
Annual,7 items or more,Percentage,Total,Less than 18 years,Latvia,:,:,2.0,1.7,1.5,1.1,0.8,1.1,0.9,0.9,0.9
Annual,7 items or more,Percentage,Total,Less than 18 years,Montenegro,:,:,:,:,:,:,:,:,:,3.3,:
Annual,7 items or more,Percentage,Total,Less than 18 years,North Macedonia,:,:,3.6,3.9,3.0,3.2,3.4,3.0,:,:,:
Annual,7 items or more,Percentage,Total,Less than 18 years,Malta,:,:,1.6,0.7,0.4,0.7,0.6,1.0,0.7,0.5,1.1
Annual,7 items or more,Percentage,Total,Less than 18 years,Netherlands,:,:,0.1,0.1 bu,0.2 u,0.1,0.1,0.0,0.0,0.0,0.1
Annual,7 items or more,Percentage,Total,Less than 18 years,Norway,:,:,0.0,:,0.0,0.0,0.0,0.0,0.0 b,0.1,0.0
Annual,7 items or more,Percentage,Total,Less than 18 years,Poland,:,:,1.3,0.8,0.6,0.6,0.4,0.4,0.3,0.1,0.4
Annual,7 items or more,Percentage,Total,Less than 18 years,Portugal,:,:,1.2,1.3,1.3,1.1,0.7,0.8,0.5,0.3,0.5
Annual,7 items or more,Percentage,Total,Less than 18 years,Romania,:,:,5.3,6.9,6.3,3.9,4.1,4.2,4.9,5.0,3.3
Annual,7 items or more,Percentage,Total,Less than 18 years,Serbia,:,:,2.7,:,2.7,1.6,1.3,1.7,1.6,2.3,:
Annual,7 items or more,Percentage,Total,Less than 18 years,Sweden,:,:,0.0 b,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0
Annual,7 items or more,Percentage,Total,Less than 18 years,Slovenia,:,:,0.5,0.4,0.2,0.1,0.2,0.2,0.2,0.1,0.2
Annual,7 items or more,Percentage,Total,Less than 18 years,Slovakia,:,:,2.1,1.6,1.9,1.5,1.7,1.0,1.0,2.3,2.8
Annual,7 items or more,Percentage,Total,Less than 18 years,Türkiye,:,:,5.4,6.1,8.4,8.1,8.0,7.3,8.3,6.7,6.5
Annual,7 items or more,Percentage,Total,Less than 18 years,United Kingdom,:,:,1.2,1.1,0.8 bu,0.6,:,:,:,:,:
