Time frequency,Unit of measure,Vehicles,Motor energy,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Italy,:,:,:,:,:,:,:,:,:,:,:,:,443.0,390.0,242.0,246.0,206.0,123.0
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Liechtenstein,:,:,:,:,:,:,19.0,:,0.0,0.0,:,6.0,3.0,1.0,3.0,0.0,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Lithuania,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Luxembourg,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,4.0,0.0,6.0,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Latvia,:,:,:,:,:,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Malta,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Norway,:,:,:,:,:,:,:,:,:,: m,: m,:,0.0,:,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Poland,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,:,: m,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Sweden,:,:,:,:,0.0,0.0,34.0,1.0,0.0,46.0,112.0,142.0,92.0,102.0,195.0,:,342.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,: m,:,:,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Natural gas,United Kingdom,:,:,:,:,:,:,:,0.0,1.0,1.0,3.0,:,:,:,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Austria,:,:,:,:,:,:,15.0,31.0,19.0,25.0,38.0,31.0,38.0,27.0,79.0,43.0,29.0,1.0
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Belgium,:,:,:,:,:,:,:,:,:,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Switzerland,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,:,0.0,0 e,0 n
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Cyprus,:,:,:,:,:,:,:,:,:,: m,: m,: m,0.0,:,0.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Germany,:,:,:,:,:,:,:,:,:,:,:,:,2.0,5.0,2.0,3.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Estonia,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Finland,:,0.0,0.0,0.0,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),France,:,:,:,8.0,73.0,28.0,25.0,1.0,6.0,5.0,7.0,1.0,36.0,0.0,2.0,:,:,1.0
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Croatia,:,:,:,:,:,:,:,:,0.0,0.0,0.0,:,: m,: m,: m,: m,: m,: m
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Hungary,:,:,:,0.0,1.0,:,:,4.0,:,12.0,4.0,5.0,8.0,8.0,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Ireland,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Iceland,:,:,:,:,:,:,:,:,:,0 e,0 e,:,:,:,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Italy,:,:,:,:,:,:,:,:,:,:,:,:,45.0,1.0,1.0,1.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Liechtenstein,:,:,:,:,:,:,:,:,0.0,0.0,:,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Lithuania,0.0,40.0,30.0,10.0,15.0,:,:,2.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Luxembourg,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Latvia,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Malta,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Norway,:,:,:,:,:,:,:,:,:,: m,16.0,31.0,0.0,35.0,2.0,75.0,240.0,78.0
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Poland,:,:,:,:,:,:,:,:,4.0,: m,5.0,4.0,1.0,8.0,: m,5.0,5.0,10.0
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,14.0,12.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Sweden,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Slovenia,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,:,:,:,: m,:,:,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),Türkiye,:,:,:,:,:,:,:,:,:,:,:,46.0,11.0,105.0,520.0,181.0,1.0,166.0
Annual,Number,"Buses, motor coaches, and trolley buses",Liquefied petroleum gases (LPG),United Kingdom,:,:,:,:,:,:,:,14.0,30.0,13.0,2.0,:,:,:,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Austria,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Belgium,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,1.0,1.0,7.0,22.0,16.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Switzerland,:,:,:,:,:,:,:,:,:,15.0,139.0,100.0,0.0,100.0,0 e,50.0,0 e,0 n
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,: m,: m,: m,0.0,:,0.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Germany,:,:,:,:,:,:,:,:,:,152.0,:,11.0,5.0,12.0,7.0,45.0,102.0,44.0
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Estonia,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Finland,:,2.0,2.0,13.0,12.0,3.0,:,1.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Annual,Number,"Buses, motor coaches, and trolley buses",Other,France,:,:,:,:,:,:,:,:,:,: m,: m,17.0,3.0,0.0,19.0,:,:,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Croatia,:,:,:,:,:,:,:,:,0.0,0.0,0.0,:,: m,: m,: m,: m,: m,: m
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Hungary,0.0,0.0,2.0,1.0,25.0,:,:,4.0,:,2.0,0.0,0.0,0.0,0.0,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Iceland,:,:,:,:,:,:,:,:,3.0,0 e,0 e,:,:,:,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Italy,:,:,:,:,:,:,:,:,:,:,:,:,19.0,15.0,107.0,60.0,16.0,33.0
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Liechtenstein,:,:,:,:,:,:,:,:,0.0,0.0,:,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Lithuania,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,44.0,0.0,21.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Luxembourg,:,:,:,:,:,:,:,6.0,8.0,0.0,8.0,0.0,0.0,0.0,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Malta,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,0.0,0.0,0.0,23.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Norway,:,:,:,:,:,:,:,:,:,: m,0.0,0.0,0.0,21.0,1.0,4.0,16.0,19.0
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Poland,:,:,:,:,:,:,:,:,179.0,121.0,14.0,36.0,57.0,10.0,19.0,22.0,30.0,47.0
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.0,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Sweden,:,:,:,:,114.0,64.0,29.0,35.0,42.0,78.0,1.0,144.0,36.0,43.0,67.0,:,258.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Slovenia,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,:,:,:,: m,:,:,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Other,Türkiye,:,:,:,:,:,:,:,:,:,11.0,:,:,:,:,:,:,1.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Other,United Kingdom,:,:,:,:,:,:,:,13.0,12.0,3.0,1.0,:,:,:,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Austria,:,:,:,:,:,11.0,24.0,41.0,30.0,25.0,46.0,33.0,65.0,70.0,105.0,101.0,36.0,38.0
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Belgium,:,:,:,:,:,:,:,5.0,1.0,0.0,0.0,1.0,2.0,1.0,7.0,22.0,16.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Switzerland,49.0,12.0,2.0,:,:,:,:,:,:,15.0,141.0,100.0,0.0,100.0,0 e,50.0,0 e,200 n
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,: m,: m,: m,0.0,1.0,0.0,0.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Germany,118.0,85.0,91.0,119.0,73.0,204.0,183.0,235.0,129.0,155.0,:,210.0,149.0,161.0,91.0,96.0,154.0,112.0
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Estonia,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Spain,:,:,:,:,:,:,:,:,:,:,:,27.0,232.0,58.0,74.0,167.0,280.0,186.0
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Finland,0.0,2.0,2.0,13.0,12.0,3.0,:,32.0,2.0,1.0,3.0,9.0,13.0,4.0,12.0,0.0,0.0,6.0
Annual,Number,"Buses, motor coaches, and trolley buses",Total,France,1.0,3.0,3.0,109.0,244.0,295.0,295.0,270.0,413.0,167.0,155.0,306.0,208.0,114.0,150.0,:,:,114.0
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Croatia,: m,: m,: m,:,:,:,:,:,0.0,0.0,0.0,0.0,: m,: m,61.0,: m,1.0,: m
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Hungary,:,0.0,2.0,1.0,26.0,:,:,8.0,:,14.0,4.0,5.0,8.0,8.0,:,7.0,1.0,2.0
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,0.0,:,:,:,0.0,1.0
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Iceland,:,:,:,:,:,:,:,:,:,0 e,2 e,:,:,:,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Italy,:,:,:,:,:,:,:,:,:,:,:,:,507.0,406.0,350.0,307.0,222.0,156.0
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Liechtenstein,:,:,:,:,:,:,19.0,:,0.0,0.0,:,6.0,3.0,1.0,3.0,0.0,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Lithuania,:,:,:,:,:,:,:,2.0,:,15.0,37.0,37.0,28.0,5.0,48.0,14.0,29.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Luxembourg,:,:,:,:,:,:,:,6.0,11.0,0.0,8.0,4.0,0.0,6.0,:,:,:,:
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Latvia,:,1.0,1.0,35.0,4.0,12.0,13.0,0.0,0.0,0.0,30.0,3.0,29.0,62.0,76.0,76.0,0.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Malta,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,0.0,0.0,0.0,23.0,0.0
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Norway,:,:,:,:,:,:,:,:,:,0.0,16.0,31.0,0.0,57.0,3.0,79.0,256.0,97.0
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Poland,:,:,:,67.0,113.0,107.0,301.0,:,183.0,134.0,27.0,50.0,62.0,18.0,20.0,43.0,42.0,57.0
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.0,14.0,12.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Sweden,:,:,:,:,114.0,69.0,63.0,36.0,48.0,124.0,113.0,286.0,128.0,145.0,262.0,:,600.0,:
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Slovenia,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,:,:,: m,: m,: m,: m,: m,: m,20.0,: m
Annual,Number,"Buses, motor coaches, and trolley buses",Total,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,520.0,181.0,2.0,166.0
Annual,Number,"Buses, motor coaches, and trolley buses",Total,United Kingdom,5.0,7.0,24.0,16.0,37.0,:,:,0.0,:,19.0,12.0,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Electricity,Austria,13.0,20.0,18.0,12.0,3.0,3.0,5.0,1.0,:,1.0,:,0.0,0.0,2.0,39.0,112.0,631.0,427.0
Annual,Number,Passenger cars,Electricity,Belgium,:,:,:,:,:,:,:,:,:,265.0,0.0,0.0,0.0,0.0,0.0,47.0,264.0,:
Annual,Number,Passenger cars,Electricity,Switzerland,61.0,90.0,61.0,57.0,71.0,64.0,16.0,75.0,18.0,20.0,13.0,0.0,0.0,0.0,0 e,200.0,500.0,900 n
Annual,Number,Passenger cars,Electricity,Cyprus,0.0,0.0,0.0,:,:,:,:,:,:,: m,: m,: m,2.0,379.0,206.0,195.0,267.0,177.0
Annual,Number,Passenger cars,Electricity,Germany,208.0,272.0,263.0,210.0,121.0,109.0,47.0,19.0,28.0,61.0,47.0,19.0,8.0,36.0,162.0,541.0,2154.0,2956.0
Annual,Number,Passenger cars,Electricity,Estonia,:,:,:,:,:,:,:,:,:,0.0,:,0.0,0.0,1.0,0.0,1.0,56.0,512.0
Annual,Number,Passenger cars,Electricity,Greece,:,:,5.0,1.0,15.0,15.0,2.0,0.0,0.0,:,:,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Electricity,Finland,:,2.0,0.0,0.0,3.0,:,:,:,:,0.0,:,0.0,0.0,5.0,1.0,15.0,30.0,51.0
Annual,Number,Passenger cars,Electricity,France,132.0,490.0,299.0,505.0,529.0,241.0,407.0,310.0,113.0,460.0,:,14.0,6.0,4.0,12.0,:,:,5661.0
Annual,Number,Passenger cars,Electricity,Croatia,:,:,:,:,:,:,:,:,:,4.0,3.0,:,41.0,48.0,29.0,23.0,45.0,63.0
Annual,Number,Passenger cars,Electricity,Hungary,11.0,0.0,0.0,:,1.0,0.0,0.0,0.0,:,0.0,:,:,:,:,:,13.0,12.0,17.0
Annual,Number,Passenger cars,Electricity,Ireland,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,68.0,137.0
Annual,Number,Passenger cars,Electricity,Iceland,0.0,0.0,:,4.0,:,2.0,:,:,:,0 e,: m,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Electricity,Liechtenstein,:,:,:,:,:,:,0.0,:,0.0,0.0,:,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Number,Passenger cars,Electricity,Lithuania,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,:
Annual,Number,Passenger cars,Electricity,Luxembourg,:,:,:,:,:,:,:,: m,: m,: m,: m,0.0,0.0,1.0,0.0,:,:,:
Annual,Number,Passenger cars,Electricity,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Annual,Number,Passenger cars,Electricity,Malta,:,:,:,10.0,:,1.0,3.0,5.0,:,:,:,:,:,4.0,2.0,3.0,2.0,8.0
Annual,Number,Passenger cars,Electricity,Norway,:,:,:,:,:,:,:,:,:,127.0,:,210.0,100.0,275.0,180.0,406.0,2029.0,4259.0
Annual,Number,Passenger cars,Electricity,Poland,1940.0,2632.0,5479.0,5653.0,14554.0,16546.0,24309.0,:,:,: m,: m,: m,: m,:,: m,:,:,:
Annual,Number,Passenger cars,Electricity,Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.0,187.0,270.0,405.0
Annual,Number,Passenger cars,Electricity,Sweden,:,:,:,:,15.0,15.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,28.0,:,185.0,:
Annual,Number,Passenger cars,Electricity,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Electricity,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,186.0
Annual,Number,Passenger cars,Electricity,United Kingdom,:,:,27.0,41.0,:,55.0,77.0,62.0,39.0,90.0,:,:,: @C,220.0,181.0,255.0,1204.0,:
Annual,Number,Passenger cars,Natural gas,Austria,:,:,:,:,:,:,:,:,:,0.0,:,54.0,161.0,526.0,270.0,171.0,262.0,274.0
Annual,Number,Passenger cars,Natural gas,Belgium,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,Passenger cars,Natural gas,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0 e,200 n
Annual,Number,Passenger cars,Natural gas,Cyprus,0.0,0.0,0.0,:,:,:,:,:,:,: m,: m,: m,0.0,:,0.0,0.0,0.0,0.0
Annual,Number,Passenger cars,Natural gas,Germany,:,:,:,:,:,:,:,:,:,:,8053 b,11555.0,11208.0,11896.0,10062.0,4982.0,6283.0,5215.0
Annual,Number,Passenger cars,Natural gas,Estonia,:,:,:,:,:,:,:,:,:,0.0,:,0.0,0.0,0.0,4.0,2.0,5.0,6.0
Annual,Number,Passenger cars,Natural gas,Greece,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Natural gas,Finland,:,:,:,0.0,:,:,:,:,:,0.0,:,3.0,14.0,26.0,22.0,10.0,6.0,18.0
