Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Netherlands,:,:,:,:,:,:,:,:,:,40814.0,39319.0,51785.0,32292.0,29468.0,21319.0,39524.0,46372.0,41784.0,54636.0,44682.0,14545.0,51824.0,58893.0,61053.0,54709.0,44472.0,89669.0,170888.0,102863.0
Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Poland,:,:,:,:,:,:,:,:,:,-49578.0,-25513.0,-39503.0,-66031.0,-75095.0,-34348.0,-50067.0,-51060.0,-26747.0,-4032.0,-18215.0,23308.0,-1703.0,-1014.0,-8238.0,31961.0,98011.0,-15289.0,-63752.0,65898.0
Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Portugal,:,-2345.0,-3742.0,-6045.0,-8041.0,-12108.0,-12104.0,-9258.0,-6483.0,-9499.0,-12942.0,-15083.0,-14877.0,-19323.0,-16108.0,-15936.0,-8114.0,1010.0,5453.0,2936.0,3211.0,4437.0,4645.0,3645.0,3660.0,725.0,2192.0,-2511.0,5030.0
Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Romania,:,:,:,:,-2234.0,-3038.0,-6312.0,-4873.0,-11095.0,-18614.0,-22925.0,-36356.0,-55316.0,-59639.0,-22198.0,-26747.0,-24509.0,-20521.0,2982.0,10637.0,14018.0,-8954.0,-16577.0,-31558.0,-39490.0,-33958.0,-64392.0,-102688.0,-62448.0
Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Sweden,55594.0,54283.0,72123.0,76364.0,62745.0,90474.0,115399.0,114526.0,157601.0,168554.0,178180.0,234274.0,266417.0,260313.0,194327.0,204954.0,195470.0,199728.0,156452.0,125694.0,102792.0,81070.0,93564.0,108335.0,279015.0,295412.0,366727.0,280983.0,432331.0
Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Slovenia,-79.0,10.0,23.0,-132.0,-691.0,-607.0,3.0,52.0,-380.0,-843.0,-638.0,-711.0,-1502.0,-2049.0,-361.6,-201.1,-376.6,537.5,1423.2,2046.8,1982.4,1781.0,2561.9,2750.8,2895.1,3344.6,2122.4,-795.0,2866.3
Annual,Million units of national currency,Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Slovakia,:,:,:,:,:,:,:,:,:,-3369.5,-4189.3,-4338.9,-2842.5,-3506.7,-1719.8,-2149.8,-2611.6,2098.2,3246.1,2044.3,716.4,186.9,-1430.0,-615.4,-2663.3,272.1,-3846.5,-9296.1,-454.9
Annual,Percentage of gross domestic product (GDP),Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Extra-euro area - 20 countries (from 2023),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.1,2.4,2.9,3.3,3.2,2.7,2.2,1.8,3.0,1.1,2.0
Annual,Percentage of gross domestic product (GDP),Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Extra-EU27 (from 2020),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),European Union - 27 countries (from 2020),:,:,:,:,0.1,-0.5,-0.5,0.0,0.0,0.5,-0.1,-0.4,-0.4,-1.5,0.2,0.5,0.5,1.5,2.4,2.3,2.7,3.1,2.8,2.4,2.1,2.1,2.7,0.8,1.8
Annual,Percentage of gross domestic product (GDP),Current plus capital account (balance = net lending (+) / net borrowing (-)),Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Austria,-2.9,-2.8,-2.5,-2.0,-2.4,-0.9,-1.0,1.9,1.5,2.0,2.3,3.0,3.8,4.5,2.6,2.9,1.5,1.4,1.7,2.3,1.5,2.5,1.2,0.3,2.4,3.3,1.8,-0.9,1.8
