Time frequency,Unit of measure,Age class,Sex,Country of citizenship,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Hungary,:,:,:,:,:,:,5.3 u,7.6 u,14.3 u,5.3 u,12.7,7.8 u,10.1 u,5.7 u,31.4 u,28.2 u,5.2 u,: u,20.6 u,15.5 u,11.5 u
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Ireland,:,:,:,:,:,:,8.1,13.0,9.9,12.4,12.2,12.0,14.0,10.5,11.9,10.0,16.0 b,13.1,10.6,7.1,12.9
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Iceland,:,:,:,:,:,:,23.4,20.5,16.1,10.8,14.3,11.3,17.5,21.9,12.6,12.6,9.5,:,:,:,:
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Italy,:,:,:,:,:,:,20.9,30.6,39.5,30.4,32.6,33.6,31.2,34.0,28.9,32.0,24.7,28.0,31.7,34.2,29.8
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Lithuania,:,:,:,:,:,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Luxembourg,:,:,:,:,:,:,17.3,16.9,15.1,18.4,18.7,19.4,18.6,18.4,18.0,20.1,19.3,20.0 b,20.0 b,17.5,23.3
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Latvia,:,:,:,:,:,:,40.7 u,29.9 u,29.3 u,21.3 u,13.0 u,9.1 u,31.3 u,30.6 u,10.8 u,24.3 u,31.6 u,29.6 u,8.8 u,17.0 u,13.3 u
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11.8 u,9.9 u,6.9 u,18.3 u,16.6 u,:
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,North Macedonia,:,:,:,:,:,:,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,:,:
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Malta,:,:,:,:,:,:,18.3 u,21.2 u,13.8,21.3,13.6,14.6,16.7,14.6,26.7,18.5,21.6,14.0,15.9,23.1,15.1
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Netherlands,:,:,:,:,:,:,8.5,15.1,27.0,10.4,11.4,11.7,14.3,16.8,17.5,19.6,15.0,21.2,15.1,13.8,20.2
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Norway,:,:,:,:,:,:,11.5,9.9,16.6,16.6,17.8,14.6,13.4,14.6,14.0,16.1,15.0,12.4,14.4 b,11.4,9.2 b
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Poland,:,:,:,:,:,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,13.6 u,6.1 u
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Portugal,:,:,:,:,:,:,20.9 u,16.2 u,21.6,17.7,21.3 u,23.3 u,13.1,20.9,7.1,7.9,9.8,5.4,30.8 b,16.3,14.2
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Romania,:,:,:,:,:,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,: u,: u
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Serbia,:,:,:,:,:,:,:,:,:,:,:,31.4,18.0,20.4,16.8,17.5,13.4,11.7 u,51.9 u,24.8 u,:
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Sweden,:,:,:,:,:,:,28.6,30.7,24.8,29.7,30.6,27.5,29.3,26.4,29.8,25.6,31.4,22.4,21.7,19.8,20.6
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Slovenia,:,:,:,:,:,:,13.0,11.1,18.3,29.6,38.6,32.7,28.1,31.3,25.0,17.9,18.3,26.7,19.5,28.3,32.5
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Slovakia,:,:,:,:,:,:,2.5 u,17.7 u,12.8 u,20.8 u,6.8 u,14.4 u,23.0 u,14.0 u,14.1 u,: u,24.1 u,16.9 u,11.6 u,17.7 u,8.2 u
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Türkiye,:,:,:,:,:,:,: u,0.0 u,: u,2.7 u,: u,4.5 u,1.7 u,0.0 u,: u,: u,: u,: u,: u,3.3 u,5.4 u
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,United Kingdom,:,:,:,:,:,:,18.8,11.9,17.3,15.3,15.8,19.6,19.1,13.2,20.1 u,16.3 u,:,:,:,:,:
Annual,Percentage,18 years or over,Total,EU27 countries (from 2020) except reporting country,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.8 u,:,:,:,:,:
Annual,Percentage,18 years or over,Total,Reporting country,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,21.9,21.6,21.2,20.1,20.3,:,:
Annual,Percentage,18 years or over,Total,Reporting country,Austria,11.6,11.2,10.8,10.9,10.2,12.2 b,11.8,11.5,11.7,11.6,11.1,10.3,10.0,9.7,10.0,10.4,10.2,9.7,10.4,10.2,10.0
Annual,Percentage,18 years or over,Total,Reporting country,Belgium,13.7,12.8,12.7,13.4,13.2,12.8,12.1,11.9,12.3,12.7,12.3,11.7,11.7,13.0,13.2,13.3,11.8 b,11.7,10.4,11.4,10.1
Annual,Percentage,18 years or over,Total,Reporting country,Bulgaria,:,:,:,17.4,20.4,20.4,21.2,19.4,21.0,20.0,19.4,19.5,21.3,21.0 b,22.1,20.9,21.6,22.9,21.6,22.2,19.2
Annual,Percentage,18 years or over,Total,Reporting country,Switzerland,:,:,:,:,12.7,13.1,13.6,13.7,13.4,14.3,13.9,12.6 b,13.5,12.8,13.6,12.0,13.5,12.6,12.8,14.2,14.2
Annual,Percentage,18 years or over,Total,Reporting country,Cyprus,:,:,16.5,16.0,15.6,15.3 b,15.2,14.1,13.4,12.1,12.7,12.6,13.3,13.7,13.4,12.9,11.9,11.1,10.8,11.3,11.1
Annual,Percentage,18 years or over,Total,Reporting country,Czechia,:,:,8.4,8.2,7.9,8.0,7.5,7.8,8.5,8.6,8.0,8.6,8.6,8.6,8.5,9.2,9.9,9.2,7.7,9.4,8.8
Annual,Percentage,18 years or over,Total,Reporting country,Germany,:,:,11.9,12.3,15.2,14.9,15.5,15.0,15.8,16.2,16.3,16.8,16.8,16.4,16.0,16.2,15.4,14.6 b,14.2,12.7,12.3
Annual,Percentage,18 years or over,Total,Reporting country,Denmark,11.7,10.8,11.8,11.7,11.7,12.0,13.3,13.2,11.9 b,11.7,12.0,12.3,11.7,12.0,12.1,12.3,12.4,11.2 b,12.0,12.3,11.2
Annual,Percentage,18 years or over,Total,Reporting country,Euro area - 19 countries  (2015-2022),:,:,14.3,14.4,14.9,14.5,14.4,14.2,14.9,15.0,14.9,15.3,15.4,15.4,15.1,15.1,14.7,14.5,14.7,:,:
Annual,Percentage,18 years or over,Total,Reporting country,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,15.3,15.4,15.4,15.1,15.2,14.8,14.5,14.7,14.4,14.0
Annual,Percentage,18 years or over,Total,Reporting country,Estonia,:,18.0,16.5,17.1,18.8,19.2,18.4,14.5,15.5,16.0,17.6,20.4 b,20.6,20.5,20.0,21.9,21.0,21.0,20.6,23.5,22.1
Annual,Percentage,18 years or over,Total,Reporting country,Greece,20.3,19.4,19.1,19.7,18.9,18.7,17.9,17.8,19.7,21.0,19.3,19.5,18.5,18.7,17.8,16.0,16.0,16.0,17.9,17.3,17.6
Annual,Percentage,18 years or over,Total,Reporting country,Spain,:,20.8,18.5,18.2,17.4,15.5 b,16.2,16.4,16.6,16.3,16.2,18.1,18.4,18.4,17.8,17.9,16.4,16.9,16.9,16.0,15.9
Annual,Percentage,18 years or over,Total,Reporting country,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,15.3 e,15.0 e,14.8 e,14.7 e,15.2 e,15.2 e,15.0 e,15.4 e,15.6 e,15.6 e,15.3 e,15.5 e,15.3 e,:,:,:,:
Annual,Percentage,18 years or over,Total,Reporting country,European Union - 27 countries (2007-2013),:,:,15.2 e,15.2 e,15.3,15.0,14.8,14.6,15.1,15.1,15.0,15.4,15.6,15.5,15.3 e,15.5 e,15.3 e,:,:,:,:
Annual,Percentage,18 years or over,Total,Reporting country,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,14.5 e,15.2 e,15.2 e,15.1 e,15.4 e,15.6 e,15.6 e,15.2 e,15.3 e,15.1 e,14.9,14.8,14.5,14.1
Annual,Percentage,18 years or over,Total,Reporting country,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,14.7,15.2,15.2,15.0,15.4,15.6,15.6,15.3 e,15.5 e,15.3 e,:,:,:,:
Annual,Percentage,18 years or over,Total,Reporting country,Finland,:,11.0,11.8,13.0,13.2,13.6,13.9,13.2,13.7,13.4,12.2,13.0,12.6,11.9,11.5,12.0,11.7,12.0,11.0,13.1,12.4
Annual,Percentage,18 years or over,Total,Reporting country,France,:,11.8,11.4,11.6,11.3,10.4 b,10.5,10.6,11.5,11.6,11.3,11.0,11.1,10.7,10.3,10.3,10.6,10.8 b,11.6,12.1 b,12.0
Annual,Percentage,18 years or over,Total,Reporting country,Croatia,:,:,:,:,:,:,:,20.7,20.8,19.6,18.9,19.0,19.7,19.3,19.5,19.0,18.5,18.6,19.6,18.5,19.9 b
Annual,Percentage,18 years or over,Total,Reporting country,Hungary,:,:,11.9,13.5,10.5,10.6,10.5,10.4,12.0,12.5,13.1,12.9,13.2,13.1,12.8,11.7,11.9,12.3,12.5,12.1,12.0
Annual,Percentage,18 years or over,Total,Reporting country,Ireland,20.1,20.0,18.3,16.7,16.0,14.5,13.7,13.7,14.8,15.3,14.6,15.4,15.0,15.8,14.8,14.6,11.3 b,11.5 b,12.2,13.0,10.6
Annual,Percentage,18 years or over,Total,Reporting country,Iceland,:,9.2,9.5,8.7,9.3,9.5,9.8,8.4,8.2,6.9,7.9,6.9,8.1,7.6,9.1,7.4,7.8,:,:,:,:
Annual,Percentage,18 years or over,Total,Reporting country,Italy,:,17.4,17.9,17.8,17.9,17.4,16.5,16.3,17.4,17.2,17.0,16.9,17.2,17.8,17.4,17.7,18.1,17.8,17.5,17.8,16.5
Annual,Percentage,18 years or over,Total,Reporting country,Lithuania,:,:,18.8,18.7,18.4,20.4,19.7,19.6,17.9,18.1,19.1,18.2,20.7,21.0,22.3,22.7,20.0,21.1,20.6,21.5,21.3
Annual,Percentage,18 years or over,Total,Reporting country,Luxembourg,7.1,5.8,6.0,7.5,7.1,6.1,8.0,7.4,6.3,6.8,8.6,8.7,7.8,8.5 b,10.4,10.1,10.8,10.4 b,10.1 b,11.2 b,11.6
Annual,Percentage,18 years or over,Total,Reporting country,Latvia,:,:,18.9,22.7,20.8,25.2,25.8,19.2,17.2,17.7,18.1,19.5,21.5,21.2,21.6,23.3,23.6,22.0,23.2,22.9,22.5
Annual,Percentage,18 years or over,Total,Reporting country,Montenegro,:,:,:,:,:,:,:,:,:,:,21.0,21.2,21.7,21.6,20.7,20.0,20.6,19.1,18.1,17.6,:
Annual,Percentage,18 years or over,Total,Reporting country,North Macedonia,:,:,:,:,:,:,:,25.7,25.1,24.8,22.5,20.3,19.7,20.1,20.1,19.9,20.0,19.7,:,:,:
Annual,Percentage,18 years or over,Total,Reporting country,Malta,:,:,13.3,13.2,13.7,13.8,13.3,13.8,13.7,13.2,13.5,13.6,14.8,15.4,15.4,15.6,15.9,15.9,15.9,15.7,12.8
Annual,Percentage,18 years or over,Total,Reporting country,Netherlands,:,:,9.1,8.4,8.8,9.3,9.5,8.9,9.1,8.9,9.5,10.8,10.5,11.4 b,12.4,12.7,12.5,12.4,13.8,14.1,11.7
Annual,Percentage,18 years or over,Total,Reporting country,Norway,11.1,11.0,11.0,11.7,11.2,10.9,10.6,10.5,10.0,9.6,10.1,10.6,11.6,11.2,11.1,11.7,11.2,11.5,10.9 b,11.0,10.7 b
Annual,Percentage,18 years or over,Total,Reporting country,Poland,:,:,18.4,17.4,15.7,15.8,16.1,16.7,16.7,16.2,15.9,15.7,16.6,16.7,15.4,15.5,16.0,15.8,14.9,13.6,14.1
Annual,Percentage,18 years or over,Total,Reporting country,Portugal,:,19.2,18.3,17.8,17.5,17.6,16.8,16.9,16.6,16.8,17.2,17.9,18.1,18.0,17.7,16.9,16.9,15.6,17.9 b,15.8,16.1
Annual,Percentage,18 years or over,Total,Reporting country,Romania,:,:,:,:,22.3,21.1,19.7,19.1,19.7,20.4,20.2,21.7,22.5,22.4,21.5,21.6,22.1,21.8,20.9,19.9,19.1
Annual,Percentage,18 years or over,Total,Reporting country,Serbia,:,:,:,:,:,:,:,:,:,:,:,24.0,25.9,25.1,24.8,23.3,22.0,21.1,21.2,19.9,:
Annual,Percentage,18 years or over,Total,Reporting country,Sweden,:,10.0,8.4,10.0,9.1,11.8 b,12.6,12.4,13.0,12.7,13.5,13.0,13.5,13.1,12.3,12.8,12.3,12.7,12.2,13.7,13.1
Annual,Percentage,18 years or over,Total,Reporting country,Slovenia,:,:,12.1,11.6,11.5,12.4,11.1,12.3,12.9,12.7,13.7,13.4,13.4,13.4,12.6,12.9,11.8,12.2,11.7,12.2,12.6
Annual,Percentage,18 years or over,Total,Reporting country,Slovakia,:,:,11.9,10.3,9.1,9.6,9.8,10.6,11.3,11.5,11.2,11.2,10.5,10.9,10.6,10.3,10.2,10.1,11.0,11.7,12.3
Annual,Percentage,18 years or over,Total,Reporting country,Türkiye,:,:,:,21.6,20.1,20.2,20.9,20.1,19.3,19.2,18.5,18.6,18.1,18.4,17.7,17.5,17.8,18.9,17.9,18.0,16.8
Annual,Percentage,18 years or over,Total,Reporting country,United Kingdom,:,:,17.6,17.4,16.9,17.4,15.9,15.9,15.4,15.1 b,14.8,15.7,15.4,14.9,16.4 bu,17.7 u,:,:,:,:,:
Annual,Percentage,18 years or over,Total,Reporting country,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,27.0,:,:,:,:,:
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,: u,32.9,:,:
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Austria,:,:,:,:,:,:,33.5,34.7,32.8,25.8,30.7,36.0,34.2,39.0,39.9,33.6,29.4,37.4,38.7,38.0,41.0
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Belgium,:,:,:,:,:,:,49.1,51.9,55.1,49.2,56.7,60.1,53.9,50.6,53.6,47.4,41.3 b,41.1,35.5,34.9,36.7
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Bulgaria,:,:,:,:,:,:,23.1 u,27.9 u,9.6 u,18.6 u,28.8 u,13.9 u,10.9 u,13.1,16.3,33.5,19.8,20.7,44.3 u,44.5 u,28.0 u
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Switzerland,:,:,:,:,:,:,28.0,22.8,26.7,29.4,19.0,19.8,25.0,23.2,25.0,26.1,32.5,31.7,28.8,33.1,31.8
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Cyprus,:,:,:,:,:,:,32.8,36.4,30.5,32.1,30.8,28.0,28.7,25.4,29.3,29.4,30.4,31.0,35.5,32.1,36.2
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Czechia,:,:,:,:,:,:,20.3,7.9,11.1,22.5,10.0,6.6,11.1,11.5,13.8,15.0,9.9,6.3,10.3,16.1,26.5
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Germany,:,:,:,:,:,:,27.4,34.7,29.9,26.1,27.2,29.2,35.7,32.3,35.5,22.8,22.9,32.8 b,33.8,31.8,32.6
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Denmark,:,:,:,:,:,:,29.7,31.1,32.7,37.8,36.9,29.2,37.9,30.6,32.5,31.9,27.7,40.8 b,31.3,22.4,29.3
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Euro area - 19 countries  (2015-2022),:,:,:,:,:,:,36.2 e,37.5 e,38.8 e,37.4 e,38.7 e,40.4 e,40.0 e,41.1 e,42.1 e,38.9 e,38.6 e,38.9,39.4,:,:
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,40.5,40.0,41.1,42.1,38.9,38.5,38.9,39.7,38.0,37.3
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Estonia,:,:,:,:,:,:,25.6,21.1,24.6,26.4,25.5,32.8,29.9,33.4,33.9,33.6,33.8,28.5,29.1,36.0,35.6
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Greece,:,:,:,:,:,:,35.9,45.0,45.6,46.8,58.4,51.5,46.9,42.6,42.3,39.3,35.7,33.3,37.6,34.8,32.5
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Spain,:,:,:,:,:,:,40.6,41.0,46.4,46.5,45.3,52.3,54.5,50.9,52.3,50.0,50.4,49.5,58.7,52.7,46.8
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,35.0 e,36.6 u,37.0 e,34.8 e,35.8 e,37.1 e,37.2 e,38.2 e,40.8 u,37.8 e,37.6 e,:,:,:,:
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,European Union - 27 countries (2007-2013),:,:,:,:,:,:,35.0 e,36.6 u,37.0 e,34.8 e,35.7 e,37.1 e,37.2 e,38.2 e,40.8 u,37.8 e,37.6 e,:,:,:,:
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,37.6 u,38.8 u,37.5 e,38.5 e,40.1 e,39.9 e,41.0 e,41.8 e,38.9 e,38.6 e,38.7,39.0,37.2,36.6
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,36.6 u,37.0 e,34.8 e,35.8 e,37.1 e,37.2 e,38.2 e,40.8 u,37.8 e,37.6 e,:,:,:,:
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Finland,:,:,:,:,:,:,39.2,39.1,38.3,38.2,29.0,36.1,35.9,32.8,31.1,24.4,22.8,25.9,19.5,20.8,21.7
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,France,:,:,:,:,:,:,43.2,45.6,46.0,42.8,48.9,40.0,39.8,41.1,41.4,40.7,45.5,48.3 b,39.5,44.7 b,42.5
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Croatia,:,:,:,:,:,:,:,36.9 u,40.8,41.8,42.9,31.1 u,43.6,36.7,49.6,47.8,33.6,33.0,31.6 u,29.7 u,29.1 b
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Hungary,:,:,:,:,:,:,19.3 u,: u,16.0 u,: u,20.9 u,: u,: u,: u,10.6,23.1,: u,: u,: u,: u,: u
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Ireland,:,:,:,:,:,:,18.6,17.4,13.9,19.8,21.0,34.4,30.8,32.3,27.8,25.2,23.7 b,22.0,16.3,17.6,18.1
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Iceland,:,:,:,:,:,:,20.0,23.4,14.4,21.4,13.8,11.3,11.6,20.9,20.0,18.0,27.6,:,:,:,:
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Italy,:,:,:,:,:,:,32.1,33.6,32.4,31.0,30.8,36.5,35.0,39.8,41.5,38.8,34.8,37.2,37.8,35.4,36.7
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Lithuania,:,:,:,:,:,:,10.9,17.0,16.3,17.3,29.5 u,21.4,30.7,31.7,25.7,26.7,32.9,26.5,28.1,22.5,27.9
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Luxembourg,:,:,:,:,:,:,32.8,32.8,38.2,35.0,32.3,33.3,39.7,36.0,37.0,31.2,34.0,34.2 b,35.4 b,38.5,32.8
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Latvia,:,:,:,:,:,:,28.8,21.9,19.8,20.2,20.8,25.6,26.8,29.9,30.1,32.5,31.8,28.8,35.9,31.7,35.5
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,39.3,37.1,29.9,35.3,32.6,:
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,North Macedonia,:,:,:,:,:,:,:,18.9,46.4 u,28.8 u,24.6 u,37.3 u,33.2 u,33.4 u,50.6 u,56.8,34.4,31.9,:,:,:
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Malta,:,:,:,:,:,:,14.7,22.0,23.8,19.3,24.6,24.3,25.0,21.6,23.0,25.9,24.8,26.3,28.4,29.1,28.8
