Time frequency,Aquaculture method,Aquatic environment,Species,fishreg,unit,geo\TIME_PERIOD,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,All methods,Total,Total fishery products,0.0,EUR,FR,701136989.1 e,693086672.95 e,625693349.6916,641768461.4883,697795344.8906 e,729423007.3888 e,688919313.1243 be,758561530.7051 e,722406930.6095 e,781033695.4176 be,791532533.1169 e,905734551.7211 b
Annual,All methods,Total,Total fishery products,0.0,EUR,HR,67701969.17,78945505.54,77417089.23,102662186.73,108800328.46,100974159.86,119978909.7027,120687212.389,132942957.7928,167029222.3832,177868048.0471,:
Annual,All methods,Total,Total fishery products,0.0,EUR,HU,29884597.71,25575251.71,29502183.04,30633686.84,: @C,38006982.985,38754994.7841,35985338.3406,34841887.4276,38770606.9725,53302145.6372,59373092.955
Annual,All methods,Total,Total fishery products,0.0,EUR,IE,119934795.0,107946684.48,105870470 e,136482769.37 e,138223474.66 e,185010666 e,166907293 e,157663391.0,162437881.0,164216257.0,159161963.0,151429875.44 e
Annual,All methods,Total,Total fishery products,0.0,EUR,IS,:,: @C,: @C,: @C,: @C,: @C,: @C,:,230124134.7966,365407983.8205 e,392664856.4825,466578477.7576
Annual,All methods,Total,Total fishery products,0.0,EUR,IT,348017608.32,392882443.33,365998891.12,437165796.4 f,420316602.8181,542709196.881,439139658.2732,445857611.678,391658281.9605,547238656.5515,554996234.82,618329844.9024
Annual,All methods,Total,Total fishery products,0.0,EUR,LT,6794200.3281,8352584.1755,7465274.2684,9517437.2521,10937867.6355,10857853.7257,11236849.3755,11975221.2119,12505469.8244,15227232.4577,18599584.7901,16642673.0602
Annual,All methods,Total,Total fishery products,0.0,EUR,LV,1399614.76,1617152.41,1848851.79,2388784.0,2025507.0,2234232.0,2028600.0,1847880.0,2251827.5,3164343.5,3303362.5,3202920.8
Annual,All methods,Total,Total fishery products,0.0,EUR,ME,:,:,:,:,:,3614.9,3991.3,3800.3,:,4992.4,4992.4,:
Annual,All methods,Total,Total fishery products,0.0,EUR,MK,:,:,:,:,:,:,:,:,:,9460.2112,8902.7907,10118.3244
Annual,All methods,Total,Total fishery products,0.0,EUR,MT,83175481.0948,105864535.3113,97341472.9164,127925031.3812,144859030.7983,180402149.994,242684450.7146,161912204.98,215446765.3664,210207573.62,320434038.75,198948284.175
Annual,All methods,Total,Total fishery products,0.0,EUR,NL,89448840 e,110150616.49,98085562.76 e,94681686.88 e,85518879.37 e,92768666.188 e,95550841.4 e,78412142.76 e,77698889.9799 e,106793430.4907,113777136.8329,116337640.032 e
Annual,All methods,Total,Total fishery products,0.0,EUR,NO,4018565666.38,5182188354.89,5306685161.2,5236452744.5436,6892836966.5294,6968247833.7202,7068945432.8967,7282080251.2038,6410713676.8184,7914817814.3502,10716357243.3733,9999477654.0381
Annual,All methods,Total,Total fishery products,0.0,EUR,PL,105078636.0,75073455.31,88410318.47,86603009.11,91457154.1391,101051816.9836,104667101.0459,104191372.8055,121034412.3122,123601641.664,185828823.6225,:
Annual,All methods,Total,Total fishery products,0.0,EUR,PT,53658735.34,54831963.31 e,50440059.15 e,54215656.71 ep,75263576.95,83742967.963,96823121.9241 b,108029648.6126,97531823.8084,157975059.5538,168533123.3346,211592153.4616
Annual,All methods,Total,Total fishery products,0.0,EUR,RO,18146410.83,20645141.4 e,19277423.42,21772690.26 e,26953555.7804,32790419.682,33557694.4598,37484458.2777 e,38987867.7221 e,35860002.2628 e,41201711.6662 e,:
Annual,All methods,Total,Total fishery products,0.0,EUR,RS,:,:,:,:,15245669.71,15622823.155,20374994.3966,18076907.5563,14470268.5254,17196430.3121,21039408.0069,25261713.724
Annual,All methods,Total,Total fishery products,0.0,EUR,SE,45644317.02,43590510.39,46968236.59,43112321.49,51095787.02,54074822.8096,51057193.2704,37793580.68,34938801.1491,52841480.3532,59390758.18,49290082.46
Annual,All methods,Total,Total fishery products,0.0,EUR,SI,: @C,3565028.69,3753526.0,3985812.0,4975577.5,4569205.39,6241137.93,6391935.08,5802993.0,6127171.0,5170741.41,:
Annual,All methods,Total,Total fishery products,0.0,EUR,SK,3242239.39,3164447.22,3242385.39,3575081.09,4888037.14,6112255.625,5522802.7928,7099933.8355,5496105.6609,6990899.5471,8061251.5967,8954163.4516
Annual,All methods,Total,Total fishery products,0.0,EUR,TR,693881000.23,672773301.45,725793533.05,824598776.11,917523942.19,936768854.081,944244023.4437,1185041933.7868,1309317731.8793,1705359077.7496,2369765750.1697,2567308608.9884
Annual,All methods,Total,Total fishery products,0.0,EUR,UK,732848055.55,896700838.31,989010853.63 e,995334811 e,1019096945.48 e,1282724580.135 e,1078602183.1143 e,:,:,:,:,:
Annual,All methods,Total,Total fishery products,0.0,EUR_T,AL,3.1767,3.1794,3.0828,3.6643,3.0983,3.4233,2.9746,3.1354,3.8706,3.6996,3.9733,:
Annual,All methods,Total,Total fishery products,0.0,EUR_T,AT,4956.23,5606.17,5666.61,5640.5,5894.99,6010.66,6258.67,6977.486,6893.443,7196.658,7975.6275,8552.4435
Annual,All methods,Total,Total fishery products,0.0,EUR_T,BA,:,:,:,:,:,:,3225.8257,3284.019,3172.0791,3295.1413,3944.3406,:
Annual,All methods,Total,Total fishery products,0.0,EUR_T,BE,: @C,: @C,4512.52 e,10406.0,10273.0,7607.0,7577.0,6256.0,6670.0,6491.0,7156.0,8222.0
Annual,All methods,Total,Total fishery products,0.0,EUR_T,BG,2479.78,2465.89 p,1917.97 p,2137.16,2124.05,2261.9945,2731.184,2481.4066,2736.7466,2830.0096,3398.104,4210.5188
Annual,All methods,Total,Total fishery products,0.0,EUR_T,CY,5435.72,5470.03,5743.81,5916.39,5469.89,5184.597,5308.4304,5415.5537,5041.5839,5730.2139,6312.5345,6861.4559
Annual,All methods,Total,Total fishery products,0.0,EUR_T,CZ,1771.34 e,1821.65,2105.39,1735.12,2242.0,2622.96,2234.2529,1964.685,1908.7852,2122.8954,2555.6862,2719.3875
Annual,All methods,Total,Total fishery products,0.0,EUR_T,DE,3788.0,4163.0,4168.0,4068.0,3673.0,3631.0,3849.0,3630.0,4418.0,4527.0,5577.0,4825.0
Annual,All methods,Total,Total fishery products,0.0,EUR_T,DK,: @C,2985.6221,2902.43,3043.16,3334.36,: @C,: @C,: @C,: @C,3024.8761,3146.2676,:
Annual,All methods,Total,Total fishery products,0.0,EUR_T,EE,: @C,: @C,4030.03,4246.42,4470.84,4273.64,4443.1094,3529.6166,3876.0042,5089.3344,6116.2728,6227.7879
Annual,All methods,Total,Total fishery products,0.0,EUR_T,EL,4023.93,3827.28,4260.23,: @C,4269.387,4343.29 p,4049.7,3946.2,4218.2281,4459.8828,6015.0,4852.8641
Annual,All methods,Total,Total fishery products,0.0,EUR_T,ES,1626.12,1898.31,1655.03,1749.16,1946.4538,1835.97,2038.8627,2062.6499,2052.0863,2345.2315,2948.1202,3302.3861
Annual,All methods,Total,Total fishery products,0.0,EUR_T,EU27_2020,: @C,: @C,: @C,2988.459 f,: @C,: @C,: b@C,: @C,: @C,3727.0078 be,4460.4768 e,:
Annual,All methods,Total,Total fishery products,0.0,EUR_T,FI,: @C,: @C,3660.6,3320.03,4349.16,4937.586,4613.6549,4077.5693,3856.1624,4565.07,5740.8833,5628.8087
Annual,All methods,Total,Total fishery products,0.0,EUR_T,FR,3418.41 e,3459.73 e,3474.835,3795.5844,3984.3622 e,4017.6746 e,3658.0927 be,3903.5049 e,3781.2131 e,4038.5621 e,4300.5892 e,4854.8848 b
Annual,All methods,Total,Total fishery products,0.0,EUR_T,HR,4863.14,5754.17,5623.06,6083.65,6300.33,5899.988,6096.4119,5903.3231,6106.511,5982.4565,6535.0067,:
Annual,All methods,Total,Total fishery products,0.0,EUR_T,HU,2052.8,1778.16,1919.97,1766.95,: @C,2081.7163,2165.0352,2078.261,1895.1136,2159.2453,2849.3423,3326.493
Annual,All methods,Total,Total fishery products,0.0,EUR_T,IE,3503.89,3304.75,3610 e,3631.67 e,3350.03 e,4278 e,4734.69 e,4507.6305,4621.0139,4169.6186,3982.7331,4622.0707
Annual,All methods,Total,Total fishery products,0.0,EUR_T,IS,:,: @C,: @C,: @C,: @C,: @C,: @C,:,5668.7803,6876.844 e,7647.1305,9406.4449
Annual,All methods,Total,Total fishery products,0.0,EUR_T,IT,2539.54,2788.78,2460.82,2951.06 f,2961.9656,3472.067,3076.7923,3370.6143,3190.9027,3751.1081,4260.2898,4765.6838
Annual,All methods,Total,Total fishery products,0.0,EUR_T,LT,2105.9386,2174.6594,2226.3068,2330.0668,2668.5146,3138.6069,3257.0672,3172.1281,3072.9768,3162.7661,4179.0603,4464.4794
Annual,All methods,Total,Total fishery products,0.0,EUR_T,LV,2436.49,2512.35,2694.0,2768.0,2600.14,2772.0,2450.0,2950.0,3095.7211,3508.5303,3797.4049,4076.0
Annual,All methods,Total,Total fishery products,0.0,EUR_T,ME,:,:,:,:,:,3.5371,3.6384,3.5385,:,4.5928,4.5928,:
Annual,All methods,Total,Total fishery products,0.0,EUR_T,MK,:,:,:,:,:,:,:,:,:,4.6996,4.5515,5.4055
Annual,All methods,Total,Total fishery products,0.0,EUR_T,MT,11870.42,11662.6085,11311.4301,11844.544,11619.8693,11475.464,12579.902,11712.8754,10864.9979,12809.5304,17752.0486,9563.1119
Annual,All methods,Total,Total fishery products,0.0,EUR_T,NL,1946.47,2363.48,1554.72,1522.11 e,1384.62 e,1817.906 e,1802.7066 e,1713.9266 e,1968.6753 e,2635.1236,2910.6456,2828.143
Annual,All methods,Total,Total fishery products,0.0,EUR_T,NO,3041.77,4152.88,3982.51,3792.0946,5197.4723,5324.8649,5216.491,5011.609,4301.3029,4753.3244,6448.8758,6060.4184
Annual,All methods,Total,Total fishery products,0.0,EUR_T,PL,3162.57,2401.74,2433.14,2580.57,2579.7454,2853.0801,2843.7271,2622.4505,2664.9098,3120.4747,4403.3703,:
Annual,All methods,Total,Total fishery products,0.0,EUR_T,PT,5200.8,5446.58,4672.7,5669.34,6682.53,6671.083,8229.1301,8386.9002,7146.4032,8995.4105,9018.1619,11570.1578
Annual,All methods,Total,Total fishery products,0.0,EUR_T,RO,1813.79,2034.65 e,1805.51,1976.5 e,2141.6392,2562.144,2728.6117,2968.3606,3208.878,3061.2944,3674.787 e,:
Annual,All methods,Total,Total fishery products,0.0,EUR_T,RS,:,:,:,:,2216.69,3081.637,2776.3765,2655.7247,2407.5944,2353.1321,3642.2604,4350.6971
Annual,All methods,Total,Total fishery products,0.0,EUR_T,SE,3317.9,3261.3,3641.23,3511.63,3244.8,3641.8927,3899.2816,3258.0673,2890.0599,3465.9242,5033.1151,4361.9542
Annual,All methods,Total,Total fishery products,0.0,EUR_T,SI,: @C,2888.3,2603.0,2506.8,2725.0,2641.77,3220.9,2989.4,3466.3359,3621.4735,3559.1557,:
Annual,All methods,Total,Total fishery products,0.0,EUR_T,SK,2566.71,2917.21,2670.01,2864.76,2498.24,2342.956,2457.9327,2640.6666,2554.3441,2891.8487,3007.0882,3234.6402
Annual,All methods,Total,Total fishery products,0.0,EUR_T,TR,3266.71,2882.57,3101.72,3455.64,3676.55,3435.163,3036.4864,3193.9334,3139.3011,3653.845,4638.1962,4645.7622
Annual,All methods,Total,Total fishery products,0.0,EUR_T,UK,3564.53,4411.53,4608.05 e,4704.56 e,5245.63 e,5771.566 e,5820.971 e,:,:,:,:,:
Annual,All methods,Total,Total fishery products,0.0,TLW,AL,3456.0,3700.0,4000.0,3495.0,4750.0,4430.0,6258.0,6300.0,9084.0,8662.0,8908.0,:
Annual,All methods,Total,Total fishery products,0.0,TLW,AT,3128.33,3238.49,3393.31,3503.06,3485.5,3865.686,4084.324,4250.025,4526.915,4920.413,4718.738,5170.229
Annual,All methods,Total,Total fishery products,0.0,TLW,BA,:,:,:,:,:,:,: @C,: @C,: @C,3674.35,3753.2,:
Annual,All methods,Total,Total fishery products,0.0,TLW,BE,: @C,: @C,214 e,32.0,44.0,75.0,111.0,86.0,209.0,223.0,243.0,261.0
Annual,All methods,Total,Total fishery products,0.0,TLW,BG,6939.96,6292.0,6883.0,10652.39,12445.03,9795.997,10758.436,11959.376,8859.875,10725.949,9063.84,9928.249
Annual,All methods,Total,Total fishery products,0.0,TLW,CY,4334.06,5339.3,4835.28,5458.56,6624.8,7276.1,7346.985,8079.1,7342.65,7862.3,7593.9,5700.2
Annual,All methods,Total,Total fishery products,0.0,TLW,CZ,20762.8 e,19360.0,20163.0,20200.0,20950.1,21685.0,21750.0,20989.0,20402.0,20991.0,19259.0,18613.3
Annual,All methods,Total,Total fishery products,0.0,TLW,DE,26535.0,25453.9,26222.6,26867.4,32336.4,36142.2,31796.3,37998.4,32127.7,32586.4,26498.2,35079.5
Annual,All methods,Total,Total fishery products,0.0,TLW,DK,33588.12,31381.539,33624.0,35990.0,34770.03,34327.34,32166.77,40221.41,37839.32,35639.69,36200.62,:
Annual,All methods,Total,Total fishery products,0.0,TLW,EE,: @C,: @C,864.93,798.27,867.73,870.46,943.656,1061.9693,1039.888,849.4598,800.8189,918.461
Annual,All methods,Total,Total fishery products,0.0,TLW,EL,: @C,: @C,104451.7,: @C,123620.9,125639.5 p,132374.9,128747.9,130792.562,143694.193,140452.2,140907.7
Annual,All methods,Total,Total fishery products,0.0,TLW,ES,266592.5,226220.8,284976.51,293509.95,287281.81,314957.51,318701.63,306507.43,272431.56,276564.8049,272589.681,242753.5244
Annual,All methods,Total,Total fishery products,0.0,TLW,EU27_2020,: @C,: @C,1035581.323 e,1048264.884 f,1092448.8313 e,1142374.4857 ep,1132966.3887 be,1120179.8073 e,1070950.5757 e,1123891.8512 be,1084408.4485 e,:
Annual,All methods,Total,Total fishery products,0.0,TLW,FI,: @C,: @C,13324.0,14879.0,14413.0,14584.0,14323.0,15295.8,15053.0,14399.4,16280.5,15168.5
Annual,All methods,Total,Total fishery products,0.0,TLW,FR,205106.4 e,200329.9 e,180064.1918,169082.9109,175133.51 e,181553.5323 e,188327.4637 b,194328.3152,191051.6292,193394.006 b,184052.1125,186561.4917 b
Annual,All methods,Total,Total fishery products,0.0,TLW,HR,13921.45,13719.71,13767.8,16875.1,17268.98,17114.3,19680.25,20443.945,21770.69,27919.839,27217.73,:
Annual,All methods,Total,Total fishery products,0.0,TLW,HU,14558.0,14383.0,15366.0,17337.0,16520.3,18257.523,17900.399,17315.12,18385.118,17955.629,18706.824,17848.555
Annual,All methods,Total,Total fishery products,0.0,TLW,IE,34229.0,32664.1,29327 e,37581.22 e,41260.4 e,43247 e,35252 e,34977.0,35152.0,39384.0,39963.0,32762.3453 e
Annual,All methods,Total,Total fishery products,0.0,TLW,IS,:,: @C,8387.0,8382.0,15129.0,20850.0,18794.0,:,40595.0,53136.0,51348.0,49602.0
Annual,All methods,Total,Total fishery products,0.0,TLW,IT,137039.4,140879.82,148730.34,148138.8 f,141904.62,156307.239,142726.453,132277.851,122742.159,145887.2,130271.945,129746.3
Annual,All methods,Total,Total fishery products,0.0,TLW,LT,3226.21,3840.87,3353.21,4084.62,4098.86,3459.45,3449.99,3775.138,4069.497,4814.53,4450.662,3727.797
Annual,All methods,Total,Total fishery products,0.0,TLW,LV,574.44,643.68,686.29,863.0,779.0,806.0,828.0,626.4,727.4,901.9,869.9,785.8
Annual,All methods,Total,Total fishery products,0.0,TLW,ME,:,:,:,:,:,1022.0,1097.0,1074.0,:,1087.0,1087.0,:
Annual,All methods,Total,Total fishery products,0.0,TLW,MK,:,:,:,:,:,:,:,:,:,2013.0,1955.999,1871.869
Annual,All methods,Total,Total fishery products,0.0,TLW,MT,7006.9535,9077.2605,8605.585,10800.334,12466.494,15720.685,19291.442,13823.4378,19829.4347,16410.2482,18050.5386,20803.718
Annual,All methods,Total,Total fishery products,0.0,TLW,NL,45954.4 e,46605.36,63089.02 e,62204.29 e,61763.44 e,51030.5,53004.1,45750.0,39467.6,40526.9154,39090.0,41135.7 e
Annual,All methods,Total,Total fishery products,0.0,TLW,NO,1321129.03,1247854.7,1332497.01,1380886.645,1326190.2198,1308624.3496,1355115.0472,1453042.3826,1490412.045,1665112.059,1661740.3722,1649964.91
Annual,All methods,Total,Total fishery products,0.0,TLW,PL,33225.66,31257.97,36335.83,33559.64,35452.0072,35418.5,36806.31,39730.54,45417.8279,39609.8838,42201.4985,:
Annual,All methods,Total,Total fishery products,0.0,TLW,PT,10317.4,10067.23 e,10794.62 e,9562.95 ep,11262.73,12553.13,11765.9 b,12880.76,13647.68,17561.74,18688.19,18287.75
Annual,All methods,Total,Total fishery products,0.0,TLW,RO,10004.69,10146.78 e,10676.97,11015.77 e,12585.479,12798.04,12298.45,12628 e,12150 e,11714 e,11212 e,:
Annual,All methods,Total,Total fishery products,0.0,TLW,RS,:,:,:,:,6877.66,5069.65,7338.7,6806.77,6010.26,7307.89,5776.47,5806.36
Annual,All methods,Total,Total fishery products,0.0,TLW,SE,13757.0,13366.0,12899.0,12277.0,15747.0,14848.0,13094.0,11600.0,12089.3,15246.0,11800.0,11300.0
Annual,All methods,Total,Total fishery products,0.0,TLW,SI,: @C,1234.3,1442.0,1590.0,1825.9,1729.6,1937.7,2138.2,1674.1,1691.9,1452.8,:
Annual,All methods,Total,Total fishery products,0.0,TLW,SK,1263.19,1084.75,1214.37,1247.95,1956.59,2608.78,2246.93,2688.69,2151.67,2417.45,2680.75,2768.21
Annual,All methods,Total,Total fishery products,0.0,TLW,TR,212410.0,233393.9,233997.0,238624.0,249561.0,272700.0,310966.0,371029.0,417073.0,466730.0,510924.0,552613.0
Annual,All methods,Total,Total fishery products,0.0,TLW,UK,205594.7,203263.0,214626.95,211567.97,194275.32,222248.976,185295.922,:,:,:,:,:
