Time frequency,Unit of measure,Sex,Classification of activities for time use,Geopolitical entity (reporting)\Time,2000.0,2010.0
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Germany,45.6,41.7
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Estonia,42.6,37.7
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Greece,:,27.8
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Spain,:,20.6
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Finland,39.7,49.3
Annual,Participation rate (%),Females,Productive unpaid secondary activities,France,11.0,19.2
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Hungary,:,25.3
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Italy,25.3,25.8
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Lithuania,21.9,:
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Luxembourg,:,25.2
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Latvia,23.6,:
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Netherlands,:,48.5
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Norway,34.8,30.8
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Poland,21.6,26.9
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Romania,:,13.7
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Serbia,:,36.2
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Slovenia,22.4,:
Annual,Participation rate (%),Females,Productive unpaid secondary activities,Türkiye,:,100.0
Annual,Participation rate (%),Females,Productive unpaid secondary activities,United Kingdom,49.0,57.0
Annual,Participation rate (%),Males,Productive unpaid main activities,Austria,:,81.5
Annual,Participation rate (%),Males,Productive unpaid main activities,Belgium,89.9,86.2
Annual,Participation rate (%),Males,Productive unpaid main activities,Bulgaria,80.9,:
Annual,Participation rate (%),Males,Productive unpaid main activities,Germany,88.8,88.3
Annual,Participation rate (%),Males,Productive unpaid main activities,Estonia,85.5,82.9
Annual,Participation rate (%),Males,Productive unpaid main activities,Greece,:,71.8
Annual,Participation rate (%),Males,Productive unpaid main activities,Spain,71.7,76.6
Annual,Participation rate (%),Males,Productive unpaid main activities,Finland,89.7,92.9
Annual,Participation rate (%),Males,Productive unpaid main activities,France,81.5,81.8
Annual,Participation rate (%),Males,Productive unpaid main activities,Hungary,:,85.5
Annual,Participation rate (%),Males,Productive unpaid main activities,Italy,70.3,69.9
Annual,Participation rate (%),Males,Productive unpaid main activities,Lithuania,82.1,:
Annual,Participation rate (%),Males,Productive unpaid main activities,Luxembourg,:,79.7
Annual,Participation rate (%),Males,Productive unpaid main activities,Latvia,76.0,:
Annual,Participation rate (%),Males,Productive unpaid main activities,Netherlands,:,88.4
Annual,Participation rate (%),Males,Productive unpaid main activities,Norway,92.5,92.2
Annual,Participation rate (%),Males,Productive unpaid main activities,Poland,87.4,85.8
Annual,Participation rate (%),Males,Productive unpaid main activities,Romania,:,79.1
Annual,Participation rate (%),Males,Productive unpaid main activities,Serbia,:,78.2
Annual,Participation rate (%),Males,Productive unpaid main activities,Slovenia,83.2,:
Annual,Participation rate (%),Males,Productive unpaid main activities,Türkiye,:,53.9
Annual,Participation rate (%),Males,Productive unpaid main activities,United Kingdom,87.0,88.2
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Austria,:,48.9
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Belgium,22.9,31.2
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Bulgaria,8.1,:
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Germany,26.3,41.5
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Estonia,18.6,34.7
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Greece,:,37.3
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Spain,:,25.3
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Finland,20.3,44.8
Annual,Participation rate (%),Males,Productive unpaid secondary activities,France,4.4,13.0
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Hungary,:,23.3
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Italy,11.5,31.1
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Lithuania,6.2,:
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Luxembourg,:,23.8
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Latvia,8.2,:
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Netherlands,:,45.9
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Norway,17.1,25.0
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Poland,10.2,17.7
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Romania,:,15.5
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Serbia,:,41.1
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Slovenia,9.0,:
Annual,Participation rate (%),Males,Productive unpaid secondary activities,Türkiye,:,100.0
Annual,Participation rate (%),Males,Productive unpaid secondary activities,United Kingdom,29.7,53.4
Annual,Participation rate (%),Total,Productive unpaid main activities,Austria,:,89.0
Annual,Participation rate (%),Total,Productive unpaid main activities,Belgium,93.3,90.9
Annual,Participation rate (%),Total,Productive unpaid main activities,Bulgaria,89.3,:
Annual,Participation rate (%),Total,Productive unpaid main activities,Germany,93.0,92.3
Annual,Participation rate (%),Total,Productive unpaid main activities,Estonia,92.3,89.7
Annual,Participation rate (%),Total,Productive unpaid main activities,Greece,:,83.8
Annual,Participation rate (%),Total,Productive unpaid main activities,Spain,83.8,85.8
Annual,Participation rate (%),Total,Productive unpaid main activities,Finland,94.2,95.1
Annual,Participation rate (%),Total,Productive unpaid main activities,France,89.5,88.4
Annual,Participation rate (%),Total,Productive unpaid main activities,Hungary,:,91.7
Annual,Participation rate (%),Total,Productive unpaid main activities,Italy,83.3,82.9
Annual,Participation rate (%),Total,Productive unpaid main activities,Lithuania,90.7,:
Annual,Participation rate (%),Total,Productive unpaid main activities,Luxembourg,:,87.1
Annual,Participation rate (%),Total,Productive unpaid main activities,Latvia,86.6,:
Annual,Participation rate (%),Total,Productive unpaid main activities,Netherlands,:,92.3
Annual,Participation rate (%),Total,Productive unpaid main activities,Norway,95.5,95.2
Annual,Participation rate (%),Total,Productive unpaid main activities,Poland,93.1,92.0
Annual,Participation rate (%),Total,Productive unpaid main activities,Romania,:,87.9
Annual,Participation rate (%),Total,Productive unpaid main activities,Serbia,:,87.7
Annual,Participation rate (%),Total,Productive unpaid main activities,Slovenia,90.4,:
Annual,Participation rate (%),Total,Productive unpaid main activities,Türkiye,:,74.7
Annual,Participation rate (%),Total,Productive unpaid main activities,United Kingdom,92.2,92.4
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Austria,:,48.2
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Belgium,27.0,31.8
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Bulgaria,16.0,:
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Germany,36.7,41.6
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Estonia,31.7,36.3
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Greece,:,32.4
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Spain,:,23.0
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Finland,30.6,47.1
Annual,Participation rate (%),Total,Productive unpaid secondary activities,France,7.8,16.1
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Hungary,:,24.4
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Italy,18.6,28.4
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Lithuania,14.9,:
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Luxembourg,:,24.5
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Latvia,16.8,:
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Netherlands,:,47.2
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Norway,25.8,27.9
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Poland,16.8,22.4
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Romania,:,14.6
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Serbia,:,38.6
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Slovenia,16.1,:
Annual,Participation rate (%),Total,Productive unpaid secondary activities,Türkiye,:,100.0
Annual,Participation rate (%),Total,Productive unpaid secondary activities,United Kingdom,40.2,55.2
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Austria,:,4:39
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Belgium,4:15,4:08
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Bulgaria,5:17,:
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Germany,4:31,4:00
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Estonia,5:04,4:14
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Greece,:,4:43
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Spain,5:18,4:57
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Finland,4:05,3:55
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,France,4:48,4:13
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Hungary,:,4:57
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Italy,5:46,5:30
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Lithuania,4:43,:
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Luxembourg,:,4:00
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Latvia,4:12,:
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Netherlands,:,3:43
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Norway,3:56,3:46
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Poland,4:56,4:50
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Romania,:,5:14
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Serbia,:,5:08
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Slovenia,5:05,:
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,Türkiye,:,5:22
Annual,Participation time (hh:mm),Females,Productive unpaid main activities,United Kingdom,4:25,4:01
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Austria,:,0:55
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Belgium,0:50,1:09
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Bulgaria,1:40,:
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Germany,1:17,1:23
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Estonia,1:22,1:17
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Greece,:,0:57
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Spain,:,1:04
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Finland,1:10,1:05
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,France,1:17,1:21
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Hungary,:,1:50
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Italy,1:05,1:02
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Lithuania,1:17,:
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Luxembourg,:,0:40
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Latvia,1:14,:
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Netherlands,:,0:54
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Norway,1:00,0:54
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Poland,1:00,1:07
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Romania,:,0:56
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Serbia,:,1:02
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Slovenia,1:19,:
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,Türkiye,:,0:00
Annual,Participation time (hh:mm),Females,Productive unpaid secondary activities,United Kingdom,1:20,0:59
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Austria,:,2:54
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Belgium,2:44,2:50
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Bulgaria,3:23,:
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Germany,2:54,2:45
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Estonia,3:10,3:03
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Greece,:,2:13
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Spain,2:21,2:46
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Finland,2:43,2:44
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,France,3:05,2:55
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Hungary,:,3:04
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Italy,2:23,2:27
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Lithuania,2:52,:
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Luxembourg,:,2:20
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Latvia,2:35,:
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Netherlands,:,2:39
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Norway,2:38,3:01
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Poland,2:52,2:54
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Romania,:,2:48
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Serbia,:,2:46
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Slovenia,3:17,:
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,Türkiye,:,1:49
Annual,Participation time (hh:mm),Males,Productive unpaid main activities,United Kingdom,2:41,2:26
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Austria,:,0:48
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Belgium,0:37,1:08
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Bulgaria,1:09,:
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Germany,0:49,1:05
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Estonia,0:54,0:54
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Greece,:,0:59
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Spain,:,1:03
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Finland,0:40,0:54
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,France,0:57,1:23
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Hungary,:,2:06
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Italy,0:48,0:59
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Lithuania,0:48,:
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Luxembourg,:,0:39
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Latvia,0:52,:
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Netherlands,:,0:53
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Norway,0:34,0:47
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Poland,0:42,0:48
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Romania,:,0:45
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Serbia,:,1:01
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Slovenia,0:59,:
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,Türkiye,:,0:00
Annual,Participation time (hh:mm),Males,Productive unpaid secondary activities,United Kingdom,0:50,0:53
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Austria,:,3:52
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Belgium,3:33,3:32
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Bulgaria,4:29,:
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Germany,3:46,3:25
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Estonia,4:17,3:44
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Greece,:,3:41
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Spain,4:03,3:59
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Finland,3:28,3:21
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,France,4:02,3:38
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Hungary,:,4:07
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Italy,4:22,4:14
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Lithuania,3:57,:
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Luxembourg,:,3:14
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Latvia,3:33,:
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Netherlands,:,3:12
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Norway,3:18,3:24
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Poland,4:00,3:58
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Romania,:,4:10
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Serbia,:,4:07
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Slovenia,4:16,:
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,Türkiye,:,4:05
Annual,Participation time (hh:mm),Total,Productive unpaid main activities,United Kingdom,3:37,3:16
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Austria,:,0:51
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Belgium,0:45,1:09
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Bulgaria,1:33,:
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Germany,1:07,1:14
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Estonia,1:15,1:07
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Greece,:,0:58
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Spain,:,1:03
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Finland,1:01,1:00
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,France,1:11,1:22
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Hungary,:,1:57
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Italy,1:00,1:00
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Lithuania,1:11,:
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Luxembourg,:,0:40
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Latvia,1:09,:
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Netherlands,:,0:53
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Norway,0:51,0:51
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Poland,0:55,1:00
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Romania,:,0:50
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Serbia,:,1:01
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Slovenia,1:13,:
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,Türkiye,:,0:00
Annual,Participation time (hh:mm),Total,Productive unpaid secondary activities,United Kingdom,1:09,0:56
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Austria,:,4:29
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Belgium,4:06,3:56
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Bulgaria,5:07,:
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Germany,4:23,3:51
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Estonia,4:58,4:03
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Greece,:,4:28
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Spain,5:05,4:42
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Finland,4:01,3:49
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,France,4:39,4:00
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Hungary,:,4:49
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Italy,5:31,5:15
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Lithuania,4:37,:
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Luxembourg,:,3:47
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Latvia,4:01,:
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Netherlands,:,3:34
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Norway,3:52,3:42
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Poland,4:51,4:44
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Romania,:,5:02
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Serbia,:,4:57
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Slovenia,4:57,:
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,Türkiye,:,5:06
Annual,Time spent (hh:mm),Females,Productive unpaid main activities,United Kingdom,4:18,3:53
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Austria,:,0:26
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Belgium,0:15,0:22
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Bulgaria,0:24,:
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Germany,0:31,0:34
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Estonia,0:36,0:29
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Greece,:,0:16
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Spain,:,0:13
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Finland,0:28,0:32
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,France,0:08,0:16
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Hungary,:,0:28
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Italy,0:17,0:16
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Lithuania,0:18,:
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Luxembourg,:,0:10
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Latvia,0:19,:
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Netherlands,:,0:26
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Norway,0:21,0:16
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Poland,0:13,0:18
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Romania,:,0:08
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Serbia,:,0:22
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Slovenia,0:19,:
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,Türkiye,:,0:00
Annual,Time spent (hh:mm),Females,Productive unpaid secondary activities,United Kingdom,0:38,0:33
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Austria,:,2:22
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Belgium,2:28,2:26
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Bulgaria,2:44,:
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Germany,2:35,2:26
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Estonia,2:43,2:32
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Greece,:,1:35
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Spain,1:41,2:07
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Finland,2:26,2:32
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,France,2:31,2:23
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Hungary,:,2:37
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Italy,1:41,1:43
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Lithuania,2:21,:
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Luxembourg,:,1:51
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Latvia,1:58,:
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Netherlands,:,2:21
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Norway,2:26,2:47
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Poland,2:30,2:30
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Romania,:,2:13
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Serbia,:,2:10
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Slovenia,2:44,:
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,Türkiye,:,0:59
Annual,Time spent (hh:mm),Males,Productive unpaid main activities,United Kingdom,2:20,2:09
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Austria,:,0:23
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Belgium,0:08,0:21
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Bulgaria,0:05,:
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Germany,0:12,0:27
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Estonia,0:10,0:19
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Greece,:,0:22
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Spain,:,0:16
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Finland,0:08,0:24
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,France,0:02,0:11
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Hungary,:,0:29
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Italy,0:05,0:18
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Lithuania,0:03,:
