Time frequency,Education indicator,Geopolitical entity (reporting)\Time,2000.0
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,France,66.1
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,Hungary,59.0
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,Italy,62.1
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,Lithuania,51.0
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,Netherlands,73.9
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,Portugal,73.6
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,Romania,39.2
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,Sweden,74.2
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,Slovenia,55.5
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,Slovakia,54.6
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED3-4 when leaving education for the first time,United Kingdom,75.2
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,Austria,86.6
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,Belgium,81.3
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,Denmark,84.0
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,Greece,87.4
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,Spain,69.9
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,Finland,76.8
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,France,79.6
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,Hungary,78.2
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,Italy,77.4
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,Lithuania,78.4
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,Netherlands,87.3
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,Portugal,86.0
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,Romania,78.2
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,Sweden,83.1
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,Slovenia,78.6
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,Slovakia,80.1
Annual,Proportion of school-leavers employed in the service sector having completed education level ISCED5-6 when leaving education for the first time,United Kingdom,81.4
Annual,Occupational status of recent school-leavers having completed education level ISCED1_2,Austria,33.7
Annual,Occupational status of recent school-leavers having completed education level ISCED1_2,Belgium,32.7
Annual,Occupational status of recent school-leavers having completed education level ISCED1_2,Denmark,34.4
Annual,Occupational status of recent school-leavers having completed education level ISCED1_2,Greece,31.4
Annual,Occupational status of recent school-leavers having completed education level ISCED1_2,Spain,30.4
Annual,Occupational status of recent school-leavers having completed education level ISCED1_2,Finland,34.1
Annual,Occupational status of recent school-leavers having completed education level ISCED1_2,France,34.2
Annual,Occupational status of recent school-leavers having completed education level ISCED1_2,Hungary,29.3
Annual,Occupational status of recent school-leavers having completed education level ISCED1_2,Italy,34.5
Annual,Occupational status of recent school-leavers having completed education level ISCED1_2,Lithuania,26.0
Annual,Occupational status of recent school-leavers having completed education level ISCED1_2,Netherlands,35.7
Annual,Occupational status of recent school-leavers having completed education level ISCED1_2,Portugal,33.7
Annual,Occupational status of recent school-leavers having completed education level ISCED1_2,Romania,24.6
Annual,Occupational status of recent school-leavers having completed education level ISCED1_2,Sweden,34.3
Annual,Occupational status of recent school-leavers having completed education level ISCED1_2,Slovenia,33.3
Annual,Occupational status of recent school-leavers having completed education level ISCED1_2,United Kingdom,35.3
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,Austria,39.8
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,Belgium,37.3
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,Denmark,40.9
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,Greece,40.4
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,Spain,36.0
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,Finland,37.1
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,France,35.6
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,Hungary,39.4
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,Italy,42.9
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,Lithuania,32.7
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,Netherlands,41.9
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,Portugal,43.3
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,Romania,34.4
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,Sweden,38.1
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,Slovenia,37.7
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,Slovakia,38.8
Annual,Occupational status of recent school-leavers having completed education level ISCED3-4,United Kingdom,41.4
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,Austria,65.4
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,Belgium,56.8
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,Denmark,62.2
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,Greece,58.6
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,Spain,51.5
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,Finland,57.3
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,France,50.7
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,Hungary,63.5
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,Italy,58.7
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,Lithuania,53.9
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,Netherlands,59.7
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,Portugal,62.9
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,Romania,62.7
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,Sweden,55.8
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,Slovenia,62.5
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,Slovakia,62.8
Annual,Occupational status of recent school-levers having completed education level ISCED5-6,United Kingdom,58.7
