Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Industry (except construction),Percentage,Serbia,:,:,14.5
Annual,Industry (except construction),Percentage,Sweden,3.5 b,12.0 b,13.0 b
Annual,Industry (except construction),Percentage,Slovenia,9.1 b,36.6 b,35.1
Annual,Industry (except construction),Percentage,Slovakia,12.1 b,29.3 b,22.7
Annual,Industry (except construction),Percentage,United Kingdom,21.5 b,42.5 b,:
Annual,Construction,Percentage,Austria,85.5 b,68.2 b,64.8
Annual,Construction,Percentage,Belgium,23.6 b,31.5 b,24.3
Annual,Construction,Percentage,Bulgaria,6.5 b,6.7 b,2.7
Annual,Construction,Percentage,Cyprus,3.2 b,6.9 b,6.1
Annual,Construction,Percentage,Czechia,6.0 b,22.1 b,24.7
Annual,Construction,Percentage,Germany,71.6 b,74.8 b,78.5
Annual,Construction,Percentage,Denmark,78.3 b,67.2 b,74.7
Annual,Construction,Percentage,Estonia,19.7 b,27.1 b,19.6
Annual,Construction,Percentage,Greece,7.9 b,8.0 b,4.7
Annual,Construction,Percentage,Spain,6.8 b,11.2 b,8.0
Annual,Construction,Percentage,European Union - 27 countries (from 2020),34.8 b,39.3 b,40.9
Annual,Construction,Percentage,European Union - 28 countries (2013-2020),34.9 b,39.9 b,:
Annual,Construction,Percentage,Finland,21.4 b,14.8 b,24.4
Annual,Construction,Percentage,France,52.6 b,50.0 b,57.9
Annual,Construction,Percentage,Croatia,15.1 b,14.9 b,9.9
Annual,Construction,Percentage,Hungary,9.1 b,12.9 b,8.2
Annual,Construction,Percentage,Ireland,:,40.9 b,38.9
Annual,Construction,Percentage,Italy,39.7 b,28.7 b,41.4
Annual,Construction,Percentage,Lithuania,0.4 b,3.0 b,1.4
Annual,Construction,Percentage,Luxembourg,29.1 b,26.4 b,31.3
Annual,Construction,Percentage,Latvia,5.3 b,9.9 b,10.8
Annual,Construction,Percentage,North Macedonia,:,6.4 b,6.9
Annual,Construction,Percentage,Malta,16.2 b,18.5 b,10.4
Annual,Construction,Percentage,Netherlands,53.7 b,68.1 b,57.7
Annual,Construction,Percentage,Norway,75.1 b,55.6 b,66.0
Annual,Construction,Percentage,Poland,3.8 b,8.6 b,6.0
Annual,Construction,Percentage,Portugal,16.9 b,12.4 b,16.7
Annual,Construction,Percentage,Romania,2.2 b,2.4 b,2.4
Annual,Construction,Percentage,Serbia,:,:,10.9
Annual,Construction,Percentage,Sweden,26.0 b,41.8 b,37.9 b
Annual,Construction,Percentage,Slovenia,6.6 b,22.6 b,17.0
Annual,Construction,Percentage,Slovakia,19.7 b,24.3 b,20.9
Annual,Construction,Percentage,United Kingdom,35.3 b,45.6 b,:
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Austria,45.9 b,46.2 b,43.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Belgium,17.4 b,17.6 b,21.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Bulgaria,5.2 b,7.1 b,3.9
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Cyprus,3.5 b,10.1 b,14.0
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Czechia,4.7 b,20.9 b,22.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Germany,62.1 b,58.3 b,53.0
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Denmark,51.3 b,39.3 b,38.1
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Estonia,20.6 b,20.7 b,18.9
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Greece,6.9 b,8.8 b,4.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Spain,7.2 b,14.3 b,9.6
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,European Union - 27 countries (from 2020),24.7 b,28.3 b,29.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,European Union - 28 countries (2013-2020),23.4 b,27.9 b,:
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Finland,19.4 b,18.3 b,16.2
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,France,24.5 b,31.9 b,46.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Croatia,16.4 b,14.3 b,11.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Hungary,12.6 b,16.8 b,11.1
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Ireland,:,11.8 b,13.7
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Italy,33.5 b,30.9 b,40.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Lithuania,0.8 b,1.3 b,1.7
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Luxembourg,25.8 b,29.2 b,27.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Latvia,4.8 b,7.6 b,9.4
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,North Macedonia,:,7.7 b,9.1
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Malta,11.9 b,12.6 b,14.7
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Netherlands,35.5 b,54.2 b,42.1
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Norway,24.3 b,19.0 b,27.3
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Poland,5.6 b,9.0 b,7.7
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Portugal,11.8 b,15.0 b,18.9
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Romania,1.9 b,3.3 b,2.2
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Serbia,:,:,8.8
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Sweden,4.9 b,11.3 b,9.8 b
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Slovenia,10.9 b,33.2 b,24.8
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,Slovakia,21.0 b,34.8 b,19.4
Annual,"Wholesale and retail trade, transport, accommodation and food service activities",Percentage,United Kingdom,14.4 b,25.6 b,:
Annual,Information and communication; financial and insurance activities,Percentage,Austria,26.9 b,30.8 b,32.2
Annual,Information and communication; financial and insurance activities,Percentage,Belgium,6.7 b,7.7 b,8.2
Annual,Information and communication; financial and insurance activities,Percentage,Bulgaria,10.4 b,14.1 b,5.9
Annual,Information and communication; financial and insurance activities,Percentage,Cyprus,2.8 b,8.3 b,17.9
Annual,Information and communication; financial and insurance activities,Percentage,Czechia,0.4 b,20.8 b,29.1
Annual,Information and communication; financial and insurance activities,Percentage,Germany,62.0 b,60.8 b,42.3
Annual,Information and communication; financial and insurance activities,Percentage,Denmark,26.8 b,20.3 b,24.4
Annual,Information and communication; financial and insurance activities,Percentage,Estonia,19.8 b,17.7 b,8.7
Annual,Information and communication; financial and insurance activities,Percentage,Greece,7.2 b,7.5 b,9.4
Annual,Information and communication; financial and insurance activities,Percentage,Spain,9.9 b,12.5 b,14.6
Annual,Information and communication; financial and insurance activities,Percentage,European Union - 27 countries (from 2020),20.7 b,26.7 b,28.6
Annual,Information and communication; financial and insurance activities,Percentage,European Union - 28 countries (2013-2020),18.8 b,26.1 b,:
Annual,Information and communication; financial and insurance activities,Percentage,Finland,11.3 b,10.9 b,12.1
Annual,Information and communication; financial and insurance activities,Percentage,France,2.9 b,25.1 b,46.8
Annual,Information and communication; financial and insurance activities,Percentage,Croatia,5.6 b,13.6 b,7.5
Annual,Information and communication; financial and insurance activities,Percentage,Hungary,3.8 b,12.0 b,11.6
Annual,Information and communication; financial and insurance activities,Percentage,Ireland,:,10.7 b,9.9
Annual,Information and communication; financial and insurance activities,Percentage,Italy,34.2 b,32.9 b,44.9
Annual,Information and communication; financial and insurance activities,Percentage,Lithuania,0.4 b,0.3 b,2.8
Annual,Information and communication; financial and insurance activities,Percentage,Luxembourg,9.0 b,8.8 b,9.8
Annual,Information and communication; financial and insurance activities,Percentage,Latvia,3.1 b,9.9 b,19.3
Annual,Information and communication; financial and insurance activities,Percentage,North Macedonia,:,28.0 b,27.5
Annual,Information and communication; financial and insurance activities,Percentage,Malta,20.3 b,23.0 b,22.1
Annual,Information and communication; financial and insurance activities,Percentage,Netherlands,23.5 b,21.1 b,29.2
Annual,Information and communication; financial and insurance activities,Percentage,Norway,12.0 b,12.8 b,15.3
Annual,Information and communication; financial and insurance activities,Percentage,Poland,1.2 b,1.1 b,1.0
Annual,Information and communication; financial and insurance activities,Percentage,Portugal,6.4 b,9.4 b,15.6
Annual,Information and communication; financial and insurance activities,Percentage,Romania,4.0 b,7.6 b,6.0
Annual,Information and communication; financial and insurance activities,Percentage,Serbia,:,:,13.5
Annual,Information and communication; financial and insurance activities,Percentage,Sweden,2.0 b,11.6 b,9.1 b
Annual,Information and communication; financial and insurance activities,Percentage,Slovenia,4.2 b,30.4 b,33.4
Annual,Information and communication; financial and insurance activities,Percentage,Slovakia,6.7 b,30.2 b,24.8
Annual,Information and communication; financial and insurance activities,Percentage,United Kingdom,9.4 b,23.5 b,:
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Austria,24.6 b,17.7 b,21.5
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Belgium,9.4 b,5.9 b,7.7
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Bulgaria,4.7 b,8.8 b,3.1
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Cyprus,9.0 b,9.7 b,24.9
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Czechia,1.7 b,25.5 b,22.4
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Germany,52.4 b,58.8 b,55.3
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Denmark,35.3 b,23.1 b,20.9
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Estonia,12.4 b,13.5 b,7.8
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Greece,6.1 b,14.3 b,7.1
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Spain,5.9 b,9.0 b,11.6
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,European Union - 27 countries (from 2020),18.1 b,26.9 b,27.9
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,European Union - 28 countries (2013-2020),17.7 b,27.2 b,:
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Finland,25.7 b,13.9 b,17.0
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,France,7.0 b,20.7 b,40.8
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Croatia,11.6 b,11.0 b,6.5
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Hungary,3.3 b,7.1 b,4.4
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Ireland,:,18.4 b,19.4
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Italy,23.1 b,28.9 b,33.3
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Lithuania,0.0 b,1.8 b,1.1
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Luxembourg,26.7 b,20.9 b,21.8
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Latvia,4.3 b,7.3 b,11.1
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,North Macedonia,:,13.2 b,10.1
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Malta,22.3 b,18.3 b,18.0
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Netherlands,19.0 b,40.6 b,27.8
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Norway,12.5 b,13.8 b,12.0
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Poland,1.5 b,1.8 b,4.6
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Portugal,8.3 b,15.0 b,15.1
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Romania,3.4 b,5.1 b,5.2
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Serbia,:,:,10.4
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Sweden,2.4 b,10.6 b,12.9 b
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Slovenia,5.3 b,30.8 b,18.3
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,Slovakia,12.5 b,39.0 b,22.3
Annual,"Real estate activities; professional, scientific and technical activities; administrative and support service activities; arts, entertainment and recreation; other service activities",Percentage,United Kingdom,16.0 b,28.5 b,:
Annual,Total - all NACE activities,Percentage,Austria,47.4 b,44.5 b,43.9
Annual,Total - all NACE activities,Percentage,Belgium,15.4 b,16.1 b,17.4
Annual,Total - all NACE activities,Percentage,Bulgaria,6.4 b,7.6 b,3.8
Annual,Total - all NACE activities,Percentage,Cyprus,5.0 b,9.5 b,15.3
Annual,Total - all NACE activities,Percentage,Czechia,4.4 b,24.9 b,26.3
Annual,Total - all NACE activities,Percentage,Germany,62.4 b,63.6 b,58.6
Annual,Total - all NACE activities,Percentage,Denmark,51.3 b,38.6 b,38.8
Annual,Total - all NACE activities,Percentage,Estonia,19.2 b,22.0 b,15.1
Annual,Total - all NACE activities,Percentage,Greece,6.9 b,9.7 b,5.6
Annual,Total - all NACE activities,Percentage,Spain,6.8 b,13.0 b,11.1
Annual,Total - all NACE activities,Percentage,European Union - 27 countries (from 2020),25.1 b,30.5 b,32.4
Annual,Total - all NACE activities,Percentage,European Union - 28 countries (2013-2020),24.2 b,30.5 b,:
Annual,Total - all NACE activities,Percentage,Finland,21.2 b,16.6 b,17.9
Annual,Total - all NACE activities,Percentage,France,22.6 b,32.9 b,48.8
Annual,Total - all NACE activities,Percentage,Croatia,15.3 b,14.4 b,10.8
Annual,Total - all NACE activities,Percentage,Hungary,9.5 b,13.5 b,9.9
Annual,Total - all NACE activities,Percentage,Ireland,:,16.3 b,17.6
Annual,Total - all NACE activities,Percentage,Italy,32.0 b,31.0 b,41.0
Annual,Total - all NACE activities,Percentage,Lithuania,0.6 b,1.9 b,2.3
Annual,Total - all NACE activities,Percentage,Luxembourg,24.1 b,23.6 b,23.8
Annual,Total - all NACE activities,Percentage,Latvia,4.8 b,8.2 b,11.4
Annual,Total - all NACE activities,Percentage,North Macedonia,:,10.6 b,10.4
Annual,Total - all NACE activities,Percentage,Malta,16.0 b,16.1 b,17.1
Annual,Total - all NACE activities,Percentage,Netherlands,33.7 b,50.9 b,41.6
Annual,Total - all NACE activities,Percentage,Norway,31.9 b,27.2 b,34.0
Annual,Total - all NACE activities,Percentage,Poland,4.6 b,7.5 b,6.4
Annual,Total - all NACE activities,Percentage,Portugal,11.9 b,14.8 b,18.3
Annual,Total - all NACE activities,Percentage,Romania,2.6 b,4.0 b,3.5
Annual,Total - all NACE activities,Percentage,Serbia,:,:,11.3
Annual,Total - all NACE activities,Percentage,Sweden,6.6 b,15.6 b,15.4 b
Annual,Total - all NACE activities,Percentage,Slovenia,8.3 b,32.1 b,26.0
Annual,Total - all NACE activities,Percentage,Slovakia,16.2 b,32.8 b,21.3
Annual,Total - all NACE activities,Percentage,United Kingdom,17.6 b,30.5 b,:
