Time frequency,Unit of measure,Body Mass Index,Geopolitical entity (reporting)\Time,2008.0,2014.0,2017.0,2019.0,2022.0
Annual,Percentage,Overweight,European Union - 28 countries (2013-2020),:,51.6,52.0 e,:,:
Annual,Percentage,Overweight,Finland,:,54.7,61.1,59.0,59.8
Annual,Percentage,Overweight,France,43.6,47.2,46.0,47.2,46.4
Annual,Percentage,Overweight,Croatia,:,57.4,60.9,64.8,58.1
Annual,Percentage,Overweight,Hungary,54.9,55.2,56.3,59.9,58.4
Annual,Percentage,Overweight,Ireland,:,55.7,57.1 u,: u,53.0 u
Annual,Percentage,Overweight,Iceland,:,57.6,59.2,62.0,:
Annual,Percentage,Overweight,Italy,:,44.9,40.3,45.7,41.9
Annual,Percentage,Overweight,Lithuania,:,55.6,56.2,56.8,59.4 u
Annual,Percentage,Overweight,Luxembourg,:,48.0,49.3,48.4,49.7
Annual,Percentage,Overweight,Latvia,54.9,56.5,57.0,58.3,60.4
Annual,Percentage,Overweight,Montenegro,:,:,52.8,:,48.1
Annual,Percentage,Overweight,North Macedonia,:,:,55.7,:,:
Annual,Percentage,Overweight,Malta,59.7 u,61.0,62.2,64.8,62.5
Annual,Percentage,Overweight,Netherlands,:,49.4,46.9,50.0,48.3
Annual,Percentage,Overweight,Norway,:,49.3,49.1,50.6,53.5
Annual,Percentage,Overweight,Poland,54.0,54.7,56.1,58.1,58.4 u
Annual,Percentage,Overweight,Portugal,:,53.6,53.3,55.9,53.0
Annual,Percentage,Overweight,Romania,50.3,55.8,62.9,58.7,59.7
Annual,Percentage,Overweight,Serbia,:,:,49.5,53.6,52.5
Annual,Percentage,Overweight,Sweden,:,49.9,57.5,51.3,53.2
Annual,Percentage,Overweight,Slovenia,56.6,56.6,54.5,58.1,55.7
Annual,Percentage,Overweight,Slovakia,50.7,54.2,54.5,58.7,58.4
Annual,Percentage,Overweight,Türkiye,50.6,56.5,:,58.8,58.5
Annual,Percentage,Overweight,United Kingdom,:,55.7,56.1 u,:,:
Annual,Percentage,Obese,Albania,:,:,:,:,12.6
Annual,Percentage,Obese,Austria,12.8,14.7,15.0,17.1,17.7
Annual,Percentage,Obese,Belgium,14.0,14.0,14.7,16.3,15.8
Annual,Percentage,Obese,Bulgaria,11.5,14.8,14.1,13.6,11.7
Annual,Percentage,Obese,Switzerland,:,:,11.3,:,13.5 u
Annual,Percentage,Obese,Cyprus,15.6,14.5,14.7,15.2,13.5
Annual,Percentage,Obese,Czechia,18.3,19.3,20.5 u,19.8,17.8
Annual,Percentage,Obese,Germany,15.8,16.9,20.0,19.0,: u
Annual,Percentage,Obese,Denmark,:,14.9,18.0,16.5,19.4
Annual,Percentage,Obese,Euro area – 20 countries (from 2023),:,:,14.6,:,14.3 e
Annual,Percentage,Obese,Estonia,18.5,20.4,21.0 u,21.8,22.1
Annual,Percentage,Obese,Greece,17.6,17.3,11.6,16.7,12.0
Annual,Percentage,Obese,Spain,15.7,16.7,14.1,16.0,14.9
Annual,Percentage,Obese,European Union - 27 countries (2007-2013),:,:,15.2 e,:,:
Annual,Percentage,Obese,European Union - 27 countries (from 2020),:,15.4,14.9,16.5,14.8 e
Annual,Percentage,Obese,European Union - 28 countries (2013-2020),:,15.9,15.2 e,:,:
Annual,Percentage,Obese,Finland,:,18.3,20.8,20.9,22.0
Annual,Percentage,Obese,France,12.2,15.3,15.3,15.0,15.2
Annual,Percentage,Obese,Croatia,:,18.7,18.2,23.0,16.7
Annual,Percentage,Obese,Hungary,20.0,21.2,20.0,24.5,22.2
Annual,Percentage,Obese,Ireland,:,18.7,15.2 u,: u,19.8 u
Annual,Percentage,Obese,Iceland,:,19.0,21.4,22.3,:
Annual,Percentage,Obese,Italy,:,10.8,5.9,11.7,7.1
Annual,Percentage,Obese,Lithuania,:,17.3,17.5,18.9,20.6 u
Annual,Percentage,Obese,Luxembourg,:,15.6,16.0,16.5,17.0
Annual,Percentage,Obese,Latvia,16.9,21.3,21.5,23.0,23.3
Annual,Percentage,Obese,Montenegro,:,:,10.6,:,7.8
Annual,Percentage,Obese,North Macedonia,:,:,10.5,:,:
Annual,Percentage,Obese,Malta,22.9 u,26.0,25.7,28.7,26.1
Annual,Percentage,Obese,Netherlands,:,13.3,13.0,14.7,13.8
Annual,Percentage,Obese,Norway,:,13.1,13.8,14.1,16.8
Annual,Percentage,Obese,Poland,16.4,17.2,16.9,19.0,18.6 u
Annual,Percentage,Obese,Portugal,:,16.6,15.7,17.7,15.8
Annual,Percentage,Obese,Romania,7.9,9.4,10.4,10.9,10.3
Annual,Percentage,Obese,Serbia,:,:,13.3,17.3,11.7
Annual,Percentage,Obese,Sweden,:,14.0,17.4,15.3,17.2
Annual,Percentage,Obese,Slovenia,16.8,19.2,17.3,19.9,17.9
Annual,Percentage,Obese,Slovakia,15.1,16.3,14.4,19.7,17.1
Annual,Percentage,Obese,Türkiye,16.2,21.2,:,22.3,20.1
Annual,Percentage,Obese,United Kingdom,:,20.1,21.0 u,:,:
