Time frequency,Business function,Enterprise,Statistical classification of economic activities in the European Community (NACE Rev. 2),Economical indicator for structural business statistics,Unit of measure,Geopolitical entity (reporting)\Time,2018.0
Annual,Core and/or support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Portugal,397.0
Annual,Core and/or support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Romania,38.0
Annual,Core and/or support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Sweden,120.0
Annual,Core and/or support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Slovakia,145.0
Annual,Support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Austria,2 u
Annual,Support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Bulgaria,: @C
Annual,Support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Germany,23 u
Annual,Support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Denmark,14.0
Annual,Support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Finland,19.0
Annual,Support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Hungary,6.0
Annual,Support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Italy,85.0
Annual,Support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Lithuania,4.0
Annual,Support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Latvia,6.0
Annual,Support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Netherlands,20.0
Annual,Support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Norway,5.0
Annual,Support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Poland,126.0
Annual,Support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Portugal,115.0
Annual,Support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Romania,12.0
Annual,Support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Sweden,37.0
Annual,Support function,Enterprises that relocated activities,Industry (except construction),Enterprises - number,Number,Slovakia,55.0
Annual,Support function,Enterprises that relocated activities,High and medium high-technology manufacturing,Enterprises - number,Number,Austria,1 u
Annual,Support function,Enterprises that relocated activities,High and medium high-technology manufacturing,Enterprises - number,Number,Denmark,9.0
Annual,Support function,Enterprises that relocated activities,High and medium high-technology manufacturing,Enterprises - number,Number,Finland,10.0
Annual,Support function,Enterprises that relocated activities,High and medium high-technology manufacturing,Enterprises - number,Number,Slovakia,29.0
Annual,Support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Austria,5 u
Annual,Support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Bulgaria,: @C
Annual,Support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Germany,23 u
Annual,Support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Denmark,32.0
Annual,Support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Finland,23.0
Annual,Support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Hungary,13.0
Annual,Support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Italy,43.0
Annual,Support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Lithuania,4.0
Annual,Support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Latvia,15.0
Annual,Support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Netherlands,34.0
Annual,Support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Norway,23.0
Annual,Support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Poland,102.0
Annual,Support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Portugal,158.0
Annual,Support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Romania,16.0
Annual,Support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Sweden,25.0
Annual,Support function,Enterprises that relocated activities,"Construction, services of the business economy except financial and insurance activities",Enterprises - number,Number,Slovakia,36.0
Annual,Support function,Enterprises that relocated activities,Knowledge-intensive market services,Enterprises - number,Number,Austria,3 u
Annual,Support function,Enterprises that relocated activities,Knowledge-intensive market services,Enterprises - number,Number,Denmark,6.0
Annual,Support function,Enterprises that relocated activities,Knowledge-intensive market services,Enterprises - number,Number,Finland,5.0
Annual,Support function,Enterprises that relocated activities,Knowledge-intensive market services,Enterprises - number,Number,Slovakia,9.0
Annual,Support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Austria,7 u
Annual,Support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Bulgaria,10.0
Annual,Support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Germany,45 u
Annual,Support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Denmark,46.0
Annual,Support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Finland,42.0
Annual,Support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Hungary,19.0
Annual,Support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Italy,128.0
Annual,Support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Lithuania,8.0
Annual,Support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Latvia,21.0
Annual,Support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Netherlands,54.0
Annual,Support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Norway,28.0
Annual,Support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Poland,227.0
Annual,Support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Portugal,272.0
Annual,Support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Romania,28.0
Annual,Support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Sweden,62.0
Annual,Support function,Enterprises that relocated activities,Total - all NACE activities,Enterprises - number,Number,Slovakia,91.0
