Time frequency,Currency,Balance of payments item,Sector (ESA 2010),Sector (ESA 2010),Stock or flow,Geopolitical entity (partner),Seasonal adjustment,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Spain,2301.0,3871.0,3052.0,5061.0,1129.0,6382.0,5696.0,6605.0,5530.0,3563.0,4933.0,: @C
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),European Union - 27 countries (from 2020),37474.0,26373.3,40951.8,42699.7,49491.1,17686.9,61573.3,42265.9,32361.9,50762.7,38103.3,37779.9
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Finland,-145.0,297.0,66.0,-669.0,-3409.0,-125.0,1642.0,575.0,573.0,1156.0,-520.0,188.0
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),France,9127.0,-676.0,-3571.0,-2241.0,-1580.0,-11840.0,11868.0,1805.0,-4702.0,3132.0,-6015.0,-2968.0
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Croatia,-360.0,-814.0,-931.0,-1194.0,-1161.0,-732.0,656.0,1583.0,2670.0,527.0,: @C,: @C
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Hungary,-826.9,217.6,1266.9,1498.8,1129.6,802.7,159.7,-216.3,206.9,686.4,511.5,407.4
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Ireland,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Italy,2188.0,-1683.0,2579.0,785.0,2217.0,1685.0,4697.0,6734.0,1861.0,1863.0,5628.0,-332.0
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Lithuania,146.0,91.8,291.8,292.1,-47.5,204.3,466.4,-158.0,185.9,470.7,505.6,-5.0
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Luxembourg,-2394.0,1000.0,-215.0,893.0,28.0,633.0,1446.0,862.0,1251.0,98.0,1198.0,-42.0
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Latvia,73.0,116.0,-23.0,-161.0,-164.0,-87.0,-152.0,-257.0,-122.0,-81.0,-52.0,165.0
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),North Macedonia,-118.1,-42.0,-81.9,-66.5,-50.9,-52.3,-1.7,83.4,132.8,47.2,: @C,: @C
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Malta,-43.7,-60.7,79.8,-46.7,111.7,83.9,329.9,142.4,345.7,-36.9,261.2,222.3
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Netherlands,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Poland,-102.2,1574.6,1722.8,1356.4,658.4,-608.2,439.7,-649.3,-2495.3,-1131.2,1218.9,-523.1
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Portugal,-1318.0,746.0,294.0,725.0,230.0,-221.0,1047.0,824.0,1395.0,1162.0,598.0,225.0
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Romania,-1719.3,-1412.5,-1182.8,-1686.9,-2135.1,-2440.6,-3107.7,-3137.9,-3058.3,-2762.7,-3248.0,-2687.6
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Serbia,-695.0,132.0,-230.0,-363.0,-118.0,-400.0,-382.0,-701.0,-531.0,-779.0,-446.0,-481.0
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Sweden,1968.4,3530.2,3547.5,2817.9,6211.1,7602.3,489.1,3112.8,2438.8,2685.2,2950.4,3016.7
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Slovenia,56.0,247.0,130.6,299.1,351.2,228.6,158.3,516.1,301.4,305.3,504.1,239.5
Monthly,Million euro,Current account,Total economy,Total economy,Balance,Rest of the world,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Slovakia,-597.8,-94.7,107.2,-174.7,115.2,-321.8,6.7,-398.0,-251.7,-244.8,-415.0,-339.4
