Time frequency,Unit of measure,Country of residence,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand,Reporting country,Hotels and similar accommodation,Egypt,:,:,:,:,3844.0,3886.0,3687.0,3273.0,:,:,:,:,:,:,:,:,:,:
Annual,Thousand,Reporting country,Hotels and similar accommodation,Israel,5153.8,5177.7,5100.9,4800.0,4915.3,4943.0,5038.2,5330.6,5506.1,5698.6,6018.1,6150.5,6330.9,6405.8,6507.4,3111.0,6849.8,7411.6
Annual,Thousand,Reporting country,Hotels and similar accommodation,Morocco,1400.0 p,1403.0 p,1502.0,1588.0 p,1702.0 p,1859.0 p,2061.0 p,2265.0 p,2399.0 p,2403.0 p,2645.0 p,3685.0 p,3119.6 p,3247.4 p,3549.5,1437.3,2764.9,3505.0 p
Annual,Thousand,Reporting country,Hotels and similar accommodation,Palestine*,43.5 d,29.2 d,51.7 d,59.0 d,57.0 d,55.5 d,61.9 d,85.4 d,54.9 d,54.0 d,52.0 d,48.0 d,43.0 d,48.0 d,59.0 d,17.0 d,58.0 d,97.0
Annual,Thousand,Reporting country,Hotels and similar accommodation,Tunisia,1224.0,1251.0,1257.0,1313.0,1367.0,1518.0 p,1525.0 p,1903.0 p,1948.9,1995.9,2241.2,2304.8,2702.0,2567.1,2516.6,1343.7,2179.0,:
Annual,Thousand,Reporting country,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Israel,6753.2,6743.1,6681.7,6448.3,6432.7,6588.1,6711.1,6997.0,7112.5,7233.0,7628.6,7850.8,8043.0,8070.6,8243.0,4089.8,8575.0,9360.0
Annual,Thousand,Reporting country,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lebanon,:,:,:,159.0,172.0,171.0,145.0,98.0,88.0,82.0,100.0,113.0,:,:,:,:,:,:
Annual,Thousand,Reporting country,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Morocco,1400.0 dp,1403.0 dp,1502.0 dp,1588.0 dp,1702.0 dp,1859.0 dp,2061.0 dp,2265.0 dp,2399.0 dp,2403.0 dp,2645.0 dp,3685.0 dp,3119.6 dp,3247.4 dp,3549.5,1437.3,2764.9,3505.0 p
Annual,Thousand,Total,Hotels and similar accommodation,Algeria,2726.6,2887.2,3023.1,3167.6,3347.9,3528.0,3762.3,3959.5,4119.4,4173.6,4216.7,4320.2,4423.3,4513.5,4299.1,1736.8,:,:
Annual,Thousand,Total,Hotels and similar accommodation,Egypt,10437.0,11251.0,14621.0,15137.0,15523.0,16749.0,11970.0,9742.0,10164.0,11484.0,9677.0,7134.0,:,:,:,:,:,:
Annual,Thousand,Total,Hotels and similar accommodation,Israel,7158.5,7309.0,7848.4,8172.9,7536.1,8180.0,8270.1,8501.1,8641.5,8718.1,8710.1,8967.0,10011.1,10539.9,10946.7,3924.9,7127.2,9791.3
Annual,Thousand,Total,Hotels and similar accommodation,Morocco,4870.0 p,5218.0 p,5412.0,5412.0 p,5371.0 p,5936.0 p,5517.0 p,5835.0 p,6409.0 p,6607.0 p,6313.0 p,6614.4 p,7751.9 p,8606.2 p,9155.9,2517.9,3640.0,6929.0 p
Annual,Thousand,Total,Hotels and similar accommodation,Palestine*,131.9 d,151.8 d,315.9 d,446.1 d,452.6 d,577.4 d,510.4 d,575.5 d,600.4 d,610.0 d,484.0 d,448.0 d,546.0 d,654.0 d,747.0 d,110.0 d,181.0 d,459.0
Annual,Thousand,Total,Hotels and similar accommodation,Tunisia,6667.0,6666.0,6793.0,6916.0,6409.0,6667.0 p,4147.7 p,5989.7 p,5900.4,5908.9,4384.3,4588.5,5518.4,6388.9,6998.6,1985.4,2958.3,:
Annual,Thousand,Total,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Israel,8986.7,9147.2,9756.4,10225.2,9460.6,10267.9,10411.1,10654.9,10747.3,10836.2,10893.9,11281.5,12524.0,12974.3,13523.5,4934.7,8941.5,12082.9
Annual,Thousand,Total,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lebanon,:,:,:,635.0,770.0,878.0,749.0,573.0,567.0,622.0,701.0,815.0,:,:,:,:,:,:
Annual,Thousand,Total,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Morocco,4870.0 dp,5218.0 dp,5412.0 dp,5412.0 dp,5371.0 dp,5936.0 dp,5517.0 dp,5835.0 dp,6409.0 dp,6607.0 dp,6313.0 dp,6614.4 dp,7751.9 dp,8606.2 dp,9155.9,2517.9,3640.0,6929.0 p
