Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 2),Unit of measure,Geopolitical entity (reporting)\Time,2008.0,2009.0,2010.0,2011.0
Annual,Manufacture of beverages,Number,Denmark,29.0,20.0,33.0,56.0
Annual,Manufacture of beverages,Number,Estonia,0.0,0.0,0.0,2.0
Annual,Manufacture of beverages,Number,Greece,214.0,349.0,207.0,233.0
Annual,Manufacture of beverages,Number,Spain,359.0,442.0,516.0,574.0
Annual,Manufacture of beverages,Number,Finland,0.0,4.0,6.0,17.0
Annual,Manufacture of beverages,Number,France,248.0,:,402.0,514.0
Annual,Manufacture of beverages,Number,Hungary,:,44.0,44.0,36.0
Annual,Manufacture of beverages,Number,Ireland,3.0,3.0,:,:
Annual,Manufacture of beverages,Number,Italy,903.0,1009.0,868.0,1196.0
Annual,Manufacture of beverages,Number,Lithuania,0.0,:,2.0,:
Annual,Manufacture of beverages,Number,Latvia,:,:,0.0,2.0
Annual,Manufacture of beverages,Number,Netherlands,60.0,72.0,72.0,93.0
Annual,Manufacture of beverages,Number,Norway,4.0,7.0,11.0,11.0
Annual,Manufacture of beverages,Number,Poland,:,4.0,2.0,7.0
Annual,Manufacture of beverages,Number,Romania,2.0,6.0,2.0,5.0
Annual,Manufacture of beverages,Number,Sweden,16.0,22.0,51.0,50.0
Annual,Manufacture of beverages,Number,Slovenia,:,7.0,3.0,3.0
Annual,Manufacture of beverages,Number,Slovakia,3.0,5.0,7.0,4.0
Annual,Manufacture of beverages,Number,United Kingdom,194.0,196.0,167.0,152.0
Annual,Manufacture of wine from grape,Number,Belgium,:,0.0,:,:
Annual,Manufacture of wine from grape,Number,Bulgaria,:,:,0.0,0.0
Annual,Manufacture of wine from grape,Number,Czechia,61.0,77.0,80.0,77.0
Annual,Manufacture of wine from grape,Number,Greece,:,311.0,197.0,207.0
Annual,Manufacture of wine from grape,Number,Spain,:,408.0,456.0,511.0
Annual,Manufacture of wine from grape,Number,Finland,:,0.0,:,:
Annual,Manufacture of wine from grape,Number,France,179.0,:,:,230.0
Annual,Manufacture of wine from grape,Number,Hungary,:,30.0,30.0,27.0
Annual,Manufacture of wine from grape,Number,Ireland,0.0,:,:,:
Annual,Manufacture of wine from grape,Number,Italy,588.0,764.0,628.0,709.0
Annual,Manufacture of wine from grape,Number,Netherlands,10.0,9.0,9.0,19.0
Annual,Manufacture of wine from grape,Number,Norway,0.0,0.0,0.0,0.0
Annual,Manufacture of wine from grape,Number,Poland,:,0.0,0.0,0.0
Annual,Manufacture of wine from grape,Number,Romania,2.0,4.0,2.0,5.0
Annual,Manufacture of wine from grape,Number,Sweden,:,:,2.0,2.0
Annual,Manufacture of wine from grape,Number,Slovenia,:,7.0,:,0.0
Annual,Manufacture of wine from grape,Number,Slovakia,2.0,2.0,2.0,2.0
