Time frequency,Unit of measure,Forestry indicators,Protected or protective area,Geopolitical entity (reporting)\Time,1990.0,2000.0,2005.0,2010.0,2015.0
Annual,Thousand hectares,Forest,Protected area,Slovakia,:,860.7,835.7,845.6,853.7
Annual,Thousand hectares,Forest,Protected area,United Kingdom,:,:,:,518.0,518 e
Annual,Thousand hectares,Forest,Protected area - biodiversity,Austria,:,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest,Protected area - biodiversity,Belgium,:,8.3,12.3,16.03,21.6
Annual,Thousand hectares,Forest,Protected area - biodiversity,Bulgaria,108.0,146.0,135.0,155.0,153 e
Annual,Thousand hectares,Forest,Protected area - biodiversity,Cyprus,3.06,13.97,16.84,16.84,16.84
Annual,Thousand hectares,Forest,Protected area - biodiversity,Czechia,:,152.98,163.6,162.4,163.1
Annual,Thousand hectares,Forest,Protected area - biodiversity,Germany,:,2139.0,2807.0,3306.0,3306.0
Annual,Thousand hectares,Forest,Protected area - biodiversity,Denmark,0.57,13.95,39.65,33.01,36.07
Annual,Thousand hectares,Forest,Protected area - biodiversity,Estonia,0.0,184.54,229.04,264.74,287.2
Annual,Thousand hectares,Forest,Protected area - biodiversity,Greece,139.0,152.0,159.0,164.0,164.0
Annual,Thousand hectares,Forest,Protected area - biodiversity,Spain,1341.76,:,3200.3,3377.21,3408.8
Annual,Thousand hectares,Forest,Protected area - biodiversity,European Union - 27 countries (from 2020),2675.57,11762.64,16759.79,21694.71,22945.19
Annual,Thousand hectares,Forest,Protected area - biodiversity,European Union - 28 countries (2013-2020),2675.57,11762.64,16759.79,21984.71,23235.19
Annual,Thousand hectares,Forest,Protected area - biodiversity,Finland,:,2011.0,2211.0,2945.0,2945.0
Annual,Thousand hectares,Forest,Protected area - biodiversity,France,:,:,:,3515.6,3515.6 e
Annual,Thousand hectares,Forest,Protected area - biodiversity,Croatia,163.0,196.0,211.0,227.0,268.0
Annual,Thousand hectares,Forest,Protected area - biodiversity,Hungary,64.16,149.77,238.35,661.64,662.72
Annual,Thousand hectares,Forest,Protected area - biodiversity,Ireland,4.25,6.47,6.47,6.47,6.47
Annual,Thousand hectares,Forest,Protected area - biodiversity,Italy,:,2874.0,3062.0,3265.0,3265.0
Annual,Thousand hectares,Forest,Protected area - biodiversity,Lithuania,:,167.0,193.0,201.0,203.0
Annual,Thousand hectares,Forest,Protected area - biodiversity,Luxembourg,0.0,0.0,0.0,:,:
Annual,Thousand hectares,Forest,Protected area - biodiversity,Latvia,:,418.73,354.05,371.59,386.91
Annual,Thousand hectares,Forest,Protected area - biodiversity,Netherlands,:,50.0,54.0,57.0,59.0
Annual,Thousand hectares,Forest,Protected area - biodiversity,Poland,30.0,277.0,295.0,299.4,299.7
Annual,Thousand hectares,Forest,Protected area - biodiversity,Portugal,:,615.8,615.8,:,1068.85
Annual,Thousand hectares,Forest,Protected area - biodiversity,Romania,:,:,398.4,398.4 e,398.4 e
Annual,Thousand hectares,Forest,Protected area - biodiversity,Sweden,752.07,1788.83,1866.59,2024.28,2073.93
Annual,Thousand hectares,Forest,Protected area - biodiversity,Slovenia,69.7,84.4,157.0,156.1,165.2
Annual,Thousand hectares,Forest,Protected area - biodiversity,Slovakia,:,312.9,334.4,71.0,70.8
Annual,Thousand hectares,Forest,Protected area - biodiversity,United Kingdom,:,:,:,290.0,290 e
Annual,Thousand hectares,Forest,Protected area - landscape features,Belgium,:,27.2,27.3,26.32,26.32
Annual,Thousand hectares,Forest,Protected area - landscape features,Bulgaria,23.0,93.0,145.0,425.0,425 e
Annual,Thousand hectares,Forest,Protected area - landscape features,Cyprus,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest,Protected area - landscape features,Czechia,:,562.68,588.5,588.5,588.5
Annual,Thousand hectares,Forest,Protected area - landscape features,Germany,:,4686.0,5273.0,5958.0,5958 e
Annual,Thousand hectares,Forest,Protected area - landscape features,Denmark,0.0,0.0,70.53,77.36,79.15
Annual,Thousand hectares,Forest,Protected area - landscape features,Estonia,:,124.81,201.44,197.52,177.4
Annual,Thousand hectares,Forest,Protected area - landscape features,Spain,0.0,:,0.0,117.32,118.42
Annual,Thousand hectares,Forest,Protected area - landscape features,European Union - 27 countries (from 2020),349.8,9547.02,11937.41,14796.85,14806.26
Annual,Thousand hectares,Forest,Protected area - landscape features,European Union - 28 countries (2013-2020),349.8,9547.02,11937.41,14884.35,5618.37
Annual,Thousand hectares,Forest,Protected area - landscape features,Finland,:,579.0,1026.0,867.0,867.0
Annual,Thousand hectares,Forest,Protected area - landscape features,France,:,:,:,2664.39,2664.39 e
Annual,Thousand hectares,Forest,Protected area - landscape features,Croatia,1.0,3.0,3.0,4.0,4.0
Annual,Thousand hectares,Forest,Protected area - landscape features,Hungary,252.05,172.85,186.06,210.39,211.65
Annual,Thousand hectares,Forest,Protected area - landscape features,Italy,:,:,897.86,897.86,897.86
Annual,Thousand hectares,Forest,Protected area - landscape features,Lithuania,:,155.0,177.0,174.0,174.0
Annual,Thousand hectares,Forest,Protected area - landscape features,Luxembourg,0.0,0.0,0.0,:,:
Annual,Thousand hectares,Forest,Protected area - landscape features,Latvia,:,142.33,157.58,159.2,162.49
Annual,Thousand hectares,Forest,Protected area - landscape features,Netherlands,:,33.0,33.0,33.0,33.0
Annual,Thousand hectares,Forest,Protected area - landscape features,Poland,:,1346.0,1403.0,1308.0,1307.8
Annual,Thousand hectares,Forest,Protected area - landscape features,Portugal,:,938.4,938.4,:,1.26
Annual,Thousand hectares,Forest,Protected area - landscape features,Romania,:,:,140.5,140.5 e,140.5 e
Annual,Thousand hectares,Forest,Protected area - landscape features,Sweden,73.75,84.95,86.84,92.79,94.82
Annual,Thousand hectares,Forest,Protected area - landscape features,Slovenia,:,51.0,81.1,81.1,91.8
Annual,Thousand hectares,Forest,Protected area - landscape features,Slovakia,:,547.8,501.3,774.6,782.9
Annual,Thousand hectares,Forest,Protected area - landscape features,United Kingdom,:,:,:,228.0,228 e
Annual,Thousand hectares,Forest and other wooded land,Protected area,Austria,:,1019.1,1019.1,658.6,834.77
Annual,Thousand hectares,Forest and other wooded land,Protected area,Belgium,:,35.5 e,39.6 e,42.35 e,47.92 e
Annual,Thousand hectares,Forest and other wooded land,Protected area,Bulgaria,131.0,239.0,280.0,580.0,578 e
Annual,Thousand hectares,Forest and other wooded land,Protected area,Cyprus,8.17,21.52,26.41,26.41,26.41
Annual,Thousand hectares,Forest and other wooded land,Protected area,Czechia,:,715.66,752.1,750.9,751.6
Annual,Thousand hectares,Forest and other wooded land,Protected area,Germany,:,6825.0,8080.0,9264.0,9264 e
Annual,Thousand hectares,Forest and other wooded land,Protected area,Denmark,2.01,15.39,120.88,120.26,123.71
Annual,Thousand hectares,Forest and other wooded land,Protected area,Estonia,:,360.91,506.84,548.59,553.97
Annual,Thousand hectares,Forest and other wooded land,Protected area,Greece,139.0,152.0,192.0,197.0,197.0
Annual,Thousand hectares,Forest and other wooded land,Protected area,Spain,2437.88,0.0,5006.24,5463.43,5481.4
Annual,Thousand hectares,Forest and other wooded land,Protected area,European Union - 27 countries (from 2020),5024.41,23007.16,32989.93,40462.31,41885.88
Annual,Thousand hectares,Forest and other wooded land,Protected area,European Union - 28 countries (2013-2020),5024.41,23007.16,32989.93,40752.28,42175.88
Annual,Thousand hectares,Forest and other wooded land,Protected area,Finland,:,3068.0,3861.0,4327.0,4327.0
Annual,Thousand hectares,Forest and other wooded land,Protected area,France,:,:,:,6179.99 e,6179.99 e
Annual,Thousand hectares,Forest and other wooded land,Protected area,Croatia,195.0,239.0,259.0,279.0,320.0
Annual,Thousand hectares,Forest and other wooded land,Protected area,Hungary,316.21 e,322.62 e,424.41 e,872.06 e,874.37 e
Annual,Thousand hectares,Forest and other wooded land,Protected area,Ireland,4.25 e,6.47 e,6.47 e,6.47 e,6.47 e
Annual,Thousand hectares,Forest and other wooded land,Protected area,Italy,838.0,2874 e,4502.62,4705.63,4705.63
Annual,Thousand hectares,Forest and other wooded land,Protected area,Lithuania,:,322 e,370 e,375 e,377 e
Annual,Thousand hectares,Forest and other wooded land,Protected area,Luxembourg,0.0,0.2,2.0,2 e,2 e
Annual,Thousand hectares,Forest and other wooded land,Protected area,Latvia,:,561.06 e,511.63 e,530.79 e,549.40 e
Annual,Thousand hectares,Forest and other wooded land,Protected area,Netherlands,:,83.0,87.0,90.0,92.0
Annual,Thousand hectares,Forest and other wooded land,Protected area,Poland,30.0,1623.0,1698.0,1607.4,1607.5
Annual,Thousand hectares,Forest and other wooded land,Protected area,Portugal,:,1583.6,1583.6,0.0,1070.11
Annual,Thousand hectares,Forest and other wooded land,Protected area,Romania,:,:,538.9 e,538.9 e,538.9 e
Annual,Thousand hectares,Forest and other wooded land,Protected area,Sweden,853.19,1944.03,2027.33,2192.73,2245.03
Annual,Thousand hectares,Forest and other wooded land,Protected area,Slovenia,69.7,135.4,259.1,258.2,278.0
Annual,Thousand hectares,Forest and other wooded land,Protected area,Slovakia,:,860.7,835.7,845.6,853.7
Annual,Thousand hectares,Forest and other wooded land,Protected area,United Kingdom,:,:,:,290 e,290 e
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Austria,:,116.6,116.6,291.2,501.58
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Belgium,:,8.3 e,12.3 e,16.03 e,21.6 e
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Bulgaria,108.0,146.0,135.0,155.0,153 e
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Cyprus,8.17,21.52,26.41,26.41,26.41
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Czechia,:,152.98,163.6,162.4,163.1
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Germany,:,2139.0,2807.0,3306.0,3306 e
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Denmark,2.01,15.39,41.09,34.32,37.11
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Estonia,:,216.44,268.95,312.83,334.02
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Greece,139.0,152.0,159.0,164.0,164.0
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Spain,2437.88,0.0,5006.24,5253.47,5271.03
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,European Union - 27 countries (from 2020),3835.66,12516.53,19719.47,24954.22,26400.13
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,European Union - 28 countries (2013-2020),3835.66,12516.53,19719.47,25244.22,26690.13
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Finland,:,2475.0,2652.0,3451.0,3451.0
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,France,:,:,:,3515.6 e,3515.6 e
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Croatia,194.0,236.0,256.0,275.0,316.0
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Hungary,64.16 e,149.77 e,238.35 e,661.64 e,662.72 e
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Ireland,4.25 e,6.47 e,6.47 e,6.47 e,6.47 e
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Italy,:,2874 e,3443.4,3646.41,3646.41
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Lithuania,:,167 e,193 e,201 e,203 e
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Luxembourg,0.0,0.2,2.0,2 e,2 e
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Latvia,:,418.73 e,354.05 e,371.59 e,386.91 e
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Netherlands,:,50.0,54.0,57.0,59.0
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Poland,30.0,277.0,295.0,299.4,299.7
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Portugal,:,638.7,638.7,0.0,1068.85
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Romania,:,:,398.4 e,398.4 e,398.4 e
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Sweden,778.49,1858.13,1939.51,2098.95,2149.22
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Slovenia,69.7,84.4,178.0,177.1,186.2
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,Slovakia,:,312.9,334.4,71.0,70.8
Annual,Thousand hectares,Forest and other wooded land,Protected area - biodiversity,United Kingdom,:,:,:,290 e,290 e
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Austria,:,902.5,902.5,367.4,333.19
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Belgium,:,27.2,27.3,26.32,26.32
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Bulgaria,23.0,93.0,145.0,425.0,425.0
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Cyprus,0.0,0.0,0.0,0.0,0.0
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Czechia,:,562.68,588.5,588.5,588.5
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Germany,:,4686.0,5273.0,5958.0,5958.0
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Denmark,0.0,0.0,79.79,85.94,86.6
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Estonia,:,144.47,237.89,235.76,219.95
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Greece,:,:,33.0,33.0,33.0
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Spain,0.0,:,0.0,209.96,210.37
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,European Union - 27 countries (from 2020),1188.75,10490.63,13270.46,15508.06,15485.75
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,European Union - 28 countries (2013-2020),1188.75,10490.63,13270.46,15508.06,15485.75
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Finland,:,593.0,1209.0,876.0,876.0
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,France,:,:,:,2664.39,2664.39
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Croatia,1.0,3.0,3.0,4.0,4.0
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Hungary,252.05,172.85,186.06,210.39,211.65
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Italy,838.0,:,1059.22,1059.22,1059.22
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Lithuania,:,155.0,177.0,174.0,174.0
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Luxembourg,0.0,0.0,0.0,:,:
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Latvia,:,142.33,157.58,159.2,162.49
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Netherlands,:,33.0,33.0,33.0,33.0
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Poland,:,1346.0,1403.0,1308.0,1307.8
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Portugal,:,944.9,944.9,:,1.26
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Romania,:,:,140.5,140.5,140.5
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Sweden,74.7,85.9,87.82,93.78,95.81
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Slovenia,:,51.0,81.1,81.1,91.8
Annual,Thousand hectares,Forest and other wooded land,Protected area - landscape features,Slovakia,:,547.8,501.3,774.6,782.9
