Time frequency,Unit of measure,International Standard Classification of Education (ISCED 2011),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Greece,0.0 d,0.0,0.0 d,0.0 d,0.0,0.0,0.0,0.0,:,:
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Spain,4.0,4.0,4.9,4.5,4.4,4.7,4.4,4.0,4.0,4.8
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),European Union - 27 countries (from 2020),7.9 d,7.7 d,9.7 d,9.7 d,:,4.6,4.4,5.4,5.1 d,5.1 d
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),European Union - 28 countries (2013-2020),:,:,:,:,:,4.5,4.3,5.3,:,:
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Finland,8.2,8.3,8.0,7.8,8.0,6.9,5.9,5.8,5.7,5.5
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),France,3.9,4.2,4.2,4.3,4.2,4.2,4.3,4.3,4.9,4.4
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Croatia,:,:,:,:,0.0 d,: m,: m,0.1,0.1,0.1
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Hungary,4.4,4.5,2.9,3.2,2.5,2.1,1.9,2.9,1.8,2.3
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Ireland,17.5,17.1,17.9,19.8,18.6,17.3,17.1,17.4,17.6,15.7
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Iceland,5.9,6.0,5.7,4.9,4.0,2.4,3.4,1.6,1.3,1.3
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Italy,3.4,2.7,3.8,3.2,3.2,2.8,3.1,3.4,3.4,3.5
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Lithuania,3.2,3.0,2.9,3.3,2.9,2.7,2.5,2.4,1.8,2.2
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Luxembourg,1.6,2.5,1.6,1.7,2.3,1.6,1.5,1.6,1.5,1.5
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Latvia,10.7,9.7,6.9,8.9,11.1,9.7,8.2,8.5,9.1,8.7
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Malta,11.0,9.5,12.4,10.1,10.8,11.0,9.6,10.0,8.0,8.1
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Netherlands,15.5,16.4,19.2,15.9,19.2,14.7,20.5,17.0,15.7,16.1
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Norway,17.2,9.5 d,9.3,11.5,10.8,11.1,10.8,11.5,12.8,12.7
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Poland,0.9,1.1,1.1 d,1.0,0.8,0.7,0.7,0.8,0.6,0.6
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Portugal,2.4 d,3.2,4.6,4.6,6.0,6.9,5.3,6.8,8.5,7.2
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Romania,5.9,5.1,0.8,1.0,1.7,4.8,4.4,4.2,4.4,6.3
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Serbia,:,:,:,0.0,:,: d,:,:,:,:
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Sweden,14.9,14.7,15.4,15.0,14.0,14.0,14.1,15.3,17.0,17.4
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Slovenia,8.1,6.2,10.1,13.2,13.4,12.5,18.1,17.8,16.5,18.1
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Slovakia,:,7.3,6.2,6.0,6.5,8.1,7.8,6.9,6.1,6.2
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Türkiye,4.6,4.2,4.6,5.5,4.6,5.4,4.7,4.9,4.6,5.2
Annual,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),United Kingdom,0.0,: m,0.0,3.0 b,0.1,0.1,0.5,0.4,:,:
Annual,Percentage,Tertiary education (levels 5-8),Austria,8.5,7.8,8.6,8.1,7.9,8.1,8.6,10.9,11.6,10.0
Annual,Percentage,Tertiary education (levels 5-8),Belgium,14.9,15.2,15.3,15.6,15.3,14.7,14.6,16.4,14.8,15.8
Annual,Percentage,Tertiary education (levels 5-8),Bulgaria,19.8,16.6,14.1,13.9,14.5,10.8,11.2,10.8,11.4,12.1
Annual,Percentage,Tertiary education (levels 5-8),Switzerland,:,2.4,2.2,2.1,2.1,2.1,2.0,:,1.9,1.9
Annual,Percentage,Tertiary education (levels 5-8),Cyprus,29.1,25.9,24.8,26.4,21.6,17.3,20.6,20.1,19.1,17.2
Annual,Percentage,Tertiary education (levels 5-8),Czechia,1.7,2.0,2.1,2.0,2.1,2.1,1.5,1.4,1.6,1.5
Annual,Percentage,Tertiary education (levels 5-8),Germany,19.8,19.4,19.0,19.0,18.1,17.9,17.5,18.8,20.0,18.1
Annual,Percentage,Tertiary education (levels 5-8),Denmark,:,32.6,33.3,:,31.1,33.5,33.4,32.9,35.3,32.7
Annual,Percentage,Tertiary education (levels 5-8),Estonia,9.6,9.1,8.9,10.8,11.3,5.3,4.4,4.3,3.7,3.0
Annual,Percentage,Tertiary education (levels 5-8),Greece,0.9 d,1.3 d,1.1 d,0.3 d,:,1.3,0.9,1.0,:,:
Annual,Percentage,Tertiary education (levels 5-8),Spain,10.2,9.5,11.4,11.1,11.3,11.2,11.5,11.1,11.1,12.1
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),18.8 d,26.1 d,22.7 d,32.6 d,:,15.6,14.9,17.6,18.8 d,12.3 d
Annual,Percentage,Tertiary education (levels 5-8),European Union - 28 countries (2013-2020),:,:,:,:,:,17.7,17.0,19.6,:,:
Annual,Percentage,Tertiary education (levels 5-8),Finland,13.3,13.2,14.0,15.0,15.3,12.9,9.0,9.0,8.6,8.6
Annual,Percentage,Tertiary education (levels 5-8),France,8.4,8.3 d,8.5,8.7,8.8,8.7,8.5,8.3,9.1,9.0
Annual,Percentage,Tertiary education (levels 5-8),Croatia,:,: d,: d,:,0.0 d,2.0,1.2,1.3,4.0,3.9
Annual,Percentage,Tertiary education (levels 5-8),Hungary,15.3,12.9,14.0,15.3,11.0,14.7,10.7,16.4,17.5,8.3
Annual,Percentage,Tertiary education (levels 5-8),Ireland,17.9,19.0,19.3,38.8,38.7,36.8,34.7,33.6,32.8,42.1
Annual,Percentage,Tertiary education (levels 5-8),Iceland,24.8,25.1 d,23.4,21.5,25.0,16.4,15.5,12.8,14.8,14.3
Annual,Percentage,Tertiary education (levels 5-8),Italy,23.0,22.6,23.7,24.9,25.6,26.1,27.9,29.0,28.9,31.2
Annual,Percentage,Tertiary education (levels 5-8),Liechtenstein,: d,: d,: d,: d,: d,:,:,:,:,:
Annual,Percentage,Tertiary education (levels 5-8),Lithuania,8.0,7.9,7.0,8.1,10.9,11.1,9.5,9.2,7.1,7.9
Annual,Percentage,Tertiary education (levels 5-8),Luxembourg,10.9,:,7.0,4.8,5.3,5.6,6.0,5.8,5.7,5.3
Annual,Percentage,Tertiary education (levels 5-8),Latvia,14.5,11.1,8.4,6.5,8.8,8.1,5.4,5.1,4.8,5.8
Annual,Percentage,Tertiary education (levels 5-8),Malta,15.6,14.3,15.3,13.2,12.0,12.7,12.7,10.8,12.6,13.2
Annual,Percentage,Tertiary education (levels 5-8),Netherlands,26.3,27.6,30.4,28.1,34.4,28.7,33.3,29.1,27.9,26.3
Annual,Percentage,Tertiary education (levels 5-8),Norway,39.5 d,36.5,40.9,28.3,27.5,28.2,28.0,28.3,30.9,32.1
Annual,Percentage,Tertiary education (levels 5-8),Poland,12.8,11.9,11.6,10.7,11.9,11.3,10.9,8.8,8.6,8.0
Annual,Percentage,Tertiary education (levels 5-8),Portugal,:,17.8,15.7 d,16.2 d,12.7,12.7,12.8,12.4,12.0,12.7
Annual,Percentage,Tertiary education (levels 5-8),Romania,10.1,11.0,6.7,5.7,5.7,10.4,10.3,8.8,9.0,8.8
Annual,Percentage,Tertiary education (levels 5-8),Serbia,:,:,:,0.0,:,: d,:,:,:,:
Annual,Percentage,Tertiary education (levels 5-8),Sweden,25.4,25.8,25.7,27.1,26.6,26.7,26.7,27.3,28.7,29.1
Annual,Percentage,Tertiary education (levels 5-8),Slovenia,15.5,13.0,12.5,11.2,10.7,9.5,13.3,13.2,12.7,12.1
Annual,Percentage,Tertiary education (levels 5-8),Slovakia,:,14.8,14.0,8.9,13.0,12.3,11.7,10.9,10.2,9.7
Annual,Percentage,Tertiary education (levels 5-8),Türkiye,: d,14.6,15.2,16.7 d,15.8,15.3,18.0,17.0,14.4,13.6
Annual,Percentage,Tertiary education (levels 5-8),United Kingdom,26.8,28.6,62.9,64.6 b,64.3,65.3,65.1,66.5,:,:
