Time frequency,Customer,Components of energy prices,product,unit,geo\TIME_PERIOD,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Non-household,Network distribution costs,6000.0,PC,LT,58.709,56.4225,58.6336,57.8331,59.9005,56.4,78.0247
Annual,Non-household,Network distribution costs,6000.0,PC,LU,91.88,89.12,82.49,91.01,81.13,79.66,80.66
Annual,Non-household,Network distribution costs,6000.0,PC,LV,68.277,69.38,70.14,68.17,69.3,69.77,68.2
Annual,Non-household,Network distribution costs,6000.0,PC,MD,100.0,100.0,100.0,100.0,100.0,94.5837,94.2954
Annual,Non-household,Network distribution costs,6000.0,PC,ME,:,82.87,:,:,83.0,83.0,83.0
Annual,Non-household,Network distribution costs,6000.0,PC,MK,84.7471,83.839,83.5,14.29,81.2547,81.54,78.2
Annual,Non-household,Network distribution costs,6000.0,PC,NL,82.0000 e,82.0000 e,82.0000 e,82.0000 e,82.0000 e,82.0000 e,82.0
Annual,Non-household,Network distribution costs,6000.0,PC,NO,66.6,59.2923,50.6265,45.7,39.5,48.3372,58.8318
Annual,Non-household,Network distribution costs,6000.0,PC,PL,69.1911,71.7748,85.7483,85.603,69.5705,69.326,72.393
Annual,Non-household,Network distribution costs,6000.0,PC,PT,76.0,73.0,74.5,72.9,75.4,74.1,72.5
Annual,Non-household,Network distribution costs,6000.0,PC,RO,83.2659 e,69.1293 e,70.5841 e,72.2509 e,72.1625 e,78.2054 e,76.4672 e
Annual,Non-household,Network distribution costs,6000.0,PC,RS,91.9025,90.8738,92.4416,92.4075,90.3672,87.3952,91.7054
Annual,Non-household,Network distribution costs,6000.0,PC,SE,87.79,87.79,87.79,87.79,88.31,88.31,88.31
Annual,Non-household,Network distribution costs,6000.0,PC,SI,75.4,75.6,74.5,73.5,72.0161,74.7,74.8
Annual,Non-household,Network distribution costs,6000.0,PC,SK,80.3600 e,80.39,80.32,83.0,82.48,81.9,89.48
Annual,Non-household,Network distribution costs,6000.0,PC,TR,83.02,83.8870 e,83.5,81.9016,82.87,82.6,78.52
Annual,Non-household,Network distribution costs,6000.0,PC,UK,69.7509,70.0,70.0,:,:,:,:
Annual,Non-household,Network distribution costs,6000.0,PC,XK,69.0771,76.0433,62.8182,64.7275,69.2365,83.9564,77.3834
Annual,Non-household,Network transmission costs,4100.0,PC,AL,:,:,:,:,100.0000 e,:,:
Annual,Non-household,Network transmission costs,4100.0,PC,AT,19.0000 e,20.0000 e,21.0000 e,20.5000 e,20.2000 e,28.7000 e,28.7000 e
Annual,Non-household,Network transmission costs,4100.0,PC,BA,66.0,66.0,69.0,69.0,67.0,77.0,78.0
Annual,Non-household,Network transmission costs,4100.0,PC,BE,31.9361 e,30.3213,30.3,31.4168,31.78,31.2,31.0
Annual,Non-household,Network transmission costs,4100.0,PC,BG,44.76,44.73,37.6761,45.0887,48.3866,45.2923,49.9363
Annual,Non-household,Network transmission costs,4100.0,PC,CZ,7.7665,5.5809,5.7748,93.9955,7.3637,8.5264,13.2194
Annual,Non-household,Network transmission costs,4100.0,PC,DE,:,:,15.14,15.85,13.5,21.6,17.71
Annual,Non-household,Network transmission costs,4100.0,PC,DK,11.0,13.0,13.0,13.0,16.0,13.0,17.0
Annual,Non-household,Network transmission costs,4100.0,PC,EE,36.0,36.0,47.0,47.0,47.0,47.0000 u,47.0000 u
Annual,Non-household,Network transmission costs,4100.0,PC,EL,: @C,51.48,41.69,30.42,27.3277,24.8903,29.0453
Annual,Non-household,Network transmission costs,4100.0,PC,ES,:,:,36.4600 e,36.7988,36.61,32.3686,29.684
Annual,Non-household,Network transmission costs,4100.0,PC,FI,91.5000 e,91.5,91.5,90.0,70.0,75.0,70.0
Annual,Non-household,Network transmission costs,4100.0,PC,FR,42.1362,45.4277,43.2305,41.8077,46.498,41.4942,49.3625
Annual,Non-household,Network transmission costs,4100.0,PC,GE,:,18.0,18.0,35.0,13.8,15.0,11.0
Annual,Non-household,Network transmission costs,4100.0,PC,HR,36.58,35.64,29.89,26.1022,38.69,45.71,44.87
