Time frequency,Unit of measure,Statistical information,Age class,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,European Union - 27 countries (from 2020),: u,61.1,56.6,57.2,58.5,60.3,58.3,55.3,51.8,50.4,53.0,53.9,50.7,50.1,49.5,48.6,48.3,46.2,47.8,47.7,47.8
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Finland,6.2,15.3,10.6,12.5,10.1,5.7,4.5,4.4,3.8,4.1,9.4,19.4,10.0,9.7,9.7,13.2,5.2,5.5,28.1,22.2,16.3
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,France,: u,: u,24.4,28.0,24.0,25.7,23.5,26.4,21.4,20.4,23.1,35.2,34.0,36.7,36.5,33.1,31.7,33.3,37.9,42.8,35.2
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Croatia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Hungary,: u,16.0,22.0,29.9,25.1,20.4,26.2,29.1,22.6,27.6,35.6,35.7,26.0,28.7,35.6,43.3,51.3,45.7,44.3,45.6,38.7
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Ireland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: u,: m,: u
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Italy,: u,24.6,25.0,27.2,29.3,24.0,25.2,23.0,21.0,23.1,27.5,30.3,31.8,33.4,30.0,29.4,31.8,24.8,30.3,31.0,36.0
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Lithuania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,0.0 u
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Latvia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Netherlands,14.4,14.1,16.4,13.3,19.0,15.1,15.8,20.9,17.2,15.2,19.1,21.1,18.9,14.0,19.2,18.8,21.6,10.4,19.6,20.5,14.2
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Poland,: u,31.8 u,25.7,41.7 u,33.9 u,28.4 u,30.1 u,32.9,29.3 u,30.2 u,35.0 u,36.2 u,36.2 u,46.4 u,41.7 u,: u,42.0 u,: u,: u,: u,: u
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Portugal,: u,21.8,18.7,17.3,13.7,17.3,17.2,16.4,18.1,14.2,20.6,22.3,26.4,21.7,25.3,30.5,34.8,41.4,52.1,53.9,35.8
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Romania,20.4,19.7,19.3,21.1,21.0,21.7,20.1,26.3,28.5,28.2,27.8,27.3,30.1,27.8,29.1,24.5,27.9,32.0,29.1,35.3,32.5
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Sweden,28.4,14.2,9.3,18.6,21.0,19.3,16.1,14.6,7.4,8.3,11.0,7.4,11.7,15.3,12.8,16.0,28.2,19.9,16.3,22.7,17.7
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Slovenia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,11.4 u,5.0 u,3.0 u
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 18 to 24 years,United Kingdom,: u,22.4 u,17.1,21.5,20.0,18.3,21.3,24.9,22.1,24.3,27.9,32.7,26.3,28.5,30.8,33.2,27.9,:,:,:,:
