Time frequency,Unit of measure,Mode of accommodation,Statistical classification of economic activities in the European Community (NACE Rev. 2),Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand,Bedplaces,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Morocco,124.0 dp,133.0 dp,143.0 dp,153.0 de,165.0 dp,173.0 de,184.0 de,194.0 dp,207.6 dp,222.0 dp,231.0 dp,242.7 dp,251.2 dp,261.3 dp,269.5,270.6,282.4,289.3 p
Annual,Thousand,Establishments,Hotels and similar accommodation,Algeria,1105.0,1134.0,1140.0,1147.0,1151.0,1152.0,1184.0,1155.0,1176.0,1185.0,1195.0,1231.0,1289.0,1368.0,1417.0,1449.0,1482.0,:
Annual,Thousand,Establishments,Hotels and similar accommodation,Egypt,1442.0,1422.0,1429.0,1446.0,1477.0,1433.0,1321.0,1233.0,1193.0,1124.0,1057.0,1031.0,1461.0,1337.0,1409.0,:,:,:
Annual,Thousand,Establishments,Hotels and similar accommodation,Israel,334.0,331.0,331.0,335.0,336.0,332.0,338.0,342.0,357.0,366.0,374.0,388.0,407.0,419.0,429.0,426.0,437.0,448.0
Annual,Thousand,Establishments,Hotels and similar accommodation,Jordan,468.0,476.0,470.0,481.0,482.0,487.0,491.0,497.0,519.0,536.0,558.0,573.0,595.0,588.0,604.0,610.0,:,:
Annual,Thousand,Establishments,Hotels and similar accommodation,Lebanon,:,300.0,300.0,:,:,303.0,544.0,:,:,557.0,:,575.0,:,:,:,:,:,:
Annual,Thousand,Establishments,Hotels and similar accommodation,Libya,245.0,256.0,268.0,277.0,303.0,305.0,305.0,321.0,321.0,328.0,328.0,326.0,326.0,330.0,332.0,332.0,335.0,360.0
Annual,Thousand,Establishments,Hotels and similar accommodation,Morocco,1148.0 p,1354.0 p,1544.0 p,1720.0 p,1806.0 p,2003.0 p,2188.0 p,2521.0 p,3006.0 p,3199.0 p,3509.0 p,3690.0 p,3881.0 p,4055.0 p,4229.0,4234.0,4549.0,4650.0 p
Annual,Thousand,Establishments,Hotels and similar accommodation,Palestine*,77.0,79.0,82.0,87.0,100.0,95.0,103.0,98.0 d,113.0 d,109.0 d,112.0 d,125.0 d,130.0 d,130.0 d,125.0 d,47.0 d,89.0 d,125.0
Annual,Thousand,Establishments,Hotels and similar accommodation,Tunisia,816.0 d,825.0 d,834.0 d,836.0 d,856.0 d,856.0 d,861.0 d,846.0 d,847.0 d,848.0 d,864.0 d,824.0 d,848.0,868.0,876.0,875.0,893.0,:
Annual,Thousand,Establishments,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Israel,1794.0,1812.0,1943.0,2133.0,1678.0,1669.0,1704.0,1665.0,1676.0,1602.0,1568.0,1552.0,1572.0,1590.0,1604.0,1663.0,1673.0,1678.0
Annual,Thousand,Establishments,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Lebanon,:,399.0,399.0,:,:,402.0,722.0,:,:,736.0,751.0,763.0,:,:,:,:,:,:
Annual,Thousand,Establishments,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Morocco,1148.0 dp,1354.0 dp,1544.0 dp,1720.0 dp,1806.0 dp,2003.0 dp,2188.0 dp,2521.0 dp,3006.0 dp,3199.0 dp,3509.0 dp,3690.0 dp,3881.0 dp,4055.0 dp,4229.0,4234.0,4549.0,4650.0 p
