Time frequency,Unit of measure,nstr24,tra_cov,geo\TIME_PERIOD,2007.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,LU,0.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,NL,1154.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,RO,17.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_LD,SK,0 n
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,AT,2.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,BE,287.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,BG,0 n
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,CZ,0 n
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,DE,1432.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,EU15,2987.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,EU25,2987.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,EU27_2007,2997.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,EU27_2020,2997.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,EU28,2997.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,FR,42.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,HR,0.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,HU,0.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,LU,0.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,NL,1223.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,RO,11.0
Annual,Million tonne-kilometre (TKM),25.0,INTL_NLD,SK,0 n
Annual,Million tonne-kilometre (TKM),25.0,NAT,AT,0 n
Annual,Million tonne-kilometre (TKM),25.0,NAT,BE,330.0
Annual,Million tonne-kilometre (TKM),25.0,NAT,DE,269.0
Annual,Million tonne-kilometre (TKM),25.0,NAT,EU15,2274.0
Annual,Million tonne-kilometre (TKM),25.0,NAT,EU25,2274.0
Annual,Million tonne-kilometre (TKM),25.0,NAT,EU27_2007,2298.0
Annual,Million tonne-kilometre (TKM),25.0,NAT,EU27_2020,2298.0
Annual,Million tonne-kilometre (TKM),25.0,NAT,EU28,2298.0
Annual,Million tonne-kilometre (TKM),25.0,NAT,FR,496.0
Annual,Million tonne-kilometre (TKM),25.0,NAT,HR,0.0
Annual,Million tonne-kilometre (TKM),25.0,NAT,HU,0.0
Annual,Million tonne-kilometre (TKM),25.0,NAT,LU,0.0
Annual,Million tonne-kilometre (TKM),25.0,NAT,NL,1179.0
Annual,Million tonne-kilometre (TKM),25.0,NAT,PL,0 n
Annual,Million tonne-kilometre (TKM),25.0,NAT,RO,24.0
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,AT,2.0
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,BE,780.0
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,BG,0 n
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,CZ,0 n
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,DE,5936.0
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,EU15,12504.0
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,EU25,12505.0
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,EU27_2007,12556.0
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,EU27_2020,12556.0
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,EU28,12556.0
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,FR,623.0
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,HR,0.0
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,HU,0.0
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,LU,0.0
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,NL,5163.0
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,PL,0 n
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,RO,52.0
Annual,Million tonne-kilometre (TKM),25.0,TOTAL,SK,0 n
Annual,Million tonne-kilometre (TKM),25.0,TRS,AT,0 n
Annual,Million tonne-kilometre (TKM),25.0,TRS,BE,11.0
Annual,Million tonne-kilometre (TKM),25.0,TRS,DE,1419.0
Annual,Million tonne-kilometre (TKM),25.0,TRS,EU15,3037.0
Annual,Million tonne-kilometre (TKM),25.0,TRS,EU25,3037.0
Annual,Million tonne-kilometre (TKM),25.0,TRS,EU27_2007,3037.0
Annual,Million tonne-kilometre (TKM),25.0,TRS,EU27_2020,3037.0
Annual,Million tonne-kilometre (TKM),25.0,TRS,EU28,3037.0
Annual,Million tonne-kilometre (TKM),25.0,TRS,HR,0.0
Annual,Million tonne-kilometre (TKM),25.0,TRS,HU,0.0
Annual,Million tonne-kilometre (TKM),25.0,TRS,LU,0.0
Annual,Million tonne-kilometre (TKM),25.0,TRS,NL,1607.0
Annual,Twenty-foot equivalent unit (TEU),6.0,INTL,CZ,74.0
Annual,Twenty-foot equivalent unit (TEU),6.0,INTL_NLD,CZ,74.0
Annual,Twenty-foot equivalent unit (TEU),6.0,NAT,RO,199.0
Annual,Twenty-foot equivalent unit (TEU),6.0,TOTAL,CZ,74.0
Annual,Twenty-foot equivalent unit (TEU),6.0,TOTAL,RO,199.0
Annual,Twenty-foot equivalent unit (TEU),7.0,INTL,CZ,18.0
Annual,Twenty-foot equivalent unit (TEU),7.0,INTL_LD,CZ,18.0
Annual,Twenty-foot equivalent unit (TEU),7.0,TOTAL,CZ,18.0
Annual,Twenty-foot equivalent unit (TEU),11.0,INTL,CZ,60.0
Annual,Twenty-foot equivalent unit (TEU),11.0,INTL_LD,CZ,32.0
Annual,Twenty-foot equivalent unit (TEU),11.0,INTL_NLD,CZ,28.0
Annual,Twenty-foot equivalent unit (TEU),11.0,TOTAL,CZ,60.0
Annual,Twenty-foot equivalent unit (TEU),13.0,INTL,CZ,34.0
Annual,Twenty-foot equivalent unit (TEU),13.0,INTL_LD,CZ,22.0
Annual,Twenty-foot equivalent unit (TEU),13.0,INTL_NLD,CZ,12.0
Annual,Twenty-foot equivalent unit (TEU),13.0,TOTAL,CZ,34.0
Annual,Twenty-foot equivalent unit (TEU),14.0,NAT,RO,31.0
Annual,Twenty-foot equivalent unit (TEU),14.0,TOTAL,RO,31.0
Annual,Twenty-foot equivalent unit (TEU),15.0,INTL,CZ,24.0
Annual,Twenty-foot equivalent unit (TEU),15.0,INTL_LD,CZ,8.0
Annual,Twenty-foot equivalent unit (TEU),15.0,INTL_NLD,CZ,16.0
Annual,Twenty-foot equivalent unit (TEU),15.0,TOTAL,CZ,24.0
Annual,Twenty-foot equivalent unit (TEU),20.0,INTL,AT,5282.0
Annual,Twenty-foot equivalent unit (TEU),20.0,INTL,RO,4.0
Annual,Twenty-foot equivalent unit (TEU),20.0,INTL_LD,AT,124.0
Annual,Twenty-foot equivalent unit (TEU),20.0,INTL_NLD,AT,5158.0
Annual,Twenty-foot equivalent unit (TEU),20.0,INTL_NLD,RO,4.0
Annual,Twenty-foot equivalent unit (TEU),20.0,NAT,AT,232.0
Annual,Twenty-foot equivalent unit (TEU),20.0,NAT,RO,422.0
Annual,Twenty-foot equivalent unit (TEU),20.0,TOTAL,AT,5817.0
Annual,Twenty-foot equivalent unit (TEU),20.0,TOTAL,RO,426.0
Annual,Twenty-foot equivalent unit (TEU),20.0,TRS,AT,303.0
Annual,Twenty-foot equivalent unit (TEU),21.0,INTL,RO,1.0
Annual,Twenty-foot equivalent unit (TEU),21.0,INTL_NLD,RO,1.0
Annual,Twenty-foot equivalent unit (TEU),21.0,NAT,RO,1044.0
Annual,Twenty-foot equivalent unit (TEU),21.0,TOTAL,RO,1045.0
Annual,Twenty-foot equivalent unit (TEU),24.0,INTL,BG,27.0
Annual,Twenty-foot equivalent unit (TEU),24.0,INTL,RO,3115.0
Annual,Twenty-foot equivalent unit (TEU),24.0,INTL,SK,2280.0
Annual,Twenty-foot equivalent unit (TEU),24.0,INTL_LD,BG,5.0
Annual,Twenty-foot equivalent unit (TEU),24.0,INTL_LD,RO,1365.0
Annual,Twenty-foot equivalent unit (TEU),24.0,INTL_LD,SK,2220.0
Annual,Twenty-foot equivalent unit (TEU),24.0,INTL_NLD,BG,22.0
Annual,Twenty-foot equivalent unit (TEU),24.0,INTL_NLD,RO,1750.0
Annual,Twenty-foot equivalent unit (TEU),24.0,INTL_NLD,SK,60.0
Annual,Twenty-foot equivalent unit (TEU),24.0,NAT,RO,5111.0
Annual,Twenty-foot equivalent unit (TEU),24.0,TOTAL,BG,27.0
Annual,Twenty-foot equivalent unit (TEU),24.0,TOTAL,RO,8226.0
Annual,Twenty-foot equivalent unit (TEU),24.0,TOTAL,SK,2280.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,AT,5282.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,BE,1810309.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,BG,27.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,CZ,210.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,DE,1699724.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,EU15,2995199.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,EU25,2994047.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,EU27_2007,2997193.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,EU27_2020,2997193.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,EU28,2997193.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,FR,191835.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,HR,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,HU,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,LU,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,NL,1930263.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,RO,3120.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL,SK,2280.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,AT,124.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,BE,772937.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,BG,5.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,CZ,80.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,DE,886856.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,EU15,2753822.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,EU25,2756122.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,EU27_2007,2757492.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,EU27_2020,2757492.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,EU28,2757492.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,FR,96649.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,HR,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,HU,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,LU,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,NL,997256.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,RO,1365.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_LD,SK,2220.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,AT,5158.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,BE,1037372.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,BG,22.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,CZ,130.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,DE,812868.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,EU15,2883591.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,EU25,2883781.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,EU27_2007,2885558.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,EU27_2020,2885558.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,EU28,2885558.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,FR,95186.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,HR,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,HU,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,LU,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,NL,933007.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,RO,1755.0
Annual,Twenty-foot equivalent unit (TEU),25.0,INTL_NLD,SK,60.0
Annual,Twenty-foot equivalent unit (TEU),25.0,NAT,AT,232.0
Annual,Twenty-foot equivalent unit (TEU),25.0,NAT,BE,499664.0
Annual,Twenty-foot equivalent unit (TEU),25.0,NAT,DE,185349.0
Annual,Twenty-foot equivalent unit (TEU),25.0,NAT,EU15,2015362.0
Annual,Twenty-foot equivalent unit (TEU),25.0,NAT,EU25,2015402.0
Annual,Twenty-foot equivalent unit (TEU),25.0,NAT,EU27_2007,2022209.0
Annual,Twenty-foot equivalent unit (TEU),25.0,NAT,EU27_2020,2022209.0
Annual,Twenty-foot equivalent unit (TEU),25.0,NAT,EU28,2022209.0
Annual,Twenty-foot equivalent unit (TEU),25.0,NAT,FR,224994.0
Annual,Twenty-foot equivalent unit (TEU),25.0,NAT,HR,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,NAT,HU,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,NAT,LU,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,NAT,NL,1105123.0
Annual,Twenty-foot equivalent unit (TEU),25.0,NAT,PL,40.0
Annual,Twenty-foot equivalent unit (TEU),25.0,NAT,RO,6807.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,AT,5817.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,BE,2324129.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,BG,27.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,CZ,210.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,DE,2129899.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,EU15,5010561.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,EU25,5009449.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,EU27_2007,5019402.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,EU27_2020,5019402.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,EU28,5019402.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,FR,416829.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,HR,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,HU,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,LU,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,NL,3875871.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,PL,40.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,RO,9927.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TOTAL,SK,2280.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TRS,AT,303.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TRS,BE,14156.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TRS,DE,244826.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TRS,HR,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TRS,HU,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TRS,LU,0.0
Annual,Twenty-foot equivalent unit (TEU),25.0,TRS,NL,840485.0
Annual,Thousand tonnes,6.0,INTL,CZ,1.0
Annual,Thousand tonnes,6.0,INTL_NLD,CZ,1.0
Annual,Thousand tonnes,6.0,NAT,RO,4.0
Annual,Thousand tonnes,6.0,TOTAL,CZ,1.0
Annual,Thousand tonnes,6.0,TOTAL,RO,4.0
Annual,Thousand tonnes,7.0,INTL,CZ,0 n
Annual,Thousand tonnes,7.0,INTL_LD,CZ,0 n
Annual,Thousand tonnes,7.0,TOTAL,CZ,0 n
Annual,Thousand tonnes,11.0,INTL,CZ,1.0
Annual,Thousand tonnes,11.0,INTL_LD,CZ,0 n
Annual,Thousand tonnes,11.0,INTL_NLD,CZ,1.0
Annual,Thousand tonnes,11.0,TOTAL,CZ,1.0
Annual,Thousand tonnes,13.0,INTL,CZ,1.0
Annual,Thousand tonnes,13.0,INTL_LD,CZ,0 n
Annual,Thousand tonnes,13.0,INTL_NLD,CZ,0 n
Annual,Thousand tonnes,13.0,TOTAL,CZ,1.0
Annual,Thousand tonnes,14.0,NAT,RO,1.0
Annual,Thousand tonnes,14.0,TOTAL,RO,1.0
Annual,Thousand tonnes,15.0,INTL,CZ,0 n
Annual,Thousand tonnes,15.0,INTL_LD,CZ,0 n
Annual,Thousand tonnes,15.0,INTL_NLD,CZ,0 n
Annual,Thousand tonnes,15.0,TOTAL,CZ,0 n
Annual,Thousand tonnes,20.0,INTL,AT,11.0
Annual,Thousand tonnes,20.0,INTL,RO,0 n
Annual,Thousand tonnes,20.0,INTL_LD,AT,0 n
Annual,Thousand tonnes,20.0,INTL_NLD,AT,11.0
Annual,Thousand tonnes,20.0,INTL_NLD,RO,0 n
Annual,Thousand tonnes,20.0,NAT,AT,0 n
Annual,Thousand tonnes,20.0,NAT,RO,7.0
Annual,Thousand tonnes,20.0,TOTAL,AT,12.0
Annual,Thousand tonnes,20.0,TOTAL,RO,7.0
Annual,Thousand tonnes,20.0,TRS,AT,1.0
Annual,Thousand tonnes,21.0,INTL,RO,0 n
Annual,Thousand tonnes,21.0,INTL_NLD,RO,0 n
Annual,Thousand tonnes,21.0,NAT,RO,19.0
Annual,Thousand tonnes,21.0,TOTAL,RO,19.0
Annual,Thousand tonnes,24.0,INTL,BG,0 n
Annual,Thousand tonnes,24.0,INTL,RO,35.0
Annual,Thousand tonnes,24.0,INTL,SK,5.0
Annual,Thousand tonnes,24.0,INTL_LD,BG,0 n
Annual,Thousand tonnes,24.0,INTL_LD,RO,22.0
Annual,Thousand tonnes,24.0,INTL_LD,SK,4.0
Annual,Thousand tonnes,24.0,INTL_NLD,BG,0 n
Annual,Thousand tonnes,24.0,INTL_NLD,RO,13.0
Annual,Thousand tonnes,24.0,INTL_NLD,SK,0 n
Annual,Thousand tonnes,24.0,NAT,RO,58.0
Annual,Thousand tonnes,24.0,TOTAL,BG,0 n
Annual,Thousand tonnes,24.0,TOTAL,RO,93.0
Annual,Thousand tonnes,24.0,TOTAL,SK,5.0
Annual,Thousand tonnes,25.0,INTL,AT,11.0
Annual,Thousand tonnes,25.0,INTL,BE,21433.0
Annual,Thousand tonnes,25.0,INTL,BG,0 n
Annual,Thousand tonnes,25.0,INTL,CZ,3.0
Annual,Thousand tonnes,25.0,INTL,DE,15979.0
Annual,Thousand tonnes,25.0,INTL,EU15,29784.0
Annual,Thousand tonnes,25.0,INTL,EU25,29777.0
Annual,Thousand tonnes,25.0,INTL,EU27_2007,29813.0
Annual,Thousand tonnes,25.0,INTL,EU27_2020,29813.0
Annual,Thousand tonnes,25.0,INTL,EU28,29813.0
Annual,Thousand tonnes,25.0,INTL,FR,1649.0
Annual,Thousand tonnes,25.0,INTL,HR,0.0
Annual,Thousand tonnes,25.0,INTL,HU,0.0
Annual,Thousand tonnes,25.0,INTL,LU,0.0
Annual,Thousand tonnes,25.0,INTL,NL,18937.0
Annual,Thousand tonnes,25.0,INTL,RO,35.0
Annual,Thousand tonnes,25.0,INTL,SK,5.0
Annual,Thousand tonnes,25.0,INTL_LD,AT,0 n
Annual,Thousand tonnes,25.0,INTL_LD,BE,8592.0
Annual,Thousand tonnes,25.0,INTL_LD,BG,0 n
Annual,Thousand tonnes,25.0,INTL_LD,CZ,1.0
Annual,Thousand tonnes,25.0,INTL_LD,DE,10557.0
Annual,Thousand tonnes,25.0,INTL_LD,EU15,29323.0
Annual,Thousand tonnes,25.0,INTL_LD,EU25,29328.0
Annual,Thousand tonnes,25.0,INTL_LD,EU27_2007,29351.0
Annual,Thousand tonnes,25.0,INTL_LD,EU27_2020,29351.0
Annual,Thousand tonnes,25.0,INTL_LD,EU28,29351.0
Annual,Thousand tonnes,25.0,INTL_LD,FR,1071.0
Annual,Thousand tonnes,25.0,INTL_LD,HR,0.0
Annual,Thousand tonnes,25.0,INTL_LD,HU,0.0
Annual,Thousand tonnes,25.0,INTL_LD,LU,0.0
Annual,Thousand tonnes,25.0,INTL_LD,NL,9103.0
Annual,Thousand tonnes,25.0,INTL_LD,RO,22.0
Annual,Thousand tonnes,25.0,INTL_LD,SK,4.0
Annual,Thousand tonnes,25.0,INTL_NLD,AT,11.0
Annual,Thousand tonnes,25.0,INTL_NLD,BE,12841.0
Annual,Thousand tonnes,25.0,INTL_NLD,BG,0 n
Annual,Thousand tonnes,25.0,INTL_NLD,CZ,2.0
Annual,Thousand tonnes,25.0,INTL_NLD,DE,5422.0
Annual,Thousand tonnes,25.0,INTL_NLD,EU15,28687.0
Annual,Thousand tonnes,25.0,INTL_NLD,EU25,28689.0
Annual,Thousand tonnes,25.0,INTL_NLD,EU27_2007,28702.0
Annual,Thousand tonnes,25.0,INTL_NLD,EU27_2020,28702.0
Annual,Thousand tonnes,25.0,INTL_NLD,EU28,28702.0
Annual,Thousand tonnes,25.0,INTL_NLD,FR,578.0
Annual,Thousand tonnes,25.0,INTL_NLD,HR,0.0
Annual,Thousand tonnes,25.0,INTL_NLD,HU,0.0
Annual,Thousand tonnes,25.0,INTL_NLD,LU,0.0
