Time frequency,Income and living conditions indicator,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Lithuania,:,:,:,:,:,13.0,13.0,:,:,:,12.8 b,13.1,15.1,15.9,14.0,8.9,13.0,9.4,13.6,14.7,16.0,18.9,19.9,19.4,20.5,19.9,20.0,22.1,17.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Luxembourg,17 u,23 u,13.0,14.0,12 u,15 u,15 u,:,17.2 b,15.0,12.6,17.5,9.3,15.4,14.0,16.7,11.7,11.4,14.7,13.6,12.9,35.3 b,22.6,33.8,30.7,17.7 b,16.4 b,19.5 b,18.3
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Latvia,:,:,:,:,:,14.0,:,:,:,:,10.6 b,16.8,19.8,26.3,23.7,9.5,16.8,11.2,11.9,12.1,15.8,20.4,21.7,23.7,25.5,26.0,26.0,25.7,24.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,29.4,16.5,25.6,26.7,25.6,23.1,24.6,20.3,20.7,23.7,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,25.7,26.0,22.5,23.8,25.1,26.1,26.3,26.2,24.9,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Malta,:,:,:,:,:,14.0,:,:,:,:,16.3 b,16.5,17.4,18.9,15.5,18.6,19.4,17.4,14.3,11.2,13.1,11.6,12.7,10.3,11.5,11.0,10.9,12.6,19.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Netherlands,23.0,24.0,22.0,18 u,26.0,6.0,7.0,7.0,:,:,12.4 b,7.8,8.8,14.5,12.8,10.2,10.2,12.5,10.0,16.1,12.3,11.4 b,10.4,13.1,14.2,12.5,11.7,11.4,8.6
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,New Member States - 10 countries (2004-2006),:,:,:,:,:,15 e,13 e,13 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Norway,:,:,:,:,:,:,:,:,10.3,10.8,11.1,14.0,11.6,12.8,11.4,11.5,11.0,9.1,8.8,9.1,9.1,9.3,7.5,7.0,8.0,9.0,9.2 b,7.4,7.9 b
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Poland,:,:,:,:,:,15.0,14.0,:,:,:,16.6 b,13.7,14.4,13.8,15.0,16.1,15.7,14.9,16.7,14.7,14.9,16.3,15.8,15.3,18.1,17.1,16.6,16.1,16.2
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Portugal,26.0,23.0,23.0,24.0,23.0,23.0,22.0,:,:,17.6 b,17.4,17.4,18.7,17.7,15.5,15.9,11.0,11.4,13.4,20.6,18.2,18.0,15.4,16.4,15.8,17.7,19.3,17.7,17.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Romania,:,:,:,:,:,18.0,18.0,19.0,:,:,:,:,28.5 b,23.4,23.4,19.4,18.8,18.1,17.5,20.2,21.6,20.1,21.8,24.8,23.5,23.0,24.9,22.8,24.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Serbia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,26.9,25.7,26.7,29.2,28.1,27.8,27.8,24.2,24.3,22.3,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Sweden,:,:,:,:,:,:,:,11 b,:,12.0 b,10.2,12.1,10.9,10.9 b,11.4,10.2,11.9,11.0,11.3,9.9,9.4,10.9,10.7,11.8,10.8,10.8,11.9,14.2,16.2
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Slovenia,:,:,:,:,:,17.0,18.0,17.0,:,:,19.5 b,18.3,19.7,19.6,20.2,18.9,18.8,18.9,18.9,18.1,18.1,19.1,17.9,17.2,16.1,15.2,14.2,14.0,15.5
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Slovakia,:,:,:,:,:,:,:,:,:,:,16.2,14.8,11.6,9.4,14.7,7.1,8.3,12.4,7.9,10.5,10.4,10.3,9.6,7.4,12.4,12.8,26.6,12.7,15.6
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Türkiye,:,:,:,:,:,:,:,37.0,:,:,:,38.2 b,30.6,30.4,38.3,36.3,33.7,35.0,30.6,32.4,31.3,31.6,31.1,31.3,30.4,35.0,23.1,22.9,22.9
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,United Kingdom,19.0,20.0,18.0,17.0,18.0,18.0,18.0,18.0,:,:,18.2 b,18.2,19.0,19.2,17.9,19.2,19.6,18.2 b,17.7,18.8,19.6,20.8,16.4 b,21.0,:,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,65 years or over,Percentage,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,40.5,:,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20.8,23.5,19.8,19.8,20.1,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Austria,:,:,:,:,:,:,:,:,17.0 b,20.1,13.5,13.4,12.6,19.1 b,17.9,18.6,19.3,18.7,18.3,18.9,17.8,15.0,16.1,16.3,18.2,17.1,21.0,20.4,17.3
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Belgium,:,:,:,:,:,:,:,:,16.3 b,15.6,13.7,17.3,15.6,14.4,11.5,12.1,10.7,12.4,9.2,13.8,12.4,13.3,10.8,9.9,11.7 b,13.2,15.4,11.4,8.9
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,16.2 b,18.5,20.2,22.9,29.5,25.4,23.8,20.7,18.4,21.9,15.4 b,19.2,18.3,20.1,21.0,19.7,22.4,8.6
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,23.9,23.9,26.2,25.2,23.0,25.0,25.6,23.0 b,22.4,25.3,27.3,23.7,30.2,26.9,26.5,25.5,28.0
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Cyprus,:,:,:,:,:,:,:,:,:,:,22.9 b,24.5,24.3,19.2 b,19.6,19.2,18.3,15.7,13.4,13.7,11.2,14.5,14.9,14.5,14.4,14.2,12.6,14.0,13.9
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Czechia,:,:,:,:,:,:,:,:,:,:,5.7 bu,8.3,6.5,8.0,9.7,7.1,7.7,6.5,9.0,6.6,9.1,9.9,6.5,8.5,9.8,9.8,7.7,10.5,9.5
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Germany,:,:,:,:,:,:,:,:,:,:,16.7 b,18.7,22.9,14.8,13.9,17.4,16.3,16.0,16.7,18.5,17.3,16.7,17.3,15.8,17.1,20.4 b,21.6,19.8,17.8
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Denmark,:,:,:,:,:,:,:,:,9.6 b,7.8,8.3,8.4,8.8,8.1,9.6,12.0,7.2 b,8.5,8.7,8.3,5.4,5.4,5.9,7.5,7.5,8.7 b,8.3,9.9,8.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,:,:,:,:,:,:,15.7,15.1,14.3,14.8,14.2,13.7,15.0 e,14.6 e,14.3 e,15.4 e,14.9 e,15.7 e,17.7,17.2,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Euro area - 18 countries (2014),:,:,:,:,:,:,:,:,:,16.2,17.0,19.0,18.7,15.9,15.2,14.3,14.8,14.2,13.7,15.0 e,14.6 e,14.2 e,15.3 e,14.9 e,15.7 e,17.7,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Euro area - 19 countries  (2015-2022),:,:,:,:,:,:,:,:,:,:,17.0,18.9,18.7,15.9,15.2,14.2,14.8,14.1,13.7,15.0 e,14.6 e,14.3 e,15.4 e,14.9 e,15.7 e,17.7,17.2,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,17.5,17.5,16.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Estonia,:,:,:,:,:,:,:,:,:,10.7 b,11.9,12.2,14.3,14.1,10.1,9.0,9.0,9.0,7.1,10.0 b,10.7,13.4,15.7,18.9,17.9,16.8,14.0,20.7,18.4
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Greece,:,:,:,:,:,:,:,:,29.9 b,28.1,26.9,25.5,26.1,23.4,14.6,14.6,21.7,11.7,12.5,15.8,14.5,16.3,16.2,16.3,15.2,12.1,15.1,17.7,14.1
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Spain,:,:,:,:,:,:,:,:,:,18.2 b,19.5,20.2,19.0,17.4 b,15.4,13.6,14.5,15.7,14.7,13.9,16.5,13.8,19.7,17.6,16.6,18.5,18.0,18.5,15.8
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,:,:,:,:,:,:,17.0,16.2,16.0,16.0,15.0,14.9,16.1 e,15.7 e,15.4 e,15.7 e,16.5 e,16.9 e,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,European Union - 27 countries (2007-2013),:,:,:,:,:,:,:,:,:,:,17.7,19.1,19.2,17.0,16.2,15.8,15.9,14.8,14.7,15.9 e,15.6 e,15.3 e,15.6 e,16.3 e,16.8 e,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15.2,15.2,14.7,14.3,15.2 e,15.0 e,14.5 e,15.6 e,15.6 e,16.1 e,17.5,17.3,17.3,16.3
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.0,16.0,15.0,14.9,16.1 e,15.7 e,15.4 e,15.7 e,16.5 e,16.9 e,:,:,:,:
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Finland,:,:,:,:,:,:,:,:,:,9.9 b,11.5,12.4,11.1,12.1,11.5,12.2,10.7,12.5,12.5,10.4,9.9,9.0,9.1,10.1,10.4,11.6,12.9,9.7,8.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,France,:,:,:,:,:,:,:,:,:,12.1 b,17.0,22.6,19.5,8.4 b,14.8,10.6,12.9,13.3,12.0,12.3,11.5,11.4,11.0,12.4,13.7,14.4 b,10.3,13.1 b,14.5
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,25.0,22.8,29.5,25.6,27.2,20.9,22.0,23.0,27.6,26.2,28.1,25.4,27.9,31.0 b
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Hungary,:,:,:,:,:,:,:,:,:,:,10.1 b,16.8,11.4,10.2,11.1,12.5,10.9,9.9,10.0,10.4,11.7,15.7,15.2,12.7,7.3,6.0,6.1,10.5,14.7
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Ireland,:,:,:,:,:,:,:,:,11.9 b,10.5,10.1,8.0,9.6,6.3,14.4,25.8,41.6,22.8,19.6,37.1,19.5,6.2,8.9,6.9,7.7 b,9.6 b,11.2,10.9,7.9
Annual,Relative poverty gap (cut-off point: 60% of median equivalised income),Total,75 years or over,Percentage,Iceland,:,:,:,:,:,:,:,:,:,6.4 u,7.5 u,7.2 u,10.1 u,11.1,9.6 u,: u,31.5 u,: u,: u,2.9 u,7.0 u,4.2 u,7.5 u,: u,: u,:,:,:,:
