Time frequency,Duration,International Standard Classification of Education (ISCED 2011),Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,European Union - 27 countries (from 2020),72.9,71.9,73.1 b,73.7,75.2,77.1,78.9,78.7,77.3,78.1 b,81.3,82.0
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Finland,79.6,79.5,76.5 b,76.0,74.6,72.3,77.8,83.0,80.5,84.3 b,81.7,85.4
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,France,76.5,74.4 b,74.2 b,73.1,73.0,73.7,79.4,74.3,76.6,79.4 bd,80.2 d,80.0 d
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Croatia,60.4 b,55.2,63.2 b,63.3,73.2,63.5,66.2,75.6,75.3,73.0 b,77.2,76.7
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Hungary,72.4,71.0,75.0 b,77.8 b,81.1,79.4,83.1 b,81.2,77.5,82.6 b,86.8,87.0
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Ireland,71.9,74.7,76.0 b,78.2,83.3,82.5 b,82.8,82.5,78.6,85.7 b,85.4,86.7
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Iceland,83.8,86.8,89.1 b,91.3,95.4,93.8,92.7,90.2,87.3 b,:,90.2,90.9
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Italy,50.9,47.6,43.4 b,45.6,50.0,53.1,54.3 b,55.9,53.2,54.4 b,64.2,64.3
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Lithuania,78.5,76.9,78.5 b,80.4,84.5,84.1,82.4,80.1,75.9,79.1 b,84.9,79.2
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Luxembourg,80.6,78.4,84.6 b,82.1 b,79.6,83.2,89.4,89.1,83.2,82.6 b,95.3,85.0
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Latvia,73.9,74.6,74.2 b,75.7,84.9,76.6,82.3,87.1,78.4,78.9 b,90.5,86.2
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Montenegro,54.2,61.5,55.2 b,64.6,59.1,62.8,64.1,65.1,51.1,:,:,:
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,North Macedonia,44.4,40.8,39.6 b,50.8,44.7,45.2,48.9,57.0,50.2,:,:,:
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Malta,91.4,91.4,93.4 b,94.4,95.2,95.7 b,95.3,93.3,90.7,95.9 b,88.9,94.2
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Netherlands,86.7,84.6 b,85.3 b,86.1,89.0,90.5,90.7,91.8 b,89.2,93.5 b,92.7,91.9
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Norway,88.1,88.4,76.5 b,93.1,90.5,89.5,91.5,90.5,91.5,93.3 b,89.1,86.7
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Poland,68.2,68.8 b,72.2 b,74.6,77.2,77.7,79.5 b,81.5 b,81.7,75.1 b,81.8,84.8
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Portugal,64.4,66.7,69.9 b,71.1,71.6,79.4,81.0,79.6,75.5,77.9 b,80.6,84.6
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Romania,67.9,65.0,61.7 b,62.0,63.6,74.5,72.3,71.5,74.2,65.4 b,64.0,70.8
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Serbia,42.8,44.1,46.0 b,47.3,50.1,57.0,58.7,64.9,60.2,61.7 b,72.0,68.7
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Sweden,82.4,84.5,85.0 b,86.0,86.9,87.8,86.9 b,87.7,85.7,88.0 b,86.6,86.4
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Slovenia,68.5,68.1,63.9 b,68.5,75.2,73.7,79.6,82.5,80.5,81.9 b,80.2 u,82.8 bu
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Slovakia,65.3,68.0,68.3 b,70.8,72.8,75.6,75.6,76.9,79.0,76.7 b,83.6,85.9
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,Türkiye,53.4,52.0,54.3 b,52.0,51.3,51.3,53.1,49.4,44.7,45.9 b,50.4,52.8
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Females,Percentage,United Kingdom,79.4,83.1,81.5 b,84.9,81.6,85.2,87.0,85.5,:,:,:,:
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Austria,91.1,91.4,87.5 b,87.4,87.1,88.9,91.0,90.5,88.0,89.8 b,89.8,90.3
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,61.4,57.6,60.4
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Belgium,82.1,79.0,77.6 b,78.0,80.2,81.3 b,82.6,83.1,84.1,83.9 b,81.2,84.6
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Bulgaria,67.2,66.2,64.6 b,75.2,75.5,78.0,82.4,85.9 b,80.8,75.8 b,82.0,81.4
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Switzerland,86.3,82.7,86.1 b,84.0,88.8,83.2,88.1,87.9,87.4,87.5 b,84.4,88.5
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Cyprus,74.7,62.6,68.5 b,67.7,72.5,68.6,73.8,84.2,76.7,79.0 b,85.6,76.6
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Czechia,87.2,87.5 b,88.5 b,90.3,94.2,95.2,95.9,95.3,93.4,92.2 b,88.7 b,95.4
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Germany,90.6,91.2,91.6 b,92.1,92.0,92.7,94.1,94.4,91.9 b,92.9 b,92.9,93.0
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Denmark,86.1,84.0,86.1 b,84.1,85.3 b,85.3 b,87.6,87.8,86.0,86.8 b,87.5,85.3
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Euro area – 20 countries (from 2023),77.1,76.3,76.1 b,76.0,78.3,79.4,81.7,82.1,78.7,80.4 b,82.7,84.5
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Estonia,81.4,82.5,82.8 b,84.5,86.6,86.6,86.6,88.0,83.1,80.3 b,70.7,82.8
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Greece,45.9,42.7,46.9 b,46.4,51.9,52.5,58.1,58.9,53.4,61.8 b,65.8,72.9
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Spain,62.0,60.4,63.3 b,65.3,70.8,70.3,75.9,74.0,69.9,71.9 bd,80.6 d,81.7 d
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,European Union - 27 countries (from 2020),77.4,76.8,76.9 b,77.3,79.7,81.0,83.0,83.4,80.1,81.0 b,83.5,85.0
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Finland,81.7,80.0,77.4 b,75.1,80.5,82.3,86.3,85.8,82.3,78.8 b,86.1,82.5
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,France,76.3,78.3 b,76.8 b,70.5,72.3,73.4,76.4,77.4,73.1,76.8 bd,76.8 d,80.2 d
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Croatia,59.4 b,54.0,63.6 b,62.1,72.1,67.7,75.5,74.9,76.4,78.5 b,82.5,79.7
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Hungary,74.4,77.9,81.8 b,83.1 b,89.1,90.2,91.7 b,89.7,86.9,89.1 b,91.7,89.9
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Ireland,69.4,74.3,75.9 b,77.7,80.9,84.6 b,85.9,86.6,80.3,87.4 b,89.4,90.8
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Iceland,90.0,87.7,88.6 b,92.8,93.9,95.8,96.1,92.8,88.9 b,:,94.1,94.5
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Italy,57.6,49.4,46.9 b,51.6,56.0,57.4,59.0 b,61.8,60.6,61.5 b,66.0,70.6
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Lithuania,72.6,74.2,82.8 b,83.9,80.3,83.6,86.6,80.1,73.3,80.6 b,81.8,80.7
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Luxembourg,88.9,79.7,82.7 b,86.6 b,91.7,93.7,86.5,89.7,76.8,84.4 b,91.5,84.3
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Latvia,74.7,82.6,80.1 b,82.6,77.5,79.4,86.7,81.2,79.9,77.4 b,81.5,84.2
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Montenegro,52.9,63.1,54.3 b,57.7,58.3,59.2,58.0,65.6,56.7,:,:,:
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,North Macedonia,45.3,46.1,45.8 b,45.1,49.4,55.1,49.6,57.4,59.1,:,:,:
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Malta,93.5,93.5,93.8 b,95.8,96.8,91.4 b,94.4,93.4,92.7,81.1 b,90.8,97.1
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Netherlands,89.6,87.6 b,87.3 b,90.6,91.3,90.3,93.4,92.0 b,89.3,93.3 b,93.1,94.5
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Norway,89.6,91.2,92.1 b,89.0,89.8,89.0,90.3,90.6,87.9,88.6 b,90.2,89.5
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Poland,78.7,77.9 b,79.2 b,80.4,83.4,86.6,87.0 b,87.8 b,84.5,80.8 b,87.9,86.8
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Portugal,70.8,69.0,69.0 b,73.5,76.7,82.4,81.1,81.6,76.5,73.6 b,83.4,80.5
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Romania,72.5,69.5,70.6 b,74.1,75.1,77.6,82.8,80.6,79.3,74.7 b,76.3,78.5
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Serbia,51.2,48.8,53.9 b,53.8,58.2,66.0,69.8,68.3,64.3,69.3 b,72.7,75.1
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Sweden,84.0,85.2,84.9 b,85.7,86.5,88.9,89.2 b,89.6,87.0,86.3 b,90.0,89.1
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Slovenia,78.3,79.3,76.8 b,75.1,78.3,88.8,88.9,88.8,85.1,87.9 b,87.9,87.4 b
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Slovakia,72.1,73.1,78.0 b,79.5,86.2,87.6,91.4,91.2,87.3,82.8 b,84.2,83.0
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,Türkiye,70.6,72.2,71.1 b,73.6,72.0,72.8,71.4,67.0,62.1,67.9 b,73.6,76.1
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Males,Percentage,United Kingdom,83.9,84.5,85.3 b,86.8,87.5,88.2,86.2,85.3,:,:,:,:
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Austria,90.6,89.7,87.2 b,86.9,87.6,89.4,88.6,89.0,88.4,87.7 b,88.4,89.0
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,56.4,56.0,57.8
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Belgium,80.9,79.1,79.0 b,79.5,81.2,81.9 b,83.4,83.5,82.9,83.2 b,82.9,86.4
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Bulgaria,67.3,67.7,65.4 b,74.6,72.0,77.7,78.6,80.8 b,78.8,73.9 b,79.0,84.2
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Switzerland,86.8,84.3,87.4 b,84.6,86.8,86.2,88.3,87.9,88.9,87.9 b,84.8,87.6
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Cyprus,73.0,62.1,68.7 b,68.9,73.4,71.6,78.9,80.8,78.4,80.9 b,82.4,80.0
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Czechia,82.3,80.4 b,81.3 b,82.2,86.7,89.9,89.6,87.3,87.3,84.2 b,82.2 b,85.4
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Germany,88.9,89.7,90.0 b,90.4,90.1,90.9,92.1,92.7,89.6 b,91.2 b,92.1,91.5
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Denmark,83.4,80.6,82.5 b,80.8,82.6 b,81.7 b,84.7,85.1,83.6,84.1 b,85.1,84.6
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Euro area – 20 countries (from 2023),75.3,74.3,74.7 b,74.7,76.4,77.9,80.1,80.1,77.6,79.5 b,82.2,83.2
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Estonia,74.9,76.8,80.9 b,79.8,76.5,80.4,82.0,82.3,79.7,80.8 b,77.4,84.7
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Greece,43.0,40.0,44.3 b,45.2,49.2,52.0,55.3,59.4,54.9,60.1 b,66.1,72.3
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Spain,63.6,59.9,65.1 b,65.2,68.0,71.9,75.4,73.0,69.6,72.3 bd,78.8 d,78.7 d
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,European Union - 27 countries (from 2020),75.1,74.3,75.0 b,75.5,77.4,79.0,80.9,81.0,78.7,79.6 b,82.4,83.5
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Finland,80.7,79.8,77.0 b,75.5,77.4,77.0,81.7,84.4,81.5,81.5 b,83.9,84.0
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,France,76.4,76.4 b,75.5 b,71.8,72.6,73.6,77.9,75.7,74.9,78.1 bd,78.6 d,80.1 d
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Croatia,59.9 b,54.6,63.4 b,62.7,72.7,65.4,70.7,75.3,75.8,75.8 b,79.7,78.1
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Hungary,73.3,74.2,78.5 b,80.4 b,85.0,84.7,87.5 b,85.6,82.3,85.6 b,89.3,88.4
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Ireland,70.8,74.5,76.0 b,77.9,82.2,83.5 b,84.3,84.5,79.5,86.5 b,87.3,88.7
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Iceland,86.9,87.2,88.8 b,92.0,94.7,94.8,94.4,91.5,88.0 b,:,92.1,92.8
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Italy,54.1,48.5,45.0 b,48.5,52.9,55.2,56.6 b,58.8,57.0,57.9 b,65.2,67.5
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Lithuania,75.6,75.5,80.7 b,82.1,82.4,83.9,84.7,80.1,74.5,79.9 b,83.4,80.0
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Luxembourg,84.6,79.1,83.8 b,84.7 b,85.4,88.5,87.9,89.4,80.5,83.4 b,93.4,84.7
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Latvia,74.3,78.2,77.0 b,78.8,81.4,78.0,84.1,84.1,79.1,78.1 b,85.3,85.2
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Montenegro,53.5,62.3,54.8 b,61.3,58.7,61.3,61.2,65.4,54.1,:,:,:
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,North Macedonia,44.8,43.3,42.6 b,48.0,46.9,50.0,49.2,57.2,54.5,:,:,:
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Malta,92.5,92.5,93.6 b,95.1,96.0,93.8 b,94.8,93.3,91.7,87.6 b,89.9,95.8
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Netherlands,88.1,86.0 b,86.2 b,88.2,90.1,90.4,92.0,91.9 b,89.3,93.4 b,92.9,93.2
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Norway,88.8,89.8,86.1 b,90.9,90.1,89.2,90.9,90.5,89.7,91.0 b,89.7,88.2
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Poland,73.3,73.2 b,75.6 b,77.4,80.2,82.1,83.1 b,84.5 b,83.0,77.9 b,84.9,85.8
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Portugal,67.2,67.7,69.5 b,72.2,74.1,80.8,81.1,80.5,76.0,75.8 b,82.1,82.5
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Romania,70.2,67.2,66.2 b,68.1,69.3,76.0,77.4,76.1,76.7,70.1 b,69.9,74.8
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Serbia,47.2,46.5,49.8 b,50.6,54.1,61.4,64.3,66.5,62.3,65.5 b,72.4,72.1
Annual,From 1 to 3 years,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",From 20 to 34 years,Total,Percentage,Sweden,83.2,84.9,85.0 b,85.9,86.7,88.3,88.1 b,88.7,86.4,87.1 b,88.4,87.9
