Time frequency,Unit of measure,Quantile,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,First quintile,Euro area - 18 countries (2014),:,:,26.5 e,28.9 e,26.1 e,25.8 e,26.1 e,30.6,33.3,35.4,34.9,36.7,36.2,35.5,34.0,33.0,32.5,29.1,:,:,:
Annual,Percentage,First quintile,Euro area - 19 countries  (2015-2022),:,:,26.6 e,28.8 e,26.0 e,25.8 e,26.0 e,30.7,33.3,35.4,34.9,36.6,36.2,35.5,34.0,32.9,32.4,29.0,30.6 e,:,:
Annual,Percentage,First quintile,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,36.6,36.2,35.4,33.9,32.8,32.2,28.9,32.5,29.8,29.6
Annual,Percentage,First quintile,Estonia,:,:,30.6,27.0,18.6,12.8,14.5,22.1,27.3,29.4,28.5,33.0 b,27.2,20.6,19.3,17.3,17.3,17.3,19.2,19.1,30.3
Annual,Percentage,First quintile,Greece,:,70.9,65.4,69.1,65.6,66.0,66.8,68.2,80.5,92.5,94.6,93.7,94.0,92.8,89.9,89.4,85.7,81.1,75.8,83.3,85.3
Annual,Percentage,First quintile,Spain,:,16.7,16.6,25.5,26.4,31.9 b,35.5,36.3,36.8,41.4,38.8,42.3,40.9,38.4,38.4,34.8,32.5,31.6,38.4,36.5,32.0
Annual,Percentage,First quintile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,31.3 e,31.1 e,33.8 e,35.0 e,34.4 e,34.0 e,36.5 e,36.2 e,35.7 e,34.4 e,34.6 e,33.8 e,:,:,:,:
Annual,Percentage,First quintile,European Union - 27 countries (2007-2013),:,:,33.2 e,33.8 e,31.5 e,31.3 e,31.1 e,33.6,35.0,34.4,34.0,36.6,36.3,35.8,34.5,34.7,33.9 e,:,:,:,:
Annual,Percentage,First quintile,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,31.5 e,33.2 e,36.1 e,35.5 e,36.4 e,36.2 e,35.5 e,34.0 e,32.7 e,31.7 e,28.2,31.0,29.7,29.9
Annual,Percentage,First quintile,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,33.8,35.0,34.4,34.0,36.5,36.2,35.7,34.4,34.6,33.8 e,:,:,:,:
Annual,Percentage,First quintile,Finland,:,12.6,11.9,12.3,14.2,15.6,13.6,13.2,13.0,13.9,15.9,16.8,15.4,14.1,12.5,14.2,13.2,13.8,12.6,16.2,16.6
Annual,Percentage,First quintile,France,:,14.3,14.1,17.6,15.6,13.3,12.1,17.2,18.3,18.2,18.4,16.8,17.5,18.0,16.1,15.9,19.0,20.4 b,:,21.6 b,24.2
Annual,Percentage,First quintile,Croatia,:,:,:,:,:,:,:,49.7,31.8,29.0,33.9,29.5,31.1,28.7,26.2,23.7,21.5,19.1,20.8,17.7,18.7
Annual,Percentage,First quintile,Hungary,:,:,40.8,35.2,30.0,34.5,29.4,32.4,38.5,36.4,37.1,35.2,28.4,27.8,38.1,34.3,14.7,15.2,8.8,25.9,29.4
Annual,Percentage,First quintile,Ireland,26.6,7.2,9.4,7.5,11.5,11.1,14.7,18.6,23.1,24.8,18.1,24.4,15.7,16.3,16.5,12.5,16.6 b,13.5 b,8.0,12.1,16.3
Annual,Percentage,First quintile,Iceland,:,28.4,30.0,30.5,25.5,23.3,25.3,27.9,31.8,27.3,25.3,24.9,26.1,19.3,27.7,24.6,36.3,:,:,:,:
Annual,Percentage,First quintile,Italy,:,36.5,37.4,36.6,25.8,26.8,26.4,28.3,31.7,29.9,31.4,31.3,32.9,36.6,33.4,33.3,34.9,28.6,28.7,24.0,21.5
Annual,Percentage,First quintile,Lithuania,:,:,30.8,25.4,19.5,21.0,20.6,39.4,37.2,32.3,29.0,26.7,35.2,31.7,29.9,25.1,20.3,12.2,12.9,14.8,21.3
Annual,Percentage,First quintile,Luxembourg,14.8,19.8,15.2,20.4,16.8,15.4,15.2,19.2,17.4,20.1,22.7,26.7,24.1,24.6 b,27.9,36.0,35.1,31.1 b,15.8 b,28.5 b,40.5
Annual,Percentage,First quintile,Latvia,:,:,40.4,37.0,32.5,31.3,34.1,32.8,37.3,35.2,37.7,32.9,27.9,27.1,27.4,25.9,21.3,18.4,19.5,22.5,28.0
Annual,Percentage,First quintile,Montenegro,:,:,:,:,:,:,:,:,:,:,47.3,46.6,47.8,48.7,44.6,46.1,38.2,30.5,24.8,18.3,:
Annual,Percentage,First quintile,North Macedonia,:,:,:,:,:,:,:,:,68.2,70.2,65.3,57.3,49.1,53.9,49.9,45.6,40.0,36.1,:,:,:
Annual,Percentage,First quintile,Malta,:,:,5.4,7.2,8.3,10.0,9.0,11.0,9.8,9.3,9.0,5.5,4.2,5.4,4.8,5.0,8.3,9.4,11.0,10.5,21.7
Annual,Percentage,First quintile,Netherlands,:,:,44.2,43.3,45.0,33.1,33.0,32.0,33.8,33.0,38.1,39.8,41.3,34.3 b,32.6,32.4,32.0,26.9,27.8,34.0,28.9
Annual,Percentage,First quintile,Norway,:,23.7,8.1,33.6,35.9,34.0,29.8,28.3,31.5,28.6,29.1,28.0,30.3,31.7,30.8,36.8,35.4,33.8,29.7 b,37.0,39.2
Annual,Percentage,First quintile,Poland,:,:,46.9,34.3,31.4,30.3,26.4,28.7,33.2,32.9,31.2,28.8,28.3,27.1,24.9,23.0,22.4,19.0 b,22.2,21.9,23.0
Annual,Percentage,First quintile,Portugal,:,17.1,16.1,13.0,21.2,20.5,20.2,15.2,24.8,27.2,29.2,33.1,32.8,27.9,24.3,20.4,20.7,14.4,22.3,17.5,16.9
Annual,Percentage,First quintile,Romania,:,:,:,:,49.0,44.6,38.4,41.4,24.0,47.0,44.2,44.2,48.5,44.9,39.5,36.6,32.6,26.8,28.7,27.6,29.5
Annual,Percentage,First quintile,Serbia,:,:,:,:,:,:,:,:,:,:,73.5,83.3,86.3,82.0,87.6,85.7,66.9,59.3,53.4,46.9,:
Annual,Percentage,First quintile,Sweden,:,36.0,36.2,38.3,31.6,41.3 b,41.2,33.5,39.2,35.2,35.1,35.4,34.6,34.4,33.0,33.2,37.6,32.9,35.2,37.6,42.7
Annual,Percentage,First quintile,Slovenia,:,:,11.2,11.1,16.0,14.9,14.7,15.7,17.7,20.5,22.0,23.5,23.1,22.4,20.3,18.3,16.3,17.2,15.4,16.2,15.4
Annual,Percentage,First quintile,Slovakia,:,:,47.0,47.7,42.3,19.3,29.1,26.1,29.1,27.0,27.4,27.8,26.7,27.9,31.1,17.5,19.1,14.7,22.8,10.6,26.8
Annual,Percentage,First quintile,Türkiye,:,:,:,28.4,16.6,16.6,19.0,19.8,19.9,16.8,21.4,20.2,20.7,20.7,19.2,19.9,23.8,24.6,26.0,24.9,28.1
Annual,Percentage,First quintile,United Kingdom,:,:,45.7,46.1,44.5,46.5,50.5,50.9,47.6,22.6 b,23.9,37.1,36.5,37.1,37.4 b,48.8,:,:,:,:,:
Annual,Percentage,First quintile,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,53.9,:,:,:,:,:
Annual,Percentage,Second quintile,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.5,3.1,3.1,2.3,2.1,:,:
Annual,Percentage,Second quintile,Austria,:,5.0 u,1.9,2.3,2.8,6.5 bu,5.2 u,5.3 u,6.3 u,3.8,3.1,3.4,3.4,4.4,3.1,3.9,3.6,2.5,4.7,3.2,2.3
Annual,Percentage,Second quintile,Belgium,:,12.3,10.1,9.4,11.9,13.2,7.9,8.4,11.5,11.3,9.4,10.0,10.8,9.9,9.5,8.2,8.9 b,7.6,7.6,8.4,8.2
Annual,Percentage,Second quintile,Bulgaria,:,:,:,13.6,24.3,16.7,6.7,5.7,8.5,17.2,19.9,13.6,19.2,26.4 b,24.8,22.8,18.9,18.6,13.8,17.1,11.7
Annual,Percentage,Second quintile,Switzerland,:,:,:,:,:,:,11.9,14.1,12.5,9.4,9.2,12.1 b,12.1,12.8,10.8,13.1,14.4,14.8,14.3,12.8,16.8
Annual,Percentage,Second quintile,Cyprus,:,:,6.5,1.6,1.0,1.8 b,1.6,1.8,4.2,3.6,4.4,4.2,4.2,3.1,3.7,2.7,1.8,2.3,3.3,2.4,2.9
Annual,Percentage,Second quintile,Czechia,:,:,10.0,11.9,10.8,11.7,7.3,7.8,10.0,8.8,9.3,9.8,9.1,8.4,7.8,6.7,5.7,5.0,4.5,5.1,7.1
Annual,Percentage,Second quintile,Germany,:,:,:,:,:,:,:,13.3,17.5,18.6,16.8,16.1,15.1,16.3,12.9,12.2,12.3,6.4 b,9.8,11.6,12.8
Annual,Percentage,Second quintile,Denmark,:,:,16.1,16.5,12.3,17.0,24.5,25.9,20.4 b,17.6,20.6,16.9,16.3,14.6,14.9,13.3,12.6,11.4 b,14.5,13.9,14.1
Annual,Percentage,Second quintile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,8.5 e,7.6 e,8.5 e,10.4 e,11.4 e,11.8 e,11.5 e,10.9 e,10.9 e,9.4 e,8.5 e,8.7,6.6,7.6 e,:,:
Annual,Percentage,Second quintile,Euro area - 18 countries (2014),:,:,10.4 e,10.2 e,8.5 e,8.4 e,7.6 e,8.5,10.4,11.5,11.8,11.5,10.9,10.9,9.5,8.6,8.7,6.7,:,:,:
Annual,Percentage,Second quintile,Euro area - 19 countries  (2015-2022),:,:,10.4 e,10.1 e,8.5 e,8.3 e,7.5 e,8.5,10.4,11.4,11.8,11.5,10.9,10.9,9.4,8.5,8.7,6.6,7.6 e,:,:
Annual,Percentage,Second quintile,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,11.4,10.8,10.8,9.4,8.4,8.6,6.6,7.8,8.3,8.4
Annual,Percentage,Second quintile,Estonia,:,:,6.1,3.9,4.0,2.3,4.0,3.8,5.8,5.9,5.1,5.2 b,4.2,2.3,2.6,1.4,3.1,2.7,2.2,4.0,4.3
Annual,Percentage,Second quintile,Greece,:,27.7,24.9,29.2,10.5,23.2,21.4,15.3,29.0,49.7,60.1,66.4,65.8,55.0,54.4,54.1,45.7,42.4,31.5,33.0,36.7
Annual,Percentage,Second quintile,Spain,:,4.5,6.1,6.3,8.5,9.3 b,9.0,7.9,7.7,7.8,8.9,9.1,7.6,8.3,7.7,6.3,6.4,5.8,6.8,6.1,6.4
Annual,Percentage,Second quintile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,11.4 e,9.8 e,10.5 e,11.7 e,11.4 e,11.8 e,11.9 e,11.3 e,11.1 e,10.0 e,9.4 e,9.3 e,:,:,:,:
Annual,Percentage,Second quintile,European Union - 27 countries (2007-2013),:,:,12.8 e,12.7 e,11.4 e,11.4 e,9.8 e,10.5,11.7,11.5,11.8,12.0,11.4,11.1,10.1,9.4,9.3 e,:,:,:,:
Annual,Percentage,Second quintile,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,9.4 e,10.7 e,11.9 e,12.3 e,11.6 e,10.9 e,10.7 e,9.3 e,8.3 e,8.2 e,6.4,7.2,7.8,8.1
Annual,Percentage,Second quintile,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,10.5,11.7,11.4,11.8,11.9,11.3,11.1,10.0,9.4,9.3 e,:,:,:,:
Annual,Percentage,Second quintile,Finland,:,3.0,3.0,3.3,4.1,3.5,4.2,3.7,4.5,4.5,3.7,4.9,5.8,4.4,4.5,4.0,3.8,4.1,5.0,6.3,5.2
Annual,Percentage,Second quintile,France,:,6.8,7.0,6.4,6.4,4.4,4.3,5.4,5.0,4.5,5.1,5.6,5.7,5.3,6.3,4.2,5.6,5.1 b,:,6.7 b,5.4
Annual,Percentage,Second quintile,Croatia,:,:,:,:,:,:,:,13.4,4.9,3.0,5.3,4.9,4.0,3.0,2.4,1.7,1.7,1.1,1.1,0.9,1.0
Annual,Percentage,Second quintile,Hungary,:,:,22.3,13.7,13.7,13.1,8.8,15.0,16.7,19.9,18.5,14.4,8.5,9.6,9.8,7.9,2.2,2.8,1.8,6.9,6.7
Annual,Percentage,Second quintile,Ireland,5.7,1.9,3.0,3.3,1.6,3.5,2.2,3.3,3.0,3.0,3.5,4.0,4.6,4.0,3.6,2.5,4.9 b,3.5 b,2.4,3.6,5.2
Annual,Percentage,Second quintile,Iceland,:,8.3,8.3,12.3,7.4,9.7,7.1,7.7,9.4,8.4,8.7,7.1,6.4,5.0,5.3,7.7,13.5,:,:,:,:
Annual,Percentage,Second quintile,Italy,:,12.8,14.6,13.5,7.4,8.3,7.6,6.1,7.1,7.4,8.4,6.9,5.8,7.5,5.0,5.2,5.3,4.7,4.5,5.7,5.0
Annual,Percentage,Second quintile,Lithuania,:,:,9.6,7.4,3.0,2.6,3.3,6.7,11.6,8.6,8.7,7.3,9.0,5.5,4.1,2.0,1.9,0.8,0.8,2.3,3.2
Annual,Percentage,Second quintile,Luxembourg,2.0,1.3,2.4,2.9,1.5,1.9,2.2,2.2,2.4,2.9,2.9,4.6,4.6,6.6 b,4.5,6.5,9.2,6.8 b,4.4 b,9.8 b,11.0
Annual,Percentage,Second quintile,Latvia,:,:,15.0,9.7,7.9,8.3,7.2,9.8,13.7,13.1,12.6,9.5,7.3,4.2,4.0,4.7,3.3,3.7,2.4,3.2,6.3
Annual,Percentage,Second quintile,Montenegro,:,:,:,:,:,:,:,:,:,:,26.7,17.4,20.4,17.8,15.5,16.1,11.3,10.7,7.0,5.0,:
Annual,Percentage,Second quintile,North Macedonia,:,:,:,:,:,:,:,:,20.6,22.4,15.7,13.9,7.5,5.7,6.4,3.3,4.3,3.7,:,:,:
Annual,Percentage,Second quintile,Malta,:,:,1.4,0.6,2.3,2.7,2.6,2.8,1.9,1.9,2.0,1.3,0.8,1.2,1.4,2.5,3.1,2.1,1.7,2.6,6.0
Annual,Percentage,Second quintile,Netherlands,:,:,22.3,20.9,19.7,14.2,13.1,14.2,15.1,16.1,19.0,15.2,14.3,12.2 b,9.8,9.4,10.2,9.0,9.2,10.7,10.7
Annual,Percentage,Second quintile,Norway,:,5.1,3.9,8.7,10.1,10.0,9.9,5.9,8.3,7.8,7.4,5.9,6.4,7.2,6.0,7.6,7.6,7.0,7.6 b,7.5,9.4
Annual,Percentage,Second quintile,Poland,:,:,19.0,13.8,12.4,9.7,8.4,9.7,10.2,10.2,11.0,9.4,8.5,6.6,4.6,4.1,4.1,3.6 b,4.3,3.5,3.5
Annual,Percentage,Second quintile,Portugal,:,3.0,3.0,5.0,9.6,10.5,6.5,2.9,6.6,7.8,7.1,7.0,8.2,6.5,5.6,5.2,5.1,3.6,4.0,4.5,4.4
Annual,Percentage,Second quintile,Romania,:,:,:,:,22.1,23.1,19.6,20.3,15.2,21.5,20.3,19.7,17.1,14.0,11.5,8.1,7.2,5.5,3.6,5.6,8.5
Annual,Percentage,Second quintile,Serbia,:,:,:,:,:,:,:,:,:,:,35.7,43.5,49.4,39.0,49.8,45.0,28.0,20.5,15.0,12.0,:
Annual,Percentage,Second quintile,Sweden,:,8.2,6.9,7.0,6.3,7.0 b,9.8,5.0,6.8,7.6,8.9,7.0,7.2,7.0,7.0,6.6,7.8,7.3,5.6,6.8,9.6
Annual,Percentage,Second quintile,Slovenia,:,:,3.8,1.7,4.4,3.4,2.0,3.4,2.6,4.0,5.2,5.1,4.1,3.9,3.1,3.8,2.8,3.1,4.0,3.1,2.2
Annual,Percentage,Second quintile,Slovakia,:,:,16.3,19.5,22.3,6.3,7.9,5.7,6.6,8.0,6.2,7.8,8.4,6.8,7.2,2.4,3.8,0.8,7.4,1.1,2.5
Annual,Percentage,Second quintile,Türkiye,:,:,:,19.6,14.9,15.3,17.7,15.7,15.8,15.0,17.0,14.7,14.0,14.7,13.9,14.0,13.7,13.7,15.0,14.7,17.3
Annual,Percentage,Second quintile,United Kingdom,:,:,16.3,19.6,18.3,20.6,16.7,18.9,18.3,7.6 b,8.0,13.9,14.1,13.5,15.1 b,17.1,:,:,:,:,:
Annual,Percentage,Second quintile,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.4,:,:,:,:,:
Annual,Percentage,Third quintile,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.3,1.1,1.2,1.2,0.9,:,:
Annual,Percentage,Third quintile,Austria,:,2.6 u,1.1,1.6,1.3,2.1 bu,1.7 u,2.6 u,1.9 u,1.0,1.8,1.0,1.3,1.6,0.7,0.9,1.0,0.7,0.6,1.1,1.0
Annual,Percentage,Third quintile,Belgium,:,5.3,3.4,3.6,3.3,6.0,3.1,1.9,3.3,4.0,4.1,3.6,3.4,3.3,3.6,2.5,2.9 b,2.3,2.1,2.1,2.1
Annual,Percentage,Third quintile,Bulgaria,:,:,:,5.7,12.5,8.2,2.3,1.6,4.3,4.2,7.4,4.8,5.4,11.5 b,11.6,9.8,7.7,6.2,4.1,4.4,2.9
Annual,Percentage,Third quintile,Switzerland,:,:,:,:,:,:,5.1,7.5,4.9,4.7,3.9,5.4 b,4.5,5.4,5.2,5.4,4.5,5.2,5.9,4.5,4.3
Annual,Percentage,Third quintile,Cyprus,:,:,2.3,1.8,0.9,0.9 b,2.2,1.7,1.7,0.9,1.5,2.3,2.1,1.0,1.7,0.9,0.5,1.1,0.6,1.0,1.5
Annual,Percentage,Third quintile,Czechia,:,:,6.0,6.8,5.9,7.6,4.4,3.5,3.5,4.2,6.3,5.7,4.7,3.9,3.4,3.4,2.1,2.0,1.9,2.4,4.0
Annual,Percentage,Third quintile,Germany,:,:,:,:,:,:,:,9.8,9.5,7.9,9.8,7.4,7.3,8.6,7.0,6.7,7.1,3.1 b,5.1,6.8,8.2
Annual,Percentage,Third quintile,Denmark,:,:,4.5,6.3,5.7,9.2,13.9,12.4,8.3 b,7.1,7.3,5.2,6.2,4.5,4.9,4.9,4.8,4.1 b,5.1,4.0,7.3
Annual,Percentage,Third quintile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,3.8 e,3.9 e,4.7 e,5.0 e,4.6 e,5.2 e,5.1 e,5.2 e,4.8 e,4.1 e,4.0 e,4.2,2.8,3.4 e,:,:
Annual,Percentage,Third quintile,Euro area - 18 countries (2014),:,:,5.2 e,5.4 e,4.1 e,3.8 e,3.9 e,4.7,5.0,4.6,5.2,5.1,5.2,4.9,4.2,4.0,4.2,2.8,:,:,:
Annual,Percentage,Third quintile,Euro area - 19 countries  (2015-2022),:,:,5.2 e,5.3 e,4.1 e,3.7 e,3.9 e,4.7,5.0,4.5,5.2,5.1,5.2,4.8,4.1,4.0,4.2,2.8,3.4 e,:,:
Annual,Percentage,Third quintile,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,5.1,5.2,4.8,4.1,3.9,4.2,2.8,3.6,3.7,3.9
Annual,Percentage,Third quintile,Estonia,:,:,1.8,2.0,1.3,1.3,1.3,1.7,2.7,2.2,1.1,2.2 b,2.3,1.2,1.2,0.9,1.2,1.2,0.7,0.8,2.0
Annual,Percentage,Third quintile,Greece,:,13.8,14.4,15.8,2.6,11.7,12.5,5.5,7.0,14.2,20.1,34.2,36.1,28.6,27.4,27.3,23.2,21.2,17.2,11.3,13.4
Annual,Percentage,Third quintile,Spain,:,2.1,3.0,3.1,3.7,3.9 b,4.6,2.6,4.1,3.0,2.2,2.3,1.9,2.9,2.2,2.2,2.5,2.2,2.9,2.6,2.2
Annual,Percentage,Third quintile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,5.3 e,4.9 e,5.2 e,5.7 e,4.9 e,5.4 e,5.3 e,5.1 e,4.9 e,4.4 e,4.1 e,4.1 e,:,:,:,:
Annual,Percentage,Third quintile,European Union - 27 countries (2007-2013),:,:,6.6 e,6.7 e,6.0 e,5.3 e,4.9 e,5.2,5.7,4.9,5.4,5.3,5.1,4.9,4.4,4.2,4.2 e,:,:,:,:
Annual,Percentage,Third quintile,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,4.8 e,5.0 e,5.1 e,5.6 e,5.2 e,5.0 e,4.7 e,4.0 e,3.8 e,3.7 e,2.6,3.2,3.5,3.7
Annual,Percentage,Third quintile,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,5.2,5.7,4.9,5.4,5.3,5.1,4.9,4.4,4.1,4.1 e,:,:,:,:
Annual,Percentage,Third quintile,Finland,:,1.7,1.6,1.6,3.1,2.1,2.0,2.4,2.1,1.9,2.3,2.0,1.8,2.0,2.3,1.6,1.7,1.5,2.1,2.6,3.8
Annual,Percentage,Third quintile,France,:,3.2,3.1,3.5,4.1,2.0,2.3,1.9,1.8,1.7,2.0,2.0,2.9,1.8,2.0,2.1,2.1,1.8 b,:,2.7 b,1.9
Annual,Percentage,Third quintile,Croatia,:,:,:,:,:,:,:,4.5,2.0,1.3,2.3,2.3,0.9,0.6,0.4,0.3,0.6,0.8,0.5,0.2,0.3
Annual,Percentage,Third quintile,Hungary,:,:,13.2,7.3,5.9,6.6,3.8,5.0,6.6,8.8,8.9,9.4,2.9,3.7,3.3,3.5,1.6,2.3,1.1,4.1,3.7
Annual,Percentage,Third quintile,Ireland,2.8,0.8,0.5,1.0,1.5,0.7,0.7,1.1,2.2,1.9,1.3,1.8,2.1,2.1,2.4,1.6,2.1 b,2.1 b,1.3,1.8,0.8
Annual,Percentage,Third quintile,Iceland,:,4.7,8.6,8.9,8.5,8.9,7.2,4.8,6.7,3.9,4.4,3.7,4.5,2.8,3.4,6.0,5.2,:,:,:,:
Annual,Percentage,Third quintile,Italy,:,7.0,6.7,7.1,2.8,3.3,3.6,2.7,3.0,2.3,3.0,2.9,2.8,2.8,2.0,1.8,2.5,1.8,2.1,2.4,1.7
Annual,Percentage,Third quintile,Lithuania,:,:,2.5,1.0,0.8,0.6,1.4,2.4,4.5,2.6,2.5,1.3,1.4,0.7,1.3,1.0,1.7,0.3,0.0,0.3,0.8
Annual,Percentage,Third quintile,Luxembourg,0.6,0.9,0.9,0.2,1.2,0.8,0.8,1.1,0.5,1.3,1.6,2.3,1.2,2.5 b,2.3,3.7,4.0,3.8 b,3.2 b,4.4 b,7.2
Annual,Percentage,Third quintile,Latvia,:,:,4.8,3.7,4.6,2.7,3.3,3.6,6.1,4.4,4.4,2.5,3.1,2.0,2.3,2.4,1.2,0.7,1.4,1.3,1.5
Annual,Percentage,Third quintile,Montenegro,:,:,:,:,:,:,:,:,:,:,16.1,11.2,9.5,9.7,7.2,6.8,4.7,3.4,5.5,2.5,:
Annual,Percentage,Third quintile,North Macedonia,:,:,:,:,:,:,:,:,6.4,5.6,5.5,4.7,3.4,2.0,1.6,1.5,2.2,1.3,:,:,:
Annual,Percentage,Third quintile,Malta,:,:,0.8,0.5,1.0,2.2,1.5,2.0,2.3,1.5,0.6,0.6,0.2,0.3,0.7,0.6,0.7,1.1,0.5,1.0,2.4
Annual,Percentage,Third quintile,Netherlands,:,:,14.9,12.9,11.2,9.3,7.9,10.3,10.9,10.9,9.4,10.5,9.9,4.8 b,2.9,3.8,5.1,3.4,3.2,3.5,4.9
Annual,Percentage,Third quintile,Norway,:,5.2,3.3,5.5,7.9,8.0,6.6,4.2,6.4,5.9,4.8,3.3,4.0,4.8,5.5,4.1,5.5,2.9,6.2 b,8.0,8.2
Annual,Percentage,Third quintile,Poland,:,:,10.2,8.0,6.0,5.1,3.9,4.5,4.9,5.7,5.2,4.4,2.3,2.5,1.8,1.4,1.1,1.0 b,1.2,1.3,1.6
Annual,Percentage,Third quintile,Portugal,:,1.2,2.2,2.5,4.3,3.2,2.4,2.2,3.7,3.6,3.5,3.2,3.0,1.9,2.0,1.8,2.1,1.7,2.0,1.7,2.0
Annual,Percentage,Third quintile,Romania,:,:,:,:,16.2,16.7,10.9,9.2,7.3,13.9,11.9,9.5,8.5,7.0,6.0,4.0,2.3,1.9,2.2,4.0,4.0
Annual,Percentage,Third quintile,Serbia,:,:,:,:,:,:,:,:,:,:,18.3,21.0,21.0,23.7,21.0,16.6,9.0,6.4,4.8,4.2,:
Annual,Percentage,Third quintile,Sweden,:,1.3,2.4,1.9,1.4,1.7 b,1.8,0.5,0.8,0.6,1.1,0.8,1.5,0.9,1.5,1.0,1.0,0.7,1.2,0.7,2.1
Annual,Percentage,Third quintile,Slovenia,:,:,3.6,1.0,3.3,1.7,1.4,1.3,1.8,0.8,1.3,2.1,1.7,1.3,1.7,1.7,1.2,1.0,1.0,1.0,0.8
Annual,Percentage,Third quintile,Slovakia,:,:,8.8,8.9,13.6,1.5,4.5,3.4,2.6,3.6,4.8,5.7,6.0,2.5,2.3,0.3,2.7,0.5,3.0,0.4,1.2
Annual,Percentage,Third quintile,Türkiye,:,:,:,11.2,8.0,10.6,11.4,11.5,11.0,10.2,11.7,9.1,9.5,8.3,7.7,7.6,7.6,7.6,9.1,8.6,13.0
