Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Geopolitical entity (reporting)\Time,2022.0,2023.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Ireland,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Iceland,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Italy,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Liechtenstein,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Lithuania,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Luxembourg,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Latvia,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Malta,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Netherlands,50.0,10.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Norway,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Poland,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Portugal,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Romania,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Sweden,5.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Slovenia,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 14 years,Slovakia,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Austria,5.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Belgium,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Bulgaria,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Switzerland,10.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Cyprus,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Czechia,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Germany,15.0,5.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Denmark,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Estonia,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Greece,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Spain,10.0,10.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Finland,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,France,0 d,0 d
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Croatia,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Ireland,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Iceland,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Italy,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Liechtenstein,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Lithuania,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Luxembourg,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Latvia,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Malta,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Netherlands,65.0,10.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Norway,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Poland,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Portugal,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Romania,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Sweden,10.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Slovenia,0.0,0.0
Annual,Person,European Union - 27 countries (from 2020),Total,Less than 18 years,Slovakia,0.0,0.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Austria,7705.0,1390.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Belgium,4625.0,965.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Bulgaria,10260.0,1225.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Switzerland,5350.0,1340.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Cyprus,850.0,330.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Czechia,36830.0,10590.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Germany,59800.0,27205.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Denmark,2360.0,580.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Estonia,3340.0,570.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Greece,1210.0,170.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Spain,10810.0,1310.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Finland,3180.0,1175.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,France,155 d,70 d
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Croatia,1305.0,205.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Ireland,4835.0,2260.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Iceland,110.0,65.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Italy,10685.0,1020.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Liechtenstein,50.0,20.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Lithuania,5635.0,935.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Luxembourg,360.0,45.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Latvia,2725.0,820.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Malta,100.0,25.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Netherlands,7475.0,2160.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Norway,2425.0,2555.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Poland,141300.0,19285.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Portugal,2555.0,190.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Romania,5750.0,2415.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Sweden,3470.0,585.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Slovenia,610.0,100.0
Annual,Person,Extra-EU27 (from 2020),Total,From 14 to 17 years,Slovakia,8565.0,1465.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Austria,23875.0,2875.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Belgium,16555.0,2895.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Bulgaria,43085.0,3275.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Switzerland,18570.0,5245.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Cyprus,2740.0,1275.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Czechia,109970.0,14840.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Germany,194115.0,81480.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Denmark,9230.0,1495.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Estonia,11545.0,1635.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Greece,5215.0,550.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Spain,43045.0,5975.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Finland,10620.0,3165.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,France,0 d,0 d
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Croatia,5250.0,760.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Ireland,16970.0,6775.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Iceland,420.0,210.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Italy,44730.0,3470.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Liechtenstein,90.0,55.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Lithuania,19410.0,2645.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Luxembourg,1350.0,135.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Latvia,9055.0,2290.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Malta,425.0,110.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Netherlands,23930.0,4585.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Norway,8305.0,7435.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Poland,535240.0,43565.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Portugal,11865.0,975.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Romania,29310.0,10735.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Sweden,12100.0,1595.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Slovenia,2045.0,290.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Slovakia,26605.0,3480.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Austria,31580.0,4265.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Belgium,21180.0,3860.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Bulgaria,53350.0,4500.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Switzerland,23915.0,6585.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Cyprus,3590.0,1605.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Czechia,146800.0,25430.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Germany,253915.0,108685.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Denmark,11590.0,2075.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Estonia,14885.0,2205.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Greece,6425.0,720.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Spain,53855.0,7285.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Finland,13800.0,4340.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,France,155 d,70 d
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Croatia,6555.0,965.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Ireland,21805.0,9030.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Iceland,530.0,275.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Italy,55415.0,4490.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Liechtenstein,135.0,75.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Lithuania,25045.0,3580.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Luxembourg,1710.0,180.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Latvia,11780.0,3115.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Malta,520.0,135.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Netherlands,31405.0,6745.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Norway,10735.0,9995.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Poland,676545.0,62850.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Portugal,14415.0,1170.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Romania,35065.0,13150.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Sweden,15570.0,2180.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Slovenia,2655.0,395.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Slovakia,35170.0,4945.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Austria,7680.0,1390.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Belgium,4575.0,950.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Bulgaria,10250.0,1225.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Switzerland,5310.0,1335.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Cyprus,840.0,320.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Czechia,36815.0,10585.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Germany,59390.0,27055.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Denmark,2350.0,580.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Estonia,3330.0,570.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Greece,1205.0,170.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Spain,10760.0,1280.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Finland,3175.0,1165.0
Annual,Person,Ukraine,Total,From 14 to 17 years,France,155 d,70 d
Annual,Person,Ukraine,Total,From 14 to 17 years,Croatia,1300.0,205.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Ireland,4815.0,2255.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Iceland,110.0,65.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Italy,10675.0,1020.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Liechtenstein,45.0,20.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Lithuania,5625.0,935.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Luxembourg,360.0,45.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Latvia,2720.0,815.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Malta,100.0,25.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Netherlands,7390.0,2150.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Norway,2425.0,2555.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Poland,141160.0,19280.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Portugal,2515.0,180.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Romania,5740.0,2405.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Sweden,3460.0,580.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Slovenia,610.0,100.0
Annual,Person,Ukraine,Total,From 14 to 17 years,Slovakia,8550.0,1465.0
Annual,Person,Ukraine,Total,Less than 14 years,Austria,23725.0,2850.0
Annual,Person,Ukraine,Total,Less than 14 years,Belgium,16330.0,2780.0
Annual,Person,Ukraine,Total,Less than 14 years,Bulgaria,43020.0,3255.0
Annual,Person,Ukraine,Total,Less than 14 years,Switzerland,18415.0,5225.0
Annual,Person,Ukraine,Total,Less than 14 years,Cyprus,2700.0,1245.0
Annual,Person,Ukraine,Total,Less than 14 years,Czechia,109860.0,14805.0
Annual,Person,Ukraine,Total,Less than 14 years,Germany,192425.0,80885.0
Annual,Person,Ukraine,Total,Less than 14 years,Denmark,9210.0,1490.0
Annual,Person,Ukraine,Total,Less than 14 years,Estonia,11515.0,1630.0
Annual,Person,Ukraine,Total,Less than 14 years,Greece,5185.0,545.0
Annual,Person,Ukraine,Total,Less than 14 years,Spain,42695.0,5780.0
Annual,Person,Ukraine,Total,Less than 14 years,Finland,10565.0,3105.0
Annual,Person,Ukraine,Total,Less than 14 years,France,0 d,0 d
Annual,Person,Ukraine,Total,Less than 14 years,Croatia,5230.0,755.0
Annual,Person,Ukraine,Total,Less than 14 years,Ireland,16875.0,6725.0
Annual,Person,Ukraine,Total,Less than 14 years,Iceland,415.0,205.0
Annual,Person,Ukraine,Total,Less than 14 years,Italy,44655.0,3455.0
Annual,Person,Ukraine,Total,Less than 14 years,Liechtenstein,90.0,55.0
Annual,Person,Ukraine,Total,Less than 14 years,Lithuania,19365.0,2640.0
Annual,Person,Ukraine,Total,Less than 14 years,Luxembourg,1345.0,135.0
Annual,Person,Ukraine,Total,Less than 14 years,Latvia,8995.0,2270.0
Annual,Person,Ukraine,Total,Less than 14 years,Malta,425.0,110.0
Annual,Person,Ukraine,Total,Less than 14 years,Netherlands,23540.0,4515.0
Annual,Person,Ukraine,Total,Less than 14 years,Norway,8275.0,7420.0
Annual,Person,Ukraine,Total,Less than 14 years,Poland,534095.0,43525.0
Annual,Person,Ukraine,Total,Less than 14 years,Portugal,11560.0,880.0
Annual,Person,Ukraine,Total,Less than 14 years,Romania,29200.0,10695.0
Annual,Person,Ukraine,Total,Less than 14 years,Sweden,12035.0,1575.0
Annual,Person,Ukraine,Total,Less than 14 years,Slovenia,2025.0,285.0
Annual,Person,Ukraine,Total,Less than 14 years,Slovakia,26555.0,3470.0
Annual,Person,Ukraine,Total,Less than 18 years,Austria,31405.0,4235.0
Annual,Person,Ukraine,Total,Less than 18 years,Belgium,20910.0,3730.0
Annual,Person,Ukraine,Total,Less than 18 years,Bulgaria,53270.0,4480.0
Annual,Person,Ukraine,Total,Less than 18 years,Switzerland,23725.0,6560.0
Annual,Person,Ukraine,Total,Less than 18 years,Cyprus,3535.0,1565.0
Annual,Person,Ukraine,Total,Less than 18 years,Czechia,146670.0,25390.0
Annual,Person,Ukraine,Total,Less than 18 years,Germany,251815.0,107945.0
Annual,Person,Ukraine,Total,Less than 18 years,Denmark,11560.0,2070.0
Annual,Person,Ukraine,Total,Less than 18 years,Estonia,14845.0,2200.0
Annual,Person,Ukraine,Total,Less than 18 years,Greece,6390.0,720.0
Annual,Person,Ukraine,Total,Less than 18 years,Spain,53450.0,7060.0
Annual,Person,Ukraine,Total,Less than 18 years,Finland,13735.0,4270.0
Annual,Person,Ukraine,Total,Less than 18 years,France,155 d,70 d
Annual,Person,Ukraine,Total,Less than 18 years,Croatia,6530.0,960.0
Annual,Person,Ukraine,Total,Less than 18 years,Ireland,21690.0,8980.0
Annual,Person,Ukraine,Total,Less than 18 years,Iceland,530.0,270.0
Annual,Person,Ukraine,Total,Less than 18 years,Italy,55325.0,4475.0
Annual,Person,Ukraine,Total,Less than 18 years,Liechtenstein,135.0,75.0
Annual,Person,Ukraine,Total,Less than 18 years,Lithuania,24990.0,3575.0
Annual,Person,Ukraine,Total,Less than 18 years,Luxembourg,1700.0,180.0
Annual,Person,Ukraine,Total,Less than 18 years,Latvia,11710.0,3085.0
Annual,Person,Ukraine,Total,Less than 18 years,Malta,520.0,135.0
Annual,Person,Ukraine,Total,Less than 18 years,Netherlands,30930.0,6665.0
Annual,Person,Ukraine,Total,Less than 18 years,Norway,10700.0,9975.0
Annual,Person,Ukraine,Total,Less than 18 years,Poland,675255.0,62810.0
Annual,Person,Ukraine,Total,Less than 18 years,Portugal,14075.0,1060.0
Annual,Person,Ukraine,Total,Less than 18 years,Romania,34935.0,13100.0
Annual,Person,Ukraine,Total,Less than 18 years,Sweden,15500.0,2155.0
Annual,Person,Ukraine,Total,Less than 18 years,Slovenia,2635.0,385.0
Annual,Person,Ukraine,Total,Less than 18 years,Slovakia,35105.0,4935.0
