Time frequency,Unit of measure,Level of activity limitation,Age class,Sex,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,16 years or over,Total,Netherlands,2.5,2.9,2.5,2.5,2.1,2.8,2.2,2.3,5.3,6.9
Annual,Percentage,Total,16 years or over,Total,Norway,0.6,0.4,0.8,0.7,0.8,1.2,0.7,1.2 b,2.0,2.1
Annual,Percentage,Total,16 years or over,Total,Poland,9.1,7.8,7.4,6.5,5.5,4.4,3.4,3.5,5.0,4.9
Annual,Percentage,Total,16 years or over,Total,Portugal,28.9,24.5,23.2,21.2,20.3,19.7,18.7,17.3,18.4,21.7
Annual,Percentage,Total,16 years or over,Total,Romania,12.2,12.1,13.0,11.3,9.6,9.1,9.2,9.8,14.4,12.4
Annual,Percentage,Total,16 years or over,Total,Serbia,17.4,15.7,13.7,13.4,9.9,10.1,9.6,9.6,9.7,:
Annual,Percentage,Total,16 years or over,Total,Sweden,1.0,1.2,2.5,2.1,2.3,1.8,2.4,1.8,3.1,5.6
Annual,Percentage,Total,16 years or over,Total,Slovenia,5.9,5.8,4.9,4.2,3.5,2.5,3.0,1.8,2.6,3.8
Annual,Percentage,Total,16 years or over,Total,Slovakia,5.9,5.6,5.1,4.0,4.6,8.1,5.9,5.8,6.4,7.1
Annual,Percentage,Total,16 years or over,Total,Türkiye,14.3,14.5,22.8,19.2,17.6,17.9,18.8,18.8,18.8,17.9
Annual,Percentage,Total,16 years or over,Total,United Kingdom,9.2,7.4,6.0,5.9 b,5.1,:,:,:,:,:
Annual,Percentage,Total,16 years or over,Total,Kosovo*,:,:,:,:,39.9,:,:,:,:,:
