Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand persons,European Union - 27 countries (from 2020),5633.7 e,6054.9 be,6368.6 e,6559.8 e,6728.2 e,6740.1 e,6767.4 e,5669.6 be,5939.9 e,6145.3 e,6330.3 e,6551.9 e,6915.6 e,7180.7 e,7569.3 e,7886.4 e,8449.7 e,8956.2 be,9403.9 e,9789.2 e
Annual,Thousand persons,Finland,123.4 e,130.4 be,135.4 e,138.8 be,138.0 be,136.1 e,140.4 e,141.5 b,151.3,155.8,153.0,155.9,160.6,166.0,169.3,174.5,191.5,188.0 b,197.9,200.7
Annual,Thousand persons,France,972.1 e,1009.7 be,1047.2 be,1006.1 e,1021.4 e,1041.8 e,1045.5 e,699.1 be,687.4 e,768.5 b,853.4 b,906.7,968.7,1017.9,1061.2,1131.6,1218.9,1238.8 bd,1215.5 d,1349.0 d
Annual,Thousand persons,Croatia,25.9 e,29.1 be,31.2 be,35.8 e,41.3 e,40.2 e,36.9 e,39.3 be,39.0 e,38.8 e,42.3 e,43.0 e,52.3,53.8 e,57.9 e,53.7 e,61.4 e,59.7 be,63.4 e,69.3 be
Annual,Thousand persons,Hungary,170.6 e,162.5 be,168.5 e,168.2 e,169.8 e,157.8 e,160.8 e,102.0 b,123.5,136.8,144.2,152.6,158.1,157.7,165.6,152.4,170.4 e,181.2 be,193.6 e,197.7 e
Annual,Thousand persons,Ireland,68.3 e,67.9 be,69.0 e,77.1 be,77.1 e,76.2 e,77.4 e,88.8 be,89.7 e,91.6 e,94.4 e,94.9 e,104.6 e,108.5 be,107.1 e,112.6 e,129.4 e,153.0 be,162.1 e,166.7 e
Annual,Thousand persons,Iceland,:,:,:,:,:,:,:,6.1 be,5.7 e,6.7 e,7.3 e,8.0 e,8.6 e,9.1 e,8.6 e,8.6 e,9.1 be,7.8 be,8.9 e,9.8 e
Annual,Thousand persons,Italy,649.4 be,665.2 be,698.6 e,704.1 e,721.5 e,735.8 e,713.6 e,677.2 be,705.8 e,717.3 e,724.6 e,730.3 e,759.1 e,773.6 e,816.5 be,815.5 e,817.0 e,848.6 be,898.2 e,970.3 e
Annual,Thousand persons,Lithuania,25.6 e,22.4 bu,20.1 u,24.8,27.3,24.1,22.7,22.9 be,24.3,23.5 e,23.0,27.9 e,34.1,36.9,37.5,41.9 e,44.5,52.2 b,61.7,70.5 e
Annual,Thousand persons,Luxembourg,7.3 e,8.1 be,6.5 e,7.4 be,9.7 e,9.9 b,10.2,9.7 b,11.8,11.3,12.6,12.8 b,13.4,14.1,16.6 e,17.7 e,18.5,20.5 b,23.9,25.8
Annual,Thousand persons,Latvia,27.1 e,29.2 be,27.4 e,28.0 e,29.0 e,24.5 e,23.6 e,21.4 be,19.3 e,21.6 e,22.4 e,24.4 e,24.2 e,25.3 e,23.1 e,28.1 e,32.3 e,32.7 b,39.2,39.2
Annual,Thousand persons,Montenegro,:,:,:,:,:,:,:,3.5 be,3.8 e,4.3 e,5.0 e,5.3 e,4.7 e,5.3 e,4.5 e,4.5 e,5.4 e,:,:,:
Annual,Thousand persons,North Macedonia,:,:,:,:,:,:,:,8.6 b,8.5,8.8,10.3 e,12.3,12.8 e,11.8,12.0,15.1,18.4 e,:,:,:
Annual,Thousand persons,Malta,7.8 be,7.2 be,6.1 e,9.1,8.7 e,7.5 e,7.6,5.6 be,5.9 e,6.1,6.8,7.5,8.2 e,9.4,11.4,11.6,11.2 e,12.6 be,14.3,13.9
Annual,Thousand persons,Netherlands,327.7,310.5 b,302.1 b,300.4,314.0,316.2,326.1,377.6 be,377.4,387.3 b,394.4,414.4,427.3,433.9,468.9,504.6,527.1,620.6 b,685.0,673.7
Annual,Thousand persons,Norway,:,:,:,:,:,:,:,110.3 b,113.6,117.9,118.9 e,118.0 e,111.4 e,121.3,122.0,126.0,136.3 e,148.6 be,146.4,153.8
Annual,Thousand persons,Poland,342.2 be,368.5 be,409.6 e,449.3 e,473.1 e,499.4 e,470.2 be,354.5 b,393.2,403.4,413.1,424.4 e,432.5 e,452.0,486.3,547.0 b,593.9,625.5 b,644.6,744.1
Annual,Thousand persons,Portugal,113.9 e,121.0 be,131.2 e,137.6 e,130.5 e,138.4 e,140.5 e,90.3 be,95.1 e,104.3 e,136.6 e,131.0 e,136.8 e,133.2 e,146.8 e,171.0 e,184.4 e,213.5 b,210.1,220.2
Annual,Thousand persons,Romania,:,123.1 be,184.6 e,197.7 e,198.7 e,190.7 e,161.3 be,125.0 be,139.3 e,136.7 e,139.9,160.8,167.7,185.4,190.1,197.2 e,202.7,203.0 b,215.0 e,196.2
Annual,Thousand persons,Serbia,:,:,:,:,:,:,:,:,:,42.9 e,50.1 b,56.8 e,61.9 e,64.0,68.1,74.5 e,79.1 e,93.9 b,98.0,121.8 b
Annual,Thousand persons,Sweden,244.8 e,267.5 be,269.1 e,278.8 e,290.8 e,287.0 e,288.6 e,258.3 b,270.0,267.2,276.9,293.8,310.8,332.8,346.6 b,359.8,379.7 e,405.5 b,447.7,457.9 e
Annual,Thousand persons,Slovenia,29.7 e,33.9 be,35.1 e,33.4 e,36.5 e,36.7 e,36.0 e,33.1 b,30.7,30.4,32.1,33.0 e,32.1,36.1,39.0 e,38.5 e,42.5 e,46.5 b,44.7,37.2
Annual,Thousand persons,Slovakia,60.6 e,69.7 be,81.3 e,86.5 e,86.1 e,83.3 e,85.1 e,62.3 b,58.4,59.4,65.3,68.1,73.2,70.5,82.1 e,95.6,105.8,110.5 b,111.5,110.7
Annual,Thousand persons,Türkiye,:,:,:,:,:,:,:,240.8 be,285.3 be,288.4 e,301.9 be,321.3 e,326.4 e,352.5 e,363.0 e,363.9 e,375.4 e,405.5 b,473.9,481.6
Annual,Thousand persons,United Kingdom,:,:,:,:,:,:,:,1391.9 be,1460.6 e,1476.7 e,1516.8 e,1623.6 e,1674.0 e,1657.3 e,1737.2 e,1807.0 e,:,:,:,:
