Time frequency,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2009.0,2012.0,2014.0,2017.0,2020.0
Annual,15 years or over,Total,Percentage of total population,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",32.0,29.0,28.0,26.0,26.0,25.0
Annual,15 years or over,Total,Percentage of total population,European Union - 27 countries (from 2020),31 e,29 e,28 e,27 e,27 e,25.0
Annual,15 years or over,Total,Percentage of total population,European Union - 28 countries (2013-2020),:,:,:,26.0,26.0,:
Annual,15 years or over,Total,Percentage of total population,Finland,26.0,21.0,25.0,19.0,20.0,15.0
Annual,15 years or over,Total,Percentage of total population,France,33.0,33.0,28.0,32.0,36.0,28.0
Annual,15 years or over,Total,Percentage of total population,Croatia,33.0,33.0,:,33.0,35.0,36.0
Annual,15 years or over,Total,Percentage of total population,Hungary,36.0,38.0,32.0,30.0,27.0,28.0
Annual,15 years or over,Total,Percentage of total population,Ireland,29.0,31.0,29.0,22.0,19.0,18.0
Annual,15 years or over,Total,Percentage of total population,Italy,31.0,26.0,24.0,21.0,25.0,23.0
Annual,15 years or over,Total,Percentage of total population,Lithuania,34.0,30.0,30.0,26.0,29.0,28.0
Annual,15 years or over,Total,Percentage of total population,Luxembourg,26.0,25.0,27.0,21.0,21.0,23.0
Annual,15 years or over,Total,Percentage of total population,Latvia,36.0,36.0,36.0,30.0,32.0,32.0
Annual,15 years or over,Total,Percentage of total population,Malta,25.0,26.0,27.0,20.0,24.0,20.0
Annual,15 years or over,Total,Percentage of total population,Netherlands,29.0,23.0,23.0,23.0,19.0,12.0
Annual,15 years or over,Total,Percentage of total population,Poland,35.0,33.0,32.0,28.0,30.0,26.0
Annual,15 years or over,Total,Percentage of total population,Portugal,24.0,23.0,23.0,26.0,26.0,21.0
Annual,15 years or over,Total,Percentage of total population,Romania,31.0,30.0,30.0,27.0,28.0,30.0
Annual,15 years or over,Total,Percentage of total population,Sweden,18.0,16.0,13.0,11.0,7.0,7.0
Annual,15 years or over,Total,Percentage of total population,Slovenia,23.0,26.0,27.0,31.0,28.0,27.0
Annual,15 years or over,Total,Percentage of total population,Slovakia,25.0,26.0,23.0,21.0,26.0,25.0
Annual,15 years or over,Total,Percentage of total population,United Kingdom,33.0,28.0,27.0,22.0,17.0,12.0
