Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Less than 18 years,Females,Croatia,13.4,11.8,12.2,9.3,6.1,6.5,5.8,5.1,3.7
Annual,Percentage,Less than 18 years,Females,Hungary,12.4,9.3,8.2,4.9,5.1,5.0,5.5,5.6,4.7
Annual,Percentage,Less than 18 years,Females,Ireland,19.3,18.6,17.5,14.7,13.6 b,11.9 b,13.7,9.1,10.1
Annual,Percentage,Less than 18 years,Females,Iceland,5.2,4.2,4.3,3.0,3.4,:,:,:,:
Annual,Percentage,Less than 18 years,Females,Italy,9.1,8.0,7.3,7.1,6.0,7.2,8.5,6.4,6.4
Annual,Percentage,Less than 18 years,Females,Lithuania,8.9,6.7,5.9,8.8,7.1,6.5,6.2,7.2,5.8
Annual,Percentage,Less than 18 years,Females,Luxembourg,2.0,3.6,4.2,3.5,4.2,5.7 b,4.3 b,1.8 b,2.1
Annual,Percentage,Less than 18 years,Females,Latvia,7.3,6.2,6.8,6.1,5.8,6.9,5.6,5.7,5.6
Annual,Percentage,Less than 18 years,Females,Montenegro,23.4,22.9,25.5,26.1,18.2,14.4,22.0,22.9,:
Annual,Percentage,Less than 18 years,Females,North Macedonia,19.1,17.0,18.8,17.3,13.8,14.2,:,:,:
Annual,Percentage,Less than 18 years,Females,Malta,9.6,5.7,6.7,5.9,4.6,6.1,6.4,3.9,2.6
Annual,Percentage,Less than 18 years,Females,Netherlands,5.1,7.2,6.5,5.4,5.8,6.7,6.1,6.5,6.0
Annual,Percentage,Less than 18 years,Females,Norway,5.3,5.8,6.5,6.3,6.1,6.5,7.7 b,7.3,5.1
Annual,Percentage,Less than 18 years,Females,Poland,4.7,4.9,4.0,4.1,3.5,3.4,3.1,3.1,2.7
Annual,Percentage,Less than 18 years,Females,Portugal,8.7,7.0,5.8,5.6,4.9,3.4,4.0,5.9,7.2
Annual,Percentage,Less than 18 years,Females,Romania,8.0,7.9,5.3,6.1,4.5,5.2,2.9,4.9,6.3
Annual,Percentage,Less than 18 years,Females,Serbia,18.2,20.0,18.9,15.4,15.9,14.1,15.0,11.1,:
Annual,Percentage,Less than 18 years,Females,Sweden,9.4,9.0,8.9,10.0,9.3,9.0,9.1,8.1,7.5
Annual,Percentage,Less than 18 years,Females,Slovenia,3.4,3.8,3.1,1.8,2.3,1.8,1.9,2.6,2.0
Annual,Percentage,Less than 18 years,Females,Slovakia,9.3,9.6,8.2,7.0,5.7,3.6,3.3,4.4,5.3
Annual,Percentage,Less than 18 years,Females,Türkiye,8.6,7.4,7.7,7.2,7.6,7.7,9.6,7.6,5.8
Annual,Percentage,Less than 18 years,Females,United Kingdom,15.5,12.7,11.0,8.9,:,:,:,:,:
Annual,Percentage,Less than 18 years,Males,Albania,:,:,11.6,12.4,10.3,11.4,11.2,:,:
Annual,Percentage,Less than 18 years,Males,Austria,7.6,6.8,7.3,6.4,8.3,8.0,7.5,5.0,6.0
Annual,Percentage,Less than 18 years,Males,Belgium,14.3,12.0,12.2,12.1,11.5,11.3,10.1,9.7,8.7
Annual,Percentage,Less than 18 years,Males,Bulgaria,13.7,13.8,13.0,10.3,11.1,10.3,9.6,9.6,7.7
Annual,Percentage,Less than 18 years,Males,Switzerland,5.7,5.2,6.9,6.6,5.8,5.3,4.9,3.4,3.3
Annual,Percentage,Less than 18 years,Males,Cyprus,8.1,8.8,6.9,9.3,5.5,4.0,5.2,3.1,3.6
Annual,Percentage,Less than 18 years,Males,Czechia,8.0,8.6,7.3,5.6,4.1,4.2,6.5,5.2,6.7
Annual,Percentage,Less than 18 years,Males,Germany,7.1,7.8,7.0,5.5,4.8,9.3 b,10.8,11.2,11.2
Annual,Percentage,Less than 18 years,Males,Denmark,6.4,5.1,6.9,7.8,5.5,6.1,6.2,5.6,7.4
Annual,Percentage,Less than 18 years,Males,Euro area - 19 countries  (2015-2022),8.7,9.2,8.1,7.0,6.9,8.5,9.5,:,:
Annual,Percentage,Less than 18 years,Males,Euro area – 20 countries (from 2023),8.8,9.2,8.2,7.0,6.9,8.5,9.5,8.5,8.3
Annual,Percentage,Less than 18 years,Males,Estonia,4.4,3.7,3.9,3.5,3.4,3.4,4.4,4.5,4.3
Annual,Percentage,Less than 18 years,Males,Greece,11.1,11.3,9.5,9.0,8.2,7.9,7.8,4.8,3.9
Annual,Percentage,Less than 18 years,Males,Spain,11.7,12.2,9.4,7.0,7.4,7.3,9.0,6.5,7.3
Annual,Percentage,Less than 18 years,Males,European Union - 27 countries (from 2020),8.4,8.8,7.7,6.9,6.5,7.7,8.4,7.7,7.6
Annual,Percentage,Less than 18 years,Males,Finland,8.0,8.2,9.9,9.2,7.5 b,8.4,6.9,8.5 b,5.9
Annual,Percentage,Less than 18 years,Males,France,7.9,8.1,7.6,7.2,7.3,9.7 b,12.1,10.7 b,9.3
Annual,Percentage,Less than 18 years,Males,Croatia,11.9,9.8,9.5,8.3,7.1,7.0,6.5,6.4,4.8
Annual,Percentage,Less than 18 years,Males,Hungary,9.6,8.7,6.7,4.4,4.1,5.7,6.4,4.8,5.3
Annual,Percentage,Less than 18 years,Males,Ireland,19.1,19.7,17.4,14.6,14.9 b,12.6 b,13.0,11.2,9.6
Annual,Percentage,Less than 18 years,Males,Iceland,4.7,3.3,2.8,3.5,4.2,:,:,:,:
Annual,Percentage,Less than 18 years,Males,Italy,7.9,9.9,8.3,7.1,6.3,7.6,7.9,6.1,6.4
Annual,Percentage,Less than 18 years,Males,Lithuania,8.5,12.7,12.9,11.8,7.9,6.9,10.0,10.0,7.4
Annual,Percentage,Less than 18 years,Males,Luxembourg,3.4,3.3,3.7,4.3,5.1,5.1 b,4.0 b,2.1 b,1.7
Annual,Percentage,Less than 18 years,Males,Latvia,8.0,6.4,6.2,5.9,5.4,7.0,6.3,7.0,6.8
Annual,Percentage,Less than 18 years,Males,Montenegro,23.7,24.5,24.0,24.5,17.2,13.7,20.8,24.1,:
Annual,Percentage,Less than 18 years,Males,North Macedonia,18.1,19.0,20.9,18.5,12.7,16.6,:,:,:
Annual,Percentage,Less than 18 years,Males,Malta,11.6,9.4,8.8,6.8,5.8,6.1,6.6,4.8,5.2
Annual,Percentage,Less than 18 years,Males,Netherlands,7.6,8.5,6.6,6.1,7.4,7.7,7.8,6.8,6.7
Annual,Percentage,Less than 18 years,Males,Norway,5.6,4.6,6.1,6.6,7.5,6.9,8.0 b,5.2,4.9
Annual,Percentage,Less than 18 years,Males,Poland,5.3,5.0,4.2,4.5,3.7,3.0,2.8,3.1,3.6
Annual,Percentage,Less than 18 years,Males,Portugal,8.6,5.9,6.2,5.4,5.5,4.2,4.2,4.7,6.3
Annual,Percentage,Less than 18 years,Males,Romania,7.3,8.2,6.2,7.9,5.5,6.1,3.5,4.5,5.6
Annual,Percentage,Less than 18 years,Males,Serbia,21.4,21.4,19.4,17.2,15.3,13.1,11.8,9.9,:
Annual,Percentage,Less than 18 years,Males,Sweden,7.5,7.3,7.2,8.3,9.2,8.7,7.9,6.6,7.4
Annual,Percentage,Less than 18 years,Males,Slovenia,4.1,3.1,3.4,2.7,2.9,2.6,1.5,2.1,2.9
Annual,Percentage,Less than 18 years,Males,Slovakia,6.8,7.8,6.4,5.7,7.9,4.2,6.0,5.2,6.9
Annual,Percentage,Less than 18 years,Males,Türkiye,8.6,7.2,7.6,6.9,7.7,8.3,9.5,7.7,6.2
Annual,Percentage,Less than 18 years,Males,United Kingdom,14.0,13.1,10.8,10.1,:,:,:,:,:
Annual,Percentage,Less than 18 years,Total,Albania,:,:,12.2,12.8,11.2,11.9,11.3,:,:
Annual,Percentage,Less than 18 years,Total,Austria,7.4,6.6,7.8,6.2,7.7,6.5,6.9,4.7,5.3
Annual,Percentage,Less than 18 years,Total,Belgium,13.7,13.2,13.2,12.2,10.5,10.8,9.7,9.7,8.8
Annual,Percentage,Less than 18 years,Total,Bulgaria,14.1,14.9,13.8,10.6,11.3,10.7,10.6,10.6,8.3
Annual,Percentage,Less than 18 years,Total,Switzerland,4.8,4.7,6.0,5.3,5.9,4.4,4.2,3.6,3.7
Annual,Percentage,Less than 18 years,Total,Cyprus,9.1,8.8,7.5,8.6,5.4,3.9,4.8,2.5,3.2
Annual,Percentage,Less than 18 years,Total,Czechia,8.3,8.3,6.2,4.6,3.7,4.1,6.4,5.4,6.5
Annual,Percentage,Less than 18 years,Total,Germany,6.9,8.2,6.8,6.0,5.1,9.4 b,10.8,10.9,10.8
Annual,Percentage,Less than 18 years,Total,Denmark,7.3,6.5,6.6,7.2,5.0,5.8,5.7,4.6,6.6
Annual,Percentage,Less than 18 years,Total,Euro area - 19 countries  (2015-2022),8.6,9.0,8.0,7.2,6.8,8.3,9.3,:,:
Annual,Percentage,Less than 18 years,Total,Euro area – 20 countries (from 2023),8.7,9.0,8.1,7.2,6.8,8.3,9.3,8.4,8.1
Annual,Percentage,Less than 18 years,Total,Estonia,5.1,3.7,3.9,3.8,3.6,3.1,3.9,3.6,4.3
Annual,Percentage,Less than 18 years,Total,Greece,10.6,10.8,9.5,9.0,7.9,7.7,7.5,4.7,4.2
Annual,Percentage,Less than 18 years,Total,Spain,11.9,11.5,9.7,7.3,8.1,7.1,9.1,6.5,6.9
Annual,Percentage,Less than 18 years,Total,European Union - 27 countries (from 2020),8.4,8.6,7.6,7.0,6.4,7.6,8.3,7.6,7.5
Annual,Percentage,Less than 18 years,Total,Finland,7.2,8.2,8.6,8.6,6.8 b,7.6,6.8,8.5 b,5.8
Annual,Percentage,Less than 18 years,Total,France,7.5,7.6,7.5,7.5,7.1,9.7 b,11.5,10.7 b,9.6
Annual,Percentage,Less than 18 years,Total,Croatia,12.6,10.8,10.8,8.8,6.6,6.7,6.2,5.7,4.3
Annual,Percentage,Less than 18 years,Total,Hungary,11.0,9.0,7.4,4.7,4.6,5.3,6.0,5.2,5.0
Annual,Percentage,Less than 18 years,Total,Ireland,19.2,19.2,17.4,14.7,14.2 b,12.2 b,13.4,10.1,9.8
Annual,Percentage,Less than 18 years,Total,Iceland,5.0,3.7,3.5,3.3,3.8,:,:,:,:
Annual,Percentage,Less than 18 years,Total,Italy,8.5,9.0,7.8,7.1,6.2,7.4,8.2,6.2,6.4
Annual,Percentage,Less than 18 years,Total,Lithuania,8.7,9.8,9.5,10.4,7.5,6.7,8.1,8.6,6.6
Annual,Percentage,Less than 18 years,Total,Luxembourg,2.7,3.5,3.9,3.9,4.7,5.4 b,4.1 b,2.0 b,1.9
Annual,Percentage,Less than 18 years,Total,Latvia,7.6,6.3,6.5,6.0,5.6,7.0,6.0,6.4,6.2
Annual,Percentage,Less than 18 years,Total,Montenegro,23.5,23.7,24.7,25.2,17.7,14.0,21.4,23.5,:
Annual,Percentage,Less than 18 years,Total,North Macedonia,18.6,18.1,19.9,17.9,13.2,15.5,:,:,:
Annual,Percentage,Less than 18 years,Total,Malta,10.6,7.6,7.8,6.3,5.3,6.1,6.5,4.4,4.0
Annual,Percentage,Less than 18 years,Total,Netherlands,6.4,7.8,6.6,5.8,6.6,7.2,7.0,6.7,6.3
Annual,Percentage,Less than 18 years,Total,Norway,5.5,5.2,6.3,6.4,6.8,6.7,7.9 b,6.2,5.0
Annual,Percentage,Less than 18 years,Total,Poland,5.0,5.0,4.1,4.3,3.6,3.2,2.9,3.1,3.1
Annual,Percentage,Less than 18 years,Total,Portugal,8.7,6.4,6.0,5.5,5.2,3.8,4.1,5.3,6.7
Annual,Percentage,Less than 18 years,Total,Romania,7.6,8.1,5.8,7.1,5.0,5.7,3.2,4.7,5.9
Annual,Percentage,Less than 18 years,Total,Serbia,19.8,20.7,19.1,16.3,15.6,13.6,13.3,10.5,:
Annual,Percentage,Less than 18 years,Total,Sweden,8.4,8.1,8.0,9.2,9.2,8.8,8.5,7.4,7.5
Annual,Percentage,Less than 18 years,Total,Slovenia,3.8,3.4,3.3,2.3,2.6,2.2,1.7,2.4,2.5
Annual,Percentage,Less than 18 years,Total,Slovakia,8.1,8.6,7.3,6.3,6.8,3.9,4.7,4.8,6.1
Annual,Percentage,Less than 18 years,Total,Türkiye,8.6,7.3,7.7,7.1,7.7,8.0,9.5,7.7,6.0
Annual,Percentage,Less than 18 years,Total,United Kingdom,14.8,12.9,10.9,9.5,:,:,:,:,:
