Time frequency,Unit of measure,Degree of urbanisation,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Towns and suburbs,Greece,10.4,14.8,13.8,8.6,11.3,13.4,13.8,16.8,14.9,12.2 b,9.0,10.4,9.8,9.9,9.7,10.0,11.3,11.9,13.5,12.4,12.6
Annual,Percentage,Towns and suburbs,Spain,:,31.6,51.1 b,59.1,58.3,59.1,60.4,61.2,52.4 b,59.0 b,57.7,60.8,59.3,55.7,56.2,57.2,54.6,55.0,59.6,58.9,57.7
Annual,Percentage,Towns and suburbs,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,41.4 e,41.8 e,41.8 e,41.0 e,37.4 e,37.3 e,38.0 e,37.3 e,36.6 e,38.1 e,37.6 e,37.4 e,:,:,:,:
Annual,Percentage,Towns and suburbs,European Union - 27 countries (2007-2013),:,:,40.2 e,40.8 e,41.5,41.4,41.8,42.0,41.2,37.6,37.6,38.2,37.5,36.8,38.3,37.8,37.6 e,:,:,:,:
Annual,Percentage,Towns and suburbs,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,40.8 e,40.1 e,35.3 e,34.8 e,35.2 e,34.5 e,34.3 e,34.0 e,34.6 e,34.5 e,34.7,35.7,36.0,35.6
Annual,Percentage,Towns and suburbs,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,41.8,41.0,37.4,37.3,38.0,37.3,36.6,38.1,37.6,37.4 e,:,:,:,:
Annual,Percentage,Towns and suburbs,Finland,:,43.6,43.0,47.5,49.1,49.6,48.3,46.2,46.7,45.7 b,52.7,50.9,52.2,52.2,51.2,51.7,52.0,53.2,51.7,52.5,52.4
Annual,Percentage,Towns and suburbs,France,:,47.3,48.3,50.2,49.0,49.4,50.1,49.3,51.5,45.7 b,45.0,46.1,45.8,44.5,44.2,46.5,48.8,46.6 b,45.4,44.5 b,43.1
Annual,Percentage,Towns and suburbs,Croatia,:,:,:,:,:,:,:,13.8,10.8,9.0 b,9.6,9.0,10.5,11.2,13.3,13.8,13.8,15.2,17.0,17.9,18.4
Annual,Percentage,Towns and suburbs,Hungary,:,:,4.6,4.0,6.7,7.4,5.6,5.3,5.2,6.3 b,8.6,8.3,8.8,9.1,10.7,27.0,23.9,25.0,26.3,26.6,26.2
Annual,Percentage,Towns and suburbs,Ireland,66.6,65.5,65.2,62.4,65.5,66.0,62.2,71.6,70.3,71.5 b,68.4,66.5,67.2,70.0,67.1,70.4,69.0 b,64.0 b,71.1,67.5,65.7
Annual,Percentage,Towns and suburbs,Iceland,:,:,:,:,:,:,:,:,:,:,:,31.0,33.5,31.7,29.1,24.8,28.7,:,:,:,:
Annual,Percentage,Towns and suburbs,Italy,:,20.8,21.6,21.5,21.6,22.3,22.5,22.8,18.8,17.2,15.8,17.5,16.4 b,15.7,15.6,15.2,14.3,15.9,15.4,17.7,16.6
Annual,Percentage,Towns and suburbs,Lithuania,:,:,:,:,:,:,:,:,:,18.4 b,17.1 b,15.5,19.8,14.4,15.6,32.2,22.0,29.2,21.2,21.5,20.6
Annual,Percentage,Towns and suburbs,Luxembourg,53.3,52.0,56.9,59.8,59.5,59.1,67.7,68.8,68.1,54.5 b,51.2,53.1,50.8,51.2 b,51.9,49.6,52.3,46.9 b,45.8 b,55.2 b,56.4
Annual,Percentage,Towns and suburbs,Latvia,:,:,0.0,3.7,1.7,3.8,3.8,3.2,11.3,11.0 b,13.7,12.0,10.2,10.1,11.4,10.2,9.3,11.0,13.0,12.2,10.4
Annual,Percentage,Towns and suburbs,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,15.9,17.2,17.6,15.7,22.4,:,:,:
Annual,Percentage,Towns and suburbs,Malta,:,:,75.6,77.2,72.7,77.0,77.9,76.6,79.4,74.2 b,71.3,75.2,75.2,74.9,79.1,84.5,79.9,78.3,74.3,74.0,74.8
Annual,Percentage,Towns and suburbs,Netherlands,:,:,68.8,67.7,67.7,67.9,67.6,66.7,68.4,65.3 b,61.2,56.2,56.5,58.7 b,61.2,63.4,60.3,60.6,68.7,68.4,67.5
Annual,Percentage,Towns and suburbs,Norway,:,53.1,55.2,57.2,57.8,59.0,58.4,59.4,58.7,59.4 b,56.8,:,55.6,55.7,56.0,54.3,53.8,53.3,52.7 b,54.0,53.6
Annual,Percentage,Towns and suburbs,Poland,:,:,13.4,13.2,14.4,13.5,15.9,15.6,13.7,11.7 b,12.7,12.2,14.4,17.3,17.4,17.3,17.2,17.6 b,18.1,19.7,19.4 b
Annual,Percentage,Towns and suburbs,Portugal,:,26.6,26.0,26.6,26.2,24.5,24.2,25.1,35.5,36.1 b,38.2,39.4,38.9,37.7,37.1,37.2,37.5,38.0,37.6,39.4,38.7
Annual,Percentage,Towns and suburbs,Romania,:,:,:,:,9.3,6.4,1.7,2.0,0.5,5.4 b,5.6,5.3,5.7,6.9,6.6,7.8,8.1,8.6,9.2,9.1,9.1
Annual,Percentage,Towns and suburbs,Serbia,:,:,:,:,:,:,:,:,:,:,:,7.0,6.7,5.9,5.9,6.5,5.7,6.4,7.7,8.7,:
Annual,Percentage,Towns and suburbs,Sweden,:,39.5,39.3,41.9,43.1,39.4 b,35.8,38.7,37.6,38.2 b,41.9,42.3,42.8,42.1,42.9,41.5,42.4,41.7,42.8,41.6,43.1
Annual,Percentage,Towns and suburbs,Slovenia,:,:,10.2,10.4,10.2,9.3,9.7,9.6,24.3 b,24.9 b,26.9,28.2,29.7,28.2,29.3,29.9,31.5,33.5,34.1,36.1,36.6
Annual,Percentage,Towns and suburbs,Slovakia,:,:,8.0,8.1,9.5,10.1,11.8,11.6,11.6,11.6 b,10.6,6.9,6.6,7.8,7.7,8.1,9.0,10.6,10.6,14.6,14.2
Annual,Percentage,Towns and suburbs,United Kingdom,:,:,57.8,57.3,55.7,53.9,51.3,53.1,47.6,52.7 b,54.8,58.4,58.7,55.4,68.5 b,60.6,:,:,:,:,:
Annual,Percentage,Rural areas,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.1,4.0,4.9,6.7,6.2,:,:
Annual,Percentage,Rural areas,Austria,45.5,46.0,41.1,44.1,45.9,44.7 b,47.8,48.4,49.2,48.1,43.6,43.0,42.7,43.1,44.5,43.7,42.7,46.3,44.3,48.8,46.2
Annual,Percentage,Rural areas,Belgium,51.2,82.1,87.1,83.6,85.6,83.4,85.4,78.7,83.4,80.1 b,78.3,76.5,80.4,76.5 b,72.9,66.5,69.7 b,69.2,67.6,68.3,70.7
Annual,Percentage,Rural areas,Bulgaria,:,:,:,16.6,14.8,14.9,14.5,15.3,14.7,18.1 b,17.5,17.4,18.9,18.6 b,20.5,21.4,20.7,22.4,21.5,22.5,23.8
Annual,Percentage,Rural areas,Switzerland,:,:,:,:,42.6,42.7,44.4,52.3,54.8,62.4 b,59.8,59.8 b,59.1,60.2,60.5,60.3,59.4,54.4,53.8,55.3,56.5
Annual,Percentage,Rural areas,Cyprus,:,:,66.3,67.5,73.0,67.7 b,64.0,64.4,64.6,68.8 b,68.4,67.1,69.3,68.7,72.8,72.7,71.8,72.7,70.1,68.0,70.0
Annual,Percentage,Rural areas,Czechia,:,:,13.7,14.4,15.3,18.2,21.5,25.5,28.2,28.8 b,30.2,30.1,31.4,34.9,36.8,38.0,38.6,38.8,39.9,38.3,38.6
Annual,Percentage,Rural areas,Germany,:,:,37.2,40.1,42.6,40.8,44.0,44.7,44.5,48.4 b,46.5,48.1,47.6,48.2,49.7,50.1,48.7,50.4 b,49.5,48.5,49.3
Annual,Percentage,Rural areas,Denmark,53.9,54.2,52.7,54.6,53.9,55.1,53.4,55.2,55.2,58.0 b,57.2,56.7,54.9,56.6,56.1,55.3,56.0,55.9,56.9,55.2,56.5
Annual,Percentage,Rural areas,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,44.4 e,45.1 e,45.8 e,45.2 e,48.5 e,48.0 e,48.2 e,47.4 e,45.5 e,46.1 e,46.6 e,47.5 e,48.1,47.6,:,:
Annual,Percentage,Rural areas,Euro area - 18 countries (2014),:,:,37.3 e,40.3 e,42.7 e,42.5 e,44.2 e,44.9 e,44.7 e,48.2 e,47.7 e,48.2 e,47.8 e,45.8 e,46.4 e,46.9 e,47.8 e,48.3,:,:,:
Annual,Percentage,Rural areas,Euro area - 19 countries  (2015-2022),:,:,36.5 e,39.4 e,41.3 e,41.6 e,43.3 e,44.0 e,44.3 e,47.9 e,47.3 e,47.9 e,47.4 e,45.5 e,46.1 e,46.6 e,47.5 e,48.1,47.6,:,:
Annual,Percentage,Rural areas,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,47.4,46.6,44.9,45.5,46.0,46.9,47.5,46.4,46.8,46.9
Annual,Percentage,Rural areas,Estonia,:,12.8,13.6,12.9,14.5,14.1,14.9,15.6,33.4,35.4 b,30.5,37.1 b,39.7,38.7,38.9,44.1,43.8,43.5,39.6,39.3,35.9
Annual,Percentage,Rural areas,Greece,11.9,12.6,11.4,11.4,12.3,11.3,12.1,12.7,12.9,13.6 b,12.1,13.6,13.7,14.4,14.8,15.4,13.2,12.6,14.4,14.5,17.0
Annual,Percentage,Rural areas,Spain,:,38.4,55.5 b,64.1,66.9,67.8,69.5,69.6,62.1 b,63.8 b,63.5,64.5,66.6,63.7,62.9,65.0,64.0,64.6,72.2,70.8,70.9
