Time frequency,Type of household,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Households with dependent children,Percentage,Spain,15.3,16.1,16.2,16.0,15.8,16.5,15.3,16.5,15.1,15.1
Annual,Households with dependent children,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",11.1 e,11.2 e,11.2 e,11.1 e,11.1 e,10.8 e,:,:,:,:
Annual,Households with dependent children,Percentage,European Union - 27 countries (2007-2013),11.2,11.2,11.2,11.1,11.1,10.9 e,:,:,:,:
Annual,Households with dependent children,Percentage,European Union - 27 countries (from 2020),11.1 e,11.3 e,11.4 e,11.1 e,10.8 e,10.4 e,10.0 b,10.1,10.0,10.0
Annual,Households with dependent children,Percentage,European Union - 28 countries (2013-2020),11.1,11.2,11.2,11.1,11.1,10.8 e,:,:,:,:
Annual,Households with dependent children,Percentage,Finland,4.1,3.9,3.3,3.2,3.6,3.2,3.2,3.2,2.7,3.4
Annual,Households with dependent children,Percentage,France,8.9,8.5,9.0,8.8,8.3,8.8,8.1 b,7.2,8.6 b,9.5
Annual,Households with dependent children,Percentage,Croatia,7.1,7.3,6.9,7.0,6.7,6.5,6.1,6.4,6.5,8.2 b
Annual,Households with dependent children,Percentage,Hungary,8.5,10.3,11.5,11.0,8.6,8.6,5.3,7.1,4.6,6.9
Annual,Households with dependent children,Percentage,Ireland,5.9,5.8,5.4,5.3,4.9,6.6 b,6.2 b,5.6,6.5,7.0
Annual,Households with dependent children,Percentage,Iceland,4.6,6.0,5.6,6.7,5.4,6.2,:,:,:,:
Annual,Households with dependent children,Percentage,Italy,13.2,13.6,13.8,15.0,15.5,14.0,13.0,13.5,14.0,12.4
Annual,Households with dependent children,Percentage,Lithuania,11.9,13.0,11.2,10.8,9.8,9.3,9.2,7.8,9.0,8.8
Annual,Households with dependent children,Percentage,Luxembourg,14.8,14.1,12.7 b,12.2,13.5,16.0,14.2 b,16.5 b,16.5 b,20.2
Annual,Households with dependent children,Percentage,Latvia,9.9,10.9,8.5,8.8,8.9,8.7,8.4,9.8,8.5,8.2
Annual,Households with dependent children,Percentage,Montenegro,10.8,10.1,10.3,9.9,9.2,12.3,13.2,9.2,8.3,:
Annual,Households with dependent children,Percentage,North Macedonia,12.5,11.4,11.4,11.7,11.5,11.3,11.2,:,:,:
Annual,Households with dependent children,Percentage,Malta,8.9,8.3,8.2,9.1,9.0,9.1,9.1,9.1,8.3,11.1
Annual,Households with dependent children,Percentage,Netherlands,5.7,6.4,6.3 b,6.8,6.6,5.5,5.3,4.3,4.3,5.0
Annual,Households with dependent children,Percentage,Norway,4.5,4.1,5.0,5.5,5.1,4.7,5.0,4.8 b,4.7,4.9 b
Annual,Households with dependent children,Percentage,Poland,12.5,13.7,13.4,11.2,10.3,10.7,10.7,9.8,10.5,11.0
Annual,Households with dependent children,Percentage,Portugal,12.6,12.7,13.0,11.6,11.0,12.0,10.8,13.3 b,12.9,12.6
Annual,Households with dependent children,Percentage,Romania,23.5,22.3,22.0,20.2,17.4,18.0,17.0,17.2,16.2,16.8
Annual,Households with dependent children,Percentage,Serbia,15.2,13.8,12.6,12.9,12.2,11.6,9.5,8.0,7.6,:
Annual,Households with dependent children,Percentage,Sweden,7.6,7.7,6.9,7.5,6.8,8.1,7.3,7.0,6.7,7.3
Annual,Households with dependent children,Percentage,Slovenia,6.6,6.7,5.8,6.5,5.9,4.7,5.4,5.1,4.4,4.8
Annual,Households with dependent children,Percentage,Slovakia,8.1,8.1,8.9,8.6,8.8,6.0,7.5,8.2,10.5,11.2
Annual,Households with dependent children,Percentage,Türkiye,18.6,18.0,18.1,17.3,17.9,18.0,17.5,16.7,18.3,16.0
Annual,Households with dependent children,Percentage,United Kingdom,11.3,10.5,9.9,11.0 b,13.2,:,:,:,:,:
Annual,Households with dependent children,Percentage,Kosovo*,:,:,:,:,8.1,:,:,:,:,:
Annual,Households without dependent children,Percentage,Albania,:,:,:,14.1,11.2,8.8,7.6,6.3,:,:
Annual,Households without dependent children,Percentage,Austria,6.5,6.3,7.0,6.5,6.3,7.2,6.6,6.7,6.7,5.7
Annual,Households without dependent children,Percentage,Belgium,3.6,3.6,3.8,3.7,3.6,3.1 b,3.3,3.3,2.9,4.6
Annual,Households without dependent children,Percentage,Bulgaria,5.6,5.7,8.8 b,6.9,6.4,6.6,6.3,6.8,6.8,7.8
Annual,Households without dependent children,Percentage,Switzerland,5.4 b,6.9,5.5,6.9,5.8,6.5,6.2,6.2,6.7,7.3
Annual,Households without dependent children,Percentage,Cyprus,10.1,11.1,8.3,7.9,7.5,6.5,7.0,8.4,8.5,8.9
Annual,Households without dependent children,Percentage,Czechia,2.3,3.1,3.0,2.5,2.2,2.0,2.4,2.9,2.5,2.2
Annual,Households without dependent children,Percentage,Germany,10.2,9.8,9.4,8.9,8.9,8.0,8.6 b,8.3,7.0,6.4
Annual,Households without dependent children,Percentage,Denmark,4.8,6.0,5.7,6.0,7.8,7.9,7.9 b,7.0,6.7,7.5
Annual,Households without dependent children,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",8.4 e,8.3 e,8.3 e,8.0 e,7.9 e,7.6,7.7 b,7.8,:,:
Annual,Households without dependent children,Percentage,Euro area - 18 countries (2014),8.4,8.3,8.4,8.0,7.9,7.6,7.7 b,:,:,:
Annual,Households without dependent children,Percentage,Euro area - 19 countries  (2015-2022),8.4,8.3,8.3,8.0,7.9,7.6,7.7 b,7.8,:,:
Annual,Households without dependent children,Percentage,Euro area – 20 countries (from 2023),8.4,8.2,8.3,8.0,7.8,7.5,7.7,7.8,7.1,6.7
Annual,Households without dependent children,Percentage,Estonia,11.1 b,8.3,8.5,8.5,9.0,9.1,9.9,10.2,11.1,10.3
Annual,Households without dependent children,Percentage,Greece,10.8,11.2,12.6,11.1,8.2,8.4,8.8,8.7,7.7,6.7
Annual,Households without dependent children,Percentage,Spain,9.8,10.3,9.9,10.1,10.0,9.1,8.4,9.0,8.4,7.6
Annual,Households without dependent children,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",8.0 e,8.0 e,8.2 e,7.9 e,7.9 e,7.7 e,:,:,:,:
Annual,Households without dependent children,Percentage,European Union - 27 countries (2007-2013),8.0,8.0,8.2,7.9,7.9,7.7 e,:,:,:,:
Annual,Households without dependent children,Percentage,European Union - 27 countries (from 2020),8.2 e,8.2 e,8.3 e,8.0 e,7.9 e,7.6 e,7.8 b,7.8,7.2,6.8
Annual,Households without dependent children,Percentage,European Union - 28 countries (2013-2020),8.0,8.0,8.2,7.9,7.9,7.7 e,:,:,:,:
Annual,Households without dependent children,Percentage,Finland,3.3,3.2,2.9,2.3,2.7,2.6,3.1,2.5,2.4,2.4
Annual,Households without dependent children,Percentage,France,6.8,6.4,6.7,5.6,5.6,5.8,6.6 b,6.5,6.2 b,6.1
Annual,Households without dependent children,Percentage,Croatia,4.0,4.2,3.8,4.4,3.4,3.3,3.9,3.1,2.8,4.0 b
Annual,Households without dependent children,Percentage,Hungary,5.1,8.3,8.1,9.5,7.7,7.9,9.7,7.9,8.9,6.8
Annual,Households without dependent children,Percentage,Ireland,5.3,3.6,4.6,4.9,4.7,5.8 b,4.7 b,3.3,4.3,4.0
Annual,Households without dependent children,Percentage,Iceland,4.8,7.0,7.3,7.5,8.4,6.4,:,:,:,:
Annual,Households without dependent children,Percentage,Italy,8.8,9.3,9.8,9.7,9.5,9.9,8.9,9.9,9.2,7.8
Annual,Households without dependent children,Percentage,Lithuania,4.7,7.0,6.1,6.3,6.7,6.5,7.0,7.2,6.6,7.2
Annual,Households without dependent children,Percentage,Luxembourg,7.0,8.9,8.6 b,8.9,9.3,8.1,9.4 b,10.7 b,9.4 b,9.8
Annual,Households without dependent children,Percentage,Latvia,6.5,7.8,8.2,8.9,7.3,8.3,8.1,9.5,9.5,9.7
Annual,Households without dependent children,Percentage,Montenegro,2.7,3.8,3.4,4.0,4.0,3.5,4.6,2.3,1.6,:
Annual,Households without dependent children,Percentage,North Macedonia,4.8,4.8,5.6,5.4,5.2,4.6,3.7,:,:,:
Annual,Households without dependent children,Percentage,Malta,2.3,2.8,3.4,2.4,3.8,4.2,5.9,5.8,6.1,5.6
Annual,Households without dependent children,Percentage,Netherlands,4.8,3.8,5.0 b,5.4,5.7,5.4,5.9,6.0,5.6,5.2
Annual,Households without dependent children,Percentage,Norway,5.5,6.6,6.3,6.1,6.8,7.5,6.6,6.7 b,6.7,6.0 b
Annual,Households without dependent children,Percentage,Poland,7.9,7.5,7.1,8.1,8.3,8.0,8.0,7.7,7.4,6.7
Annual,Households without dependent children,Percentage,Portugal,8.5,8.7,8.3,9.8,8.3,9.5,8.1,8.9 b,7.6,7.2
Annual,Households without dependent children,Percentage,Romania,14.9,14.3,15.3,14.1,12.8,12.8,12.4,13.4,12.3,13.4
Annual,Households without dependent children,Percentage,Serbia,12.5,12.6,10.9,8.1,7.1,6.2,5.6,4.4,5.0,:
Annual,Households without dependent children,Percentage,Sweden,7.7,8.2,6.4,6.5,7.2,7.5,8.1,6.4,8.1,6.9
Annual,Households without dependent children,Percentage,Slovenia,6.1,6.6,6.5,6.7,6.2,4.3,4.6,4.8,5.3,6.8
Annual,Households without dependent children,Percentage,Slovakia,3.3,3.7,3.8,4.0,3.1,2.8,3.0,4.8,3.8,6.9
Annual,Households without dependent children,Percentage,Türkiye,5.7,5.2,4.5,4.4,4.5,4.7,4.9,4.3,4.5,3.7
Annual,Households without dependent children,Percentage,United Kingdom,6.8,6.5,7.6,7.3 b,8.0,:,:,:,:,:
Annual,Households without dependent children,Percentage,Kosovo*,:,:,:,:,3.7,:,:,:,:,:
