Time frequency,Unit of measure,International Standard Classification of Education (ISCED 2011),Geopolitical entity (partner),Sex,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,European Union - 27 countries (from 2020),:,:,2.3,2.3,2.4,2.4,2.3,2.4,2.5,2.3 d
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Finland,:,:,1.3,1.3,1.3,1.3,1.3,1.4,1.6,1.8
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,France,:,:,1.6,1.5,1.6,1.1,1.2,1.1,1.1,1.2
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Croatia,:,:,0.2,0.3,0.8,0.9,1.2,0.8,0.8,1.4
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Hungary,:,:,3.1,3.8,3.9,3.9,4.0,4.0,3.6,3.9
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Ireland,:,:,1.2,1.4,1.4,1.5 d,1.8,1.6,1.6,2.3
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Iceland,:,:,4.5,3.4,:,3.4,3.5,3.5,3.5,4.1
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Italy,:,:,1.1,1.1,1.1,1.2,0.6,0.5,0.5,0.6
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Liechtenstein,:,:,59.6,66.5,63.2,62.7,60.9,62.2,60.0,57.7
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Lithuania,:,:,0.5,0.6,0.7,0.9,1.2,1.1,1.6,1.8
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Luxembourg,:,:,35.4,35.9,35.8,34.5,33.8,32.6 d,33.1 d,33.6 d
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Latvia,:,:,2.5,3.0,2.4,3.0,2.9,3.2,3.4,3.7
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,North Macedonia,:,:,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Malta,:,:,1.7,2.6,3.1,2.4,5.1,5.6,7.2,12.2
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Netherlands,:,:,5.3,5.5,5.7,6.1,6.3 e,6.9 e,7.5 e,:
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Norway,1.1,1.1,1.2,1.3,1.1,1.5,1.1,1.5,1.3,1.4
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Poland,:,:,0.4,0.5,0.5,0.4,0.4,0.4 e,0.5,0.5
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Portugal,:,0.6,0.8,0.9,1.0,1.2,1.4,1.5,1.7,1.8
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Romania,:,:,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Serbia,:,:,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Sweden,:,:,2.0,2.1,2.2,2.3,2.2,2.1,2.0,2.1
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Slovenia,:,:,1.2 d,1.3 d,1.4 d,1.4,2.3,2.2,2.6 d,2.7 d
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Slovakia,:,:,4.4,4.1,4.4,4.5,4.6,4.8,4.6,4.8
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,Türkiye,:,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1
Annual,Percentage,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),Total,United Kingdom,:,:,5.3 d,4.9 d,5.4 d,5.6 d,5.5 d,:,:,:
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Austria,15.7,15.5,15.9,16.3,17.2,17.5,17.6,18.0,18.7,19.4
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Belgium,9.2 d,11.2,41.4,12.0,8.5,10.5,10.0,10.5 bd,9.8,10.1
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Bulgaria,4.1,4.0,4.2,4.6,5.5,6.4 d,7.2 d,7.8 d,8.0,8.4 d
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Switzerland,16.8 d,17.1 d,17.2 d,17.6 d,17.8 d,17.7 d,17.8,18.1 d,18.4 d,19.1 d
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Cyprus,14.9,14.3,17.6,19.1,23.1,23.9,26.1,27.2,21.8,20.2
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Czechia,9.4,9.8,10.5,11.5,12.5,13.6,14.4,15.0,15.6,15.8
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Germany,:,7.2 d,7.7 d,8.0 d,8.4 d,10.0 d,10.1,11.2 bd,11.2 e,12.0 e
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Denmark,10.1,9.9,10.3,10.8,10.8,10.7 b,10.5,10.2,10.0,10.1
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Estonia,2.9,3.7,5.2,6.9,8.3,9.6,11.1,12.3,11.6,11.4
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Greece,:,:,3.2 d,3.3 d,3.4,3.4,3.5,2.8,2.8,3.1
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Spain,2.9,:,:,2.5,3.2,3.5,3.7,3.8,3.6,4.0
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,European Union - 27 countries (from 2020),:,:,7.2,7.0,7.4,7.7,7.7,8.1,8.2,8.4 d
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Finland,7.1,7.4,7.7,7.8,8.2,8.1,8.1,8.0,8.1,8.5
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,France,9.8,9.8,9.9,9.9,10.2,8.8,9.2,9.2,9.0,9.1
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Croatia,0.3 d,0.4,0.5,1.9,2.9,3.0,3.5,3.0,2.7,3.6
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Hungary,5.8,7.0,7.1,8.9,10.0,11.4,12.6,13.5,13.2,13.7
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Ireland,6.4 d,7.0 d,8.7,8.2,8.9,9.6 d,10.7,10.2,9.3,11.0
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Iceland,6.5,7.4,8.0,6.8,6.9,8.0,8.4,8.5,7.9,9.6
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Italy,:,4.7,5.0,5.1,5.3,5.6,2.8,2.9,3.4,4.2
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Liechtenstein,82.5,85.3,87.6,88.9,88.2,88.4,86.5,87.1,85.6,85.8
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Lithuania,2.5,3.0,3.5,4.1,4.6,5.3,6.0,6.2,7.3,8.8
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Luxembourg,43.5 e,43.8 e,45.9,47.0,46.7,47.7,48.6,48.4 d,49.3 d,50.5 d
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Latvia,3.7,5.0,6.1,7.7,7.4,9.3,10.4,12.8,12.8,12.7
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,North Macedonia,2.1,2.8,3.5,5.0,4.7,5.2,5.2,6.5,7.4,8.4
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Malta,5.1,5.9,6.2,7.5,8.8,9.8,14.4,16.0,16.5,23.8
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Netherlands,:,:,10.2,10.7,11.0 d,11.8,12.7 e,13.3 e,13.7 e,:
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Norway,3.6,3.6,3.6,3.9,3.2,4.3 b,4.3,4.4,4.2,4.1
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Poland,1.5,2.0,2.6 d,3.4 d,4.1 d,3.6 e,3.9 e,4.5 e,5.5,6.7
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Portugal,4.0,4.2,5.0,5.8,6.4,7.9,9.7,11.6,11.7,12.0
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Romania,3.5,4.1,4.3,4.8,5.2,5.4,5.7,6.0,6.0,6.3
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Serbia,3.7,3.7,4.1,4.3,4.4,4.4,4.6,4.7,4.5,4.6
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Sweden,5.8,5.9,6.2,6.6,6.7,7.2,7.2,7.0,6.6,7.0
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Slovenia,2.6,2.8,2.7 d,3.3 d,3.9 d,4.5,6.7,7.8,9.2,9.5
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Slovakia,4.9,5.6,5.9,6.0,6.9,8.0,9.0,10.3,11.0,11.9
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,Türkiye,1.1,0.9,1.2,1.3,1.5,1.7,2.0,2.3,2.7,2.9
Annual,Percentage,Tertiary education (levels 5-8),World total except for the reporting country,Total,United Kingdom,17.5,:,18.5 d,18.2 d,17.9 d,18.3 d,18.7 d,:,:,:
