Time frequency,Country/region of birth,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Reporting country,Percentage,Romania,39.1
Annual,Reporting country,Percentage,Serbia,11.5
Annual,Reporting country,Percentage,Sweden,32.3
Annual,Reporting country,Percentage,Slovenia,14.8
Annual,Reporting country,Percentage,Slovakia,32.4
Annual,Reporting country,Percentage,Kosovo*,6.6
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Austria,20.0
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Belgium,16.7
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Bulgaria,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Cyprus,32.2 u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Czechia,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Germany,40.3
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Denmark,26.0
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Estonia,19.3
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Greece,28.0
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Spain,21.9
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,European Union (aggregate changing according to the context),22.2 e
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Finland,22.3 u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,France,15.2
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Croatia,12.7 u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Hungary,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Ireland,29.9
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Lithuania,18.2 u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Luxembourg,28.4
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Latvia,13.2
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Montenegro,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Malta,20.1 u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Netherlands,20.1
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Poland,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Portugal,14.9
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Romania,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Serbia,11.7 u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Sweden,30.1
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Slovenia,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Slovakia,: u
Annual,Non-EU countries nor reporting country (aggregate changing according to the context),Percentage,Kosovo*,: u
