Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Less than 65 years,Females,Finland,10.6,11.2,10.4,10.0,7.1 b,7.3,7.9,9.4 b,8.3
Annual,Percentage,Less than 65 years,Females,France,8.7,8.1,8.0,7.8,7.6,10.4 b,11.4,10.3 b,9.8
Annual,Percentage,Less than 65 years,Females,Croatia,12.4,11.3,10.7,9.2,6.9,7.2,7.4,6.2,5.5
Annual,Percentage,Less than 65 years,Females,Hungary,9.0,7.2,6.4,5.2,4.7,5.1,5.5,6.7,4.9
Annual,Percentage,Less than 65 years,Females,Ireland,19.2,18.4,16.9,14.0,13.2 b,12.1 b,13.2,10.1,10.1
Annual,Percentage,Less than 65 years,Females,Iceland,5.7,4.6,5.0,4.8,4.7,:,:,:,:
Annual,Percentage,Less than 65 years,Females,Italy,12.1,12.6,11.3,11.5,10.4,11.0,11.6,10.6,9.8
Annual,Percentage,Less than 65 years,Females,Lithuania,8.9,9.0,8.5,8.6,6.7,6.6,7.5,7.9,7.4
Annual,Percentage,Less than 65 years,Females,Luxembourg,6.0,6.9,7.7,8.6,7.8,8.3 b,6.2 b,3.9 b,4.3
Annual,Percentage,Less than 65 years,Females,Latvia,7.3,6.9,6.9,7.1,7.0,7.6,6.3,7.5,6.9
Annual,Percentage,Less than 65 years,Females,Montenegro,22.1,22.8,22.9,22.5,17.9,14.5,20.7,20.8,:
Annual,Percentage,Less than 65 years,Females,North Macedonia,17.8,16.3,17.3,16.5,13.8,14.9,:,:,:
Annual,Percentage,Less than 65 years,Females,Malta,9.9,7.0,7.3,6.4,5.9,6.3,6.1,4.2,4.1
Annual,Percentage,Less than 65 years,Females,Netherlands,10.4,10.2,9.5,8.5,9.3,8.9,8.4,8.3,8.6
Annual,Percentage,Less than 65 years,Females,Norway,7.8,7.6,8.3,8.2,7.6,9.3,10.2 b,10.5,9.1
Annual,Percentage,Less than 65 years,Females,Poland,6.8,6.7,5.7,5.6,4.8,4.2,4.0,3.6,3.8
Annual,Percentage,Less than 65 years,Females,Portugal,10.5,8.8,8.0,7.0,6.1,5.1,5.8,5.8,6.2
Annual,Percentage,Less than 65 years,Females,Romania,6.9,6.9,5.8,6.7,5.3,5.5,4.1,4.7,5.7
Annual,Percentage,Less than 65 years,Females,Serbia,18.5,19.5,19.5,16.6,16.1,15.3,15.2,12.7,:
Annual,Percentage,Less than 65 years,Females,Sweden,8.5,8.1,8.5,8.9,8.6,8.0,9.0,8.4,8.4
Annual,Percentage,Less than 65 years,Females,Slovenia,6.1,6.2,5.2,4.1,4.1,3.6,3.3,3.4,3.2
Annual,Percentage,Less than 65 years,Females,Slovakia,6.8,6.2,5.4,5.2,6.0,4.1,4.7,3.8,4.1
Annual,Percentage,Less than 65 years,Females,Türkiye,12.0,11.2,11.2,11.1,11.6,12.4,14.1,12.0,10.7
Annual,Percentage,Less than 65 years,Females,United Kingdom,12.2,11.3,10.1,8.5,:,:,:,:,:
Annual,Percentage,Less than 65 years,Males,Albania,:,:,12.9,12.6,11.0,10.5,11.1,:,:
Annual,Percentage,Less than 65 years,Males,Austria,6.0,6.7,6.8,6.6,6.7,6.4,7.1,5.6,6.2
Annual,Percentage,Less than 65 years,Males,Belgium,14.0,13.3,13.3,12.0,12.4,11.9,11.7,10.9,9.8
Annual,Percentage,Less than 65 years,Males,Bulgaria,11.7,11.3,11.5,9.3,9.3,8.4,8.2,8.2,6.9
Annual,Percentage,Less than 65 years,Males,Switzerland,4.6,4.7,5.2,6.0,5.8,5.4,5.2,5.2,4.6
Annual,Percentage,Less than 65 years,Males,Cyprus,9.9,9.5,7.9,7.9,6.1,5.1,5.9,3.8,4.1
Annual,Percentage,Less than 65 years,Males,Czechia,6.4,6.5,5.6,4.6,4.2,4.1,5.2,4.2,4.8
Annual,Percentage,Less than 65 years,Males,Germany,9.2,8.9,8.4,7.6,7.1,8.1 b,9.2,9.6,9.9
Annual,Percentage,Less than 65 years,Males,Denmark,11.4,10.6,10.9,9.4,9.5,8.6,9.2,8.3,8.5
Annual,Percentage,Less than 65 years,Males,Euro area - 19 countries  (2015-2022),10.5,10.3,9.6,8.7,8.2,8.8,9.5,:,:
Annual,Percentage,Less than 65 years,Males,Euro area – 20 countries (from 2023),10.5,10.3,9.6,8.7,8.2,8.7,9.6,8.7,8.4
Annual,Percentage,Less than 65 years,Males,Estonia,6.8,6.3,6.5,5.9,6.0,5.6,5.7,6.9,6.3
Annual,Percentage,Less than 65 years,Males,Greece,14.0,14.4,13.1,12.2,11.5,10.5,11.4,8.7,7.4
Annual,Percentage,Less than 65 years,Males,Spain,15.7,14.9,12.4,10.2,9.9,9.6,11.0,7.9,8.0
Annual,Percentage,Less than 65 years,Males,European Union - 27 countries (from 2020),9.8,9.6,8.9,8.1,7.6,7.9,8.6,7.9,7.7
Annual,Percentage,Less than 65 years,Males,Finland,12.4,12.9,12.5,12.2,9.1 b,9.2,9.4,10.9 b,9.1
Annual,Percentage,Less than 65 years,Males,France,7.8,7.4,7.4,7.1,6.6,9.0 b,10.2,9.4 b,8.6
Annual,Percentage,Less than 65 years,Males,Croatia,12.2,10.8,10.4,9.5,8.0,7.2,7.6,6.4,5.4
Annual,Percentage,Less than 65 years,Males,Hungary,8.6,8.1,6.3,5.9,5.1,4.8,5.4,5.7,5.0
Annual,Percentage,Less than 65 years,Males,Ireland,18.3,17.1,15.3,12.3,12.5 b,10.7 b,11.6,9.0,8.0
Annual,Percentage,Less than 65 years,Males,Iceland,4.7,4.0,3.1,3.3,4.2,:,:,:,:
Annual,Percentage,Less than 65 years,Males,Italy,10.3,11.6,10.4,9.9,8.9,9.4,9.9,8.9,8.1
Annual,Percentage,Less than 65 years,Males,Lithuania,9.3,11.5,10.4,9.8,8.4,7.8,8.8,8.8,8.6
Annual,Percentage,Less than 65 years,Males,Luxembourg,4.8,6.0,5.4,7.1,6.0,6.0 b,4.9 b,3.1 b,3.5
Annual,Percentage,Less than 65 years,Males,Latvia,8.1,7.1,7.7,7.4,7.7,7.2,6.8,6.9,7.1
Annual,Percentage,Less than 65 years,Males,Montenegro,22.4,23.8,23.5,22.7,17.1,13.6,20.1,21.0,:
Annual,Percentage,Less than 65 years,Males,North Macedonia,17.4,16.4,16.5,15.8,13.1,14.7,:,:,:
Annual,Percentage,Less than 65 years,Males,Malta,8.6,6.7,6.0,4.1,4.0,4.7,4.6,3.5,3.1
Annual,Percentage,Less than 65 years,Males,Netherlands,9.7,8.8,9.2,8.4,8.6,8.5,8.8,8.5,7.9
Annual,Percentage,Less than 65 years,Males,Norway,7.0,6.7,7.9,8.2,7.9,8.6,8.7 b,8.0,8.3
Annual,Percentage,Less than 65 years,Males,Poland,7.0,6.5,6.0,5.8,5.1,4.3,4.4,3.9,4.1
Annual,Percentage,Less than 65 years,Males,Portugal,9.9,8.3,7.5,6.8,6.2,4.8,4.8,5.4,6.5
Annual,Percentage,Less than 65 years,Males,Romania,5.6,5.9,4.9,5.5,3.9,3.9,2.9,3.8,4.8
Annual,Percentage,Less than 65 years,Males,Serbia,21.7,22.0,21.1,18.3,16.3,15.3,14.4,12.4,:
Annual,Percentage,Less than 65 years,Males,Sweden,7.2,7.6,8.0,7.8,7.9,7.8,8.7,7.9,7.6
Annual,Percentage,Less than 65 years,Males,Slovenia,5.6,5.8,5.3,4.7,4.6,4.2,3.8,4.0,4.4
Annual,Percentage,Less than 65 years,Males,Slovakia,7.3,6.6,5.2,5.1,6.5,4.6,5.0,3.9,5.2
Annual,Percentage,Less than 65 years,Males,Türkiye,7.9,6.9,6.8,6.7,7.1,7.9,9.5,7.4,6.3
Annual,Percentage,Less than 65 years,Males,United Kingdom,11.2,10.4,9.5,8.4,:,:,:,:,:
Annual,Percentage,Less than 65 years,Total,Albania,:,:,13.3,12.9,11.8,11.3,11.6,:,:
Annual,Percentage,Less than 65 years,Total,Austria,6.3,7.0,7.2,6.4,6.6,6.1,7.4,5.7,5.7
Annual,Percentage,Less than 65 years,Total,Belgium,15.0,15.2,14.5,13.1,12.8,12.3,11.9,11.5,10.5
Annual,Percentage,Less than 65 years,Total,Bulgaria,11.5,11.5,11.1,9.0,9.2,8.4,8.4,8.6,7.0
Annual,Percentage,Less than 65 years,Total,Switzerland,5.2,5.2,5.6,6.1,6.2,5.5,5.6,5.5,5.0
Annual,Percentage,Less than 65 years,Total,Cyprus,10.4,10.1,8.7,8.1,6.6,5.3,5.8,4.1,4.4
Annual,Percentage,Less than 65 years,Total,Czechia,6.8,6.7,5.7,4.5,4.4,4.4,5.4,4.5,5.1
Annual,Percentage,Less than 65 years,Total,Germany,9.5,9.4,8.7,8.0,7.6,8.3 b,9.5,9.8,9.9
Annual,Percentage,Less than 65 years,Total,Denmark,11.9,11.1,10.5,10.0,9.5,9.1,9.7,8.8,9.8
Annual,Percentage,Less than 65 years,Total,Euro area - 19 countries  (2015-2022),10.8,10.8,9.9,9.1,8.8,9.2,10.0,:,:
Annual,Percentage,Less than 65 years,Total,Euro area – 20 countries (from 2023),10.9,10.8,9.9,9.1,8.7,9.1,10.0,9.1,8.8
Annual,Percentage,Less than 65 years,Total,Estonia,6.2,5.5,5.4,5.3,5.3,4.8,5.1,5.7,5.9
Annual,Percentage,Less than 65 years,Total,Greece,15.3,15.7,14.3,13.6,12.7,11.8,12.1,9.5,8.3
Annual,Percentage,Less than 65 years,Total,Spain,15.4,14.9,12.8,10.8,10.9,10.0,11.6,8.7,8.4
Annual,Percentage,Less than 65 years,Total,European Union - 27 countries (from 2020),10.1,10.0,9.1,8.5,8.0,8.3,9.0,8.3,8.0
Annual,Percentage,Less than 65 years,Total,Finland,11.5,12.1,11.4,11.1,8.1 b,8.3,8.6,10.1 b,8.7
Annual,Percentage,Less than 65 years,Total,France,8.3,7.8,7.7,7.5,7.1,9.7 b,10.8,9.9 b,9.2
Annual,Percentage,Less than 65 years,Total,Croatia,12.3,11.1,10.6,9.3,7.5,7.2,7.5,6.3,5.5
Annual,Percentage,Less than 65 years,Total,Hungary,8.8,7.7,6.3,5.5,4.9,4.9,5.4,6.2,4.9
Annual,Percentage,Less than 65 years,Total,Ireland,18.8,17.8,16.1,13.2,12.9 b,11.4 b,12.4,9.6,9.1
Annual,Percentage,Less than 65 years,Total,Iceland,5.2,4.3,4.0,4.0,4.4,:,:,:,:
Annual,Percentage,Less than 65 years,Total,Italy,11.2,12.1,10.8,10.7,9.6,10.2,10.8,9.8,8.9
Annual,Percentage,Less than 65 years,Total,Lithuania,9.1,10.2,9.4,9.2,7.6,7.2,8.1,8.3,8.0
Annual,Percentage,Less than 65 years,Total,Luxembourg,5.4,6.5,6.5,7.8,6.9,7.1 b,5.5 b,3.5 b,3.9
Annual,Percentage,Less than 65 years,Total,Latvia,7.7,7.0,7.3,7.3,7.4,7.4,6.6,7.2,7.0
Annual,Percentage,Less than 65 years,Total,Montenegro,22.2,23.3,23.2,22.6,17.5,14.0,20.4,20.9,:
Annual,Percentage,Less than 65 years,Total,North Macedonia,17.6,16.4,16.9,16.2,13.5,14.8,:,:,:
Annual,Percentage,Less than 65 years,Total,Malta,9.2,6.8,6.6,5.3,4.9,5.4,5.3,3.8,3.6
Annual,Percentage,Less than 65 years,Total,Netherlands,10.0,9.5,9.4,8.4,8.9,8.7,8.6,8.4,8.2
Annual,Percentage,Less than 65 years,Total,Norway,7.4,7.2,8.1,8.2,7.7,9.0,9.4 b,9.2,8.7
Annual,Percentage,Less than 65 years,Total,Poland,6.9,6.6,5.8,5.7,5.0,4.3,4.2,3.8,3.9
Annual,Percentage,Less than 65 years,Total,Portugal,10.2,8.5,7.7,6.9,6.2,5.0,5.3,5.6,6.3
Annual,Percentage,Less than 65 years,Total,Romania,6.2,6.4,5.4,6.0,4.5,4.7,3.5,4.2,5.2
Annual,Percentage,Less than 65 years,Total,Serbia,20.2,20.8,20.3,17.5,16.2,15.3,14.8,12.5,:
Annual,Percentage,Less than 65 years,Total,Sweden,7.8,7.8,8.2,8.3,8.3,7.9,8.8,8.1,8.0
Annual,Percentage,Less than 65 years,Total,Slovenia,5.8,6.0,5.2,4.4,4.3,3.9,3.6,3.8,3.8
Annual,Percentage,Less than 65 years,Total,Slovakia,7.0,6.4,5.3,5.2,6.3,4.3,4.9,3.8,4.6
Annual,Percentage,Less than 65 years,Total,Türkiye,10.0,9.1,9.1,8.9,9.4,10.3,11.9,9.8,8.6
Annual,Percentage,Less than 65 years,Total,United Kingdom,11.7,10.8,9.8,8.4,:,:,:,:,:
