Time frequency,Unit of measure,Sex,Age class,Activity and employment status,International Standard Classification of Occupations 2008 (ISCO-08),Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Slovenia,9.2,9.4,9.4,9.2,8.6,7.4,7.3,7.2,7.1,6.6,6.3 b,5.7,5.5
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Slovakia,11.2 b,11.6,11.8,11.0,10.5,9.9,9.0,9.0,9.4,8.0,5.6 b,6.1,6.1
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,Türkiye,47.0,44.9,42.8,41.1 b,39.3,36.6,35.3,32.4,30.6,28.4,30.5 b,29.0,27.4
Annual,Percentage,Total,From 15 to 64 years,Employed persons,Total,United Kingdom,14.2,14.3,14.6,15.0,14.9,14.7,14.2,13.7,13.8,:,:,:,:
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Austria,14.1,13.7,12.6,12.1,11.7,11.3,11.3,11.0,10.4,9.7,8.5 b,8.2,7.9
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,8.0 b,7.8,7.3
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Belgium,9.2 b,9.3,10.4,10.1,10.0,9.9,10.1 b,9.4,9.5,9.5,9.3 b,9.3,8.7
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Bulgaria,3.8 b,3.1,2.7,2.3,2.0,1.9,1.5,1.3,1.1 b,1.0,1.2 b,0.7,0.5
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Switzerland,5.1,4.9,4.8,4.4,4.3,4.3,4.2,4.1,3.9,3.7,7.7 b,7.2,7.1
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Cyprus,12.5,12.1,12.9,12.2,12.7,12.6,11.9,10.9,10.1,9.4,9.9 b,9.8,10.0
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Czechia,14.9 b,14.2,13.1,12.0,12.1,11.8,11.5,11.3,10.9,9.3,6.3 b,8.0,7.3
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Germany,9.9 b,10.0 b,9.5,9.0,8.6,8.2,7.7,7.2,6.9,6.0 b,6.4 b,6.0,5.3
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Denmark,5.4,5.3,5.3,5.3,5.5,5.1 b,5.1 b,4.7,4.2,4.2,6.0 b,5.5,5.0 b
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Euro area – 20 countries (from 2023),10.8,10.5,10.3,10.1,9.8,9.6,9.3,9.1,8.8,8.0,8.0 b,7.9,7.4
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Estonia,4.6,4.6,4.3,4.1,3.9,3.6,3.5,3.6,3.5,2.8,2.8 b,2.1,1.9
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Greece,17.0,17.4,18.4,18.6,18.7,19.6,18.4,17.5,16.8,16.4,14.5 b,12.9,11.8
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Spain,10.8,10.5,10.9,10.5,9.9,9.2,8.4,8.0,7.2,6.4,7.1 bd,7.3 d,6.8 d
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,European Union - 27 countries (from 2020),10.4,10.2,9.9,9.7,9.4,9.2,8.8,8.5,8.3,7.5,7.5 b,7.4,7.0
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Finland,8.3,8.1,7.6,7.8,7.8,7.8,7.4,7.5,7.5,7.0,6.4 b,5.9,5.6
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,France,14.0,13.7,12.8,12.3 b,12.1,12.3,11.9,11.9,12.1,11.7,10.0 bd,10.3 d,9.9 d
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Croatia,7.1,5.4 b,4.9,4.9,6.0,5.8,5.6,6.3,6.4,5.8,4.7 b,4.5,3.8
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Hungary,4.0,3.8,4.0,4.6,4.7,3.7,3.8,3.3 b,2.9,1.9,3.0 b,2.6,2.3
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Ireland,7.4,7.2,7.1,7.5,8.4,8.4,9.6 b,10.2,10.3,9.7,8.9 b,9.4,8.0
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Iceland,18.3,18.5,19.2,19.2,19.7,19.1,17.6,17.0,15.3,14.1 b,14.0 b,13.6,13.3
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Italy,10.9,9.9,10.2,10.4,10.6,10.5,10.8,10.7 b,10.2,9.1,9.8 b,9.5,9.7
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Lithuania,0.9,0.7,0.5,0.6,0.9,0.9,0.9,0.7,0.7,0.9,0.8 b,0.8,1.1
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Luxembourg,5.3,5.9,5.6,6.2,5.4 b,5.5,5.3,4.1,4.2,3.9,7.6 b,6.6,5.9
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Latvia,3.7,3.4,3.1,3.2,3.4,3.2,2.4,2.3,2.1,2.2,1.5 b,1.3,1.1
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Montenegro,9.7,10.8,10.3,10.0,11.5,8.4,9.3,12.6,13.4,12.1,:,:,:
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,North Macedonia,15.2,12.0,11.6,11.1,12.3,9.6,10.8,10.0,7.0,4.4,:,:,:
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Malta,8.7,8.3,7.5,7.3,7.8,7.1,7.2,8.3,9.8,8.8,5.5 b,4.5,4.6
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Netherlands,5.0,4.8,4.6 b,4.9,4.8,4.8,4.6,4.6,4.5,3.8,5.9 b,5.7,5.4
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Norway,3.2,3.3,3.3,3.5,3.1,3.2,3.0,2.9,2.6,2.5,4.3 b,4.9,4.9
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Poland,14.3,14.6,14.4,14.0,13.1,12.7,11.7,11.0,10.4 b,9.0,7.8 b,7.8,7.5
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Portugal,12.1 b,12.5,12.7,12.7,11.4,10.8,11.0,10.4,10.3,8.7,9.7 b,9.3,9.1
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Romania,3.3,3.3,3.3,3.2,2.6,2.5,2.2,1.9,2.2,2.1,2.6 b,2.2,1.8
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Serbia,16.8,18.0,16.0,14.8 b,13.4,10.8,9.1,8.2,7.7,11.7,11.4 b,10.9,8.8
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Sweden,4.9,4.9,4.8,4.5,4.6,4.5,4.3,4.1 b,4.1,3.6,7.4 b,7.5,7.2
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Slovenia,9.4,9.7,9.6,9.5,8.7,7.5,7.4,7.3,7.2,6.7,6.4 b,5.8,5.5
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Slovakia,11.2 b,11.5,11.7,11.0,10.5,9.9,8.9,9.0,9.4,7.9,5.5 b,6.0,6.1
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,Türkiye,46.6,44.7,42.5,40.9 b,39.1,36.5,35.1,32.2,30.5,28.3,30.4 b,28.9,27.3
Annual,Percentage,Total,From 15 to 74 years,Employed persons,Total,United Kingdom,14.1,14.2,14.4,14.8,14.7,14.4,14.0,13.5,13.5,:,:,:,:
