Time frequency,Indicator used in Euro_Med,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Annual,"Educational attainment at age 25 and above, female, ISCED 0-1 (%)",Palestine*,39.5,34.4,45.2,44.3,36.7,36.1,35.3,34.1,33.3,32.9,31.6,30.6,29.4,28.6
Annual,"Educational attainment at age 25 and above, female, ISCED 2 (%)",Algeria,:,16.3,:,16.7,:,:,:,21.2,21.9,:,21.8,:,:,:
Annual,"Educational attainment at age 25 and above, female, ISCED 2 (%)",Egypt,3.2 d,3.3 bd,3.0 bd,3.3 d,6.7 d,7.5 d,3.5 d,3.8 p,3.8 dp,:,:,:,:,:
Annual,"Educational attainment at age 25 and above, female, ISCED 2 (%)",Israel,6.1,6.1,6.1,6.0,5.7,5.8,5.7,7.0 b,6.6,6.3,6.6,6.4,6.2,5.8
Annual,"Educational attainment at age 25 and above, female, ISCED 2 (%)",Lebanon,:,:,20.5 e,:,24.2,:,:,23.3,:,:,:,:,:,:
Annual,"Educational attainment at age 25 and above, female, ISCED 2 (%)",Morocco,7.3,7.6,7.8,7.8,8.0,8.4,8.8,9.1,9.5,9.9,10.0,10.2,:,:
Annual,"Educational attainment at age 25 and above, female, ISCED 2 (%)",Palestine*,14.6,22.4,19.2,19.1,16.7,17.2,17.8,18.2,18.8,19.7,20.3,20.4,20.8,20.3
Annual,"Educational attainment at age 25 and above, female, ISCED 3-4 (%)",Algeria,:,13.7,:,15.2,:,:,:,16.9,16.6,:,18.3,:,:,:
Annual,"Educational attainment at age 25 and above, female, ISCED 3-4 (%)",Egypt,21.2,23.0 b,23.3 b,24.4,23.2,25.4,26.0,26.7 p,26.8 p,27.2 p,29.0 p,29.8 p,32.0 p,:
Annual,"Educational attainment at age 25 and above, female, ISCED 3-4 (%)",Israel,32.1,32.4,32.5,33.2,32.3,31.9,32.5,32.7 b,32.0,31.1,31.3,31.2,30.6,30.9
Annual,"Educational attainment at age 25 and above, female, ISCED 3-4 (%)",Lebanon,:,:,17.6 e,:,18.2,:,:,15.3,:,:,:,:,:,:
Annual,"Educational attainment at age 25 and above, female, ISCED 3-4 (%)",Morocco,6.0,6.4,6.5,6.8,7.1,7.3,7.7,7.4,7.4,7.9,8.4,8.6,:,:
Annual,"Educational attainment at age 25 and above, female, ISCED 3-4 (%)",Palestine*,14.0,20.4,16.6,17.1,15.2,14.9,14.3,15.3,15.5,14.7,15.6,16.4,16.6,16.5
Annual,"Educational attainment at age 25 and above, female, ISCED 5-6 (%)",Algeria,:,6.0,:,7.3,:,:,:,9.5,10.9,:,13.0,:,:,:
Annual,"Educational attainment at age 25 and above, female, ISCED 5-6 (%)",Egypt,9.1,10.1 b,9.6 b,10.5,10.3,11.7,11.9,12.2 p,11.5 p,11.3 p,12.7 p,11.8 p,14.5 p,:
Annual,"Educational attainment at age 25 and above, female, ISCED 5-6 (%)",Israel,42.4,42.7,43.9,43.8,45.2,45.8,46.2,46.9 b,48.4,50.0,50.0,51.2,52.0,51.7
Annual,"Educational attainment at age 25 and above, female, ISCED 5-6 (%)",Lebanon,:,:,15.2 e,:,16.9,:,:,17.2,:,:,:,:,:,:
Annual,"Educational attainment at age 25 and above, female, ISCED 5-6 (%)",Morocco,4.6,5.3,5.1,5.0,5.7,5.7,5.9,5.9,6.1,6.0,6.2,6.6,:,:
Annual,"Educational attainment at age 25 and above, female, ISCED 5-6 (%)",Palestine*,12.6,10.7,9.1,10.1,16.9,17.1,18.9,20.4,21.3,21.8,22.6,23.2,24.6,26.7
Annual,"Educational attainment at age 25 and above, total, ISCED 0-1 (%)",Algeria,:,20.5,:,17.1,:,:,:,18.8,19.1,:,17.9,:,:,:
Annual,"Educational attainment at age 25 and above, total, ISCED 0-1 (%)",Egypt,18.7 d,12.8 bd,12.3 bd,13.5 d,9.7 d,8.9 d,13.7 d,14.1 p,13.4 dp,8.6 dp,9.9 dp,8.2 p,3.3 p,:
Annual,"Educational attainment at age 25 and above, total, ISCED 0-1 (%)",Israel,14.4,13.9,13.0,12.5,12.2,11.8,11.3,7.1 b,6.9,6.7,6.4,6.0,5.8,6.0
Annual,"Educational attainment at age 25 and above, total, ISCED 0-1 (%)",Lebanon,:,:,31.7 e,:,28.2,:,:,29.7,:,:,:,:,:,:
Annual,"Educational attainment at age 25 and above, total, ISCED 0-1 (%)",Morocco,23.8,23.4,23.6,23.9,23.7,25.3,24.8,24.2,24.0,23.9,23.7,:,:,:
Annual,"Educational attainment at age 25 and above, total, ISCED 0-1 (%)",Palestine*,40.8,36.0,46.7,46.1,37.5,37.5,36.7,35.3,34.6,34.0,32.9,32.4,31.6,30.3
Annual,"Educational attainment at age 25 and above, total, ISCED 2 (%)",Algeria,:,21.2,:,21.7,:,:,:,25.9,27.2,:,27.3,:,:,:
Annual,"Educational attainment at age 25 and above, total, ISCED 2 (%)",Egypt,4.1 d,4.1 bd,3.8 bd,4.1 d,8.5 d,9.3 d,4.2 d,4.4 p,4.6 dp,:,:,:,:,:
Annual,"Educational attainment at age 25 and above, total, ISCED 2 (%)",Israel,7.7,7.7,7.6,7.6,7.4,7.5,7.2,8.1 b,7.8,7.6,7.7,7.4,7.2,7.0
Annual,"Educational attainment at age 25 and above, total, ISCED 2 (%)",Lebanon,:,:,21.1 e,:,24.4,:,:,24.8,:,:,:,:,:,:
Annual,"Educational attainment at age 25 and above, total, ISCED 2 (%)",Morocco,9.8,9.9,10.3,10.2,10.4,11.1,11.7,12.1,12.6,13.1,13.3,13.4,:,:
Annual,"Educational attainment at age 25 and above, total, ISCED 2 (%)",Palestine*,15.2,22.8,19.1,19.2,17.2,17.7,17.9,18.7,19.5,20.8,21.4,21.5,21.7,21.6
Annual,"Educational attainment at age 25 and above, total, ISCED 3-4 (%)",Algeria,:,15.6,:,17.3,:,:,:,17.9,17.7,:,19.3,:,:,:
Annual,"Educational attainment at age 25 and above, total, ISCED 3-4 (%)",Egypt,25.2,27.2 b,27.0 b,28.6,26.9,29.0,29.4,30.2 p,30.1 p,30.5 p,32.5 p,33.3 p,35.8 p,:
Annual,"Educational attainment at age 25 and above, total, ISCED 3-4 (%)",Israel,33.5,34.0,34.6,35.0,34.5,34.3,34.5,36.0 b,35.2,34.4,34.4,34.6,34.0,34.2
Annual,"Educational attainment at age 25 and above, total, ISCED 3-4 (%)",Lebanon,:,:,17.0 e,:,17.3,:,:,15.3,:,:,:,:,:,:
Annual,"Educational attainment at age 25 and above, total, ISCED 3-4 (%)",Morocco,8.1,8.4,8.6,9.0,9.3,9.6,9.9,9.7,9.7,10.1,10.5,10.6,:,:
Annual,"Educational attainment at age 25 and above, total, ISCED 3-4 (%)",Palestine*,14.9,20.1,16.5,16.9,15.8,15.2,15.1,15.8,16.0,15.2,15.5,16.0,16.3,16.7
Annual,"Educational attainment at age 25 and above, total, ISCED 5-6 (%)",Algeria,:,:,:,8.0,:,:,:,9.8,11.0,:,12.5,:,:,:
Annual,"Educational attainment at age 25 and above, total, ISCED 5-6 (%)",Egypt,12.7,13.2 b,12.7 b,13.4,13.4,14.3,14.4,14.8 p,14.0 p,13.7 p,14.7 p,14.2 p,16.6 p,:
Annual,"Educational attainment at age 25 and above, total, ISCED 5-6 (%)",Israel,40.7,40.7,41.5,41.8,42.8,43.3,44.1,44.1 b,45.4,46.8,47.1,48.1,48.8,48.6
Annual,"Educational attainment at age 25 and above, total, ISCED 5-6 (%)",Lebanon,:,:,16.3 e,:,18.2,:,:,17.9,:,:,:,:,:,:
Annual,"Educational attainment at age 25 and above, total, ISCED 5-6 (%)",Morocco,6.1,7.2,6.9,6.6,7.5,7.5,7.4,7.5,7.7,7.5,7.9,8.5,:,:
Annual,"Educational attainment at age 25 and above, total, ISCED 5-6 (%)",Palestine*,16.2,12.7,10.6,11.0,19.6,19.7,21.2,22.2,22.5,22.7,23.5,23.7,24.4,25.9
