Time frequency,Business trend indicator,Statistical classification of economic activities in the European Community (NACE Rev. 2),Seasonal adjustment,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Latvia,:,:,:,:,:,84.1 i,85.7 i,92.9 i,98.8 i,100.8 i,95.2 i,100.0 i,104.1 i,103.2 i
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Malta,:,:,:,:,:,:,:,:,:,:,:,100.0 i,112.4 p,117.0 p
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Romania,:,:,:,:,:,76.3 i,79.4 i,84.8 i,88.0 i,92.3 i,91.0 i,100.0 i,110.5 i,116.3 p
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Slovenia,:,79.8,78.0,77.2,79.3,82.4,86.7,94.1,100.8,103.5,95.6,99.3,106.9,106.6
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",Slovakia,74.9 i,78.2 i,83.4 i,85.5 i,88.2 i,94.5 i,96.1 i,99.4 i,101.3 i,100.1 i,91.9 i,100.0 i,99.3 i,98.0 i
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Austria,:,:,:,:,:,:,:,:,:,:,:,:,5.8 p,-1.0 p
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,3.5 p,-3.1 p
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,10.3 i,-3.4 p
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,: @C,: @C
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Germany,:,:,:,:,:,:,2.8 p,2.9 p,1.5 p,-0.1 p,-7.0 p,4.1 p,3.1 p,-0.5 p
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Euro area - 19 countries  (2015-2022),:,:,:,:,:,:,2.4 i,3.3 i,2.0 i,0.8 i,-7.5 i,5.7 i,5.1,0.2
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Euro area – 20 countries (from 2023),:,:,:,:,:,:,2.4 i,3.3 i,2.0 i,0.9 i,-7.6 i,5.7 i,4.9,0.2
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Estonia,:,:,:,:,:,:,:,:,:,:,:,12.6 i,5.8 i,-4.9 i
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Greece,:,:,:,:,:,:,:,:,:,:,:,:,9.5 p,4.8 p
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,European Union - 27 countries (from 2020),:,:,:,:,:,:,2.6 i,3.6 i,2.2 i,1.1 i,-7.2 i,5.9 i,5.2,0.1
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Finland,:,4.0 i,-0.5 i,-2.2 i,0.2 i,1.3 i,3.9 i,4.3 i,3.0 i,2.0 i,-3.7 i,4.6 i,3.8 i,-1.9 i
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Croatia,:,-2.4 i,-4.2 i,-0.2 i,-0.2 i,4.6 i,3.5 i,2.9 i,7.8 i,3.1 i,-10.1 i,12.1 i,7.5 i,1.4 i
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Italy,:,:,:,:,:,:,:,:,:,:,:,:,5.5 i,0.5 i
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,4.1 i,0.2 i
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Latvia,:,:,:,:,:,:,1.9 i,8.4 i,6.4 i,2.0 i,-5.6 i,5.0 i,4.1 i,-0.9 i
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Malta,:,:,:,:,:,:,:,:,:,:,:,:,12.4 p,4.1 p
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Romania,:,:,:,:,:,:,4.1 i,6.8 i,3.8 i,4.9 i,-1.4 i,9.9 i,10.5 i,5.2 p
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Slovenia,:,:,-2.3,-1.0,2.7,3.9,5.2,8.5,7.1,2.7,-7.6,3.9,7.7,-0.3
Annual,Production (volume),Total business economy except financial and insurance activities,"Calendar adjusted data, not seasonally adjusted data",Percentage change compared to same period in previous year,Slovakia,:,4.4 i,6.6 i,2.5 i,3.2 i,7.1 i,1.7 i,3.4 i,1.9 i,-1.2 i,-8.2 i,8.8 i,-0.7 i,-1.3 i
