Time frequency,Unit of measure,Degree of urbanisation,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Rural areas,Austria,16.3 b,15.2,14.9 b,14.2,12.4,11.8,11.2,10.4 b,10.2,10.3,9.5,8.4,8.8,10.2,9.5,8.4,8.8 b,7.7,6.4
Annual,Percentage,Rural areas,Belgium,19.4 b,18.2,16.8,14.2,13.6,14.4,11.2 b,11.2 b,10.6,6.8,9.2,8.0,8.9 b,8.1,6.1,6.0,4.6 b,5.1,6.8
Annual,Percentage,Rural areas,Bulgaria,:,9.7,10.5,11.2 b,10.1,7.5 b,6.8 b,7.9 b,8.1,9.8,10.1,10.5,11.5,11.7,12.4 b,13.5,13.5 b,12.5,11.7
Annual,Percentage,Rural areas,Switzerland,:,:,:,:,:,15.8 b,14.9,11.6 b,11.1,11.0,10.3,9.8,8.8,7.6,8.2,8.4,8.7 b,7.7,8.6
Annual,Percentage,Rural areas,Cyprus,24.3 b,24.4,23.9,23.0,18.5 b,15.4,14.1,13.1 b,10.1,7.6,11.2,10.5,10.4,12.7,13.9,19.2,15.2 b,14.7,11.5
Annual,Percentage,Rural areas,Czechia,20.1 b,19.8 b,20.6,20.7,20.0,18.9,18.2 b,17.6 b,18.3,18.5,16.4,16.3,15.5,14.8,16.1,16.9,16.4 b,15.2,15.2
Annual,Percentage,Rural areas,Germany,12.3 b,12.3 b,12.5,12.4,10.7,9.8 b,9.9 b,11.2 b,10.5,9.7,9.1,8.3,8.1,8.4,8.2,8.2 b,7.1 b,6.9,6.1
Annual,Percentage,Rural areas,Denmark,11.1 b,10.2,10.2,10.4 b,9.0,8.0,9.0,7.7 b,7.3,8.7,9.2,8.2 b,8.1 b,8.3,8.5,8.2,9.0 b,9.2,8.2 b
Annual,Percentage,Rural areas,Euro area – 20 countries (from 2023),18.9 b,18.8,18.3,17.3,15.2,13.5,13.0,13.1 b,12.6,12.3,12.3,11.9,11.8,11.9,11.4,11.4,9.9 b,9.4,9.1
Annual,Percentage,Rural areas,Estonia,4.9 b,6.4,8.2,7.6,1.9,3.2,5.4,3.3 b,5.4,5.4,6.0,5.0,5.3,6.0,5.8,7.8,3.1 b,2.9,1.0
Annual,Percentage,Rural areas,Greece,31.2 b,31.8,30.5,30.2,28.8 b,27.9,25.4,23.8 b,22.4,22.4,21.7,22.1,21.7,22.5,22.3,23.0,23.2 b,25.8,25.5
Annual,Percentage,Rural areas,Spain,30.4 b,29.2 b,28.1,24.9,19.9,17.3,15.2,13.4 b,13.0,14.4,15.9,16.0,15.6,15.6,14.9,13.6,13.6 bd,14.2 d,13.4 d
Annual,Percentage,Rural areas,European Union - 27 countries (from 2020),17.6 b,17.0,16.8,16.6,15.1,14.1,13.5,13.7 b,13.4,13.1,13.3,13.2,13.1,13.0,13.2,13.4,12.3 b,11.7,11.2
Annual,Percentage,Rural areas,Finland,5.0 b,5.2,5.3 b,5.2 b,2.6 b,3.4,3.8,2.5 b,3.6,2.6,2.4,3.6,2.8,2.9,1.3,2.1,1.2 b,1.4,0.9
Annual,Percentage,Rural areas,France,13.1 b,13.9 b,12.6,12.3,10.5,7.9,8.2,8.5 b,8.3 b,7.0 b,6.8,6.7,7.3,7.2,6.5,6.4,5.6 bd,4.7 d,4.1 d
Annual,Percentage,Rural areas,Croatia,: bu,: bu,48.9 u,25.0 u,-1.5 u,24.9 u,: u,16.1 b,14.5,14.9,14.2,15.0,16.7,15.2,15.4,15.0,14.7 b,14.8,14.0
Annual,Percentage,Rural areas,Hungary,15.1 b,16.0,15.8,15.2,13.6,11.6,12.1,11.9 b,13.2,14.1,15.1,14.9,14.6,15.5 b,16.4,16.9,13.3 b,12.5,11.7
Annual,Percentage,Rural areas,Ireland,22.8 b,22.3,20.2 b,17.4,11.1,9.6,9.5,10.3 b,12.9,14.2,14.6,14.6,13.5 b,13.7,13.7,12.1,11.5 b,13.1,11.9
Annual,Percentage,Rural areas,Iceland,:,:,:,:,:,8.0 b,8.6,14.5 b,8.7,7.3,6.4,6.4,5.2,4.8,7.2,9.0 b,6.6 b,6.3,5.8
Annual,Percentage,Rural areas,Italy,28.5 b,28.2,27.5,27.3,26.0,23.9,24.0,23.6 b,22.6,22.0,22.4,22.1,22.3,21.6 b,22.1,22.7,21.1 b,20.8,21.4
Annual,Percentage,Rural areas,Lithuania,9.7 b,8.1,8.3,9.0,1.4,0.3,1.5,-0.1 b,1.8,2.2,3.0,1.9,3.1,4.1,0.3,3.1,2.4 b,0.9,2.8
Annual,Percentage,Rural areas,Luxembourg,25.9 b,24.4,21.2 b,20.3,18.0 b,19.7,15.3,14.6 b,15.7,11.5,11.3 b,11.6,6.5,7.7,9.6,7.7,7.0 b,8.5,5.9
Annual,Percentage,Rural areas,Latvia,9.0 b,9.3,9.8,7.0,0.3,-0.5,1.9,3.8 b,5.6,5.1,4.1,4.4,4.5,4.4,4.2,6.1,6.3 b,1.2,2.8
Annual,Percentage,Rural areas,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,25.4,26.5,26.4,:,:,:
Annual,Percentage,Rural areas,Malta,43.0 b,39.3,39.5,42.7,38.7,35.3,36.4,30.5 b,26.7,22.1,24.1,28.0,23.7,22.2,28.6,28.9,7.4 b,5.4,18.0 u
Annual,Percentage,Rural areas,Netherlands,17.9 b,19.9 b,18.3,17.9,18.1,16.8,13.6,12.4 b,11.9 b,12.1,12.5,13.0,12.9,11.2,10.6,10.5,9.6 b,8.0,8.6
Annual,Percentage,Rural areas,Norway,6.5 b,:,:,:,:,4.8,5.1,5.5 b,4.8,5.0,4.7,4.5,5.1,6.4,6.1,5.7,5.2 b,5.7,4.9
Annual,Percentage,Rural areas,Poland,:,15.6,15.8,17.6,17.0,15.5 b,16.4,16.8 b,17.3,16.6,16.5,17.3,17.1,17.1,19.1 b,20.2,18.4 b,17.2,15.4
Annual,Percentage,Rural areas,Portugal,15.5 b,14.9,14.6,15.2,11.6,11.9,13.7 b,13.2 b,10.8,11.6,10.3,9.7,10.6,9.7,11.4,9.4,8.7 b,6.5,7.8
Annual,Percentage,Rural areas,Romania,:,:,:,:,16.1,19.5 b,17.1,18.4 b,18.8,18.6,20.7,21.4,21.2,21.6,23.3,25.2,28.2 b,26.8,27.0
Annual,Percentage,Rural areas,Serbia,:,:,:,:,:,:,:,:,:,20.8 b,20.9,18.7,18.9,18.7,18.6,18.5,21.0 b,19.5,16.6
Annual,Percentage,Rural areas,Sweden,5.4 b,5.7,6.1,6.6,5.2,6.1,5.9,6.9 b,5.3,4.6,4.6,3.7,4.1,4.7 b,5.5,7.4,6.8 b,6.4,5.8
Annual,Percentage,Rural areas,Slovenia,10.5 b,10.0,11.3,10.4,7.6,8.2,6.8,8.1 b,9.2,8.7,10.5,8.2,8.8,8.1,8.1,6.4,7.9 b,8.1,7.2
Annual,Percentage,Rural areas,Slovakia,:,:,18.1,17.6,16.5,14.0,14.7 b,16.2 b,14.3,14.6,14.2,13.9,13.0,15.0,13.5,13.6,11.4 b,10.4,10.1
Annual,Percentage,Rural areas,United Kingdom,14.9 b,15.4 b,13.8 b,13.7 b,13.1,12.9,11.4,11.8 b,12.5,12.0,11.2,10.6,9.2,9.3,9.8,:,:,:,:
Annual,Percentage,No response,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,26.9 b,27.7,27.4
Annual,Percentage,No response,Bulgaria,9.7 b,9.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,No response,Switzerland,14.4 b,14.6,14.8,12.5,12.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,No response,Euro area – 20 countries (from 2023),15.8 b,17.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,No response,European Union - 27 countries (from 2020),13.2 b,13.4,13.1,14.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,No response,Finland,: bu,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,No response,Iceland,8.4 b,8.8,10.1,9.5,5.4,:,:,5.6 b,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,No response,Montenegro,:,:,:,:,:,:,12.6,11.7 b,10.6,11.7,10.3,11.7,13.8,13.8,13.3,12.9,:,:,:
Annual,Percentage,No response,North Macedonia,:,19.6,18.2,20.0,21.3,20.9,19.0,18.8 b,19.0,20.8,19.4,21.2,21.9,:,:,:,:,:,:
Annual,Percentage,No response,Norway,: bu,7.5 b,6.8,6.2,5.2,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,No response,Poland,13.4 b,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,No response,Romania,13.5 b,12.7,13.1,14.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,No response,Serbia,:,:,:,:,:,16.0,15.3,15.7 b,16.4,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,No response,Slovakia,15.8 b,17.1,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,No response,Türkiye,:,49.2,48.8,47.8,44.6,44.7,45.4,44.1 b,43.5,43.4 b,42.8,42.3,41.6,40.8,38.8,38.1,39.4 b,38.9,38.5
Annual,Percentage,No response,United Kingdom,12.7 b,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Percentage,Total,Austria,12.9 b,12.9,13.3 b,12.5,10.5,10.2,10.0,9.7,9.1,8.2,8.2,7.8,8.0,9.0,8.8,8.0,8.6 b,7.8,7.8
Annual,Percentage,Total,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,26.9 b,27.7,27.4
Annual,Percentage,Total,Belgium,15.7 b,15.2,14.7,13.4,12.2,11.9,11.5 b,11.0,10.2,8.7,8.3,9.3,9.8 b,8.4,8.0,8.2,7.7 b,7.6,7.6
Annual,Percentage,Total,Bulgaria,9.7 b,9.5,9.9,10.7 b,9.8,7.8 b,6.2 b,5.6,5.7,6.1,6.6,7.3,8.0,8.2,8.5 b,8.8,8.4 b,7.5,7.3
Annual,Percentage,Total,Switzerland,14.4 b,14.6,14.8,12.5,12.1,12.9 b,12.2,11.4,10.9,9.8,9.7,9.0,9.4,9.1,8.7,8.3,7.8 b,7.9,7.7
Annual,Percentage,Total,Cyprus,21.7 b,20.3,18.7,17.0,14.5 b,12.9,11.9,11.3,10.4,7.7,8.3,9.7,9.5,10.4,10.6,11.6,11.5 b,10.9,9.0
Annual,Percentage,Total,Czechia,18.8 b,18.6,19.1,19.5,18.8,18.7,18.2 b,17.7,17.2,17.5,16.6,16.0,15.8,15.2,15.0,15.3,15.4 b,14.9,13.9
Annual,Percentage,Total,Germany,12.5 b,12.2 b,12.4,12.3,10.9,10.7 b,10.4 b,10.5 b,9.6,9.1,8.7,8.2,7.9,8.1,8.0,7.6 b,7.4 b,7.7,7.7
Annual,Percentage,Total,Denmark,8.6 b,9.0,8.5,8.7 b,6.0,5.7,6.9,6.4,6.3,7.4,7.8,6.9 b,6.7 b,7.0,7.2,7.0,6.9 b,5.4,5.6 b
Annual,Percentage,Total,Euro area – 20 countries (from 2023),17.4 b,16.9,16.6,15.8,13.8,13.2,12.9,12.0,11.4,11.1,11.2,11.2,11.2,11.3,10.9,10.6,10.2 b,10.2,9.9
Annual,Percentage,Total,Estonia,4.9 b,7.0,8.8,8.6,2.0,1.9,5.7,5.7,6.6,7.7,7.7,8.0,6.5,7.2,7.5,6.0,3.7 b,2.9,2.4
Annual,Percentage,Total,Greece,29.6 b,28.6,28.4,27.5,25.6 b,24.2,22.1,19.8,19.4,18.3,18.0,19.0,19.7,21.0,20.0,18.9,19.8 b,21.0,19.8
Annual,Percentage,Total,Spain,24.7 b,23.6 b,22.0,19.0,14.2,12.9,11.6,10.0,9.6,10.2,11.2,11.5,11.9,12.1,11.9,11.4,10.8 bd,11.2 d,10.3 d
Annual,Percentage,Total,European Union - 27 countries (from 2020),16.3 b,16.0,15.9,15.3,13.7,13.3,12.9,12.3,11.8,11.6,11.7,11.6,11.8,11.7,11.7,11.5,10.9 b,10.7,10.2
Annual,Percentage,Total,Finland,4.3 b,4.8,4.7 b,5.3 b,2.3,3.0,3.7,3.0,2.8,1.9,2.1,3.3,3.5,3.7,2.7,2.9,2.0 b,1.2,0.2
Annual,Percentage,Total,France,11.7 b,11.2 b,10.2,10.1,9.3,9.1,9.3,8.8,8.1,7.5 b,7.2,7.4,7.9,7.6,7.2,7.0,6.2 bd,5.8 d,5.5 d
Annual,Percentage,Total,Croatia,14.7 b,13.9 b,16.2,15.9,12.5,11.5,12.5,11.0 b,8.8,10.0,9.5,9.7,10.5,10.5,10.5,11.2,10.4 b,9.4,7.7
Annual,Percentage,Total,Hungary,13.6 b,14.5,14.6,13.9,12.5,10.9,11.7,11.1,12.4,13.3,13.7,14.0,15.3,15.3 b,15.5,15.9,10.6 b,9.8,9.1
