Time frequency,Unit of measure,Degree of urbanisation,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Towns and suburbs,Euro area - 19 countries  (2015-2022),:,:,2.9,3.2,2.8,3.1,16.7,:,:,:,:,3.3,3.6,3.1,2.4,2.5,2.4,2.8
Annual,Percentage,Towns and suburbs,Estonia,:,21.8,10.4,7.4,8.6,6.2,18.0,7.3,1.0,1.9 b,4.3,3.9 b,2.1,3.2,2.5,1.2,1.1,1.0
Annual,Percentage,Towns and suburbs,Greece,9.4,15.5,17.8,10.5,7.9,8.0,6.7,7.4,4.4,8.3 b,6.7,5.7,5.8,6.3,5.6,5.3,5.6,6.2
Annual,Percentage,Towns and suburbs,Spain,:,5.7,3.1,3.1,3.0,2.4,2.2,2.0,3.2 b,1.1 b,1.6,1.5,1.8,2.1,1.0,1.7,1.6,3.3
Annual,Percentage,Towns and suburbs,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,1.6 e,6.5 e,:,:,:,:,3.9 e,4.0 e,3.7 e,3.2 e,3.0 e,2.8 e,:
Annual,Percentage,Towns and suburbs,European Union - 27 countries (2007-2013),:,:,4.4 e,4.5 e,3.8,1.6,6.5,:,:,:,:,3.8,4.0,3.7,3.1,3.0,2.8 e,:
Annual,Percentage,Towns and suburbs,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,2.9 e,3.6,4.4,4.3,4.2 e,4.5 e,4.1 e,3.5 e,3.3 e,3.1 e,3.4 e
Annual,Percentage,Towns and suburbs,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,3.5,3.5,4.0,3.9,3.9,4.0,3.7,3.2,3.0,2.8 e,:
Annual,Percentage,Towns and suburbs,Finland,:,1.0,0.5,0.6,0.4,0.7,0.9,0.8,0.7,0.4 b,0.6,0.8,0.4,0.7,0.8,0.9,0.9,0.8
Annual,Percentage,Towns and suburbs,France,:,2.0,1.9,1.3,1.3,1.8,1.4,1.6,1.1,1.8 b,1.3,2.2,2.2,2.5,1.8,2.2,1.6,2.1 b
Annual,Percentage,Towns and suburbs,Croatia,:,:,:,:,:,:,:,9.1,8.4,9.9 b,7.8,6.9,5.7,5.6,6.1,5.7,5.7,5.6
Annual,Percentage,Towns and suburbs,Hungary,:,:,22.7,17.6,14.4,18.8,9.7,18.2,14.5,15.6 b,14.8,14.1,13.7,14.6,15.0,6.8,5.7,7.2
Annual,Percentage,Towns and suburbs,Ireland,2.1,0.8,1.4,1.8,1.1,0.7,0.1,0.0,0.1,0.1 b,0.9,1.0,1.7,0.8,0.8,0.9,1.5 b,0.7 b
Annual,Percentage,Towns and suburbs,Iceland,:,:,:,:,:,:,:,:,:,:,:,2.7,4.0,1.7,2.1,0.9,1.5,:
Annual,Percentage,Towns and suburbs,Italy,:,7.9,6.4,7.2,6.0,6.3,6.8,6.7,7.7,7.5 b,8.4,8.7,8.6,7.0,4.8,4.3,4.6,6.0
Annual,Percentage,Towns and suburbs,Lithuania,:,:,:,:,:,:,:,:,:,4.8 b,7.6,7.0,0.0,3.0,6.6,0.6,11.0,8.4
Annual,Percentage,Towns and suburbs,Luxembourg,1.9,1.4,0.6,0.7,1.1,1.6,1.1,1.1,0.7,2.7 b,2.2,1.5,2.1,2.0 b,2.7,3.0,2.1,2.1 b
Annual,Percentage,Towns and suburbs,Latvia,:,:,4.0,2.5,0.0,8.7 b,9.3,6.2,5.6,9.3 b,14.1,12.7,9.3,12.9,13.3,12.3,11.1,10.3
Annual,Percentage,Towns and suburbs,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,8.5,7.2,8.2,7.4,8.0
Annual,Percentage,Towns and suburbs,Malta,:,:,0.4,0.3,0.2,0.5,2.2,1.8,1.7,0.3 b,0.0,0.0,0.3,0.3,0.3,0.2,0.0,0.0
Annual,Percentage,Towns and suburbs,Netherlands,:,:,0.3,0.2,0.3,0.1,0.4,0.4,0.3,0.2 b,0.2,0.6,0.7,0.6 b,0.8,0.9,1.2,0.9
Annual,Percentage,Towns and suburbs,Norway,:,1.6,0.8,0.9,1.5,1.0,0.3,0.3,1.3,0.9 b,1.3,:,0.4,1.2,0.3,0.4,0.8,0.8
Annual,Percentage,Towns and suburbs,Poland,:,:,29.5,27.9,24.1,16.1,12.2,10.7,8.7,8.5 b,7.0,6.8,8.2,7.6,8.4,7.1,6.9,:
Annual,Percentage,Towns and suburbs,Portugal,:,7.6,8.2,6.7,7.2,7.0,4.1,5.0,3.5,3.6 b,4.4,3.3,2.7,2.7,2.8,3.7,4.0,3.4
Annual,Percentage,Towns and suburbs,Romania,:,:,:,:,18.2,14.7,10.8,18.3,14.9,17.2 b,17.5,16.5,14.7,13.5,10.7,10.7,9.8,8.5
Annual,Percentage,Towns and suburbs,Serbia,:,:,:,:,:,:,:,:,:,:,15.1,15.6,14.3,13.5,12.5,10.1,12.2,7.7
Annual,Percentage,Towns and suburbs,Sweden,:,1.6,1.4,1.4,1.0,1.6 b,1.5,2.9,1.8,1.8 b,1.6,1.9,1.8,2.6,1.8,2.8,2.1,1.7
Annual,Percentage,Towns and suburbs,Slovenia,:,:,11.1,11.9,12.2,17.3,16.7,15.8,9.1 b,8.6 b,6.5,6.3,5.8,5.2,4.9,4.6,4.1,3.1
Annual,Percentage,Towns and suburbs,Slovakia,:,:,5.1,5.8,4.8,5.4 b,3.8,3.6,4.9,5.2 b,4.3,3.8,2.8,3.0,4.2,4.0,2.1,1.7
Annual,Percentage,Towns and suburbs,United Kingdom,:,:,1.1,0.6,0.8,1.0,1.6,0.8,2.2,1.3 b,1.2,1.3,0.6,0.9,0.7 b,0.7,:,:
Annual,Percentage,Rural areas,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,27.8,28.5,22.9,15.7
Annual,Percentage,Rural areas,Austria,1.5,1.5,2.6,2.6,2.0,3.0 b,1.6,2.1,1.5,1.6,1.2,1.4,1.4,1.6,1.4,0.9,1.4,0.9
Annual,Percentage,Rural areas,Belgium,1.1,0.4,0.6,0.0,0.0,1.1,0.0,0.1,0.4,0.2 b,1.2,0.5,0.0,0.8 b,1.1,0.9,1.5 b,1.5
Annual,Percentage,Rural areas,Bulgaria,:,:,:,23.8,21.0,23.2 b,19.8,16.5,15.9,16.2 b,17.6,16.6 b,15.7,16.5 b,15.3,15.4,13.2,11.8
Annual,Percentage,Rural areas,Switzerland,:,:,:,:,1.0,0.3,1.2,0.2,0.4,0.8 b,0.5,1.2 b,0.9,1.2,1.2,0.5,0.4,0.7
Annual,Percentage,Rural areas,Cyprus,:,:,2.2,1.8,1.2,3.2 b,0.6,1.9,1.6,1.8 b,1.9,2.4,1.4,1.3,0.7,1.5,1.7,2.4
Annual,Percentage,Rural areas,Czechia,:,:,9.5,9.4,7.9,6.0,6.2,4.4,4.4,3.6 b,3.9,4.0,2.1,2.0,2.0,1.7,1.4,1.3
Annual,Percentage,Rural areas,Germany,:,:,2.0,2.3,1.3,1.9,1.3,1.9,1.6,0.9 b,0.6,1.3,1.0,0.3,0.7,0.7,0.7,0.7 b
Annual,Percentage,Rural areas,Denmark,2.1,1.3,0.4,0.4,1.0,0.6,0.8,1.3,2.6 b,1.3 b,1.6,1.6,1.9,0.7,1.0,1.3,1.5,1.6
Annual,Percentage,Rural areas,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,17.7 e,:,:,:,:,2.9 e,3.0 e,2.7 e,2.2 e,2.2 e,2.1 e,2.2
Annual,Percentage,Rural areas,Euro area - 18 countries (2014),:,:,4.9 e,4.6 e,4.3 e,4.1 e,17.7,:,:,:,:,2.9 e,2.8 e,2.5 e,2.1 e,2.1 e,2.0 e,2.2
Annual,Percentage,Rural areas,Euro area - 19 countries  (2015-2022),:,:,5.6 e,5.3 e,4.8 e,4.6 e,17.7,:,:,:,:,3.0 e,3.0 e,2.7 e,2.2 e,2.2 e,2.1 e,2.2
Annual,Percentage,Rural areas,Estonia,:,22.5,20.0,19.1,18.1,13.2,14.2,13.8,5.9,6.1 b,7.0,5.3 b,3.9,4.8,4.1,3.9,4.2,3.0
Annual,Percentage,Rural areas,Greece,10.5,8.6,8.7,9.2,9.2,8.8,8.6,8.4,7.9,6.9 b,7.6,7.1,8.0,7.2,6.7,5.7,6.7,5.2
Annual,Percentage,Rural areas,Spain,:,4.9,3.6,2.5,2.5,1.6,1.0,1.6,1.8 b,1.4 b,1.8,1.9,0.9,1.2,0.7,1.2,0.8,1.7
Annual,Percentage,Rural areas,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,1.2 e,3.4 e,:,:,:,:,6.4 e,6.2 e,6.0 e,5.5 e,5.0 e,4.5 e,:
Annual,Percentage,Rural areas,European Union - 27 countries (2007-2013),:,:,14.0 e,13.7 e,13.0 e,1.2,3.4,:,:,:,:,6.4 e,6.2 e,6.0 e,5.5 e,4.9 e,4.5 e,:
Annual,Percentage,Rural areas,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,1.5 e,8.7,6.5,6.7,6.8 e,6.5 e,6.4 e,5.8 e,5.2 e,4.8 e,4.9 e
Annual,Percentage,Rural areas,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,9.1,8.1,6.1,6.4,6.4 e,6.2 e,6.0 e,5.5 e,5.0 e,4.5 e,:
Annual,Percentage,Rural areas,Finland,:,0.9,0.9,0.6,0.8,0.6,0.5,0.8,0.5,0.7 b,0.7,0.3,0.5,0.3,0.3,0.7,0.7,1.1
Annual,Percentage,Rural areas,France,:,1.4,0.7,0.9,1.2,1.6,1.6,1.6,0.8,0.9 b,1.1,0.8,1.1,1.1,0.8,1.3,0.9,1.2 b
Annual,Percentage,Rural areas,Croatia,:,:,:,:,:,:,:,12.6,9.7,8.3 b,8.4,6.9,7.5,7.6,6.4,6.3,6.2,4.9
Annual,Percentage,Rural areas,Hungary,:,:,23.0,19.8,13.6,22.0,12.0,19.1,17.8,19.7 b,20.7,21.0,17.1,19.5,18.2,8.3,11.1,9.4
Annual,Percentage,Rural areas,Ireland,0.7,1.7,1.6,2.1,1.0,0.1,0.8,0.0,0.6,0.2 b,1.2,1.0,0.6,0.1,0.1,0.1,0.3 b,0.7 b
Annual,Percentage,Rural areas,Iceland,:,1.5,1.4,1.2,1.4,0.9,1.4,1.1,1.2,1.0 b,2.0,1.4,1.5,0.5,0.4,1.0,1.6,:
Annual,Percentage,Rural areas,Italy,:,9.7,8.9,8.8,8.2,8.3,9.1,7.3,6.8,6.5 b,7.2,9.1,9.2,6.8,5.1,4.5,5.2,5.6
Annual,Percentage,Rural areas,Lithuania,:,:,30.3,29.2,23.1,19.7,18.8,17.1,9.9 b,9.3 b,12.0,12.6,12.0,11.2,9.7,8.1,9.6,5.2
Annual,Percentage,Rural areas,Luxembourg,1.5,1.6,1.2,1.5,1.5,2.2,0.8,1.4,1.5,0.8 b,1.2,1.3,0.9,2.3 b,2.1,0.7,1.1,0.6 b
Annual,Percentage,Rural areas,Latvia,:,:,33.6,30.0,29.8,25.4 b,26.6,23.8,19.8,20.8 b,19.5,20.0,19.0,18.4,18.1,16.6,14.0,11.5
Annual,Percentage,Rural areas,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,13.0,9.7,9.3,8.2,8.0
Annual,Percentage,Rural areas,Malta,:,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,0.0 u,0.0 u,0.0 u,: u,: u,: u,: u
Annual,Percentage,Rural areas,Netherlands,:,:,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.7 b,0.8,0.9,0.7,0.6 b,0.2,0.4,1.3,1.2
Annual,Percentage,Rural areas,Norway,:,0.8,0.7,1.0,0.5,0.6,0.6,0.7,0.5,0.3 b,0.6,:,0.3,0.3,0.6,0.6,0.6,0.3
Annual,Percentage,Rural areas,Poland,:,:,33.5,32.6,30.1,21.6,18.1,15.8,13.6,12.3 b,12.3,10.6,11.2,11.0,11.1,10.3,8.4,:
Annual,Percentage,Rural areas,Portugal,:,5.5,6.1,6.3,6.8,4.0,3.3,2.5,1.9,2.3 b,3.4,4.4,4.1,3.2,3.1,2.6,1.9,2.2
Annual,Percentage,Rural areas,Romania,:,:,:,:,40.3,36.9,34.4,32.3,30.7,35.3 b,31.4,29.4,29.8,30.9,28.6,26.1,23.5,24.4
Annual,Percentage,Rural areas,Serbia,:,:,:,:,:,:,:,:,:,:,17.4,17.6,17.0,16.3,15.5,12.3,12.3,9.1
Annual,Percentage,Rural areas,Sweden,:,1.0,0.8,1.2,1.0,1.2 b,1.1,1.5,1.7,1.4 b,0.7,1.4,2.6,1.6,1.2,1.9,1.6,2.2
Annual,Percentage,Rural areas,Slovenia,:,:,12.7,13.7,12.5,15.9,17.7,14.7,8.0 b,7.4 b,6.4,6.3,4.9,3.8,3.8,4.7,3.5,2.7
Annual,Percentage,Rural areas,Slovakia,:,:,8.6,5.7,4.7,6.1 b,4.7,4.4,6.2,6.2 b,5.5,5.6,5.9,6.1,7.1,4.4,5.8,5.1
Annual,Percentage,Rural areas,United Kingdom,:,:,0.2,0.6,0.7,1.7,2.2,1.2,0.5,0.3 b,0.8,0.5,1.3,0.8,0.2 b,0.7,:,:
