Time frequency,Unit of measure,Sector,National accounts indicator (ESA 2010),Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand persons,State government,Total employment domestic concept,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Thousand persons,State government,Total employment domestic concept,Netherlands,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Thousand persons,State government,Total employment domestic concept,Portugal,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Thousand persons,State government,Total employment domestic concept,Romania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,:
Annual,Thousand persons,State government,Total employment domestic concept,Sweden,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Thousand persons,Local government,Total employment domestic concept,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,236.1,233.6,230.3,237.1,241.4,248.3,249.7,257.9,268.3,273.7
Annual,Thousand persons,Local government,Total employment domestic concept,Italy,1529.9,1517.4,1511.6,1512.0,1514.9,1501.1,1497.0,1508.4,1518.0,1526.9,1533.0,1540.1,1534.1,1530.6,1532.0,1533.5,1520.8,1481.8,1462.3,1449.5,1425.2,1406.6,1379.6,1382.3,1375.0,1363.7,1381.0,1410.3,1421.7
Annual,Thousand persons,Local government,Total employment domestic concept,Malta,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
Annual,Thousand persons,Local government,Total employment domestic concept,Netherlands,692.0,691.0,700.0,708.0,731.0,753.0,770.0,787.0,811.0,812.0,803.0,806.0,816.0,831.0,841.0,847.0,834.0,820.0,759.0,750.0,744.0,738.0,742.0,741.0,750.0,755.0,780.0,804.0,824.0 p
Annual,Thousand persons,Local government,Total employment domestic concept,Portugal,:,:,:,:,:,:,:,:,:,:,:,171.9,170.1,172.0,183.3,184.0,175.0,191.1,188.7,191.0,190.9,189.8,191.0,194.6,200.1,210.2,220.1,234.5,:
Annual,Thousand persons,Local government,Total employment domestic concept,Sweden,1107.5,1089.0,1071.1,1072.0,1092.9,1068.2,1083.0,1098.2,1106.5,1115.0,1114.7,1131.3,1134.3,1113.2,1087.6,1076.3,1081.2,1086.4,1095.3,1109.5,1139.1,1175.8,1198.1,1208.1,1215.0,1207.3,1217.4,1228.7,1237.9
Annual,Thousand persons,Social security funds,Total employment domestic concept,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10.0,9.6,6.4,6.4,6.1,6.5,6.7,6.5,6.5,6.5
Annual,Thousand persons,Social security funds,Total employment domestic concept,Italy,57.0,57.6,57.2,56.2,56.2,57.1,58.4,58.0,59.8,59.1,58.4,57.6,56.3,54.2,52.0,51.3,49.1,47.3,46.1,44.6,42.7,41.2,40.7,39.8,39.6,39.0,36.3,34.4,37.7
Annual,Thousand persons,Social security funds,Total employment domestic concept,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Thousand persons,Social security funds,Total employment domestic concept,Netherlands,31.0,30.0,30.0,31.0,31.0,32.0,32.0,33.0,34.0,33.0,32.0,24.0,24.0,24.0,25.0,25.0,25.0,24.0,24.0,24.0,23.0,23.0,22.0,21.0,22.0,23.0,25.0,26.0,26.0 p
Annual,Thousand persons,Social security funds,Total employment domestic concept,Portugal,:,:,:,:,:,:,:,:,:,:,:,16.6,16.8,16.0,15.1,14.6,12.8,12.6,11.8,11.5,10.4,10.1,10.5,10.7,10.9,11.1,11.4,11.4,:
Annual,Thousand persons,Social security funds,Total employment domestic concept,Sweden,0.1,0.2,0.3,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.5,1.8,1.8,2.0,2.1
