Time frequency,Unit of measure,Item of meat,Meat product,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand tonnes,Slaughterings,Bovine meat,Croatia,46.78,47.27,44.42,42.26,44.43,42.2,43.78,45.43,43.37,43.18,41.23,41.18
Annual,Thousand tonnes,Slaughterings,Bovine meat,Hungary,24.71,22.64,23.11,26.39,28.07,27.21,29.15,29.73,28.07,28.93,25.68,23.18
Annual,Thousand tonnes,Slaughterings,Bovine meat,Ireland,495.4,517.57,581.81,564.14,588.36,617.02,622.54,619.8,633.38,594.51,621.42,599.52
Annual,Thousand tonnes,Slaughterings,Bovine meat,Iceland,3.9,3.8,3.7,3.5,6.95,4.61,4.77,4.81,4.64,4.96,4.99,4.9
Annual,Thousand tonnes,Slaughterings,Bovine meat,Italy,981.12,855.32,709.43,788.28,809.66,756.42,809.22,779.82,732.28,747.89,747.21,619.85
Annual,Thousand tonnes,Slaughterings,Bovine meat,Lithuania,39.95,36.77,39.26,44.13,42.29,40.88,40.28,42.46,41.73,43.7,42.3,43.12
Annual,Thousand tonnes,Slaughterings,Bovine meat,Luxembourg,8.47,7.95,8.48,9.08,9.42,9.54,9.87,10.17,10.25,10.5,9.73,9.52
Annual,Thousand tonnes,Slaughterings,Bovine meat,Latvia,16.37 p,15.67,17.0,17.36,17.7,16.75,15.87,14.78,14.52,15.54,14.53,16.44
Annual,Thousand tonnes,Slaughterings,Bovine meat,Montenegro,:,:,3.87,4.12,3.84,4.89,5.12,5.44,6.01,:,6.97 p,7.15 p
Annual,Thousand tonnes,Slaughterings,Bovine meat,North Macedonia,:,:,0.8,1.58,:,1.21,0.64,0.6,0.54,0.55,0.35,0.35
Annual,Thousand tonnes,Slaughterings,Bovine meat,Malta,1.11,1.13,1.13,1.03,1.15,1.12,1.07,1.03,1.14,1.05,1.04,1.1
Annual,Thousand tonnes,Slaughterings,Bovine meat,Netherlands,373.44,379.1,376.18,382.52,416.06,438.87,459.21 p,424.30 p,432.84,429.64,421.51,437.39 p
Annual,Thousand tonnes,Slaughterings,Bovine meat,Poland,371.0,339.02,412.66,471.01,501.46,558.58,564.72,560.45,559.38,555.12,540.59,514.7
Annual,Thousand tonnes,Slaughterings,Bovine meat,Portugal,92.99,84.09,79.84,88.62,91.1,91.09,93.79,92.03,97.78,103.0,103.76,98.42
Annual,Thousand tonnes,Slaughterings,Bovine meat,Romania,28.82,29.28,29.2,44.47,57.53,59.14,49.92 p,43.54 p,32.19 p,36.20 p,35.61 p,31.48 p
Annual,Thousand tonnes,Slaughterings,Bovine meat,Serbia,34.98,35.49,36.85,40.02,41.98,45.05,44.52,46.57,47.36,48.34,43.88,42.95
Annual,Thousand tonnes,Slaughterings,Bovine meat,Sweden,135.25,135.73,141.95,143.98,131.25,132.07,136.87,139.67,141.0,135.82,135.24,138.17
Annual,Thousand tonnes,Slaughterings,Bovine meat,Slovenia,33.09,32.1,31.57,33.58 p,35.66,35.79,34.87,35.74,36.5,37.54,36.08,33.27
Annual,Thousand tonnes,Slaughterings,Bovine meat,Slovakia,9.76,9.53,8.83,8.4,8.29,7.79,8.11,8.27,7.93,9.02,7.78,7.22
Annual,Thousand tonnes,Slaughterings,Bovine meat,Türkiye,439.09,486.62,501.03,418.51,440.11,435.49,570.68,632.33,458.32,452.12,444.84,406.89
Annual,Thousand tonnes,Slaughterings,Bovine meat,United Kingdom,882.56,847.66,877.58,883.21,911.66 p,904.73,922.7,914.39,:,:,:,:
Annual,Thousand tonnes,Slaughterings,Bovine meat,Kosovo*,:,:,9.69,11.26,13.73,12.73,16.35,16.12,:,:,9.18,8.77
