Time frequency,Unit of measure,Statistical information,Age class,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,European Union - 27 countries (from 2020),50.4,43.6,39.4,41.3,42.8,44.8,41.6,44.9,47.7,48.8,51.0,51.1,51.9,50.2,52.9,53.8,53.2,48.0,50.8,49.3,45.7
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Finland,17.9,13.0,16.9,19.1,22.7,18.9,15.4,17.3,17.6,14.8,13.7,7.2,13.8,12.0,10.2,10.5,14.8,13.9,20.2,25.2,21.5
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,France,: u,: u,23.6,21.0,22.5,21.7,22.7,23.9,20.3,22.2,24.7,31.0,27.4,25.4,30.2,29.3,29.6,29.3,30.0,30.6,32.6
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Croatia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Hungary,: u,25.2,32.9,32.7,35.7,36.5,24.9,23.9,24.8,25.6,22.4,23.5,30.3,36.7,35.2,37.2,42.7,36.2,46.0,40.6,41.7
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Ireland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Italy,: u,46.4,44.4,44.2,47.5,44.0,36.7,33.9,34.7,32.4,29.6,30.3,31.8,34.4,35.6,36.9,38.1,31.1,28.5,34.2,42.8
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Lithuania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Latvia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Netherlands,26.1,16.2,14.6,14.8,19.3,18.8,12.9,17.7,11.9,13.9,13.3,22.0,17.5,17.9,8.9,15.5,19.0,16.0,21.2,20.2,16.9
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Poland,: u,15.2,12.9,14.4,12.9,15.5,19.2,16.3,14.8,18.8,20.5,20.3,23.0,27.0,27.1,28.5,29.3,28.8 u,21.4,18.8 u,35.6 u
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Portugal,: u,20.7,12.4,17.5,16.8,19.8,19.5,18.1,17.8,17.2,21.2,25.7,21.7,20.3,20.7,21.2,24.0,20.0,28.8,25.2,14.5
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Romania,16.4,18.8,19.3,25.6,24.9,23.1,24.1,29.2,32.9,28.2,27.0,30.3,35.4,33.4,32.4,34.6,32.8,35.3,23.5,31.9,30.4
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Sweden,11.5,15.7,3.8,12.9,13.0,11.6,10.7,13.5,9.2,13.0,9.4,10.8,10.8,13.4,13.7,11.2,17.8,11.7,9.6,18.0,15.8
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Slovenia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 24 years,United Kingdom,: u,: u,19.7,18.7,17.9,21.0,19.8,21.9,20.7,21.3,23.0,23.3,23.5,20.6,20.3,18.9,23.3,:,:,:,:
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Austria,: u,30.4,25.9,26.7,24.6,18.1,21.9,19.4,22.1,25.1,23.3,22.9,27.5,29.5,23.6,27.7,24.0,22.9,17.4,24.6,24.8
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Belgium,: u,47.3,36.7,46.8,41.2,45.9,42.9,40.8,38.2,34.7,33.3,32.6,32.9,35.5,34.6,34.0,34.9,33.2,38.4,41.6,34.0
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Bulgaria,21.3,25.5,26.3,25.7,29.6,35.3,30.8,32.8,33.4,33.8,29.9,32.4,35.1,31.3,34.2,41.8,46.0,42.8,38.7,28.4,40.6
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Czechia,23.0,23.7,25.3,30.7,31.6,34.0,28.3,25.6,25.5,29.3,24.1,22.0,26.4,24.2,26.8,25.3,28.6,25.8,23.9,26.2,34.4
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Germany,18.4,19.0,15.3,18.9,20.7,22.8,20.4,21.6,22.2,23.2,24.4,25.4,23.5,20.9,20.4,19.7,21.5,: u,19.9,22.5,21.6
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Denmark,: m,: m,: m,: m,7.7,8.5,13.5,15.9,10.5,11.2,14.9,14.5,14.4,17.0,15.0,14.2,13.7,10.1,18.1,17.2,14.3
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Estonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Greece,18.2,17.9,13.9,21.6,20.3,20.9,20.0,15.5,14.7,14.0,13.5,12.2,14.8,19.1,17.7,16.9,19.0,25.3,36.1,29.3,22.1
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Spain,26.5,24.4,20.9,20.8,21.0,21.8,17.1,18.9,17.3,18.7,19.5,17.5,18.8,18.1,20.7,23.3,22.8,20.9,21.0,21.1,18.5
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,European Union - 27 countries (from 2020),42.4,40.4,37.4,38.3,38.9,40.2,37.9,40.3,43.8,45.0,47.7,47.8,48.2,47.7,49.3,51.0,50.9,46.9,48.2,46.8,43.7
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Finland,18.9,13.7,17.5,20.2,20.8,19.8,15.6,13.7,14.7,15.9,16.5,13.1,15.5,15.7,14.3,12.0,18.0,16.6,19.5,21.4,14.0
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,France,22.4,19.0,22.6,20.8,19.0,17.1,19.7,19.7,17.5,18.9,21.1,28.5,26.7,25.9,30.0,28.8,27.9,27.3,27.2,31.9,30.5
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Croatia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Hungary,: u,23.6,28.6,27.0,29.6,31.1,24.6,21.1,20.4,23.6,22.1,22.1,25.9,28.2,28.0,30.5,35.0,29.0,44.6,42.2,42.7
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Ireland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Italy,: u,47.5,45.7,46.1,48.0,45.7,39.4,35.7,37.1,35.3,31.7,32.0,32.5,35.1,36.4,38.7,40.9,34.3,33.2,38.1,42.9
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Lithuania,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Latvia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Netherlands,18.7,11.5,11.9,13.1,17.0,17.5,12.9,15.5,14.3,11.4,11.9,17.6,14.0,16.2,12.4,15.0,14.4,12.5,16.4,16.1,11.4
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Poland,: u,11.3,10.5,13.8,11.7,13.4,14.1,13.4,13.7,14.9,19.3,19.8,23.1,25.9,26.3,25.8,25.6,23.2,16.6,19.1,26.4
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Portugal,: u,15.7,10.6,9.3,12.1,12.4,15.6,14.6,14.7,14.1,17.7,20.1,19.4,16.5,19.0,18.7,19.2,20.0,23.0,19.0,14.9
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Romania,14.1,16.9,18.6,22.1,23.0,22.9,21.8,24.8,29.6,28.1,26.0,27.2,29.2,26.9,26.5,30.9,30.6,33.5,24.9,31.0,31.0
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Sweden,4.9,9.7,5.1,12.6,13.0,13.4,12.5,14.1,10.6,14.4,12.2,12.3,8.2,12.4,13.6,11.6,18.6,12.7,14.9,15.2,15.1
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Slovenia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Percentage,Dispersion at NUTS level 2,From 15 to 29 years,United Kingdom,: u,24.0,18.5,16.5,16.5,20.1,19.3,18.7,17.8,18.1,20.1,20.7,21.4,18.9,20.8,18.1,22.3,:,:,:,:
