Time frequency,Type of perpetrator,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Other known (non-family or relative) - male or female,Percentage,Serbia,: u
Annual,Other known (non-family or relative) - male or female,Percentage,Sweden,8.7
Annual,Other known (non-family or relative) - male or female,Percentage,Slovenia,3.0 u
Annual,Other known (non-family or relative) - male or female,Percentage,Slovakia,4.3
Annual,Other known (non-family or relative) - male or female,Percentage,Kosovo*,: u
Annual,Perpetrators - male or female,Percentage,Austria,7.1
Annual,Perpetrators - male or female,Percentage,Belgium,8.4
Annual,Perpetrators - male or female,Percentage,Bulgaria,2.2
Annual,Perpetrators - male or female,Percentage,Cyprus,3.9 u
Annual,Perpetrators - male or female,Percentage,Czechia,1.2 u
Annual,Perpetrators - male or female,Percentage,Germany,5.1
Annual,Perpetrators - male or female,Percentage,Denmark,12.4
Annual,Perpetrators - male or female,Percentage,Estonia,5.5
Annual,Perpetrators - male or female,Percentage,Greece,8.1
Annual,Perpetrators - male or female,Percentage,Spain,6.8
Annual,Perpetrators - male or female,Percentage,European Union (aggregate changing according to the context),6.6 e
Annual,Perpetrators - male or female,Percentage,Finland,13.7
Annual,Perpetrators - male or female,Percentage,France,11.3
Annual,Perpetrators - male or female,Percentage,Croatia,4.5
Annual,Perpetrators - male or female,Percentage,Hungary,2.5 u
Annual,Perpetrators - male or female,Percentage,Ireland,8.5
Annual,Perpetrators - male or female,Percentage,Lithuania,1.6 u
Annual,Perpetrators - male or female,Percentage,Luxembourg,14.8
Annual,Perpetrators - male or female,Percentage,Latvia,2.2
Annual,Perpetrators - male or female,Percentage,Montenegro,: u
Annual,Perpetrators - male or female,Percentage,Malta,4.5
Annual,Perpetrators - male or female,Percentage,Netherlands,12.3
Annual,Perpetrators - male or female,Percentage,Poland,1.8
Annual,Perpetrators - male or female,Percentage,Portugal,3.5
Annual,Perpetrators - male or female,Percentage,Romania,1.9 u
Annual,Perpetrators - male or female,Percentage,Serbia,0.7 u
Annual,Perpetrators - male or female,Percentage,Sweden,15.3
Annual,Perpetrators - male or female,Percentage,Slovenia,6.6
Annual,Perpetrators - male or female,Percentage,Slovakia,8.4
Annual,Perpetrators - male or female,Percentage,Kosovo*,: u
Annual,Perpetrators - male,Percentage,Austria,6.7
Annual,Perpetrators - male,Percentage,Belgium,8.0
Annual,Perpetrators - male,Percentage,Bulgaria,1.8
Annual,Perpetrators - male,Percentage,Cyprus,3.7 u
Annual,Perpetrators - male,Percentage,Czechia,1.0 u
Annual,Perpetrators - male,Percentage,Germany,5.1
Annual,Perpetrators - male,Percentage,Denmark,10.8
Annual,Perpetrators - male,Percentage,Estonia,5.4
Annual,Perpetrators - male,Percentage,Greece,7.8
Annual,Perpetrators - male,Percentage,Spain,6.5
Annual,Perpetrators - male,Percentage,European Union (aggregate changing according to the context),6.2 e
Annual,Perpetrators - male,Percentage,Finland,12.9
Annual,Perpetrators - male,Percentage,France,10.0
Annual,Perpetrators - male,Percentage,Croatia,4.1
Annual,Perpetrators - male,Percentage,Hungary,2.4 u
Annual,Perpetrators - male,Percentage,Ireland,8.3
Annual,Perpetrators - male,Percentage,Lithuania,1.3 u
Annual,Perpetrators - male,Percentage,Luxembourg,13.3
Annual,Perpetrators - male,Percentage,Latvia,2.1
Annual,Perpetrators - male,Percentage,Montenegro,: u
Annual,Perpetrators - male,Percentage,Malta,4.2
Annual,Perpetrators - male,Percentage,Netherlands,11.1
Annual,Perpetrators - male,Percentage,Poland,1.6
Annual,Perpetrators - male,Percentage,Portugal,3.3
Annual,Perpetrators - male,Percentage,Romania,1.7 u
Annual,Perpetrators - male,Percentage,Serbia,: u
Annual,Perpetrators - male,Percentage,Sweden,14.5
Annual,Perpetrators - male,Percentage,Slovenia,5.4
Annual,Perpetrators - male,Percentage,Slovakia,7.1
Annual,Perpetrators - male,Percentage,Kosovo*,: u
Annual,Stranger - male or female,Percentage,Austria,1.0
Annual,Stranger - male or female,Percentage,Belgium,1.4
Annual,Stranger - male or female,Percentage,Bulgaria,: u
Annual,Stranger - male or female,Percentage,Cyprus,: u
Annual,Stranger - male or female,Percentage,Czechia,: u
Annual,Stranger - male or female,Percentage,Germany,: u
Annual,Stranger - male or female,Percentage,Denmark,2.1
Annual,Stranger - male or female,Percentage,Estonia,1.8
Annual,Stranger - male or female,Percentage,Greece,1.5
Annual,Stranger - male or female,Percentage,Spain,1.2
Annual,Stranger - male or female,Percentage,European Union (aggregate changing according to the context),0.9 e
Annual,Stranger - male or female,Percentage,Finland,2.8
Annual,Stranger - male or female,Percentage,France,1.6
Annual,Stranger - male or female,Percentage,Croatia,0.7 u
Annual,Stranger - male or female,Percentage,Hungary,: u
Annual,Stranger - male or female,Percentage,Ireland,: u
Annual,Stranger - male or female,Percentage,Lithuania,: u
Annual,Stranger - male or female,Percentage,Luxembourg,2.2 u
Annual,Stranger - male or female,Percentage,Latvia,0.9 u
Annual,Stranger - male or female,Percentage,Montenegro,: u
Annual,Stranger - male or female,Percentage,Malta,0.9 u
Annual,Stranger - male or female,Percentage,Netherlands,2.5
Annual,Stranger - male or female,Percentage,Poland,: u
Annual,Stranger - male or female,Percentage,Portugal,0.4 u
Annual,Stranger - male or female,Percentage,Romania,: u
Annual,Stranger - male or female,Percentage,Serbia,: u
Annual,Stranger - male or female,Percentage,Sweden,2.9
Annual,Stranger - male or female,Percentage,Slovenia,: u
Annual,Stranger - male or female,Percentage,Slovakia,1.2
Annual,Stranger - male or female,Percentage,Kosovo*,: u
