Time frequency,product,currency,unit,indic_en,geo\TIME_PERIOD,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,6000.0,EUR,KWH,MSHH,ES,0.2228,0.2165,0.2309,0.2185,0.2296,0.2383,0.2403,0.2239,0.2323,0.3071,0.2454,0.2436
Annual,6000.0,EUR,KWH,MSHH,EU27_2020,0.2042,0.2058,0.2083,0.2051,0.2086,0.21,0.2168,0.2131,0.2203,0.2525,0.2937,0.2889
Annual,6000.0,EUR,KWH,MSHH,FI,0.1578,0.1563,0.1552,0.1541,0.1581,0.1612,0.1734,0.174,0.1767,0.1934,0.2557,0.2465
Annual,6000.0,EUR,KWH,MSHH,FR,0.1524,0.1585,0.1676,0.1685,0.1704,0.1748,0.1778,0.1893,0.1946,0.2092,0.23,0.2776
Annual,6000.0,EUR,KWH,MSHH,GE,:,:,:,:,:,0.0685,0.0809,0.0663,0.0631,:,0.0847,0.071
Annual,6000.0,EUR,KWH,MSHH,HR,0.1372,0.1312,0.1317,0.1311,0.1196,0.1311,0.1321,0.1301,0.1291,0.1354,0.148,0.1472
Annual,6000.0,EUR,KWH,MSHH,HU,0.1397,0.1202,0.1127,0.1114,0.1125,0.1123,0.112,0.1031,0.101,0.0948,0.1157,0.1094
Annual,6000.0,EUR,KWH,MSHH,IE,0.2295,0.2407,0.2426,0.232,0.2305,0.2369,0.2423,0.2409,0.2555,0.2324,0.2735,0.3736
Annual,6000.0,EUR,KWH,MSHH,IS,0.1053,0.1133,0.1197,0.1312,0.1598,0.1545,0.1429,0.1341,0.1355,0.153,0.1531,0.1702
Annual,6000.0,EUR,KWH,MSHH,IT,0.2292,0.2446,0.245,0.2342,0.2132,0.2067,0.2301,0.2226,0.2259,0.3115,0.3782,0.3274
Annual,6000.0,EUR,KWH,MSHH,LI,:,0.1531,0.1841,0.1728,0.1724,0.1916,0.1985,0.2115,0.2071,0.2201,0.4351,0.3207
Annual,6000.0,EUR,KWH,MSHH,LT,0.137,0.133,0.1256,0.1231,0.1116,0.1097,0.1255,0.1426,0.1348,0.1497,0.282,0.2315
Annual,6000.0,EUR,KWH,MSHH,LU,0.1665,0.1738,0.1767,0.1698,0.1615,0.1671,0.1798,0.1986,0.1988,0.2017,0.2008,0.2029
Annual,6000.0,EUR,KWH,MSHH,LV,0.1378,0.1365,0.1635,0.1628,0.1586,0.1531,0.1629,0.142,0.1403,0.1759,0.3054,0.2546
Annual,6000.0,EUR,KWH,MSHH,MD,:,:,0.0819,0.0962,0.0977,0.102,0.0936,0.1068,0.0851,0.1172,0.1797,0.1359
Annual,6000.0,EUR,KWH,MSHH,ME,0.0956,0.0985,0.0982,0.0956,0.0983,0.1024,0.1032,0.0988,0.098,0.0961,0.0968,0.0971
Annual,6000.0,EUR,KWH,MSHH,MK,0.081,0.0785,0.0826,0.0822,0.082,0.0781,0.0783,0.0782,0.0841,0.094,0.1053,0.1038
Annual,6000.0,EUR,KWH,MSHH,MT,0.1664,0.1474,0.1257,0.1257,0.1328,0.1285,0.129,0.1284,0.1285,0.1298,0.1261,0.1256 p
Annual,6000.0,EUR,KWH,MSHH,NL,0.1898,0.1841,0.1986,0.162,0.1562,0.1706,0.2067,0.1427,0.1281,0.0451,0.3795,0.2695
Annual,6000.0,EUR,KWH,MSHH,NO,0.1909,0.1653,0.1614,0.1515,0.1642,0.1751,0.1867,0.1355,0.1826,0.1994,0.1919,0.1993
Annual,6000.0,EUR,KWH,MSHH,PL,0.148,0.1421,0.1444,0.1332,0.1446,0.141,0.1343,0.1475,0.1548,0.1464,0.1769,0.2112
Annual,6000.0,EUR,KWH,MSHH,PT,0.2081,0.2175,0.2279,0.235,0.2284,0.2246,0.215,0.212,0.2089,0.2199,0.2071,0.2426
Annual,6000.0,EUR,KWH,MSHH,RO,0.1323,0.129,0.1303,0.126,0.1198,0.1333,0.1358,0.1459,0.1536,0.2362 d,0.1892,0.1883
Annual,6000.0,EUR,KWH,MSHH,RS,0.0564,0.0607,0.0575,0.0641,0.0664,0.0705,0.0706,0.0738,0.0791,0.0808,0.0964,0.1082
Annual,6000.0,EUR,KWH,MSHH,SE,0.2101,0.1967,0.1872 e,0.1915 e,0.1955 e,0.1910 e,0.2033 e,0.1914,0.2114,0.2278,0.2662,0.2434
Annual,6000.0,EUR,KWH,MSHH,SI,0.161,0.163,0.1589,0.1618,0.1609,0.1613,0.1634,0.1448,0.1662,0.139,0.1917,0.2084
Annual,6000.0,EUR,KWH,MSHH,SK,0.1698,0.1507,0.1506,0.1423,0.1435,0.1566,0.1577,0.1686,0.1668,0.1796,0.1892,0.1806
Annual,6000.0,EUR,KWH,MSHH,TR,0.1495,0.1192,0.136,0.1267,0.1048,0.0904,0.0847,0.0995,0.0834,0.0866,0.0842,0.0488
Annual,6000.0,EUR,KWH,MSHH,UA,:,:,:,0.0249 p,0.0393,0.041,0.0442,0.0466,0.0485,:,:,:
Annual,6000.0,EUR,KWH,MSHH,UK,0.1741,0.1918,0.2125,0.1951,0.1766,0.1887,0.2122,0.2203,:,:,:,:
Annual,6000.0,EUR,KWH,MSHH,XK,0.0564,0.0552,0.0625,0.059,0.0662,0.0633,0.06,0.0605,0.0605,0.0611 e,0.0671,0.0736
Annual,6000.0,EUR,KWH,MSIND,AL,:,:,:,:,:,:,0.1040 e,0.1037 e,0.1039 e,0.1057,0.1135 e,0.1252
Annual,6000.0,EUR,KWH,MSIND,AT,0.0872,0.0827,0.0731,0.0703,0.0621,0.0704,0.0805,0.0877,0.0884,0.1437,0.2554,0.1955
Annual,6000.0,EUR,KWH,MSIND,BA,0.0653,0.0652,0.0625,0.0612,0.0581,0.0643,0.0647,0.0708,0.0719,0.0714,0.0905,0.0951
Annual,6000.0,EUR,KWH,MSIND,BE,0.0914,0.0916,0.0898,0.085,0.0816,0.0765,0.0807,0.0795,0.081,0.1519,0.195,0.1392
Annual,6000.0,EUR,KWH,MSIND,BG,0.0803,0.0736,0.0682,0.0992,0.0753,0.08,0.0877,0.0805,0.0842,0.2372,0.1601,0.1119
Annual,6000.0,EUR,KWH,MSIND,CY,0.2002,0.1672,0.1316,0.0954,0.1275,0.1241,0.1291,0.1178,0.1091,0.1722,0.1921,0.1824
Annual,6000.0,EUR,KWH,MSIND,CZ,0.1012,0.0819,0.0761,0.072,0.0677,0.0722,0.0646,0.0716,0.0739,0.1444,0.1962,0.1654
Annual,6000.0,EUR,KWH,MSIND,DE,0.086,0.0844,0.0809,0.0788,0.0761,0.0771,0.0855,0.0849,0.0908,0.1512,0.1904,0.1976
Annual,6000.0,EUR,KWH,MSIND,DK,0.0661,0.0654,0.0591,0.0588,0.0616,0.0593,0.0635,0.054,0.0725,0.1595,0.1325,0.0968
Annual,6000.0,EUR,KWH,MSIND,EE,0.0842,0.0794,0.0755,0.0737,0.0721,0.0731,0.0768,0.0675,0.0834,0.1502,0.1433,0.1313
Annual,6000.0,EUR,KWH,MSIND,EL,0.104,0.109,0.1037,0.0929,0.0862,0.079,0.081,0.0823,0.089,0.283,0.1627,0.1279
Annual,6000.0,EUR,KWH,MSIND,ES,0.1165,0.1185,0.1116,0.1051,0.101,0.1008,0.0925 d,0.0786,0.0931,0.1769,0.1522,0.1217
Annual,6000.0,EUR,KWH,MSIND,EU27_2020,0.092,0.0886,0.0842,0.0793,0.0767,0.0779,0.0842,0.0817,0.0859,0.1604,0.1936,0.1558
Annual,6000.0,EUR,KWH,MSIND,FI,0.0679,0.0664,0.0637,0.0614,0.0596,0.0611,0.0639,0.0625,0.0669,0.0802,0.0951,0.0921
Annual,6000.0,EUR,KWH,MSIND,FR,0.0781,0.0765,0.0776,0.0714,0.0733,0.0736,0.0812,0.0847,0.085,0.1203,0.2506,0.1555
Annual,6000.0,EUR,KWH,MSIND,GE,:,:,:,:,:,0.0489,0.0595,0.0505,0.0713,:,0.0928,0.0814
Annual,6000.0,EUR,KWH,MSIND,HR,0.0942,0.0903,0.0869,0.0851,0.0821,0.0848,0.0887,0.0898,0.0881,0.141,0.278,0.2169
Annual,6000.0,EUR,KWH,MSIND,HU,0.0904,0.0836,0.0778,0.0729,0.0638 e,0.0738,0.0861,0.0849,0.0819,0.1739,0.2996,0.2055
Annual,6000.0,EUR,KWH,MSIND,IE,0.1331,0.1303,0.1294,0.1198,0.1095,0.1171,0.1294,0.1265,0.1378,0.2104,0.294,0.2543
Annual,6000.0,EUR,KWH,MSIND,IS,:,:,:,0.0714,0.0768 p,0.0756 e,0.0558,0.0713 e,0.0449 e,0.0732 e,0.0757 e,0.0835 e
Annual,6000.0,EUR,KWH,MSIND,IT,0.1122,0.108,0.0943,0.0841,0.0829,0.0892,0.0952,0.0856,0.0939,0.2354,0.2031,0.1515
Annual,6000.0,EUR,KWH,MSIND,LI,:,0.1359,0.1426,0.1255,0.1156,0.0739,0.0824,0.088,0.0863,0.126,0.3102,0.1889
Annual,6000.0,EUR,KWH,MSIND,LT,0.0956,0.0958,0.0818,0.0777,0.0696,0.0701,0.0833,0.0871,0.0932,0.1758,0.1741,0.1684
Annual,6000.0,EUR,KWH,MSIND,LU,0.094,0.0949,0.0842,0.0784,0.0696,0.0746,0.0816,0.0824,0.0836,0.123,0.2477,0.2041
Annual,6000.0,EUR,KWH,MSIND,LV,0.095,0.0903,0.091,0.0897,0.0911,0.0811,0.0837,0.0813,0.0849,0.1467,0.1685,0.1451
Annual,6000.0,EUR,KWH,MSIND,MD,:,:,0.0707,0.0827,0.0828,0.088,0.0771,0.0795,0.0633,0.0761,0.1465,0.0989
Annual,6000.0,EUR,KWH,MSIND,ME,0.0747,0.0761,0.0766,0.0794,0.0724,0.0765,0.0776,0.0766,0.0773,0.0762,0.0768,0.08
Annual,6000.0,EUR,KWH,MSIND,MK,0.0391,0.0419,0.0836,0.0819,0.0524,0.0624,0.0687,0.0778,0.0752,0.1685,0.169,0.1006
Annual,6000.0,EUR,KWH,MSIND,MT,0.179,0.177,0.1599,0.1422,0.1336,0.1331,0.133,0.1328,0.133,0.1332,0.1396,0.1393 p
Annual,6000.0,EUR,KWH,MSIND,NL,0.0795,0.0769,0.0722,0.0652,0.0607,0.0611,0.0679,0.068,0.0721,0.1339,0.1925,0.1545
Annual,6000.0,EUR,KWH,MSIND,NO,0.0812,0.0649,0.0612,0.0574,0.0605,0.0677,0.0729,0.0417,0.0715,0.1369,0.1055,0.0791
Annual,6000.0,EUR,KWH,MSIND,PL,0.0883,0.0777,0.0833,0.0762,0.0673,0.0648,0.0795,0.08,0.0731,0.0988,0.1404,0.1275
Annual,6000.0,EUR,KWH,MSIND,PT,0.1015,0.1029,0.0989,0.0943,0.0835,0.0781,0.0869,0.0794,0.0755,0.1351,0.1505,0.1068
Annual,6000.0,EUR,KWH,MSIND,RO,0.0904,0.0753,0.0707,0.0635,0.0642,0.071,0.0821,0.089,0.0824,0.2149 d,0.1632,0.1415
Annual,6000.0,EUR,KWH,MSIND,RS,0.0568,0.0507,0.0591,0.0616,0.0587,0.0647,0.0767,0.0748,0.0702,0.0893,0.1218,0.1356
Annual,6000.0,EUR,KWH,MSIND,SE,0.0799,0.0702,0.0617,0.0611,0.0643,0.0643,0.0733,0.0586,0.0705,0.1115,0.1064,0.0937
Annual,6000.0,EUR,KWH,MSIND,SI,0.0838,0.0754,0.0714,0.0678,0.0619,0.0689,0.0791,0.0811,0.0757,0.1435,0.2057,0.1574
Annual,6000.0,EUR,KWH,MSIND,SK,0.1242,0.1107,0.1081,0.1047,0.0741,0.079,0.0921,0.0977,0.0929,0.1892,0.2285,0.1615
Annual,6000.0,EUR,KWH,MSIND,TR,0.0891,0.072,0.079,0.0722,0.0615,0.0571,0.0683,0.0774,0.0648,0.1171,0.1392,0.0898
Annual,6000.0,EUR,KWH,MSIND,UA,:,:,:,:,:,0.0595,0.0656,0.0595,0.0595,:,:,:
Annual,6000.0,EUR,KWH,MSIND,UK,0.1124,0.1246,0.1184,0.1042,0.0938,0.097,0.0998,0.1065,:,:,:,:
Annual,6000.0,EUR,KWH,MSIND,XK,0.0617,0.0637,0.0705,0.0687,0.0731,0.0729,0.0642,0.0638,0.0635,0.0659 e,0.0713,0.0741
