Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Croatia,7.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Hungary,22.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Ireland,16.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Italy,10.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Lithuania,17.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Luxembourg,12.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Latvia,14.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Malta,4.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Netherlands,8.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Poland,8.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Portugal,15.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Romania,42.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Sweden,1.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Slovenia,6.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Percentage,Slovakia,14.3
Annual,Tertiary education (levels 5-8),Percentage,Austria,1.9
Annual,Tertiary education (levels 5-8),Percentage,Belgium,4.9
Annual,Tertiary education (levels 5-8),Percentage,Bulgaria,11.8
Annual,Tertiary education (levels 5-8),Percentage,Switzerland,1.7
Annual,Tertiary education (levels 5-8),Percentage,Cyprus,10.0
Annual,Tertiary education (levels 5-8),Percentage,Czechia,0.6
Annual,Tertiary education (levels 5-8),Percentage,Germany,1.9
Annual,Tertiary education (levels 5-8),Percentage,Denmark,2.1
Annual,Tertiary education (levels 5-8),Percentage,Estonia,1.6
Annual,Tertiary education (levels 5-8),Percentage,Greece,16.1
Annual,Tertiary education (levels 5-8),Percentage,Spain,8.2
Annual,Tertiary education (levels 5-8),Percentage,European Union - 27 countries (from 2020),3.8
Annual,Tertiary education (levels 5-8),Percentage,Finland,1.6
Annual,Tertiary education (levels 5-8),Percentage,France,4.4
Annual,Tertiary education (levels 5-8),Percentage,Croatia,1.5
Annual,Tertiary education (levels 5-8),Percentage,Hungary,3.7
Annual,Tertiary education (levels 5-8),Percentage,Ireland,6.2
Annual,Tertiary education (levels 5-8),Percentage,Italy,2.9
Annual,Tertiary education (levels 5-8),Percentage,Lithuania,2.9
Annual,Tertiary education (levels 5-8),Percentage,Luxembourg,3.3
Annual,Tertiary education (levels 5-8),Percentage,Latvia,3.2
Annual,Tertiary education (levels 5-8),Percentage,Malta,2.9
Annual,Tertiary education (levels 5-8),Percentage,Netherlands,2.0
Annual,Tertiary education (levels 5-8),Percentage,Poland,0.9
Annual,Tertiary education (levels 5-8),Percentage,Portugal,2.3
Annual,Tertiary education (levels 5-8),Percentage,Romania,6.3
Annual,Tertiary education (levels 5-8),Percentage,Sweden,0.8
Annual,Tertiary education (levels 5-8),Percentage,Slovenia,0.3
Annual,Tertiary education (levels 5-8),Percentage,Slovakia,2.0
Annual,All ISCED 2011 levels,Percentage,Austria,7.4
Annual,All ISCED 2011 levels,Percentage,Belgium,12.9
Annual,All ISCED 2011 levels,Percentage,Bulgaria,36.4
Annual,All ISCED 2011 levels,Percentage,Switzerland,6.3
Annual,All ISCED 2011 levels,Percentage,Cyprus,23.5
Annual,All ISCED 2011 levels,Percentage,Czechia,6.9
Annual,All ISCED 2011 levels,Percentage,Germany,6.0
Annual,All ISCED 2011 levels,Percentage,Denmark,4.7
Annual,All ISCED 2011 levels,Percentage,Estonia,3.8
Annual,All ISCED 2011 levels,Percentage,Greece,34.0
Annual,All ISCED 2011 levels,Percentage,Spain,19.6
Annual,All ISCED 2011 levels,Percentage,European Union - 27 countries (from 2020),12.9
Annual,All ISCED 2011 levels,Percentage,Finland,3.5
Annual,All ISCED 2011 levels,Percentage,France,12.7
Annual,All ISCED 2011 levels,Percentage,Croatia,5.7
Annual,All ISCED 2011 levels,Percentage,Hungary,24.3
Annual,All ISCED 2011 levels,Percentage,Ireland,12.9
Annual,All ISCED 2011 levels,Percentage,Italy,13.5
Annual,All ISCED 2011 levels,Percentage,Lithuania,9.7
Annual,All ISCED 2011 levels,Percentage,Luxembourg,8.3
Annual,All ISCED 2011 levels,Percentage,Latvia,8.9
Annual,All ISCED 2011 levels,Percentage,Malta,10.1
Annual,All ISCED 2011 levels,Percentage,Netherlands,5.0
Annual,All ISCED 2011 levels,Percentage,Poland,4.3
Annual,All ISCED 2011 levels,Percentage,Portugal,13.7
Annual,All ISCED 2011 levels,Percentage,Romania,42.4
Annual,All ISCED 2011 levels,Percentage,Sweden,3.4
Annual,All ISCED 2011 levels,Percentage,Slovenia,2.9
Annual,All ISCED 2011 levels,Percentage,Slovakia,12.9
