Time frequency,Education indicator,Geopolitical entity (reporting)\Time,2000.0
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 3-4/Young people with parents with ISCED 1-2,Sweden,1.1
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 3-4/Young people with parents with ISCED 1-2,Slovenia,1.0
Annual,Odds ratios of graduating from tertiary education/Young people with parent with ISCED 3-4/Young people with parents with ISCED 1-2,Slovakia,1.3
Annual,Average time to enter first significant job by parent's education ISCED1-2,Austria,5.7
Annual,Average time to enter first significant job by parent's education ISCED1-2,Belgium,16.7
Annual,Average time to enter first significant job by parent's education ISCED1-2,Greece,31.7
Annual,Average time to enter first significant job by parent's education ISCED1-2,Spain,31.4
Annual,Average time to enter first significant job by parent's education ISCED1-2,Finland,19.3
Annual,Average time to enter first significant job by parent's education ISCED1-2,France,18.1
Annual,Average time to enter first significant job by parent's education ISCED1-2,Hungary,17.3
Annual,Average time to enter first significant job by parent's education ISCED1-2,Italy,35.6
Annual,Average time to enter first significant job by parent's education ISCED1-2,Romania,17.2
Annual,Average time to enter first significant job by parent's education ISCED1-2,Sweden,5.3
Annual,Average time to enter first significant job by parent's education ISCED1-2,Slovenia,12.0
Annual,Average time to enter first significant job by parent's education ISCED1-2,Slovakia,6.6
Annual,Average time to enter first significant job by parent's education ISCED3-4,Austria,6.7
Annual,Average time to enter first significant job by parent's education ISCED3-4,Belgium,13.4
Annual,Average time to enter first significant job by parent's education ISCED3-4,Greece,27.1
Annual,Average time to enter first significant job by parent's education ISCED3-4,Spain,26.2
Annual,Average time to enter first significant job by parent's education ISCED3-4,Finland,15.0
Annual,Average time to enter first significant job by parent's education ISCED3-4,France,16.2
Annual,Average time to enter first significant job by parent's education ISCED3-4,Hungary,12.7
Annual,Average time to enter first significant job by parent's education ISCED3-4,Italy,32.8
Annual,Average time to enter first significant job by parent's education ISCED3-4,Romania,11.9
Annual,Average time to enter first significant job by parent's education ISCED3-4,Sweden,4.7
Annual,Average time to enter first significant job by parent's education ISCED3-4,Slovenia,14.7
Annual,Average time to enter first significant job by parent's education ISCED3-4,Slovakia,7.5
Annual,Average time to enter first significant job by parent's education ISCED5-6,Austria,9.4
Annual,Average time to enter first significant job by parent's education ISCED5-6,Belgium,11.7
Annual,Average time to enter first significant job by parent's education ISCED5-6,Greece,26.7
Annual,Average time to enter first significant job by parent's education ISCED5-6,Spain,22.7
Annual,Average time to enter first significant job by parent's education ISCED5-6,Finland,12.7
Annual,Average time to enter first significant job by parent's education ISCED5-6,France,13.1
Annual,Average time to enter first significant job by parent's education ISCED5-6,Hungary,11.7
Annual,Average time to enter first significant job by parent's education ISCED5-6,Italy,28.5
Annual,Average time to enter first significant job by parent's education ISCED5-6,Romania,9.6
Annual,Average time to enter first significant job by parent's education ISCED5-6,Sweden,4.0
Annual,Average time to enter first significant job by parent's education ISCED5-6,Slovenia,13.7
Annual,Average time to enter first significant job by parent's education ISCED5-6,Slovakia,6.6
Annual,Average occupational status of young people with parents with different educational attainment ISCED 1-2,Austria,39.8
Annual,Average occupational status of young people with parents with different educational attainment ISCED 1-2,Belgium,39.4
Annual,Average occupational status of young people with parents with different educational attainment ISCED 1-2,Greece,41.6
Annual,Average occupational status of young people with parents with different educational attainment ISCED 1-2,Spain,39.6
Annual,Average occupational status of young people with parents with different educational attainment ISCED 1-2,Finland,41.7
Annual,Average occupational status of young people with parents with different educational attainment ISCED 1-2,France,40.8
Annual,Average occupational status of young people with parents with different educational attainment ISCED 1-2,Hungary,34.6
Annual,Average occupational status of young people with parents with different educational attainment ISCED 1-2,Italy,40.3
Annual,Average occupational status of young people with parents with different educational attainment ISCED 1-2,Romania,34.8
Annual,Average occupational status of young people with parents with different educational attainment ISCED 1-2,Sweden,41.0
Annual,Average occupational status of young people with parents with different educational attainment ISCED 1-2,Slovenia,40.7
Annual,Average occupational status of young people with parents with different educational attainment ISCED 1-2,Slovakia,37.1
Annual,Average occupational status of young people with parents with different educational attainment ISCED 3-4,Austria,43.4
Annual,Average occupational status of young people with parents with different educational attainment ISCED 3-4,Belgium,45.8
Annual,Average occupational status of young people with parents with different educational attainment ISCED 3-4,Greece,46.8
Annual,Average occupational status of young people with parents with different educational attainment ISCED 3-4,Spain,46.4
Annual,Average occupational status of young people with parents with different educational attainment ISCED 3-4,Finland,41.4
Annual,Average occupational status of young people with parents with different educational attainment ISCED 3-4,France,42.9
Annual,Average occupational status of young people with parents with different educational attainment ISCED 3-4,Hungary,41.4
Annual,Average occupational status of young people with parents with different educational attainment ISCED 3-4,Italy,45.1
Annual,Average occupational status of young people with parents with different educational attainment ISCED 3-4,Romania,41.9
Annual,Average occupational status of young people with parents with different educational attainment ISCED 3-4,Sweden,42.4
Annual,Average occupational status of young people with parents with different educational attainment ISCED 3-4,Slovenia,43.9
Annual,Average occupational status of young people with parents with different educational attainment ISCED 3-4,Slovakia,40.0
Annual,Average occupational status of young people with parents with different educational attainment ISCED 5-6,Austria,48.8
Annual,Average occupational status of young people with parents with different educational attainment ISCED 5-6,Belgium,54.0
Annual,Average occupational status of young people with parents with different educational attainment ISCED 5-6,Greece,55.1
Annual,Average occupational status of young people with parents with different educational attainment ISCED 5-6,Spain,54.0
Annual,Average occupational status of young people with parents with different educational attainment ISCED 5-6,Finland,47.7
Annual,Average occupational status of young people with parents with different educational attainment ISCED 5-6,France,52.4
Annual,Average occupational status of young people with parents with different educational attainment ISCED 5-6,Hungary,53.8
Annual,Average occupational status of young people with parents with different educational attainment ISCED 5-6,Italy,55.3
Annual,Average occupational status of young people with parents with different educational attainment ISCED 5-6,Romania,59.7
Annual,Average occupational status of young people with parents with different educational attainment ISCED 5-6,Sweden,48.7
Annual,Average occupational status of young people with parents with different educational attainment ISCED 5-6,Slovenia,55.2
Annual,Average occupational status of young people with parents with different educational attainment ISCED 5-6,Slovakia,53.0
Annual,Total average occupational status of young people with parents with different educational attainment,Austria,44.3
Annual,Total average occupational status of young people with parents with different educational attainment,Belgium,43.4
Annual,Total average occupational status of young people with parents with different educational attainment,Greece,42.5
Annual,Total average occupational status of young people with parents with different educational attainment,Spain,44.2
Annual,Total average occupational status of young people with parents with different educational attainment,Finland,40.6
Annual,Total average occupational status of young people with parents with different educational attainment,France,40.8
Annual,Total average occupational status of young people with parents with different educational attainment,Hungary,45.3
Annual,Total average occupational status of young people with parents with different educational attainment,Italy,41.5
Annual,Total average occupational status of young people with parents with different educational attainment,Romania,43.3
Annual,Total average occupational status of young people with parents with different educational attainment,Sweden,44.5
Annual,Total average occupational status of young people with parents with different educational attainment,Slovenia,43.7
Annual,Total average occupational status of young people with parents with different educational attainment,Slovakia,41.8
