Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Total,Females,From 15 to 29 years,Malta,2.5,1.4,1.9,2.1,1.5,2.3,2.2,1.8,2.1,1.2
Annual,Percentage,Total,Females,From 15 to 29 years,Netherlands,1.2,3.0,2.1,2.0,3.0,3.4 b,2.2,2.4,2.7,3.7
Annual,Percentage,Total,Females,From 15 to 29 years,Norway,4.7,2.8,4.3,2.1,2.7,3.0,2.2,1.8,2.1,2.9
Annual,Percentage,Total,Females,From 15 to 29 years,Poland,13.3,12.8,12.8,11.7,11.7,11.7,12.7,8.9,9.0,:
Annual,Percentage,Total,Females,From 15 to 29 years,Portugal,4.9,5.0,9.2,8.7,8.2,9.0,7.2,8.6,6.7,5.9
Annual,Percentage,Total,Females,From 15 to 29 years,Romania,31.8,31.1,29.6,27.6,27.0,26.8,23.3,22.5,19.7,21.3
Annual,Percentage,Total,Females,From 15 to 29 years,Serbia,:,:,20.3,20.4,19.1,17.5,17.3,13.2,17.6,9.8
Annual,Percentage,Total,Females,From 15 to 29 years,Sweden,5.1,5.3,3.5,3.6,5.0,4.4,4.7,4.1,5.0,3.5
Annual,Percentage,Total,Females,From 15 to 29 years,Slovenia,12.6,12.0,10.2,10.1,8.9,7.7,6.9,6.3,6.3,5.6
Annual,Percentage,Total,Females,From 15 to 29 years,Slovakia,6.0,6.0,5.6,5.0,5.6,7.1,7.8,5.8,5.2,3.8
Annual,Percentage,Total,Females,From 15 to 29 years,Türkiye,:,:,31.4,30.5,30.3,31.0,29.4,28.9,28.5,27.2
Annual,Percentage,Total,Females,From 15 to 29 years,United Kingdom,4.6,4.2,2.9,5.1,3.6,3.2,1.4 b,3.3,:,:
Annual,Percentage,Total,Females,From 15 to 29 years,Kosovo*,:,:,:,:,:,:,:,23.5,:,:
Annual,Percentage,Total,Males,From 15 to 29 years,Albania,:,:,:,:,:,:,28.6,30.0,26.0,18.8
Annual,Percentage,Total,Males,From 15 to 29 years,Austria,6.3,4.2,4.6,5.3,6.7,6.3,6.9,4.9,5.2,4.6
Annual,Percentage,Total,Males,From 15 to 29 years,Belgium,1.4,0.7,1.8,1.2,0.9,3.0 b,3.6,2.8,2.7 b,3.5
Annual,Percentage,Total,Males,From 15 to 29 years,Bulgaria,18.3,16.5,18.7,19.4,19.4,18.6 b,17.7,17.5,16.3,15.9
Annual,Percentage,Total,Males,From 15 to 29 years,Switzerland,2.6,3.8,4.5,2.5,2.9,2.7,3.0,4.2,3.7,3.3
Annual,Percentage,Total,Males,From 15 to 29 years,Cyprus,3.0,2.3,2.7,2.9,0.7,3.1,2.3,1.7,2.4,3.0
Annual,Percentage,Total,Males,From 15 to 29 years,Czechia,6.4,5.6,5.1,3.7,4.6,3.7,3.3,4.0,3.3,2.7
Annual,Percentage,Total,Males,From 15 to 29 years,Germany,4.1,2.9,2.8,3.7,3.4,3.1,2.8,3.8,2.9,1.6 b
Annual,Percentage,Total,Males,From 15 to 29 years,Denmark,4.6,6.4,6.2,3.6,5.8,4.5,6.7,9.7,7.3,7.0
Annual,Percentage,Total,Males,From 15 to 29 years,Estonia,5.6,5.8,7.8,4.3,4.1,5.1,5.2,3.6,3.8,2.7
Annual,Percentage,Total,Males,From 15 to 29 years,Greece,11.4,13.0,11.7,9.2,11.1,9.6,9.5,9.5,10.2,9.5
Annual,Percentage,Total,Males,From 15 to 29 years,Spain,3.5,1.9,3.6,2.6,2.5,2.8,1.8,3.3,2.9,5.6
Annual,Percentage,Total,Males,From 15 to 29 years,European Union - 27 countries (from 2020),8.6 e,8.0 e,8.2 e,8.5 e,8.3 e,7.9 e,7.1 e,6.8 e,6.2 e,6.8 e
Annual,Percentage,Total,Males,From 15 to 29 years,Finland,0.9,1.2,1.5,1.4,1.4,1.4,1.8,2.0,1.2,1.6
Annual,Percentage,Total,Males,From 15 to 29 years,France,4.8,5.1,3.1,3.8,3.3,4.9,3.8,5.4,4.0,6.4 b
Annual,Percentage,Total,Males,From 15 to 29 years,Croatia,11.8,13.0 b,10.9,11.3,10.2,10.4,8.6,7.5,8.3,6.7
Annual,Percentage,Total,Males,From 15 to 29 years,Hungary,20.2,22.6,24.0,23.4,20.3,23.1,21.6,10.5,9.5,11.7
Annual,Percentage,Total,Males,From 15 to 29 years,Ireland,2.0,1.3,3.2,2.6,1.4,0.9,1.2,1.7,3.2 b,2.2 b
Annual,Percentage,Total,Males,From 15 to 29 years,Iceland,3.4,2.4,4.2,3.3,3.6,2.3,2.1,2.0,4.8,:
Annual,Percentage,Total,Males,From 15 to 29 years,Italy,14.0,12.6,13.5,15.8,16.4,12.6,9.2,8.9,8.1,10.7
Annual,Percentage,Total,Males,From 15 to 29 years,Lithuania,12.4,11.9,11.4,11.6,15.0,14.3,12.3,10.8,10.2,7.5
Annual,Percentage,Total,Males,From 15 to 29 years,Luxembourg,4.1,4.3,1.8,2.0,1.6,2.4 b,2.4,2.9,2.4,1.7 b
Annual,Percentage,Total,Males,From 15 to 29 years,Latvia,22.4,21.9,23.6,23.6,20.4,19.6,20.7,19.5,14.9,14.8
Annual,Percentage,Total,Males,From 15 to 29 years,Montenegro,:,:,26.4,23.1,26.0,21.3,18.4,22.2,23.2,20.4
Annual,Percentage,Total,Males,From 15 to 29 years,North Macedonia,14.8,15.6,15.2,13.1,9.9,12.5,11.8,12.1,10.6,10.3
Annual,Percentage,Total,Males,From 15 to 29 years,Malta,1.8,1.3,2.3,2.6,1.4,2.7,1.8,1.9,1.4,1.3
Annual,Percentage,Total,Males,From 15 to 29 years,Netherlands,1.2,2.4,2.8,1.4,3.2,3.0 b,3.2,2.8,3.3,3.3
Annual,Percentage,Total,Males,From 15 to 29 years,Norway,2.8,1.9,3.3,2.3,1.6,1.5,1.7,2.5,2.1,2.5
Annual,Percentage,Total,Males,From 15 to 29 years,Poland,13.2,12.2,12.8,12.2,12.3,12.1,12.8,10.9,9.9,:
Annual,Percentage,Total,Males,From 15 to 29 years,Portugal,6.3,6.3,9.0,9.4,7.8,9.3,6.9,7.4,7.9,7.2
Annual,Percentage,Total,Males,From 15 to 29 years,Romania,32.6,30.6,30.9,31.2,29.5,27.7,26.3,22.1,20.9,22.4
Annual,Percentage,Total,Males,From 15 to 29 years,Serbia,:,:,20.3,22.9,18.4,20.9,16.7,14.2,17.5,10.6
Annual,Percentage,Total,Males,From 15 to 29 years,Sweden,4.0,2.2,3.4,4.1,5.2,4.8,4.7,4.0,4.9,4.1
Annual,Percentage,Total,Males,From 15 to 29 years,Slovenia,11.6,12.1,8.7,9.4,8.6,7.3,7.0,6.9,5.3,4.3
Annual,Percentage,Total,Males,From 15 to 29 years,Slovakia,5.1,6.0,5.4,5.7,6.4,5.4,6.2,5.7,6.0,5.5
Annual,Percentage,Total,Males,From 15 to 29 years,Türkiye,:,:,33.0,32.2,32.6,33.2,30.8,30.1,30.6,29.2
Annual,Percentage,Total,Males,From 15 to 29 years,United Kingdom,3.9,3.8,4.5,4.4,2.9,3.6,1.8 b,3.1,:,:
Annual,Percentage,Total,Males,From 15 to 29 years,Kosovo*,:,:,:,:,:,:,:,22.4,:,:
Annual,Percentage,Total,Total,From 15 to 29 years,Albania,:,:,:,:,:,:,26.4,29.0,25.5,17.9
Annual,Percentage,Total,Total,From 15 to 29 years,Austria,6.1,5.1,5.3,5.1,6.8,6.6,7.0,4.7,5.3,4.8
Annual,Percentage,Total,Total,From 15 to 29 years,Belgium,1.3,0.6,1.5,1.2,0.8,2.8 b,4.0,3.0,2.8 b,3.3
Annual,Percentage,Total,Total,From 15 to 29 years,Bulgaria,19.2,17.1,17.2,17.8,18.2,17.9 b,17.2,16.6,14.9,14.5
Annual,Percentage,Total,Total,From 15 to 29 years,Switzerland,2.3,3.8,3.8,2.3,2.6,3.4,2.9,4.4,2.8,3.2
Annual,Percentage,Total,Total,From 15 to 29 years,Cyprus,3.0,2.1,2.3,2.3,0.6,3.0,1.9,2.1,2.2,2.8
Annual,Percentage,Total,Total,From 15 to 29 years,Czechia,6.5,5.4,5.3,4.4,4.6,3.8,3.2,3.4,3.1,2.8
Annual,Percentage,Total,Total,From 15 to 29 years,Germany,4.3,3.5,3.1,3.8,3.5,3.3,3.4,4.3,3.5,1.9 b
Annual,Percentage,Total,Total,From 15 to 29 years,Denmark,4.6,6.0,5.3,4.2,6.5,4.4,5.9,8.5,7.6,6.6
Annual,Percentage,Total,Total,From 15 to 29 years,Estonia,5.7,5.8,7.2,4.9,4.1,4.5,4.9,4.3,4.7,2.8
Annual,Percentage,Total,Total,From 15 to 29 years,Greece,10.6,11.3,10.7,9.9,11.3,10.4,9.7,9.4,10.0,9.3
Annual,Percentage,Total,Total,From 15 to 29 years,Spain,3.4,2.1,3.3,2.5,2.5,3.0,1.9,2.9,2.8,5.7
Annual,Percentage,Total,Total,From 15 to 29 years,European Union - 27 countries (from 2020),8.5 e,8.0 e,8.1 e,8.1 e,8.1 e,7.8 e,6.9 e,6.6 e,6.1 e,6.9 e
Annual,Percentage,Total,Total,From 15 to 29 years,Finland,1.1,1.1,1.3,1.2,1.2,1.9,1.5,2.1,1.4,2.2
Annual,Percentage,Total,Total,From 15 to 29 years,France,4.3,4.4,3.2,3.9,3.5,4.7,3.6,5.2,3.7,7.3 b
Annual,Percentage,Total,Total,From 15 to 29 years,Croatia,12.1,13.9 b,12.2,10.3,9.7,9.3,8.9,7.8,7.7,6.2
Annual,Percentage,Total,Total,From 15 to 29 years,Hungary,20.3,23.0,24.2,24.2,21.2,22.6,22.6,10.7,11.1,11.8
Annual,Percentage,Total,Total,From 15 to 29 years,Ireland,2.0,1.4,3.5,2.5,1.9,1.7,1.2,1.6,2.6 b,2.1 b
Annual,Percentage,Total,Total,From 15 to 29 years,Iceland,3.0,3.3,3.9,3.0,3.5,2.3,1.9,2.4,5.2,:
Annual,Percentage,Total,Total,From 15 to 29 years,Italy,13.5,12.6,13.1,14.2,15.2,12.1,8.2,7.6,7.8,10.9
Annual,Percentage,Total,Total,From 15 to 29 years,Lithuania,10.0,10.0,11.6,13.4,13.9,12.7,11.5,9.9,10.6,8.7
Annual,Percentage,Total,Total,From 15 to 29 years,Luxembourg,2.9,3.4,2.4,2.1,1.8,2.5 b,3.1,2.8,2.4,2.2 b
Annual,Percentage,Total,Total,From 15 to 29 years,Latvia,21.9,21.5,22.5,23.1,19.9,18.8,20.1,18.4,15.6,14.5
Annual,Percentage,Total,Total,From 15 to 29 years,Montenegro,:,:,27.2,23.7,27.4,20.9,18.7,21.8,22.2,20.1
Annual,Percentage,Total,Total,From 15 to 29 years,North Macedonia,15.5,14.5,13.3,12.2,9.5,12.5,12.1,11.4,10.5,10.5
Annual,Percentage,Total,Total,From 15 to 29 years,Malta,2.1,1.4,2.1,2.4,1.4,2.5,2.0,1.8,1.8,1.3
Annual,Percentage,Total,Total,From 15 to 29 years,Netherlands,1.2,2.7,2.4,1.7,3.1,3.2 b,2.7,2.6,3.0,3.5
Annual,Percentage,Total,Total,From 15 to 29 years,Norway,3.7,2.3,3.7,2.2,2.1,2.3,2.0,2.2,2.1,2.7
Annual,Percentage,Total,Total,From 15 to 29 years,Poland,13.3,12.5,12.8,11.9,12.0,11.9,12.7,9.9,9.5,:
Annual,Percentage,Total,Total,From 15 to 29 years,Portugal,5.6,5.6,9.1,9.1,8.0,9.2,7.0,8.0,7.3,6.6
Annual,Percentage,Total,Total,From 15 to 29 years,Romania,32.2,30.9,30.3,29.5,28.3,27.3,24.9,22.3,20.3,21.9
Annual,Percentage,Total,Total,From 15 to 29 years,Serbia,:,:,20.3,21.7,18.8,19.2,17.0,13.7,17.5,10.2
Annual,Percentage,Total,Total,From 15 to 29 years,Sweden,4.5,3.7,3.5,3.9,5.1,4.6,4.7,4.1,4.9,3.8
Annual,Percentage,Total,Total,From 15 to 29 years,Slovenia,12.1,12.1,9.5,9.7,8.7,7.5,6.9,6.6,5.8,4.9
Annual,Percentage,Total,Total,From 15 to 29 years,Slovakia,5.5,6.0,5.5,5.3,6.0,6.2,7.0,5.7,5.6,4.7
Annual,Percentage,Total,Total,From 15 to 29 years,Türkiye,:,:,32.2,31.4,31.4,32.1,30.1,29.5,29.6,28.2
Annual,Percentage,Total,Total,From 15 to 29 years,United Kingdom,4.3,4.0,3.7,4.7,3.2,3.4,1.6 b,3.2,:,:
Annual,Percentage,Total,Total,From 15 to 29 years,Kosovo*,:,:,:,:,:,:,:,22.9,:,:
