Time frequency,Unit of measure,Broad economic categories (BEC Rev.5),Stock or flow,Geopolitical entity (partner),Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Million euro,"Construction, wood, glass, stone, basic metals, housing, electrical appliances, furniture - services - final consumption",Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),5948.0,6881.0,7436.0,7223.0,8268.0,8124.0,8092.0,6007.0,6014 p
Annual,Million euro,"Construction, wood, glass, stone, basic metals, housing, electrical appliances, furniture - services - final consumption",Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),2948.0,2772.0,3371.0,3446.0,3769.0,4465.0,3936.0,3042.0,3246 p
Annual,Million euro,"Textile, apparel, shoes - services - intermediate consumption",Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),5193.0,5776.0,6904.0,7363.0,8133.0,8663.0,9889.0,9126.0,9517 p
Annual,Million euro,"Textile, apparel, shoes - services - intermediate consumption",Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),4169.0,3901.0,5199.0,5417.0,5907.0,6296.0,6905.0,6324.0,6328 p
Annual,Million euro,"Transport equipment and services, travel, postal services - services - intermediate consumption",Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),132010.0,134373.0,143190.0,133804.0,148255.0,162187.0,170332.0,160240.0,183720 p
Annual,Million euro,"Transport equipment and services, travel, postal services - services - intermediate consumption",Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),109353.0,110172.0,120315.0,116220.0,123886.0,134084.0,139519.0,131162.0,149874 p
Annual,Million euro,"Transport equipment and services, travel, postal services - services - final consumption",Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),63952.0,64958.0,72190.0,74018.0,80591.0,82459.0,87134.0,30781.0,60107 p
Annual,Million euro,"Transport equipment and services, travel, postal services - services - final consumption",Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),47700.0,48446.0,49664.0,49217.0,52782.0,55665.0,58123.0,22269.0,39320 p
Annual,Million euro,"ICT, media, computers, business and financial services - services - intermediate consumption",Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),198966.0,227944.0,264976.0,277705.0,306970.0,333217.0,370275.0,362000.0,393518 p
Annual,Million euro,"ICT, media, computers, business and financial services - services - intermediate consumption",Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),189587.0,233944.0,301474.0,290511.0,312735.0,337512.0,378580.0,367889.0,397698 p
Annual,Million euro,"ICT, media, computers, business and financial services - services - final consumption",Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),82643.0,84143.0,96768.0,95239.0,104766.0,111149.0,121545.0,124501.0,141305 p
Annual,Million euro,"ICT, media, computers, business and financial services - services - final consumption",Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),63130.0,62495.0,78523.0,71394.0,75414.0,78412.0,83997.0,87406.0,95264 p
Annual,Million euro,"Health, pharmaceuticals, education, cultural, sport - services - intermediate consumption",Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),39936.0,48317.0,53735.0,58129.0,60279.0,60915.0,64877.0,62518.0,60836 p
Annual,Million euro,"Health, pharmaceuticals, education, cultural, sport - services - intermediate consumption",Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),38547.0,50605.0,76273.0,105936.0,99921.0,86907.0,186866.0,150376.0,90359 p
Annual,Million euro,"Health, pharmaceuticals, education, cultural, sport - services - final consumption",Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),47215.0,47348.0,54158.0,55841.0,59856.0,64747.0,66327.0,32258.0,35782 p
Annual,Million euro,"Health, pharmaceuticals, education, cultural, sport - services - final consumption",Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),35104.0,36816.0,38280.0,39241.0,42182.0,44776.0,46332.0,23537.0,22932 p
Annual,Million euro,"Government, military and other - services - intermediate consumption",Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),1623.0,1905.0,2031.0,2100.0,2452.0,2580.0,2753.0,2397.0,2827 p
Annual,Million euro,"Government, military and other - services - intermediate consumption",Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),1685.0,1778.0,2039.0,2095.0,2420.0,2588.0,2811.0,3142.0,3014 p
Annual,Million euro,Services,Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),659313.0,713684.0,804952.0,815231.0,887446.0,946157.0,1018627.0,883222.0,995299 p
Annual,Million euro,Services,Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),546764.0,610251.0,743088.0,753122.0,791498.0,828978.0,988956.0,863449.0,880470 p
Annual,Million euro,Services - final consumption,Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),217064.0,221273.0,250971.0,253245.0,276385.0,290209.0,307895.0,201709.0,252732 p
Annual,Million euro,Services - final consumption,Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),161909.0,164698.0,184075.0,177514.0,189857.0,199785.0,209701.0,142680.0,167482 p
Annual,Million euro,Services - intermediate consumption,Exports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),442249.0,492411.0,553981.0,561985.0,611060.0,655948.0,710732.0,681513.0,742566 p
Annual,Million euro,Services - intermediate consumption,Imports,Extra-EU27 (from 2020),European Union - 27 countries (from 2020),384855.0,445553.0,559013.0,575608.0,601642.0,629192.0,779255.0,720769.0,712988 p
