Time frequency,Seasonal adjustment,Indicator,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Finland,-39.6,-42.2,-39.4,-35.0,-37.9,-34.8,-33.4,-35.8,-36.4,-31.8,-26.5,-37.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,France,-5.3,-5.7,-7.4,-9.2,-9.6,-9.0,-10.9,-11.2,-11.3,-11.7,-11.4,-13.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Croatia,17.8,9.3,11.7,14.0,14.7,16.7,12.0,10.8,15.0,15.8,8.6,17.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Hungary,-17.8,-21.7,-20.1,-21.8,-18.6,-22.6,-20.5,-18.6,-19.8,-17.2,-18.8,-18.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Italy,5.2,2.0,4.3,2.2,1.9,4.6,4.8,3.0,2.5,5.5,3.5,3.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Lithuania,-19.2,-21.2,-19.5,-18.6,-16.4,-14.6,-11.6,-9.6,-12.8,-13.3,-10.4,-10.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Luxembourg,-5.9,-17.7,-15.7,-26.3,-24.1,-22.0,-19.4,-26.2,-23.4,-28.1,-35.2,-35.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Latvia,-12.1,-14.7,-11.4,-14.7,-14.1,-16.1,-15.8,-15.3,-12.3,-11.1,-13.4,-9.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Montenegro,10.3,8.0,11.5,9.3,13.3,10.8,9.5,15.3,9.3,13.7,11.0,11.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,North Macedonia,-5.7,-7.2,-1.5,-7.4,-4.7,-8.4,-5.1,-3.1,-6.2,-6.9,-3.7,-3.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Malta,9.6,14.8,29.1,3.2,-1.1,-30.4,-40.1,-15.2,-5.7,-14.5,8.4,-18.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Netherlands,6.3,5.9,7.9,8.0,6.7,10.1,10.3,10.1,13.5,12.1,14.4,17.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Poland,-16.3,-16.0,-15.3,-15.8,-16.0,-16.3,-16.4,-16.8,-16.6,-16.5,-16.3,-15.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Portugal,-4.0,-4.0,-4.7,-4.6,-4.0,-3.4,-4.4,-3.3,-3.5,0.5,2.4,4.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Romania,-6.2,-5.4,-5.6,-4.9,-6.4,-6.5,-6.1,-5.4,-5.5,-6.0,-6.2,-6.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Serbia,-3.0,-1.9,2.5,-2.3,-1.5,-2.9,-1.5,-1.2,-1.8,-3.3,-2.5,1.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Sweden,-31.3,-27.6,-32.0,-21.6,-30.6,-22.7,-24.4,-22.4,-33.3,-29.2,-25.8,-33.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Slovenia,13.4,8.3,11.6,4.5,6.8,3.1,1.6,6.1,5.1,6.7,10.9,4.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Slovakia,-5.9,-6.8,-7.8,-10.9,-9.0,-11.8,-7.6,-10.1,-8.4,-7.4,-8.3,-4.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Construction confidence indicator,Türkiye,-10.4,-8.1,-11.5,-11.6,-12.3,-12.6,-13.3,-12.1,-11.9,-13.1,-11.2,-9.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Albania,-13.0,-15.0,-14.2,-9.8,-13.0,-13.0,-12.4,-11.5,-11.4,-11.4,-9.7,-11.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Austria,-18.7,-16.6,-16.5,-13.3,-15.2,-12.6,-14.7,-12.8,-13.8,-15.6,-18.3,-18.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Belgium,-11.2,-11.9,-11.4,-10.8,-11.2,-8.1,-9.8,-8.1,-9.4,-8.2,-10.9,-12.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Bulgaria,-18.3,-19.9,-18.4,-19.2,-18.1,-15.5,-19.4,-18.9,-17.1,-16.6,-18.2,-20.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Cyprus,-22.5,-26.8,-23.9,-26.6,-25.6,-20.7,-21.9,-27.0,-25.5,-26.8,-21.5,-15.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Czechia,-16.7,-13.6,-12.6,-10.6,-10.4,-10.0,-12.4,-11.9,-11.9,-10.9,-13.3,-12.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Germany,-17.1,-14.0,-13.3,-10.3,-10.3,-10.6,-8.2,-9.8,-11.0,-8.7,-10.8,-10.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Denmark,-4.5,-3.5,-4.8,-6.3,-3.5,-2.7,-3.8,-5.0,-3.9,-5.7,-5.1,-8.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Euro area – 20 countries (from 2023),-16.0,-15.4,-14.8,-14.7,-14.3,-14.0,-13.0,-13.5,-13.0,-12.5,-13.8,-14.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Estonia,-33.6,-34.4,-34.0,-30.0,-28.7,-28.9,-29.5,-35.8,-33.2,-35.3,-33.6,-35.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Greece,-46.3,-47.2,-44.7,-41.7,-43.8,-42.7,-43.9,-48.1,-51.3,-50.3,-47.3,-44.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Spain,-18.6,-17.1,-15.8,-14.6,-14.4,-14.1,-13.6,-15.0,-12.3,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,European Union - 27 countries (from 2020),-14.7,-14.3,-13.7,-13.7,-13.2,-12.9,-12.2,-12.3,-11.8,-11.3,-12.4,-13.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Finland,-9.3,-9.5,-9.9,-12.1,-10.2,-7.5,-7.6,-7.6,-8.4,-6.9,-7.4,-7.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,France,-11.4,-14.4,-13.3,-15.5,-13.7,-14.5,-15.3,-13.1,-11.7,-12.8,-15.3,-17.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Croatia,-11.6,-12.1,-9.8,-9.8,-6.7,-11.1,-11.2,-12.7,-14.3,-15.8,-12.2,-13.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Hungary,-17.8,-25.9,-25.1,-26.0,-25.8,-25.2,-24.2,-22.7,-24.9,-24.9,-28.4,-26.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Italy,-16.0,-16.0,-16.7,-19.1,-18.6,-17.1,-15.1,-16.8,-15.6,-14.8,-13.9,-15.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Lithuania,2.6,3.0,3.1,2.9,5.5,5.5,3.7,5.3,4.9,7.6,7.1,6.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Luxembourg,-12.3,-12.8,-10.5,-8.4,-10.7,-8.5,-11.9,-13.4,-10.2,-9.2,-14.3,-12.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Latvia,-13.2,-11.3,-15.8,-13.1,-11.6,-12.9,-12.9,-9.3,-8.2,-10.3,-7.3,-12.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Montenegro,1.7,-1.6,0.9,0.7,2.7,0.5,-2.3,-2.1,0.3,-0.1,1.9,1.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,North Macedonia,-13.4,-13.2,-13.1,-8.9,-3.6,-4.3,-3.5,-2.5,-4.3,0.8,0.7,-0.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Malta,-12.1,-4.4,-7.4,-9.1,-9.0,-3.8,-6.2,-8.2,-4.6,-5.4,-0.3,-2.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Netherlands,-13.3,-12.1,-10.1,-11.7,-11.5,-12.1,-11.0,-10.5,-7.7,-11.2,-12.9,-12.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Poland,1.6,1.2,1.9,1.3,3.7,3.5,0.0,-1.5,1.0,-1.8,-1.2,-3.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Portugal,-23.9,-23.2,-20.6,-17.0,-17.5,-16.6,-12.3,-14.5,-13.1,-14.6,-14.3,-15.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Romania,-17.9,-17.5,-15.5,-13.5,-15.3,-10.6,-14.6,-12.0,-11.7,-12.1,-9.0,-11.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Serbia,1.8,-1.1,1.9,1.2,2.6,4.0,0.6,2.3,2.2,0.4,-1.5,-2.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Sweden,-8.4,-6.8,-5.1,-4.5,-1.4,-0.4,-0.7,0.3,1.8,0.7,1.9,-1.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Slovenia,-27.8,-28.8,-28.5,-26.1,-26.5,-24.3,-25.2,-24.4,-27.5,-27.6,-29.6,-26.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Slovakia,-15.5,-15.8,-14.5,-15.0,-13.4,-13.2,-13.3,-13.8,-14.9,-20.6,-20.5,-21.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Consumer confidence indicator,Türkiye,-19.9,-20.9,-20.9,-19.7,-19.7,-21.9,-24.7,-23.9,-21.8,-19.9,-20.5,-18.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Albania,8.6,4.6,3.4,5.1,6.0,4.5,7.2,10.8,9.2,8.2,9.3,9.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Austria,-14.8,-15.4,-21.1,-16.4,-15.5,-22.5,-20.6,-22.1,-23.6,-20.4,-20.7,-22.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Belgium,-20.6,-17.1,-12.4,-16.2,-12.0,-12.0,-16.2,-18.1,-19.5,-20.4,-17.5,-20.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Bulgaria,-1.6,-1.7,-0.6,-1.0,-0.4,-1.2,-1.2,-0.3,-0.2,0.7,2.4,1.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Cyprus,-0.1,-1.1,-5.9,-0.2,0.2,-1.5,-2.1,-0.1,2.8,-2.6,-1.4,2.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Czechia,-8.5,-11.4,-7.9,-9.7,-10.1,-6.9,-9.7,-7.0,-5.7,-8.5,-10.0,-10.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Germany,-16.1,-17.7,-16.4,-18.3,-17.5,-17.1,-19.0,-20.5,-23.0,-23.6,-23.2,-28.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Denmark,-5.4,-6.8,-3.1,-2.8,2.9,1.0,0.0,-1.5,3.2,1.9,1.6,2.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Euro area – 20 countries (from 2023),-9.1,-9.3,-8.7,-10.3,-9.8,-10.2,-10.5,-10.0,-11.0,-12.8,-11.4,-14.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Estonia,-19.8,-21.0,-19.1,-19.7,-19.1,-16.7,-14.2,-13.4,-13.0,-14.5,-10.1,-11.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Greece,-1.5,-4.2,4.8,1.9,3.6,3.8,-1.5,-2.7,8.1,2.0,5.2,1.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Spain,-5.2,-4.6,-5.7,-4.4,-6.3,-5.9,-4.4,-3.5,-0.8,-7.9,-5.2,-4.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,European Union - 27 countries (from 2020),-8.6,-8.8,-8.6,-9.4,-9.6,-9.8,-10.0,-9.8,-10.5,-12.1,-10.9,-13.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Finland,-13.4,-10.8,-12.6,-16.1,-12.5,-14.1,-11.3,-8.7,-11.7,-11.8,-7.6,-9.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,France,-8.4,-5.4,-3.4,-7.8,-8.9,-8.2,-9.6,-4.9,-7.3,-14.4,-9.2,-11.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Croatia,7.3,3.1,8.4,0.5,-0.5,1.2,1.2,5.4,3.5,3.2,-1.3,0.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Hungary,-9.6,-11.4,-6.2,-9.2,-11.5,-7.4,-10.3,-10.2,-10.4,-10.1,-13.5,-16.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Italy,-6.8,-7.4,-5.9,-7.0,-6.5,-7.8,-7.5,-8.4,-8.6,-9.1,-8.9,-9.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Lithuania,-9.0,-9.3,-9.4,-8.2,-8.4,-10.3,-9.8,-8.5,-7.4,-5.5,-4.2,-4.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Luxembourg,-18.9,-18.9,-20.4,-20.4,-16.1,-20.0,-28.8,-25.6,-9.8,-13.8,-11.2,-23.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Latvia,-8.3,-6.2,-5.2,-6.0,-7.2,-7.1,-8.7,-8.0,-7.2,-6.5,-5.2,-4.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Montenegro,8.0,4.5,7.4,7.9,3.5,5.0,5.9,5.2,3.1,8.5,8.9,10.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,North Macedonia,-3.5,-9.1,-7.0,-6.4,-5.9,-3.6,-4.0,-6.8,-4.7,-4.6,-7.1,-4.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Malta,-13.6,-37.9,-11.0,-12.2,-10.3,-8.7,-8.2,-6.9,-38.0,-10.4,7.0,-24.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Netherlands,-4.2,-4.0,-4.3,-3.1,-2.3,-2.2,-2.8,-2.1,-2.4,-3.8,-2.4,-1.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Poland,-16.8,-16.3,-15.6,-15.9,-17.3,-17.6,-17.6,-16.7,-16.1,-18.1,-17.2,-17.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Portugal,-8.3,-6.3,-6.7,-6.9,-6.0,-5.3,-7.4,-5.7,-3.9,-4.4,-4.5,-4.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Romania,-0.1,-0.7,-0.2,0.3,-0.1,-0.6,-0.8,-0.7,-1.1,0.1,-0.7,-2.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Serbia,2.2,2.5,1.7,0.9,-0.6,-0.5,-0.9,1.8,2.4,0.3,0.0,1.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Sweden,-0.3,-0.4,-1.9,-1.6,-3.0,-3.6,-6.6,-4.1,-8.9,-11.2,-5.5,-5.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Slovenia,-7.3,-10.2,-8.9,-7.7,-7.1,-7.1,-6.2,-6.8,-7.4,-9.2,-7.9,-6.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Slovakia,-5.8,-7.7,-1.3,-3.7,-0.2,4.2,1.2,3.6,-1.2,-5.1,-2.0,5.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Industrial confidence indicator,Türkiye,-0.9,-2.3,-1.7,-0.8,-2.2,-3.8,-3.4,-4.1,-3.2,-0.4,0.6,-0.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Albania,11.2,4.5,11.6,14.7,15.8,11.9,8.1,14.1,17.1,15.3,17.2,13.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Austria,-30.4,-15.9,-10.6,-8.5,-7.7,-9.3,-22.3,-18.7,-28.7,-19.8,-12.1,-11.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Belgium,-10.0,-12.1,-18.4,-20.9,-25.3,-21.5,-17.4,-21.1,-15.8,-14.1,-8.2,-11.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Bulgaria,10.8,10.2,12.4,11.5,15.0,12.2,13.3,9.1,14.0,11.5,11.4,12.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Cyprus,0.1,-2.6,-5.6,-3.8,-5.3,-5.9,1.0,-1.7,3.0,1.9,0.4,0.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Czechia,13.2,6.5,12.5,11.1,13.3,8.8,14.9,19.1,17.8,12.7,12.1,12.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Germany,-25.6,-25.1,-20.2,-18.2,-16.3,-20.3,-24.1,-22.0,-23.7,-23.5,-20.0,-20.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Denmark,0.5,-4.5,-8.4,-6.1,-4.8,-0.7,-5.4,-5.5,-7.1,2.1,0.9,2.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Euro area – 20 countries (from 2023),-5.8,-6.8,-6.1,-6.8,-6.8,-7.8,-9.0,-7.8,-8.2,-7.1,-4.3,-4.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Estonia,-16.9,-23.1,-22.6,-20.3,-22.3,-16.6,-18.7,-22.2,-22.9,-17.4,-18.0,-15.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Greece,10.6,17.3,4.1,0.5,17.7,17.9,18.9,24.3,13.6,5.5,11.2,9.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Spain,2.4,4.7,3.9,2.1,1.9,2.0,1.7,5.7,3.0,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,European Union - 27 countries (from 2020),-4.4,-5.3,-4.7,-5.0,-5.8,-6.3,-7.3,-6.2,-6.2,-5.2,-2.9,-2.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Finland,-4.6,-7.9,-5.7,-15.9,-20.2,-11.3,-15.7,-23.0,-14.0,-8.0,-11.7,1.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,France,-8.3,-12.4,-11.1,-10.7,-10.4,-12.7,-12.8,-11.3,-12.4,-11.4,-9.5,-13.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Croatia,14.6,17.7,18.7,12.8,14.2,12.7,9.6,8.7,19.6,17.7,16.6,18.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Hungary,-11.8,-8.2,-11.3,-12.5,-11.4,-13.1,-12.4,-10.2,-16.2,-17.5,-19.9,-25.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Italy,13.3,7.4,11.2,9.8,9.8,9.5,9.3,9.3,10.7,12.3,14.3,12.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Lithuania,0.7,2.4,4.2,8.5,7.9,5.6,1.1,1.5,2.3,1.0,3.0,3.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Latvia,0.3,3.0,1.8,2.1,1.4,-0.2,-0.3,2.1,3.1,4.9,2.4,3.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Montenegro,10.7,10.0,10.9,13.2,12.0,9.8,14.2,7.1,12.9,7.5,11.9,8.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,North Macedonia,4.1,9.3,3.5,3.4,7.3,3.3,6.5,4.9,9.5,14.7,16.1,19.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Malta,25.5,14.4,7.7,9.4,2.3,-0.9,-6.9,-10.4,-12.5,0.8,-29.5,-5.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Netherlands,2.7,5.2,-1.2,2.3,-0.7,-3.5,-0.6,-1.1,-1.3,0.3,3.6,1.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Poland,-0.5,-1.4,-0.1,-0.2,-0.5,-2.3,-1.1,-0.2,-1.2,-1.6,-1.1,-1.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Portugal,3.1,1.8,2.5,3.0,1.1,3.0,2.4,1.1,2.0,3.2,3.2,4.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Romania,11.3,10.0,9.0,11.8,6.2,8.0,8.2,4.6,11.1,11.7,11.8,6.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Serbia,12.2,12.4,12.1,13.1,12.8,13.6,12.0,13.1,13.1,13.4,14.4,13.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Sweden,4.5,4.0,6.5,14.1,4.4,14.8,15.7,13.5,15.6,15.6,17.9,23.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Slovenia,17.1,9.7,5.5,19.4,12.5,21.5,2.5,14.9,9.7,3.7,19.7,20.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Slovakia,10.6,3.9,3.0,5.8,4.3,9.4,9.0,11.2,11.5,17.3,16.7,13.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Retail confidence indicator,Türkiye,13.2,11.4,10.5,12.2,10.5,8.5,9.5,10.9,13.3,13.6,13.9,12.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Albania,22.0,17.9,28.3,24.6,32.1,29.4,33.7,29.0,31.0,31.3,29.7,24.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Austria,0.1,0.8,4.3,3.9,5.6,1.6,0.6,0.5,5.3,3.2,4.0,0.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Belgium,5.3,10.1,2.9,4.4,-0.1,1.5,-0.4,9.1,3.8,5.4,7.0,-2.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Bulgaria,15.5,11.5,12.7,12.7,13.2,13.4,14.4,13.9,14.9,14.0,10.9,13.0
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Cyprus,21.3,16.9,14.2,15.9,21.6,22.7,17.1,24.5,17.8,35.6,28.2,27.8
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Czechia,24.7,24.5,27.3,25.2,26.7,30.4,28.3,21.6,30.9,26.8,33.6,36.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Germany,7.0,4.1,3.2,5.7,7.5,6.9,7.5,5.4,5.9,6.6,4.2,3.4
