Time frequency,Unit of measure,Crops,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand tonnes,Oilseeds,Azerbaijan,16.1,15.9,13.4,16.5,14.4,15.5,19.6,19.7,17.7,19.8,18.4,16.7,29.8,23.6,33.7,24.0,25.2,28.3
Annual,Thousand tonnes,Oilseeds,Belarus,172.0,128.0,258.0,543.0,629.0,392.0,400.0,747.0,705.0,751.1,396.6,278.6,632.7,487.8,624.3,770.7,:,:
Annual,Thousand tonnes,Oilseeds,Georgia,33.4,16.1 bd,18.9,17.4,3.4,3.4,5.1,4.2,9.8,2.3 bd,5.4,3.6,2.3,3.2,2.9,2.5,2.2,2.8
Annual,Thousand tonnes,Oilseeds,Moldova,400.0 d,466.6 d,229.5 d,525.4 d,402.5 d,529.6 d,558.6 d,350.3 d,612.8 d,725.0 d,548.9 d,762.4 d,921.7 d,932.0 d,952.9 d,572.9 d,1102.9 d,736.9 d
Annual,Thousand tonnes,Oilseeds,Ukraine,5678.9,6902.4,5965.6,10271.6,9436.4,10033.0,12453.9,12074.1,16232.2,16334.2 d,16961.5 d,19192.4 d,18411.5 d,21439.7 d,22291.8 d,18501.1 d,22896.9 d,18137.9 d
Annual,Thousand tonnes,Potatoes (including seed potatoes),Armenia,564.2,539.5,583.9,648.6,593.6,482.0,557.3,647.2,661.0,696.1,607.7,606.3,547.4,415.1,404.1,437.2,364.6,351.4
Annual,Thousand tonnes,Potatoes (including seed potatoes),Azerbaijan,1083.1,999.3,1037.3,1077.1,983.0,953.7,938.5,968.5,992.8,819.3,839.8,902.4,913.9,898.9,1004.2,1037.6,1062.0,1074.3
Annual,Thousand tonnes,Potatoes (including seed potatoes),Belarus,8184.8,8329.4,8744.0,8748.7,7125.0,7831.1,7147.9,6910.7,5911.2,6279.7,5995.3,5984.1,6414.8,5864.3,6105.3,5231.2,:,:
Annual,Thousand tonnes,Potatoes (including seed potatoes),Georgia,432.2,168.7 bd,229.2,193.4,216.8,228.8,273.9,252.0,296.6,215.3 bd,186.5,249.0,180.1,237.5,194.7,208.6,234.7,198.9
Annual,Thousand tonnes,Potatoes (including seed potatoes),Moldova,378.2 d,376.9 d,199.4 d,271.0 d,260.9 d,279.7 d,350.8 d,182.0 d,239.5 d,268.0 d,158.2 d,214.0 d,197.0 d,174.8 d,176.9 d,171.9 d,218.3 d,171.8 d
Annual,Thousand tonnes,Potatoes (including seed potatoes),Ukraine,19462.4,19467.1,19102.0,19545.4,19666.1,18704.8,24248.0,23250.2,22259.0,23693.0 d,20839.0 d,21750.3 d,22208.2 d,22504.0 d,20269.2 d,20838.0 d,21356.3 d,20899.2 d
Annual,Thousand tonnes,Sugar beet (excluding seed),Azerbaijan,36.6,167.2,141.9,190.7,188.7,251.9,252.9,173.8,187.9,173.3,184.3,312.6,410.1,277.2,218.5,233.8,177.3,210.6
Annual,Thousand tonnes,Sugar beet (excluding seed),Belarus,3065.1,3978.4,3626.1,4030.3,3970.0,3773.4,4486.7,4771.7,4343.2,4803.2,3299.9,4278.7,4989.3,4809.4,4945.3,4010.9,:,:
Annual,Thousand tonnes,Sugar beet (excluding seed),Georgia,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n,0 n
Annual,Thousand tonnes,Sugar beet (excluding seed),Moldova,991.2 d,1177.3 d,612.3 d,960.7 d,337.4 d,837.6 d,588.6 d,587.0 d,1009.0 d,1356.2 d,537.5 d,664.8 d,876.3 d,707.2 d,607.0 d,423.2 d,757.8 d,478.2 d
Annual,Thousand tonnes,Sugar beet (excluding seed),Ukraine,15467.8,22420.7,16977.7,13437.7,10067.5,13749.2,18740.0,18438.9,10789.0,15734.0 d,10331.0 d,14011.3 d,14881.6 d,13967.7 d,10204.5 d,9150.2 d,10853.9 d,9941.5 d
Annual,Thousand tonnes,Fresh vegetables (including melons),Armenia,781.6 d,915.0 d,1051.6 d,1007.5 d,1035.9 d,840.1 d,968.0 d,1054.0 d,1084.1 d,1200.4 d,1294.4 d,1204.8 d,1076.8 d,755.0 d,749.6 d,819.4 d,751.4 d,735.1 d
Annual,Thousand tonnes,Fresh vegetables (including melons),Azerbaijan,1127.3,1186.4,1227.3,1228.3,1178.6,1189.5,1214.8,1216.2,1236.3,1187.7,1275.3,1270.6,1405.6,1521.9,1714.7,1738.9,1815.5,1823.3
Annual,Thousand tonnes,Fresh vegetables (including melons),Belarus,2007.0,2173.5,2153.3,2295.8,2308.1,2334.8,1816.1,1581.0,1628.3,1734.4,1686.7,1892.1,1958.9,1746.3,1855.2,1751.3,:,:
Annual,Thousand tonnes,Fresh vegetables (including melons),Georgia,556.3 d,217.5 bd,263.8 d,214.8 d,214.0 d,216.6 d,228.6 d,235.2 d,271.2 d,239.7 bd,224.8 d,214.5 d,206.0 d,212.4 d,241.0 d,259.7 d,226.9 d,201.1 d
Annual,Thousand tonnes,Fresh vegetables (including melons),Moldova,389.3 d,475.2 d,221.8 d,376.3 d,307.9 d,341.2 d,361.6 d,231.1 d,292.0 d,327.2 d,245.8 d,293.3 d,309.7 d,283.3 d,307.2 d,226.8 d,232.0 d,257.0 d
Annual,Thousand tonnes,Fresh vegetables (including melons),Ukraine,7349.1,8182.1,6926.0,8062.1,8444.7,8246.7,9944.3,10162.3,10026.7,9775.1 d,9331.4 d,9529.9 d,9369.4 d,9543.0 d,9801.9 d,9747.5 d,10038.3 d,7579.4 d
