Time frequency,Unit of measure,Type of household,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Two adults,Portugal,6.3,5.9,7.9,7.2,6.1,6.1,4.9,4.8,3.7,5.3 b,5.2,3.5
Annual,Percentage,Two adults,Romania,17.2,16.2,15.0,14.7,14.7,11.9,8.5,7.8,6.6,7.1,8.5,7.5
Annual,Percentage,Two adults,Serbia,:,28.1,30.1,32.4,28.1,33.6,29.3,21.8,20.2,14.8,17.3,:
Annual,Percentage,Two adults,Sweden,4.1,4.4,4.2,4.0,3.7,3.9,3.3,3.9,4.1,3.9,5.3,4.2
Annual,Percentage,Two adults,Slovenia,4.4,5.1,6.0,5.4,4.9,4.5,3.8,3.3,4.0,4.9,4.7,3.0
Annual,Percentage,Two adults,Slovakia,7.5,7.6,7.7,8.5,5.9,7.8,4.2,4.7,3.4,5.7,3.3,5.4
Annual,Percentage,Two adults,Türkiye,9.0,10.1,10.0,9.9,9.4,8.6,8.3,9.3,11.6,9.2,9.8,13.4
Annual,Percentage,Two adults,United Kingdom,6.2 b,6.0,8.5,9.8,9.1,7.9 b,9.3,:,:,:,:,:
Annual,Percentage,Three or more adults,Albania,:,:,:,:,:,8.1,5.6,5.0,3.5,2.7,:,:
Annual,Percentage,Three or more adults,Austria,3.6,2.2,1.8,2.5,4.2,2.7,1.4,2.9,2.2,5.3,1.1,1.2
Annual,Percentage,Three or more adults,Belgium,5.0,1.8,2.2,3.7,2.6,2.8,1.1,2.0 b,2.8,2.9,1.3,2.8
Annual,Percentage,Three or more adults,Bulgaria,7.6,6.5,6.1,7.0,10.3 b,9.0,6.9,4.6,3.5,3.4,5.6,3.3
Annual,Percentage,Three or more adults,Switzerland,4.5,3.4,8.9 b,4.2,5.6,6.9,3.5,5.8,4.0,6.1,6.0,5.3
Annual,Percentage,Three or more adults,Cyprus,0.6,0.9,1.2,0.8,0.5,1.1,0.8,0.6,0.7,0.7,1.4,0.6
Annual,Percentage,Three or more adults,Czechia,1.8,4.6,3.8,2.6,2.8,2.9,1.8,0.6,0.6,0.4,0.6,2.0
Annual,Percentage,Three or more adults,Germany,8.0,6.6,7.5,7.0,6.9,6.8,9.3,5.7,5.1 b,4.3,4.5,5.0
Annual,Percentage,Three or more adults,Denmark,7.4,6.6,14.5,5.9,10.0,11.2,14.1,17.3,14.5 b,17.6,17.0,20.7
Annual,Percentage,Three or more adults,Euro area - 19 countries  (2015-2022),4.6,4.8,5.9,5.4,5.2,4.8,4.8,4.6,4.0,3.2 e,:,:
Annual,Percentage,Three or more adults,Euro area – 20 countries (from 2023),:,:,5.9,5.3,5.2,4.8,4.7,4.5,3.9,3.4,2.8,2.5
Annual,Percentage,Three or more adults,Estonia,3.0,3.0,4.1 b,1.2,1.4,0.4,0.7,0.7,0.8,0.2,1.6,2.1
Annual,Percentage,Three or more adults,Greece,20.1,24.2,32.6,30.0,26.1,26.7,23.9,19.5,16.2,13.0,12.1,11.8
Annual,Percentage,Three or more adults,Spain,3.7,3.1,4.8,3.7,3.8,3.2,2.9,4.1,3.4,3.4,3.1,1.5
Annual,Percentage,Three or more adults,European Union - 27 countries (2007-2013),5.0,5.0,6.1,5.9,5.6,4.4,4.7,4.4 e,:,:,:,:
Annual,Percentage,Three or more adults,European Union - 27 countries (from 2020),5.0 e,5.0 e,5.8 e,5.1 e,4.9 e,4.6 e,4.4 e,4.0 e,3.6,3.3,3.2,2.8
Annual,Percentage,Three or more adults,European Union - 28 countries (2013-2020),5.0,5.0,6.1,5.9,5.5,4.4,4.6,4.3 e,:,:,:,:
Annual,Percentage,Three or more adults,Finland,0.5,2.4,1.9,2.8,0.5,1.3,0.1,0.5,0.3,1.2,0.7,0.7
Annual,Percentage,Three or more adults,France,1.3,1.8,2.2,3.3,2.0,1.5,2.0,3.2,2.2 b,:,0.8 b,1.5
Annual,Percentage,Three or more adults,Croatia,4.4,4.8,4.4,3.5,3.3,3.0,2.0,1.8,1.8,2.2,1.0,2.0
Annual,Percentage,Three or more adults,Hungary,6.6,7.2,5.4,3.8,3.3,4.3,2.3,1.5,1.3,0.6,4.9,3.4
Annual,Percentage,Three or more adults,Ireland,4.7,4.5,9.1,2.8,4.6,5.0,1.1,4.6 b,2.3 b,0.0,2.0,0.9
Annual,Percentage,Three or more adults,Iceland,4.7,3.9,2.8,3.3,1.3,2.4,2.7,6.4,:,:,:,:
Annual,Percentage,Three or more adults,Italy,2.1,3.1,3.3,2.8,3.7,2.7,3.1,3.6,3.5,1.9,1.4,1.0
Annual,Percentage,Three or more adults,Lithuania,2.0,1.7,1.2,0.8,0.6,0.9,0.6,0.2,0.4,0.4,0.3,0.1
Annual,Percentage,Three or more adults,Luxembourg,0.2,2.3,0.6,2.3,1.7 b,3.1,1.7,2.3,6.4 b,4.8 b,2.1 b,3.8
Annual,Percentage,Three or more adults,Latvia,4.2,4.1,4.1,3.8,1.4,1.0,0.8,2.5,1.6,1.2,3.0,3.3
Annual,Percentage,Three or more adults,Montenegro,:,12.8,8.9,11.0,11.4,10.4,7.3,7.0,5.0,3.7,2.9,:
Annual,Percentage,Three or more adults,North Macedonia,16.9,16.7,14.6,7.8,7.7,6.8,6.1,8.2,6.5,:,:,:
Annual,Percentage,Three or more adults,Malta,0.4,0.2,0.0,0.0,0.2,0.2,0.5,0.0,0.2,0.4,0.8,2.1
Annual,Percentage,Three or more adults,Netherlands,2.6,5.8,4.9,2.2,2.3 b,4.5,4.4,2.3,2.7,0.7,1.2,1.5
Annual,Percentage,Three or more adults,Norway,2.7,2.4,0.7,1.8,0.0,2.6,3.0,1.2,2.1,1.6 b,2.3,6.8
Annual,Percentage,Three or more adults,Poland,6.1,4.5,4.2,3.1,2.6,2.7,2.7,2.3,2.4 b,2.8,3.4,2.9
Annual,Percentage,Three or more adults,Portugal,2.7,3.1,3.6,4.4,3.7,4.2,1.8,2.2,1.1,1.5 b,1.8,1.3
Annual,Percentage,Three or more adults,Romania,7.9,6.8,9.1,6.1,6.0,5.2,4.1,2.9,2.8,3.9,4.9,6.1
Annual,Percentage,Three or more adults,Serbia,:,19.6,24.4,27.0,23.5,24.9,20.6,12.3,9.8,8.9,9.1,:
Annual,Percentage,Three or more adults,Sweden,2.0,3.9,3.3,4.6,1.8,2.5,0.7,0.6,2.7,2.4,2.9,2.6
Annual,Percentage,Three or more adults,Slovenia,1.3,2.2,1.3,2.3,1.5,1.0,1.2,1.2,0.6,0.9,0.3,0.7
Annual,Percentage,Three or more adults,Slovakia,2.3,1.5,2.9,3.0,2.0,2.1,1.2,0.9,0.8,2.3,0.1,2.4
Annual,Percentage,Three or more adults,Türkiye,4.5,4.5,4.7,5.1,3.7,3.7,4.2,4.1,3.9,3.7,3.5,6.4
Annual,Percentage,Three or more adults,United Kingdom,4.6 b,5.5,8.3,11.8,10.0,2.5 b,6.7,:,:,:,:,:
