Time frequency,Effects,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,Stayed in emergency accommodation,Females,Percentage,Cyprus,24.2
Annual,Stayed in emergency accommodation,Females,Percentage,Czechia,22.0
Annual,Stayed in emergency accommodation,Females,Percentage,Germany,25.6
Annual,Stayed in emergency accommodation,Females,Percentage,Denmark,4.2
Annual,Stayed in emergency accommodation,Females,Percentage,Euro area – 20 countries (from 2023),14.9
Annual,Stayed in emergency accommodation,Females,Percentage,Estonia,8.6
Annual,Stayed in emergency accommodation,Females,Percentage,Greece,2.9
Annual,Stayed in emergency accommodation,Females,Percentage,Spain,4.0
Annual,Stayed in emergency accommodation,Females,Percentage,European Union - 27 countries (from 2020),14.0
Annual,Stayed in emergency accommodation,Females,Percentage,Finland,5.7
Annual,Stayed in emergency accommodation,Females,Percentage,France,12.6
Annual,Stayed in emergency accommodation,Females,Percentage,Croatia,31.8 u
Annual,Stayed in emergency accommodation,Females,Percentage,Hungary,5.0
Annual,Stayed in emergency accommodation,Females,Percentage,Ireland,22.2 u
Annual,Stayed in emergency accommodation,Females,Percentage,Italy,34.3
Annual,Stayed in emergency accommodation,Females,Percentage,Lithuania,9.5 u
Annual,Stayed in emergency accommodation,Females,Percentage,Luxembourg,6.3
Annual,Stayed in emergency accommodation,Females,Percentage,Latvia,21.4
Annual,Stayed in emergency accommodation,Females,Percentage,Malta,0.8
Annual,Stayed in emergency accommodation,Females,Percentage,Netherlands,9.4
Annual,Stayed in emergency accommodation,Females,Percentage,Norway,8.5
Annual,Stayed in emergency accommodation,Females,Percentage,Poland,20.2 u
Annual,Stayed in emergency accommodation,Females,Percentage,Portugal,5.5
Annual,Stayed in emergency accommodation,Females,Percentage,Romania,0.6
Annual,Stayed in emergency accommodation,Females,Percentage,Sweden,5.9
Annual,Stayed in emergency accommodation,Females,Percentage,Slovenia,12.8
Annual,Stayed in emergency accommodation,Females,Percentage,Slovakia,11.6
Annual,Stayed in emergency accommodation,Males,Percentage,Austria,15.2
Annual,Stayed in emergency accommodation,Males,Percentage,Belgium,21.2
Annual,Stayed in emergency accommodation,Males,Percentage,Bulgaria,3.5
Annual,Stayed in emergency accommodation,Males,Percentage,Cyprus,22.7
Annual,Stayed in emergency accommodation,Males,Percentage,Czechia,14.1
Annual,Stayed in emergency accommodation,Males,Percentage,Germany,22.8
Annual,Stayed in emergency accommodation,Males,Percentage,Denmark,3.6
Annual,Stayed in emergency accommodation,Males,Percentage,Euro area – 20 countries (from 2023),12.8
Annual,Stayed in emergency accommodation,Males,Percentage,Estonia,4.4
Annual,Stayed in emergency accommodation,Males,Percentage,Greece,9.3
Annual,Stayed in emergency accommodation,Males,Percentage,Spain,3.7
Annual,Stayed in emergency accommodation,Males,Percentage,European Union - 27 countries (from 2020),11.9
Annual,Stayed in emergency accommodation,Males,Percentage,Finland,7.7
Annual,Stayed in emergency accommodation,Males,Percentage,France,9.6
Annual,Stayed in emergency accommodation,Males,Percentage,Croatia,33.1 u
Annual,Stayed in emergency accommodation,Males,Percentage,Hungary,8.1
Annual,Stayed in emergency accommodation,Males,Percentage,Ireland,9.9 u
Annual,Stayed in emergency accommodation,Males,Percentage,Italy,25.9
Annual,Stayed in emergency accommodation,Males,Percentage,Lithuania,6.3 u
Annual,Stayed in emergency accommodation,Males,Percentage,Luxembourg,7.3
Annual,Stayed in emergency accommodation,Males,Percentage,Latvia,21.9
Annual,Stayed in emergency accommodation,Males,Percentage,Malta,1.7
Annual,Stayed in emergency accommodation,Males,Percentage,Netherlands,12.6
Annual,Stayed in emergency accommodation,Males,Percentage,Norway,3.7
Annual,Stayed in emergency accommodation,Males,Percentage,Poland,7.8 u
Annual,Stayed in emergency accommodation,Males,Percentage,Portugal,6.6
Annual,Stayed in emergency accommodation,Males,Percentage,Romania,1.6
Annual,Stayed in emergency accommodation,Males,Percentage,Sweden,5.2
Annual,Stayed in emergency accommodation,Males,Percentage,Slovenia,12.8
Annual,Stayed in emergency accommodation,Males,Percentage,Slovakia,6.5
Annual,Stayed in emergency accommodation,Total,Percentage,Austria,19.4
Annual,Stayed in emergency accommodation,Total,Percentage,Belgium,24.5
Annual,Stayed in emergency accommodation,Total,Percentage,Bulgaria,2.6
Annual,Stayed in emergency accommodation,Total,Percentage,Cyprus,23.5
Annual,Stayed in emergency accommodation,Total,Percentage,Czechia,18.5
Annual,Stayed in emergency accommodation,Total,Percentage,Germany,24.2
Annual,Stayed in emergency accommodation,Total,Percentage,Denmark,3.9
Annual,Stayed in emergency accommodation,Total,Percentage,Euro area – 20 countries (from 2023),13.9
Annual,Stayed in emergency accommodation,Total,Percentage,Estonia,6.6
Annual,Stayed in emergency accommodation,Total,Percentage,Greece,6.3
Annual,Stayed in emergency accommodation,Total,Percentage,Spain,3.9
Annual,Stayed in emergency accommodation,Total,Percentage,European Union - 27 countries (from 2020),13.0
Annual,Stayed in emergency accommodation,Total,Percentage,Finland,6.8
Annual,Stayed in emergency accommodation,Total,Percentage,France,11.2
Annual,Stayed in emergency accommodation,Total,Percentage,Croatia,32.4 u
Annual,Stayed in emergency accommodation,Total,Percentage,Hungary,6.6
Annual,Stayed in emergency accommodation,Total,Percentage,Ireland,17.2 u
Annual,Stayed in emergency accommodation,Total,Percentage,Italy,30.1
Annual,Stayed in emergency accommodation,Total,Percentage,Lithuania,8.1 u
Annual,Stayed in emergency accommodation,Total,Percentage,Luxembourg,6.8
Annual,Stayed in emergency accommodation,Total,Percentage,Latvia,21.6
Annual,Stayed in emergency accommodation,Total,Percentage,Malta,1.3
Annual,Stayed in emergency accommodation,Total,Percentage,Netherlands,10.9
Annual,Stayed in emergency accommodation,Total,Percentage,Norway,6.1
Annual,Stayed in emergency accommodation,Total,Percentage,Poland,15.7 u
Annual,Stayed in emergency accommodation,Total,Percentage,Portugal,6.0
Annual,Stayed in emergency accommodation,Total,Percentage,Romania,1.1
Annual,Stayed in emergency accommodation,Total,Percentage,Sweden,5.5
Annual,Stayed in emergency accommodation,Total,Percentage,Slovenia,12.8
Annual,Stayed in emergency accommodation,Total,Percentage,Slovakia,9.3
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Austria,5.6
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Belgium,3.6
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Bulgaria,15.1
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Cyprus,20.8
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Czechia,4.3
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Germany,4.4
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Denmark,2.8
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Euro area – 20 countries (from 2023),5.5
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Estonia,5.5
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Greece,2.3
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Spain,2.2
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,European Union - 27 countries (from 2020),5.5
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Finland,6.2
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,France,8.0
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Croatia,8.5 u
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Hungary,21.3
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Ireland,8.2 u
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Italy,3.2
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Lithuania,5.7 u
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Luxembourg,2.8
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Latvia,14.6
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Malta,8.3
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Netherlands,7.0
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Norway,17.1
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Poland,1.7 u
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Portugal,6.8
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Romania,7.7
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Sweden,3.0
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Slovenia,7.1
Annual,Stayed in a place not intended as a permanent home,Females,Percentage,Slovakia,6.6
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Austria,8.4
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Belgium,9.2
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Bulgaria,20.2
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Cyprus,22.9
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Czechia,8.3
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Germany,6.0
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Denmark,6.0
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Euro area – 20 countries (from 2023),7.8
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Estonia,7.2
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Greece,4.8
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Spain,2.0
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,European Union - 27 countries (from 2020),7.8
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Finland,8.2
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,France,14.6
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Croatia,7.1 u
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Hungary,17.0
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Ireland,9.7 u
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Italy,2.9
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Lithuania,5.6 u
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Luxembourg,4.1
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Latvia,11.5
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Malta,11.8
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Netherlands,6.8
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Norway,19.2
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Poland,6.8 u
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Portugal,6.2
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Romania,9.7
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Sweden,6.8
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Slovenia,10.3
Annual,Stayed in a place not intended as a permanent home,Males,Percentage,Slovakia,12.1
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Austria,7.1
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Belgium,6.2
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Bulgaria,17.7
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Cyprus,21.8
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Czechia,6.0
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Germany,5.2
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Denmark,4.3
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Euro area – 20 countries (from 2023),6.6
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Estonia,6.3
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Greece,3.7
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Spain,2.1
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,European Union - 27 countries (from 2020),6.6
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Finland,7.2
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,France,11.1
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Croatia,7.8 u
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Hungary,19.1
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Ireland,8.8 u
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Italy,3.1
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Lithuania,5.6 u
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Luxembourg,3.5
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Latvia,13.5
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Malta,10.1
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Netherlands,6.9
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Norway,18.2
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Poland,3.5 u
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Portugal,6.5
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Romania,8.6
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Sweden,5.0
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Slovenia,8.6
Annual,Stayed in a place not intended as a permanent home,Total,Percentage,Slovakia,9.1
Annual,Stayed with relatives or friends,Females,Percentage,Austria,67.3
Annual,Stayed with relatives or friends,Females,Percentage,Belgium,66.2
Annual,Stayed with relatives or friends,Females,Percentage,Bulgaria,81.4
Annual,Stayed with relatives or friends,Females,Percentage,Cyprus,52.9
Annual,Stayed with relatives or friends,Females,Percentage,Czechia,71.2
Annual,Stayed with relatives or friends,Females,Percentage,Germany,67.2
Annual,Stayed with relatives or friends,Females,Percentage,Denmark,92.1
Annual,Stayed with relatives or friends,Females,Percentage,Euro area – 20 countries (from 2023),76.6
Annual,Stayed with relatives or friends,Females,Percentage,Estonia,83.3
Annual,Stayed with relatives or friends,Females,Percentage,Greece,94.2
Annual,Stayed with relatives or friends,Females,Percentage,Spain,92.4
Annual,Stayed with relatives or friends,Females,Percentage,European Union - 27 countries (from 2020),77.7
Annual,Stayed with relatives or friends,Females,Percentage,Finland,88.1
Annual,Stayed with relatives or friends,Females,Percentage,France,74.2
Annual,Stayed with relatives or friends,Females,Percentage,Croatia,59.1 u
Annual,Stayed with relatives or friends,Females,Percentage,Hungary,70.2
Annual,Stayed with relatives or friends,Females,Percentage,Ireland,65.8 u
Annual,Stayed with relatives or friends,Females,Percentage,Italy,61.6
Annual,Stayed with relatives or friends,Females,Percentage,Lithuania,84.3 u
Annual,Stayed with relatives or friends,Females,Percentage,Luxembourg,86.7
Annual,Stayed with relatives or friends,Females,Percentage,Latvia,60.9
Annual,Stayed with relatives or friends,Females,Percentage,Malta,90.9
Annual,Stayed with relatives or friends,Females,Percentage,Netherlands,81.8
Annual,Stayed with relatives or friends,Females,Percentage,Norway,71.3
Annual,Stayed with relatives or friends,Females,Percentage,Poland,76.7 u
Annual,Stayed with relatives or friends,Females,Percentage,Portugal,85.0
Annual,Stayed with relatives or friends,Females,Percentage,Romania,87.8
Annual,Stayed with relatives or friends,Females,Percentage,Sweden,89.0
Annual,Stayed with relatives or friends,Females,Percentage,Slovenia,76.2
Annual,Stayed with relatives or friends,Females,Percentage,Slovakia,81.8
Annual,Stayed with relatives or friends,Males,Percentage,Austria,66.8
Annual,Stayed with relatives or friends,Males,Percentage,Belgium,64.3
Annual,Stayed with relatives or friends,Males,Percentage,Bulgaria,76.3
Annual,Stayed with relatives or friends,Males,Percentage,Cyprus,51.6
Annual,Stayed with relatives or friends,Males,Percentage,Czechia,75.0
Annual,Stayed with relatives or friends,Males,Percentage,Germany,67.8
Annual,Stayed with relatives or friends,Males,Percentage,Denmark,87.4
Annual,Stayed with relatives or friends,Males,Percentage,Euro area – 20 countries (from 2023),73.6
Annual,Stayed with relatives or friends,Males,Percentage,Estonia,82.7
Annual,Stayed with relatives or friends,Males,Percentage,Greece,84.4
Annual,Stayed with relatives or friends,Males,Percentage,Spain,91.0
Annual,Stayed with relatives or friends,Males,Percentage,European Union - 27 countries (from 2020),74.6
Annual,Stayed with relatives or friends,Males,Percentage,Finland,81.8
Annual,Stayed with relatives or friends,Males,Percentage,France,65.3
Annual,Stayed with relatives or friends,Males,Percentage,Croatia,57.8 u
Annual,Stayed with relatives or friends,Males,Percentage,Hungary,70.0
Annual,Stayed with relatives or friends,Males,Percentage,Ireland,70.5 u
Annual,Stayed with relatives or friends,Males,Percentage,Italy,69.4
Annual,Stayed with relatives or friends,Males,Percentage,Lithuania,88.1 u
Annual,Stayed with relatives or friends,Males,Percentage,Luxembourg,83.1
Annual,Stayed with relatives or friends,Males,Percentage,Latvia,61.7
Annual,Stayed with relatives or friends,Males,Percentage,Malta,82.1
Annual,Stayed with relatives or friends,Males,Percentage,Netherlands,75.4
Annual,Stayed with relatives or friends,Males,Percentage,Norway,66.6
Annual,Stayed with relatives or friends,Males,Percentage,Poland,81.1 u
Annual,Stayed with relatives or friends,Males,Percentage,Portugal,74.9
Annual,Stayed with relatives or friends,Males,Percentage,Romania,84.0
Annual,Stayed with relatives or friends,Males,Percentage,Sweden,81.7
Annual,Stayed with relatives or friends,Males,Percentage,Slovenia,73.8
Annual,Stayed with relatives or friends,Males,Percentage,Slovakia,80.2
Annual,Stayed with relatives or friends,Total,Percentage,Austria,67.0
Annual,Stayed with relatives or friends,Total,Percentage,Belgium,65.3
Annual,Stayed with relatives or friends,Total,Percentage,Bulgaria,78.8
Annual,Stayed with relatives or friends,Total,Percentage,Cyprus,52.3
Annual,Stayed with relatives or friends,Total,Percentage,Czechia,72.9
Annual,Stayed with relatives or friends,Total,Percentage,Germany,67.5
Annual,Stayed with relatives or friends,Total,Percentage,Denmark,89.8
Annual,Stayed with relatives or friends,Total,Percentage,Euro area – 20 countries (from 2023),75.2
Annual,Stayed with relatives or friends,Total,Percentage,Estonia,83.0
Annual,Stayed with relatives or friends,Total,Percentage,Greece,89.0
Annual,Stayed with relatives or friends,Total,Percentage,Spain,91.7
Annual,Stayed with relatives or friends,Total,Percentage,European Union - 27 countries (from 2020),76.2
Annual,Stayed with relatives or friends,Total,Percentage,Finland,84.8
Annual,Stayed with relatives or friends,Total,Percentage,France,70.1
Annual,Stayed with relatives or friends,Total,Percentage,Croatia,58.4 u
Annual,Stayed with relatives or friends,Total,Percentage,Hungary,70.1
Annual,Stayed with relatives or friends,Total,Percentage,Ireland,67.7 u
Annual,Stayed with relatives or friends,Total,Percentage,Italy,65.5
Annual,Stayed with relatives or friends,Total,Percentage,Lithuania,86.0 u
Annual,Stayed with relatives or friends,Total,Percentage,Luxembourg,84.9
Annual,Stayed with relatives or friends,Total,Percentage,Latvia,61.2
Annual,Stayed with relatives or friends,Total,Percentage,Malta,86.3
Annual,Stayed with relatives or friends,Total,Percentage,Netherlands,78.8
Annual,Stayed with relatives or friends,Total,Percentage,Norway,68.9
Annual,Stayed with relatives or friends,Total,Percentage,Poland,78.3 u
Annual,Stayed with relatives or friends,Total,Percentage,Portugal,80.4
Annual,Stayed with relatives or friends,Total,Percentage,Romania,86.0
Annual,Stayed with relatives or friends,Total,Percentage,Sweden,85.2
Annual,Stayed with relatives or friends,Total,Percentage,Slovenia,75.1
Annual,Stayed with relatives or friends,Total,Percentage,Slovakia,81.1
