Time frequency,Waste categories,Unit of measure,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Packaging,Rate,Sweden,71.5,69.6,71.9,70.5,71.8,68.2,71.7,65.0,63.6,60.9,59.6,66.9
Annual,Packaging,Rate,Slovenia,63.6,66.9,69.0,70.4,67.0,69.4,70.1,68.0,67.1,67.9,55.1,62.6
Annual,Packaging,Rate,Slovakia,62.4,68.1,65.9,65.4,64.3,65.8,65.7,66.6,67.5,70.8 d,73.9 d,72.2 d
Annual,Paper and cardboard packaging,Rate,Austria,84.5,84.9,84.3,84.9,84.9,84.9,83.5,84.2,84.7,80.0,81.0,80.5
Annual,Paper and cardboard packaging,Rate,Belgium,90.4,89.8,89.1,90.6,90.7,89.4,92.9,95.6,92.3,89.4,88.6,86.1
Annual,Paper and cardboard packaging,Rate,Bulgaria,98.1,94.2,88.8,70.1,78.7,80.1,79.6,63.3,93.9,:,90.6,96.5
Annual,Paper and cardboard packaging,Rate,Cyprus,88.3,88.9 e,97.3,96.7,96.6,99.7,93.3,97.9 e,99.5 e,82.9 e,85.5 e,109.8 e
Annual,Paper and cardboard packaging,Rate,Czechia,90.5,85.9,87.6,88.6,90.1,93.7,90.2,85.6,88.2,87.5 d,88.4 d,:
Annual,Paper and cardboard packaging,Rate,Germany,88.0,87.6,88.2,87.3,85.7,88.7,87.6,86.8,80.6 b,84.2,85.1,85.8
Annual,Paper and cardboard packaging,Rate,Denmark,63.8 b,76.5,85.4,91.8,95.3,97.7,81.9,99.7,99.7,69.3 b,71.2,69.8
Annual,Paper and cardboard packaging,Rate,Estonia,79.1 e,77.2 e,75.5,74.2,76.3,79.0,76.9,86.1,85.9 b,93.3,89.7,93.8
Annual,Paper and cardboard packaging,Rate,Greece,91.9 e,83.6,79.7,79.1,89.6,98.5,99.5,91.5 e,84.6 e,:,83.0,65.4
Annual,Paper and cardboard packaging,Rate,Spain,76.6,77.8,75.0,78.2,76.9,79.7,74.6,72.5,72.9,71.8,78.3,78.3
Annual,Paper and cardboard packaging,Rate,European Union - 27 countries (from 2020),82.7 i,83.5,84.0,84.1,83.9,85.4,85.4,84.2,82.1,81.5,82.8,83.2 i
Annual,Paper and cardboard packaging,Rate,Finland,96.8,99.2,97.6,101.2,111.6,114.6,116.1,116.0,115.9,123.1,126.5,131.2
Annual,Paper and cardboard packaging,Rate,France,88.0,91.8,95.8,94.1,92.0,93.9,98.4,92.1,91.4,82.2 b,86.7,89.4
Annual,Paper and cardboard packaging,Rate,Croatia,:,96.1,88.2,76.9,89.4,82.5,83.7,93.7,74.2,90.4,74.4,64.6
Annual,Paper and cardboard packaging,Rate,Hungary,94.0,73.0,78.3,66.2,75.8,77.0,74.5,67.5,70.5,79.7,66.6,68.2
Annual,Paper and cardboard packaging,Rate,Ireland,91.5,83.0,79.1,79.4,79.7,79.2,78.5,79.1,78.5 b,78.1,72.8,75.2
Annual,Paper and cardboard packaging,Rate,Iceland,76.5,62.9,71.6,76.0,83.9,83.1,83.7,92.9,87.2,99.5 d,82.2 d,75.5 d
Annual,Paper and cardboard packaging,Rate,Italy,79.5,84.5,84.6,78.7,79.7,79.7,79.8,80.0,80.8,86.1,84.6,80.0
Annual,Paper and cardboard packaging,Rate,Liechtenstein,74.6,66.2,75.9,76.2,82.1,82.6,82.3,82.6,85.0,85 d,85 d,:
Annual,Paper and cardboard packaging,Rate,Lithuania,83.7,82.4,87.3,89.1,87.2,85.0,86.7,77.5,77.0,80.1 b,82.6,81.1
Annual,Paper and cardboard packaging,Rate,Luxembourg,77.8,76.7,74.4,81.6,77.2,78.2,79.1,80.2,80.1,79.7,81.4,76.2
Annual,Paper and cardboard packaging,Rate,Latvia,75.2,75.3,74.7,81.5,77.5,81.1,86.2,82.9,80.9,79.3,77.0,78.4
Annual,Paper and cardboard packaging,Rate,Malta,72.7,77.2,48.4,55.5,56.4,59.7,50.7,48.4,45.5,47.8,45.3,40.6
Annual,Paper and cardboard packaging,Rate,Netherlands,88.6,88.9,88.2,85.9,85.4,85.4,87.1,87.9,91.0,89.4,90.4,90.8
Annual,Paper and cardboard packaging,Rate,Norway,84.9,81.6,81.4,82.9,82.2,83.0,85.0,79.3,83.3,77.6,79.1,80.6
Annual,Paper and cardboard packaging,Rate,Poland,58.7,53.1,50.0,72.8,77.6,73.8,82.2,88.2,79.9,:,:,:
Annual,Paper and cardboard packaging,Rate,Portugal,71.3,66.1,73.4,69.1,62.2,70.1,66.9,66.8,71.0,66.0,66.6,64.4
Annual,Paper and cardboard packaging,Rate,Romania,65.5,69.8,74.6,83.4,89.3,92.5,90.6,88.9,68.3 b,63.2,67.9,:
Annual,Paper and cardboard packaging,Rate,Sweden,75.5,76.8,78.4,79.3,81.7,81.8,81.8,77.2,75.0,78 b,84.8 b,77.5
Annual,Paper and cardboard packaging,Rate,Slovenia,73.5,78.7,78.7,80.4,75.6,76.6,76.2,81.2,80.6,82.9,60.3,74.3
Annual,Paper and cardboard packaging,Rate,Slovakia,80.2,84.7,79.7,79.9,76.8,78.4,74.2,76.7,77.7,79.7 d,82.3 d,78.5 d
Annual,Plastic packaging,Rate,Austria,34.8,34.7,34.4,33.6,33.6,33.6,33.4,31.9,30.8,31.6 b,30.7,25.4
Annual,Plastic packaging,Rate,Belgium,41.4,41.5,39.0,41.8,42.6,43.4,44.5,42.4,47.3,44.7,49.2,54.2
Annual,Plastic packaging,Rate,Bulgaria,39.2,40.7,41.3,64.1,60.8,52.6,64.8,59.2,50.6,:,47.1,39.5
Annual,Plastic packaging,Rate,Cyprus,38.0,44.8,45.3,46.6,63.7,62.3,65.0,54.3 e,50.5 e,48.6 e,41.6 be,39 e
Annual,Plastic packaging,Rate,Czechia,57.0,58.2,59.7,58.2,61.7,59.2,58.6,57.0,61.0,41.8 d,45.1 d,:
Annual,Plastic packaging,Rate,Germany,46.3,47.0,46.8,47.3,47.4,48.4,48.0,46.4,43.3 b,46.2,48.4,51.1
Annual,Plastic packaging,Rate,Denmark,22.3 b,25.9,29.1,30.7,30.5,36.1,41.8,31.3,37.4,22.9 b,20.8,23.5
Annual,Plastic packaging,Rate,Estonia,39.6,29.8,28.1,29.3,27.8,24.6,26.5,37.7,40.6,40.9,42.5,44.3
Annual,Plastic packaging,Rate,Greece,33.0,32.2,32.3,32.8,36.8,38.2,41.4,39.8 e,37.6 e,:,37.8,31.8
Annual,Plastic packaging,Rate,Spain,32.4,35.1,40.7,42.5,44.0,45.5,47.9,50.7,51.5,51.4 b,54.5,51.5
Annual,Plastic packaging,Rate,European Union - 27 countries (from 2020),35.6 i,37.0,37.5,39.0,40.5,42.4,41.7,41.4,41.1,37.6,40.3,40.7 i
Annual,Plastic packaging,Rate,Finland,25.4,25.4,22.7,24.6,23.7,25.4,26.5,31.1,42.0,39.4,42.9,44.5
Annual,Plastic packaging,Rate,France,23.3,25.1,25.6,25.2,25.5,25.8,26.5,26.9,26.9,21.4,23.1,25.2
Annual,Plastic packaging,Rate,Croatia,:,45.4,45.3,37.7,46.3,41.1,37.3,37.3,35.7,34.1,34.2,34.9
Annual,Plastic packaging,Rate,Hungary,22.4,27.8,30.8,36.8,27.4,31.4,32.0,30.0,33.0,24.9,27.1,27.5
Annual,Plastic packaging,Rate,Ireland,47.5,38.2,34.8,31.3,29.7,31.2,30.5,27.1,27.5 b,29.0,27.9,32.1
Annual,Plastic packaging,Rate,Iceland,41.5,40.9,26.5,26.8,37.0,41.5,28.9,29.3,24.0,30.8 d,27.6 d,21.5 d
Annual,Plastic packaging,Rate,Italy,36.1,37.5,36.8,38.0,41.1,42.4,41.8,43.4,44.7,51.2,54.8,54.6
Annual,Plastic packaging,Rate,Liechtenstein,2.6,7.0,6.6,6.8,16.9,20.9,18.3,21.4,26.5,30.2 d,31.4 d,:
Annual,Plastic packaging,Rate,Lithuania,38.9,38.9,42.9,51.2,54.8,74.4,71.5,69.3,69.6,56.1 b,44.8 b,44.1
Annual,Plastic packaging,Rate,Luxembourg,33.2,36.7,32.2,32.3,32.7,31.9,33.1,32.3,33.4,34.7,39.5,39.8
Annual,Plastic packaging,Rate,Latvia,23.0,24.0,24.5,36.4,35.3,37.2,36.6,35.8,35.4,35.9,41.6,47.3
Annual,Plastic packaging,Rate,Malta,28.9,32.8,22.6,32.9,28.6,23.5,19.2,11.1,15.4,10.2,17.1,16.4
Annual,Plastic packaging,Rate,Netherlands,50.7,47.7,46.6,50.6,49.8,51.5,50.4,52.0,57.2,49.2 be,48.9,45.7
Annual,Plastic packaging,Rate,Norway,37.6,38.1,38.8,36.1,37.1,39.3,36.9,36.3,33.2,27.9,28.3,28.0
Annual,Plastic packaging,Rate,Poland,22.5,21.9,19.7,28.3,30.8,46.9,34.6,35.7,31.5,:,:,:
Annual,Plastic packaging,Rate,Portugal,26.1,30.4,35.3,40.0,43.0,41.8,34.9,33.9,35.6,33.9,38.1,37.3
Annual,Plastic packaging,Rate,Romania,40.3,51.3,51.7,44.5,46.7,46.5,47.6,43.0,31.1 b,30.1,31.6,:
Annual,Plastic packaging,Rate,Sweden,34.1,34.9,45.6,47.5,49.0,50.7,48.4,50.0,53.2,33.5 b,23.8 be,29.4 be
Annual,Plastic packaging,Rate,Slovenia,75.5,64.8,81.7,69.3,63.4,62.0,60.4,48.8,50.3,44.6,50.0,50.9
Annual,Plastic packaging,Rate,Slovakia,49.9,57.0,55.1,55.9,54.4,51.7,52.4,51.4,52.8,56.3 d,60.2 d,51.9 d
Annual,Wooden packaging,Rate,Austria,21.1,21.5,20.3,19.9,18.1,17.7,19.9,20.6,20.5,29.6,37.0,31.6
Annual,Wooden packaging,Rate,Belgium,63.4,66.1,59.0,72.2,74.9,80.9,83.7,90.6,80.5,71.6,71.8,70.6
Annual,Wooden packaging,Rate,Bulgaria,41.5,53.1,58.5,37.8,32.7,39.0,31.9,21.3,31.5,:,24.2,24.8
Annual,Wooden packaging,Rate,Cyprus,9.8,6.2 e,12.0,11.5,9.2,10.0,8.5,9.6,24.0,20.9,22.2,20.6
Annual,Wooden packaging,Rate,Czechia,27.6,25.7,35.6,66.1,68.7,63.9,49.3,45.0,42.3,34.8 d,38.3 d,:
Annual,Wooden packaging,Rate,Germany,30.1,30.3,25.5,26.8,25.8,26.0,25.8,25.0,23.6 b,32.6,31.6,29.8
Annual,Wooden packaging,Rate,Denmark,29.5,40.4,66.4,52.5,75.9,87.3,59.4,45.7,46.7,90.7 b,87.6,87.8
Annual,Wooden packaging,Rate,Estonia,72.4 e,59.7,66.3,62.0,66.1,32.5,16.4,20.3,14.7 b,39.3,31.2,37.0
Annual,Wooden packaging,Rate,Greece,65.9 e,41.8,2.5,17.4,22.0,21.9,20.4,24.1 e,24.5 e,:,7.3,7.2
Annual,Wooden packaging,Rate,Spain,53.2,57.9,64.3,64.3,65.5,67.1,67.5,67.0,66.9 be,88 b,65.1,80.1
Annual,Wooden packaging,Rate,European Union - 27 countries (from 2020),36.6 i,37.5,35.2,39.3,41.4,40.7,41.2,29.3,30.9,31.9,32.1,34.2 i
Annual,Wooden packaging,Rate,Finland,17.7,16.9,15.0,12.8,12.5,14.4,14.5,24.4,27.2,28.1,26.3,22.3
Annual,Wooden packaging,Rate,France,25.2,28.6,28.4,28.2,31.6,29.1,30.8,29.0,35.6,34.5,35.4,40.6
Annual,Wooden packaging,Rate,Croatia,:,0.4,1.9,0.4,3.1,3.0,2.9,3.8,2.9,4.3,15.7,42.6
Annual,Wooden packaging,Rate,Hungary,34.7,18.1,7.5,18.1,19.9,20.1,24.1,23.0,23.3,28.9,28.6,17.0
Annual,Wooden packaging,Rate,Ireland,92.8,82.3,81.6,84.8,85.4,75.0,74.3,64.1,64.9,57.1,64.4,67.0
Annual,Wooden packaging,Rate,Iceland,61.1,48.1,62.1,38.5,60.9,62.5,22.7,36.3,16.4,70.8 d,82.9 d,30.3 d
Annual,Wooden packaging,Rate,Italy,55.2,54.2,55.9,59.0,60.3,60.0,60.1,61.9,62.2,62.0,63.9,62.8
Annual,Wooden packaging,Rate,Liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 d,0 d,:
Annual,Wooden packaging,Rate,Lithuania,47.4,48.8,20.3,27.2,24.8,48.3,32.8,23.8,26.4,30.1 b,27.5,11.3
Annual,Wooden packaging,Rate,Luxembourg,34.4,23.4,51.0,34.2,39.0,34.9,25.0,31.6,28.3,29.7,70.5,26.2
Annual,Wooden packaging,Rate,Latvia,35.4,36.7,36.4,31.8,35.1,39.9,38.0,27.3,52.3,49.2,48.3,48.7
Annual,Wooden packaging,Rate,Malta,0.0,0.8,1.5,6.6,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Wooden packaging,Rate,Netherlands,30.5,29.3,21.8,25.1,48.2,51.5,72.7,76.6 b,70.1,68.1,66.5,59.6
Annual,Wooden packaging,Rate,Norway,8.5,8.2,8.0,8.2,8.4,8.5,14.8,14.8,14.8,17.7,34.8 e,41.8 b
Annual,Wooden packaging,Rate,Poland,27.2,28.5,21.9,48.6,50.5,40.8,32.4,29.1,27.3,:,:,:
Annual,Wooden packaging,Rate,Portugal,78.0,69.7,98.5,131.5,86.5,103.4,89.9,76.5,91.1,88.2,113.4,79.5
Annual,Wooden packaging,Rate,Romania,32.5,41.1,28.9,26.6,28.8,27.6,30.0,28.4,24.8 b,16.6,15.7,:
Annual,Wooden packaging,Rate,Sweden,136.1,79.8,59.9,22.3,21.5,30.9 b,50.4 b,34.6 b,29.8,10.8 b,28.2 e,71.6 e
Annual,Wooden packaging,Rate,Slovenia,15.6,33.1,15.1,25.9,19.3,23.6,32.2,25.1,22.2,37.3,19.1,27.4
Annual,Wooden packaging,Rate,Slovakia,26.3,36.7,36.4,37.2,42.1,55.3,47.2,53.4,55.7,61.4 d,57.2 d,60 d
Annual,Metallic packaging,Rate,Austria,62.1,61.4,87.5,87.0,87.2,88.3,85.6,84.4,84.7,66.1 b,73.9,74.6
Annual,Metallic packaging,Rate,Belgium,97.4,97.3,97.0,98.2,98.1,98.3,98.5,98.2,95.0,96.2,96.6,96.4
Annual,Metallic packaging,Rate,Bulgaria,69.9,75.6,69.8,67.1,69.2,59.4,73.4,80.5,75.9,:,83.1,63.3
Annual,Metallic packaging,Rate,Cyprus,88.8,98.7 e,70.7,97.4,72.3,84.1,119.8,117.5 e,129.3 e,172.5 e,160 e,137.4 e
Annual,Metallic packaging,Rate,Czechia,68.0,69.2,58.5,65.0,58.6,63.4,67.8,67.6,65.0,73.2 d,67.4 d,:
Annual,Metallic packaging,Rate,Germany,92.8,92.3,93.2,92.5,91.5,91.6,91.6,91.7,85.4 b,83.4,82.8,82.9
Annual,Metallic packaging,Rate,Denmark,58 be,51.8 e,57.0,71.3,71.9,87.7,73.2,80.0,61.3,70.0,65.7,64.5
Annual,Metallic packaging,Rate,Estonia,62.9 be,65.3 e,58.4,78.0,68.4,66.1,67.7,81.7,102.1 b,99.5,100.3,117.3
Annual,Metallic packaging,Rate,Greece,44.1 e,38.2,48.2,58.8,57.4,61.7,70.5,71.7,78.4,:,79.5,64.5
Annual,Metallic packaging,Rate,Spain,75.2,78.0,80.9,81.1,79.9,82.6,85.1,84.0,84.0,83.5,83.6,83.7
Annual,Metallic packaging,Rate,European Union - 27 countries (from 2020),75.7 i,76.6,77.8,78.5,79.3,80.2,80.6,82.9,81.2,75.7,75.0,76.9 i
Annual,Metallic packaging,Rate,Finland,79.9,85.3,81.8,82.3,83.5,84.9,87.8,90.0,85.1,87.2,80.8,82.4
Annual,Metallic packaging,Rate,France,73.6,73.9,75.8,71.9,77.2,80.4,84.9,87.1,83.4,57.9,60.2,64.2
Annual,Metallic packaging,Rate,Croatia,:,12.5,12.2,11.6,13.9,16.4,16.5,20.5,18.7,17.5,24.6,19.2
Annual,Metallic packaging,Rate,Hungary,83.5,80.8,94.6,83.5,79.7,71.8,70.4,71.2,69.1 e,71.4 e,72.4,69.1
Annual,Metallic packaging,Rate,Ireland,66.6,75.8,79.1,80.5,74.6,70.1,72.0,64.1,69.0,70.8,58.4,54.8
Annual,Metallic packaging,Rate,Iceland,29.0,100.0,67.0,79.4,76.4,75.5,63.7,65.6,63.8,76 d,63.7 d,65.1 d
Annual,Metallic packaging,Rate,Italy,71.0,73.6,74.5,72.7,73.0,75.6,72.0,77.6,79.2,76.3,70.3,78.0
Annual,Metallic packaging,Rate,Liechtenstein,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100 d,100 d,:
Annual,Metallic packaging,Rate,Lithuania,68.4,67.2,65.6,66.6,74.9,77.3,78.3,72.9,77.5,72.4 b,81.2,76.7
Annual,Metallic packaging,Rate,Luxembourg,82.4,82.4,83.6,84.8,91.5,92.9,92.4,92.9,93.8,83.2,79.6,70.7
Annual,Metallic packaging,Rate,Latvia,74.3,57.8,56.6,51.8,51.0,59.8,59.0,71.3,72.0,81.3,66.6,66.8
Annual,Metallic packaging,Rate,Malta,30.2,41.5,34.3,39.1,25.1,30.1,42.3,68.2,19.6,57.2,27.1,13.0
Annual,Metallic packaging,Rate,Netherlands,91.2,90.7,93.1,93.5,94.6,95.2,94.9,94.8,95.6,87.5,90.1,89.1
Annual,Metallic packaging,Rate,Norway,78.9,79.4,69.9,77.8,81.8,83.5,89.5,91.5,88.3,93.9,91.8,90.4
Annual,Metallic packaging,Rate,Poland,45.1,46.9,34.5,52.9,62.0,59.4,62.6,75.5,84.2,:,:,:
Annual,Metallic packaging,Rate,Portugal,71.0,72.3,75.7,58.3,63.6,42.9,43.6,42.5,45.8,46.3,54.5,52.1
Annual,Metallic packaging,Rate,Romania,62.3,55.5,52.8,64.2,64.1,62.1,60.4,58.7,49.6 b,51.1,44.2,:
Annual,Metallic packaging,Rate,Sweden,75.4,74.4,77.4,76.5,77.7,81.5,84.5,82.8,81.0,83.7,83.9 b,81.9
Annual,Metallic packaging,Rate,Slovenia,40.4,41.6,58.4,50.8,62.8,71.2,71.1,64.3,68.2,59.2,54.4,68.5
Annual,Metallic packaging,Rate,Slovakia,58.4,67.8,68.9,70.8,73.5,80.4,86.1,75.4,72.4,71.1 d,76.5 d,77.1 d
Annual,Glass packaging,Rate,Austria,82.8,82.9,84.8,84.5,85.6,85.2,84.1,83.9,81.1,81.6,82.3,86.3
Annual,Glass packaging,Rate,Belgium,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.9,97.5,97.8
Annual,Glass packaging,Rate,Bulgaria,59.5,60.5,61.2,63.2,62.9,69.8,64.0,77.6,61.7,:,60.4,72.8
Annual,Glass packaging,Rate,Cyprus,33.8,32.4 e,32.1,32.2,33.2,39.4,42.4,46.3 e,45.3 e,34.8 e,42.9 e,43.3 e
Annual,Glass packaging,Rate,Czechia,74.4,81.1,75.0,71.6,72.6,72.8,72.3,74.8,76.4,83.6 d,81.4 d,:
Annual,Glass packaging,Rate,Germany,88.4,84.7,88.7,89.0,85.2,85.5,84.4,83.0,78 b,79.7,80.3,80.1
Annual,Glass packaging,Rate,Denmark,85.9 be,93.6 e,93.0,83.6,79.5,85.0,94.9,82.4,71.1,84.3 b,84.5,86.5
Annual,Glass packaging,Rate,Estonia,65.4 e,70.7 e,71.5,72.8,62.1,63.4,61.0,65.4,105 b,77.8,80.1,76.6
Annual,Glass packaging,Rate,Greece,36.9 e,54.7,28.0,21.5,29.4,36.9,36.0,32.9 e,29.9 e,:,27.7,21.8
Annual,Glass packaging,Rate,Spain,64.4,64.2,67.4,69.7,70.4,71.8,72.2,76.8,79.8,72.5 b,70.7,72.3
Annual,Glass packaging,Rate,European Union - 27 countries (from 2020),72.3 i,73.1,73.4,75.3,74.2,75.3,75.8,75.8,75.6,76.0,74.1,75.6 i
Annual,Glass packaging,Rate,Finland,87.9,77.6,76.8,81.4,78.4,89.8,91.8,99.3,97.4,97.3,97.7,98.2
Annual,Glass packaging,Rate,France,70.7,73.5,73.9,74.6,74.8,76.1,77.9,76.2,77.1,78.7,77.9,81.2
Annual,Glass packaging,Rate,Croatia,:,62.8,65.4,63.5,65.2,56.4,57.0,60.5,51.3,54.2,55.2,62.5
Annual,Glass packaging,Rate,Hungary,41.2,34.2,32.4,36.3,50.5,34.6,34.2,35.3,29.3,37.8,33.3,29.8
Annual,Glass packaging,Rate,Ireland,81.2,85.5,80.0,86.8,87.6,86.3,84.2,82.2,83.7,84.2,83.6,82.7
Annual,Glass packaging,Rate,Iceland,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0 d,0 d,0 d
Annual,Glass packaging,Rate,Italy,69.2,70.9,70.8,70.3,70.9,70.8,72.8,73.4,77.3,78.6,76.6,80.8
Annual,Glass packaging,Rate,Liechtenstein,64.1,64.1,60.8,65.1,72.9,70.1,73.2,75.5,72.4,79.9 d,79.8 d,:
Annual,Glass packaging,Rate,Lithuania,74.1,72.2,54.8,60.5,74.3,71.0,45.6,58.2,57.3,63.4 b,66.7,69.6
Annual,Glass packaging,Rate,Luxembourg,94.4,94.6,94.8,94.5,97.0,97.5,97.5,98.3,98.4,99.0,85.2,91.5
Annual,Glass packaging,Rate,Latvia,51.6,55.1,55.1,60.6,60.5,64.0,65.5,68.8,69.0,70.1,70.3,63.1
Annual,Glass packaging,Rate,Malta,17.2,21.3,49.1,31.2,20.3,29.5,28.6,41.4,43.9,62.5,60.4,43.3
Annual,Glass packaging,Rate,Netherlands,82.8,71.3,79.8,80.1,82.7,84.4,86.2,85.7,86.6,77.1 be,79.0,78.7
Annual,Glass packaging,Rate,Norway,87.4,87.6,86.2,87.8,86.8,89.4,83.5,89.4,97.7,90.4,83.4,96.5
Annual,Glass packaging,Rate,Poland,45.0,51.2,43.6,60.2,57.2,59.6,63.0,61.8,67.1,:,:,:
Annual,Glass packaging,Rate,Portugal,59.7,59.6,55.7,56.4,55.2,58.5,49.0,51.3,56.1,52.0,54.7,56.9
Annual,Glass packaging,Rate,Romania,60.0,66.3,49.2,54.2,41.1,64.1,63.0,61.1,42.9 b,42.7,28.0,:
Annual,Glass packaging,Rate,Sweden,91.9,88.2,89.0,94.7,93.6,92.8,93.0,92.7,93.1,93.5,82.8 b,85.6
Annual,Glass packaging,Rate,Slovenia,82.3,87.3,85.9,99.3,98.5,100.2,98.5,104.0,99.5,98.4 e,96.4,80.2
Annual,Glass packaging,Rate,Slovakia,63.9,69.4,72.9,67.7,66.2,62.2,68.7,68.6,69.7,74.4 d,81.7 d,79.4 d
