Time frequency,Size classes in number of persons employed,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,From 10 to 49 persons employed,Males,Percentage,Netherlands,22.6,28.2,37.8,26.7
Annual,From 10 to 49 persons employed,Males,Percentage,Norway,27.7,44.6,53.6,41.9 u
Annual,From 10 to 49 persons employed,Males,Percentage,Poland,7.5,9.0,14.9,12.1
Annual,From 10 to 49 persons employed,Males,Percentage,Portugal,15.0,27.7,34.1,26.0
Annual,From 10 to 49 persons employed,Males,Percentage,Romania,9.8,6.4,8.6,3.1
Annual,From 10 to 49 persons employed,Males,Percentage,Serbia,:,:,:,15.7
Annual,From 10 to 49 persons employed,Males,Percentage,Sweden,37.0,38.4,47.1 b,43.2 b
Annual,From 10 to 49 persons employed,Males,Percentage,Slovenia,25.0,23.0,40.7,27.6
Annual,From 10 to 49 persons employed,Males,Percentage,Slovakia,22.0,30.1,43.9,28.8
Annual,From 10 to 49 persons employed,Males,Percentage,United Kingdom,30.8,27.1,32.5,:
Annual,From 10 to 49 persons employed,Total,Percentage,Austria,23.8,26.4,35.3,27.9
Annual,From 10 to 49 persons employed,Total,Percentage,Belgium,18.7,34.5,41.5,41.6
Annual,From 10 to 49 persons employed,Total,Percentage,Bulgaria,6.3,8.5,15.7,12.5
Annual,From 10 to 49 persons employed,Total,Percentage,Cyprus,18.5,23.5,21.7,22.9
Annual,From 10 to 49 persons employed,Total,Percentage,Czechia,43.5,46.5,80.9 b,79.2
Annual,From 10 to 49 persons employed,Total,Percentage,Germany,24.6,28.1,31.9,32.3
Annual,From 10 to 49 persons employed,Total,Percentage,Denmark,30.5,35.8,25.4,20.6
Annual,From 10 to 49 persons employed,Total,Percentage,Estonia,19.1,21.8,21.2,23.6
Annual,From 10 to 49 persons employed,Total,Percentage,Greece,5.1,6.9,4.6,5.6
Annual,From 10 to 49 persons employed,Total,Percentage,Spain,17.7,35.3,38.9,43.1
Annual,From 10 to 49 persons employed,Total,Percentage,European Union - 27 countries (from 2020),19.4,25.0,29.9,27.5
Annual,From 10 to 49 persons employed,Total,Percentage,European Union - 28 countries (2013-2020),20.6,25.0,30.0,:
Annual,From 10 to 49 persons employed,Total,Percentage,Finland,30.0,32.2,37.6,16.7
Annual,From 10 to 49 persons employed,Total,Percentage,France,27.7,26.7,27.4,24.0
Annual,From 10 to 49 persons employed,Total,Percentage,Croatia,:,19.2,16.0,10.5
Annual,From 10 to 49 persons employed,Total,Percentage,Hungary,7.2,10.8,10.6,8.0
Annual,From 10 to 49 persons employed,Total,Percentage,Ireland,23.5,:,33.2,23.9
Annual,From 10 to 49 persons employed,Total,Percentage,Italy,11.3,21.2,28.4,30.4
Annual,From 10 to 49 persons employed,Total,Percentage,Lithuania,6.9,11.0,14.4,13.2
Annual,From 10 to 49 persons employed,Total,Percentage,Luxembourg,28.7,33.5,36.8,37.8
Annual,From 10 to 49 persons employed,Total,Percentage,Latvia,7.6,14.2,15.7,18.0
Annual,From 10 to 49 persons employed,Total,Percentage,North Macedonia,:,:,17.7,13.6
Annual,From 10 to 49 persons employed,Total,Percentage,Malta,10.4,14.6,18.9,15.8
Annual,From 10 to 49 persons employed,Total,Percentage,Netherlands,21.6,29.0,34.1,26.2
Annual,From 10 to 49 persons employed,Total,Percentage,Norway,28.1,44.7,53.1,42.6
Annual,From 10 to 49 persons employed,Total,Percentage,Poland,7.5,8.8,15.1,12.9
Annual,From 10 to 49 persons employed,Total,Percentage,Portugal,14.9,26.6,32.9,25.5
Annual,From 10 to 49 persons employed,Total,Percentage,Romania,9.4,5.9,8.8,3.2
Annual,From 10 to 49 persons employed,Total,Percentage,Serbia,:,:,:,16.4
Annual,From 10 to 49 persons employed,Total,Percentage,Sweden,35.9,39.9,46.9 b,42.7 b
Annual,From 10 to 49 persons employed,Total,Percentage,Slovenia,27.3,24.5,42.8,29.3
Annual,From 10 to 49 persons employed,Total,Percentage,Slovakia,19.8,28.3,42.5,27.1
Annual,From 10 to 49 persons employed,Total,Percentage,United Kingdom,29.3,24.9,30.3,:
Annual,From 50 to 249 persons employed,Females,Percentage,Austria,26.8,31.9,38.4,32.6
Annual,From 50 to 249 persons employed,Females,Percentage,Belgium,33.0,50.8,53.3,55.4
Annual,From 50 to 249 persons employed,Females,Percentage,Bulgaria,8.9,13.1,20.1,16.6
Annual,From 50 to 249 persons employed,Females,Percentage,Cyprus,31.0,32.0,32.6,32.1
Annual,From 50 to 249 persons employed,Females,Percentage,Czechia,55.4,53.4,79.2 b,74.8
Annual,From 50 to 249 persons employed,Females,Percentage,Germany,25.1,32.4,30.4,25.7
Annual,From 50 to 249 persons employed,Females,Percentage,Denmark,39.9,40.9,31.5,23.9
Annual,From 50 to 249 persons employed,Females,Percentage,Estonia,26.2,30.5,28.2,28.9
Annual,From 50 to 249 persons employed,Females,Percentage,Greece,9.0,12.1,13.8,9.2
Annual,From 50 to 249 persons employed,Females,Percentage,Spain,29.5,41.8,47.8,56.3
Annual,From 50 to 249 persons employed,Females,Percentage,European Union - 27 countries (from 2020),26.0,31.2,34.6,32.3
Annual,From 50 to 249 persons employed,Females,Percentage,European Union - 28 countries (2013-2020),27.1,30.8,34.4,:
Annual,From 50 to 249 persons employed,Females,Percentage,Finland,33.1,31.2,44.5,24.9
Annual,From 50 to 249 persons employed,Females,Percentage,France,36.5,36.2,35.8,35.6
Annual,From 50 to 249 persons employed,Females,Percentage,Croatia,:,19.8,21.8,18.8
Annual,From 50 to 249 persons employed,Females,Percentage,Hungary,10.8,14.7,13.6,10.1
Annual,From 50 to 249 persons employed,Females,Percentage,Ireland,40.9,:,43.0,31.0 u
Annual,From 50 to 249 persons employed,Females,Percentage,Italy,21.4,28.2,38.7,37.3
Annual,From 50 to 249 persons employed,Females,Percentage,Lithuania,9.8,16.4,21.7,23.4
Annual,From 50 to 249 persons employed,Females,Percentage,Luxembourg,39.4,43.1,67.4,54.2
Annual,From 50 to 249 persons employed,Females,Percentage,Latvia,13.6,24.4,23.9,30.7 u
Annual,From 50 to 249 persons employed,Females,Percentage,North Macedonia,:,:,15.5,15.6
Annual,From 50 to 249 persons employed,Females,Percentage,Malta,23.2,38.1,36.0,30.2
Annual,From 50 to 249 persons employed,Females,Percentage,Netherlands,24.6,32.3,36.5,33.1
Annual,From 50 to 249 persons employed,Females,Percentage,Norway,30.4,46.6,46.4,45.9 u
Annual,From 50 to 249 persons employed,Females,Percentage,Poland,14.5,19.9,23.8,20.4
Annual,From 50 to 249 persons employed,Females,Percentage,Portugal,25.0,38.4,41.9,45.8 u
Annual,From 50 to 249 persons employed,Females,Percentage,Romania,10.1,11.1,13.6,9.2
Annual,From 50 to 249 persons employed,Females,Percentage,Serbia,:,:,:,23.1
Annual,From 50 to 249 persons employed,Females,Percentage,Sweden,45.1,48.1,52.1 b,49.4 b
Annual,From 50 to 249 persons employed,Females,Percentage,Slovenia,39.2,36.1,55.2,42.7
Annual,From 50 to 249 persons employed,Females,Percentage,Slovakia,24.7,37.1,47.9,34.3
Annual,From 50 to 249 persons employed,Females,Percentage,United Kingdom,33.1,27.3,33.1,:
Annual,From 50 to 249 persons employed,Males,Percentage,Austria,28.9,33.9,42.9,34.1
Annual,From 50 to 249 persons employed,Males,Percentage,Belgium,36.6,51.1,57.9,53.7
Annual,From 50 to 249 persons employed,Males,Percentage,Bulgaria,14.2,18.2,23.3,17.2
Annual,From 50 to 249 persons employed,Males,Percentage,Cyprus,33.1,30.3,31.9,30.6
Annual,From 50 to 249 persons employed,Males,Percentage,Czechia,64.4,64.2,87.0 b,83.9
Annual,From 50 to 249 persons employed,Males,Percentage,Germany,28.8,37.3,35.8,31.9
Annual,From 50 to 249 persons employed,Males,Percentage,Denmark,33.5,38.8,31.0,23.9
Annual,From 50 to 249 persons employed,Males,Percentage,Estonia,25.0,32.1,27.5,27.3
Annual,From 50 to 249 persons employed,Males,Percentage,Greece,7.5,10.7,15.2,7.6
Annual,From 50 to 249 persons employed,Males,Percentage,Spain,29.8,46.6,51.4,59.3
Annual,From 50 to 249 persons employed,Males,Percentage,European Union - 27 countries (from 2020),29.1,36.1,39.9,36.7
Annual,From 50 to 249 persons employed,Males,Percentage,European Union - 28 countries (2013-2020),29.4,35.3,38.8,:
Annual,From 50 to 249 persons employed,Males,Percentage,Finland,29.6,32.4,40.0,23.9
Annual,From 50 to 249 persons employed,Males,Percentage,France,40.3,45.0,43.7,43.5
Annual,From 50 to 249 persons employed,Males,Percentage,Croatia,:,18.1,20.8,17.8
Annual,From 50 to 249 persons employed,Males,Percentage,Hungary,11.1,14.5,15.2,11.4
Annual,From 50 to 249 persons employed,Males,Percentage,Ireland,44.3,:,44.0,29.8 u
Annual,From 50 to 249 persons employed,Males,Percentage,Italy,24.5,33.4,45.0,41.8
Annual,From 50 to 249 persons employed,Males,Percentage,Lithuania,11.0,16.8,25.8,22.2
Annual,From 50 to 249 persons employed,Males,Percentage,Luxembourg,38.9,42.2,60.1,53.0
Annual,From 50 to 249 persons employed,Males,Percentage,Latvia,12.0,20.7,26.8,29.9
Annual,From 50 to 249 persons employed,Males,Percentage,North Macedonia,:,:,17.6,18.1
Annual,From 50 to 249 persons employed,Males,Percentage,Malta,24.2,29.3,31.3,25.4
Annual,From 50 to 249 persons employed,Males,Percentage,Netherlands,30.0,36.4,44.0,35.9
Annual,From 50 to 249 persons employed,Males,Percentage,Norway,28.9,47.4,61.8,47.8 u
Annual,From 50 to 249 persons employed,Males,Percentage,Poland,15.2,21.2,27.4,21.2
Annual,From 50 to 249 persons employed,Males,Percentage,Portugal,28.4,44.1,47.1,45.9
Annual,From 50 to 249 persons employed,Males,Percentage,Romania,10.7,11.2,13.7,9.8
Annual,From 50 to 249 persons employed,Males,Percentage,Serbia,:,:,:,20.7
Annual,From 50 to 249 persons employed,Males,Percentage,Sweden,46.6,51.8,53.0 b,49.2 b
Annual,From 50 to 249 persons employed,Males,Percentage,Slovenia,35.3,36.3,53.3,43.2
Annual,From 50 to 249 persons employed,Males,Percentage,Slovakia,30.8,47.5,54.7,39.6
Annual,From 50 to 249 persons employed,Males,Percentage,United Kingdom,30.9,28.9,31.7,:
Annual,From 50 to 249 persons employed,Total,Percentage,Austria,28.1,33.2,41.2,33.5
Annual,From 50 to 249 persons employed,Total,Percentage,Belgium,35.5,51.0,56.3,54.2
Annual,From 50 to 249 persons employed,Total,Percentage,Bulgaria,11.9,15.9,21.9,17.0
Annual,From 50 to 249 persons employed,Total,Percentage,Cyprus,32.1,30.9,32.2,31.2
Annual,From 50 to 249 persons employed,Total,Percentage,Czechia,61.0,60.1,84.1 b,80.4
Annual,From 50 to 249 persons employed,Total,Percentage,Germany,27.4,35.4,33.6,29.5
Annual,From 50 to 249 persons employed,Total,Percentage,Denmark,35.7,39.5,31.2,24.6
Annual,From 50 to 249 persons employed,Total,Percentage,Estonia,25.5,31.4,27.8,28.1
Annual,From 50 to 249 persons employed,Total,Percentage,Greece,8.0,11.3,14.7,8.2
Annual,From 50 to 249 persons employed,Total,Percentage,Spain,29.7,44.9,50.1,57.7
Annual,From 50 to 249 persons employed,Total,Percentage,European Union - 27 countries (from 2020),28.0,34.4,37.9,35.0
Annual,From 50 to 249 persons employed,Total,Percentage,European Union - 28 countries (2013-2020),28.5,33.8,37.2,:
Annual,From 50 to 249 persons employed,Total,Percentage,Finland,30.7,31.9,41.7,24.1
Annual,From 50 to 249 persons employed,Total,Percentage,France,38.9,41.9,40.8,40.6
Annual,From 50 to 249 persons employed,Total,Percentage,Croatia,:,18.8,21.2,18.3
Annual,From 50 to 249 persons employed,Total,Percentage,Hungary,11.0,14.6,14.6,11.0
Annual,From 50 to 249 persons employed,Total,Percentage,Ireland,43.0,:,43.8,31.0
Annual,From 50 to 249 persons employed,Total,Percentage,Italy,23.5,31.8,42.9,40.4
Annual,From 50 to 249 persons employed,Total,Percentage,Lithuania,10.5,16.6,24.1,22.7
Annual,From 50 to 249 persons employed,Total,Percentage,Luxembourg,39.0,44.0,62.1,53.3
Annual,From 50 to 249 persons employed,Total,Percentage,Latvia,12.6,22.4,25.6,29.6
Annual,From 50 to 249 persons employed,Total,Percentage,North Macedonia,:,:,16.9,16.8
Annual,From 50 to 249 persons employed,Total,Percentage,Malta,23.8,32.6,34.2,27.3
Annual,From 50 to 249 persons employed,Total,Percentage,Netherlands,28.4,35.2,41.1,34.9
Annual,From 50 to 249 persons employed,Total,Percentage,Norway,29.4,43.9,55.3,48.9
Annual,From 50 to 249 persons employed,Total,Percentage,Poland,14.9,20.7,26.0,20.9
Annual,From 50 to 249 persons employed,Total,Percentage,Portugal,27.0,41.8,44.9,45.1
Annual,From 50 to 249 persons employed,Total,Percentage,Romania,10.5,11.0,13.7,9.6
Annual,From 50 to 249 persons employed,Total,Percentage,Serbia,:,:,:,21.6
Annual,From 50 to 249 persons employed,Total,Percentage,Sweden,46.1,47.9,52.7 b,49.2 b
Annual,From 50 to 249 persons employed,Total,Percentage,Slovenia,36.7,36.3,54.0,43.0
Annual,From 50 to 249 persons employed,Total,Percentage,Slovakia,28.5,43.6,52.1,37.6
Annual,From 50 to 249 persons employed,Total,Percentage,United Kingdom,31.7,28.3,32.2,:
Annual,250 persons employed or more,Females,Percentage,Austria,37.2,35.7,53.8,34.1
Annual,250 persons employed or more,Females,Percentage,Belgium,53.8,54.4,54.5,45.0
Annual,250 persons employed or more,Females,Percentage,Bulgaria,22.3,43.8,37.3,36.8
Annual,250 persons employed or more,Females,Percentage,Cyprus,51.5,63.3,49.6,38.9
Annual,250 persons employed or more,Females,Percentage,Czechia,57.5,62.6,80.4 b,82.9
Annual,250 persons employed or more,Females,Percentage,Germany,28.8,39.0,42.7,50.9
Annual,250 persons employed or more,Females,Percentage,Denmark,38.7,33.1,40.9,27.7
Annual,250 persons employed or more,Females,Percentage,Estonia,30.8,34.6,48.6,44.7
Annual,250 persons employed or more,Females,Percentage,Greece,26.2,30.6,30.8,24.4
Annual,250 persons employed or more,Females,Percentage,Spain,47.5,57.3,63.1,83.1
Annual,250 persons employed or more,Females,Percentage,European Union - 27 countries (from 2020),39.1,44.9,50.7,52.5
Annual,250 persons employed or more,Females,Percentage,European Union - 28 countries (2013-2020),38.6,43.9,45.4,:
Annual,250 persons employed or more,Females,Percentage,Finland,46.0,48.6,46.7,35.7
Annual,250 persons employed or more,Females,Percentage,France,52.6,50.2,58.5,58.3
Annual,250 persons employed or more,Females,Percentage,Croatia,:,29.6,44.3,38.7
Annual,250 persons employed or more,Females,Percentage,Hungary,22.4,26.3,25.4,25.7
Annual,250 persons employed or more,Females,Percentage,Ireland,75.2,:,59.7,53.3 u
Annual,250 persons employed or more,Females,Percentage,Italy,46.7,51.2,58.5,57.5
Annual,250 persons employed or more,Females,Percentage,Lithuania,22.1,25.5,37.0,41.2
Annual,250 persons employed or more,Females,Percentage,Luxembourg,60.9,64.5,77.2,70.2
Annual,250 persons employed or more,Females,Percentage,Latvia,21.0,38.4,39.7,48.6 u
Annual,250 persons employed or more,Females,Percentage,North Macedonia,:,:,34.4,21.2
Annual,250 persons employed or more,Females,Percentage,Malta,65.8,69.0,55.9,40.3
Annual,250 persons employed or more,Females,Percentage,Netherlands,38.3,40.5,38.4,43.9
Annual,250 persons employed or more,Females,Percentage,Norway,22.2,45.7,58.2,66.7 u
Annual,250 persons employed or more,Females,Percentage,Poland,29.9,44.4,52.2,39.4
Annual,250 persons employed or more,Females,Percentage,Portugal,42.0,50.3,62.4,58.0 u
Annual,250 persons employed or more,Females,Percentage,Romania,24.0,28.9,32.3,31.9
Annual,250 persons employed or more,Females,Percentage,Serbia,:,:,:,32.5
Annual,250 persons employed or more,Females,Percentage,Sweden,49.3,57.5,51.9 b,56.0 b
Annual,250 persons employed or more,Females,Percentage,Slovenia,65.7,59.3,72.3,62.2
Annual,250 persons employed or more,Females,Percentage,Slovakia,42.1,44.8,63.0,63.2
Annual,250 persons employed or more,Females,Percentage,United Kingdom,36.1,38.0,24.2,:
Annual,250 persons employed or more,Males,Percentage,Austria,45.0,39.4,55.6,45.6
Annual,250 persons employed or more,Males,Percentage,Belgium,57.2,66.2,62.4,60.9
Annual,250 persons employed or more,Males,Percentage,Bulgaria,23.2,43.3,42.2,36.1
Annual,250 persons employed or more,Males,Percentage,Cyprus,46.2,62.5,54.1,42.3
Annual,250 persons employed or more,Males,Percentage,Czechia,71.4,74.8,88.2 b,88.0
Annual,250 persons employed or more,Males,Percentage,Germany,35.6,47.4,41.4,56.7
Annual,250 persons employed or more,Males,Percentage,Denmark,34.0,38.8,45.8,31.3
Annual,250 persons employed or more,Males,Percentage,Estonia,29.3,49.8,46.0,42.5
Annual,250 persons employed or more,Males,Percentage,Greece,24.4,31.1,41.6,20.4
Annual,250 persons employed or more,Males,Percentage,Spain,52.6,63.6,74.3,85.9
Annual,250 persons employed or more,Males,Percentage,European Union - 27 countries (from 2020),45.0,51.4,53.3,56.0
Annual,250 persons employed or more,Males,Percentage,European Union - 28 countries (2013-2020),42.6,47.1,49.4,:
Annual,250 persons employed or more,Males,Percentage,Finland,48.8,47.5,50.5,40.6
Annual,250 persons employed or more,Males,Percentage,France,60.5,59.3,64.9,61.8
Annual,250 persons employed or more,Males,Percentage,Croatia,:,24.9,36.9,35.6
Annual,250 persons employed or more,Males,Percentage,Hungary,27.3,28.9,28.9,30.8
Annual,250 persons employed or more,Males,Percentage,Ireland,60.6,:,67.3,50.0 u
Annual,250 persons employed or more,Males,Percentage,Italy,51.3,55.6,66.2,58.3
Annual,250 persons employed or more,Males,Percentage,Lithuania,28.7,31.6,39.7,38.2
Annual,250 persons employed or more,Males,Percentage,Luxembourg,73.7,71.1,76.4,73.6
Annual,250 persons employed or more,Males,Percentage,Latvia,26.5,39.3,43.7,43.0
Annual,250 persons employed or more,Males,Percentage,North Macedonia,:,:,26.6,19.2
Annual,250 persons employed or more,Males,Percentage,Malta,48.5,55.1,51.1,41.5
Annual,250 persons employed or more,Males,Percentage,Netherlands,47.3,46.9,48.1,48.2
Annual,250 persons employed or more,Males,Percentage,Norway,33.2,54.1,63.5,65.9 u
Annual,250 persons employed or more,Males,Percentage,Poland,30.3,50.8,57.8,43.2
Annual,250 persons employed or more,Males,Percentage,Portugal,48.7,52.8,60.7,55.5
Annual,250 persons employed or more,Males,Percentage,Romania,24.9,28.7,32.9,29.6
Annual,250 persons employed or more,Males,Percentage,Serbia,:,:,:,29.0
Annual,250 persons employed or more,Males,Percentage,Sweden,51.7,62.0,57.4 b,54.2 b
Annual,250 persons employed or more,Males,Percentage,Slovenia,62.9,61.3,71.7,62.4
Annual,250 persons employed or more,Males,Percentage,Slovakia,61.9,58.5,70.0,67.5
Annual,250 persons employed or more,Males,Percentage,United Kingdom,32.7,26.8,29.3,:
Annual,250 persons employed or more,Total,Percentage,Austria,42.0,38.2,54.9,40.9
Annual,250 persons employed or more,Total,Percentage,Belgium,56.1,61.5,59.2,54.1
Annual,250 persons employed or more,Total,Percentage,Bulgaria,22.9,43.6,40.0,36.4
Annual,250 persons employed or more,Total,Percentage,Cyprus,48.4,60.8,51.9,40.6
Annual,250 persons employed or more,Total,Percentage,Czechia,65.5,69.8,84.9 b,85.9
Annual,250 persons employed or more,Total,Percentage,Germany,33.0,44.4,41.8,54.6
Annual,250 persons employed or more,Total,Percentage,Denmark,35.9,36.5,41.8,29.8
Annual,250 persons employed or more,Total,Percentage,Estonia,30.2,41.0,47.5,43.7
Annual,250 persons employed or more,Total,Percentage,Greece,25.1,30.9,36.7,22.1
Annual,250 persons employed or more,Total,Percentage,Spain,50.4,60.6,69.0,84.6
Annual,250 persons employed or more,Total,Percentage,European Union - 27 countries (from 2020),42.7,48.8,52.3,54.5
Annual,250 persons employed or more,Total,Percentage,European Union - 28 countries (2013-2020),41.1,46.0,47.7,:
Annual,250 persons employed or more,Total,Percentage,Finland,47.7,48.0,48.9,38.5
Annual,250 persons employed or more,Total,Percentage,France,57.6,55.6,62.3,60.4
Annual,250 persons employed or more,Total,Percentage,Croatia,:,26.9,40.2,36.9
Annual,250 persons employed or more,Total,Percentage,Hungary,25.0,27.8,27.4,28.6
Annual,250 persons employed or more,Total,Percentage,Ireland,66.7,:,62.9,51.5
Annual,250 persons employed or more,Total,Percentage,Italy,49.6,53.9,63.1,58.0
Annual,250 persons employed or more,Total,Percentage,Lithuania,25.3,28.3,38.3,39.7
Annual,250 persons employed or more,Total,Percentage,Luxembourg,68.4,68.9,76.7,72.4
Annual,250 persons employed or more,Total,Percentage,Latvia,24.1,38.8,41.6,45.7
Annual,250 persons employed or more,Total,Percentage,North Macedonia,:,:,29.7,20.0
Annual,250 persons employed or more,Total,Percentage,Malta,53.2,59.8,52.8,41.0
Annual,250 persons employed or more,Total,Percentage,Netherlands,43.8,44.6,44.2,46.5
Annual,250 persons employed or more,Total,Percentage,Norway,30.0,47.5,54.3,59.7
Annual,250 persons employed or more,Total,Percentage,Poland,30.1,48.1,55.4,41.6
Annual,250 persons employed or more,Total,Percentage,Portugal,45.9,51.7,61.4,56.5
Annual,250 persons employed or more,Total,Percentage,Romania,24.5,28.4,32.6,30.6
Annual,250 persons employed or more,Total,Percentage,Serbia,:,:,:,30.6
Annual,250 persons employed or more,Total,Percentage,Sweden,50.9,52.7,55.3 b,55.3 b
Annual,250 persons employed or more,Total,Percentage,Slovenia,64.1,60.4,72.0,62.3
Annual,250 persons employed or more,Total,Percentage,Slovakia,53.4,53.8,66.8,65.5
Annual,250 persons employed or more,Total,Percentage,United Kingdom,33.9,33.1,29.9,:
Annual,Total,Females,Percentage,Austria,29.9,30.5,43.5,31.6
Annual,Total,Females,Percentage,Belgium,38.6,49.1,50.3,45.7
Annual,Total,Females,Percentage,Bulgaria,12.7,21.2,24.9,22.8
Annual,Total,Females,Percentage,Cyprus,30.4,38.8,33.2,31.6
Annual,Total,Females,Percentage,Czechia,51.8,54.6,79.2 b,78.6
Annual,Total,Females,Percentage,Germany,27.4,35.5,37.6,41.2
Annual,Total,Females,Percentage,Denmark,38.6,35.9,34.2,25.0
Annual,Total,Females,Percentage,Estonia,25.7,29.8,33.9,33.9
Annual,Total,Females,Percentage,Greece,14.8,16.6,16.8,13.7
Annual,Total,Females,Percentage,Spain,34.6,46.3,53.0,67.7
Annual,Total,Females,Percentage,European Union - 27 countries (from 2020),31.0,36.2,41.2,41.4
Annual,Total,Females,Percentage,European Union - 28 countries (2013-2020),31.4,35.6,38.7,:
